AssemblyAccession	Scientific.Name	taxID
GCF_001735525.1	Shewanella colwelliana	23
GCF_007197645.1	Shewanella hanedai	25
GCF_900111765.1	Myxococcus fulvus	33
GCF_900109545.1	Stigmatella aurantiaca	41
GCF_003387095.1	Archangium gephyra	48
GCF_001189295.1	Chondromyces crocatus	52
GCF_002343915.1	Nannocystis exedens	54
GCF_002222655.1	Vitreoscilla filiformis	63
GCF_002355975.1	Lysobacter enzymogenes	69
GCF_013626205.1	Hyphomicrobium methylovorum	84
GCF_006738645.1	Stella humosa	94
GCF_004339465.1	Ancylobacter aquaticus	100
GCF_002954665.1	Polaribacter glomeratus	102
GCF_007747015.1	Gimesia maris	122
GCF_009685195.1	Methylocystis parvus	134
GCF_014207565.1	Spirochaeta isovalerica	150
GCF_007595545.1	Brachyspira hyodysenteriae	159
GCF_008153345.1	Treponema phagedenis	162
GCF_900113965.1	Treponema bryantii	163
GCF_900497595.1	Treponema pectinovorum	164
GCF_004769835.1	Leptospira biflexa	172
GCF_007827425.1	Azospirillum brasilense	192
GCF_008364955.1	Azospirillum lipoferum	193
GCF_009756375.1	Campylobacter coli	195
GCF_011600945.2	Campylobacter fetus	196
GCF_001298465.1	Campylobacter concisus	199
GCF_013372125.1	Campylobacter curvus	200
GCF_013372205.1	Campylobacter mucosalis	202
GCF_004803795.1	Campylobacter rectus	203
GCF_004803815.1	Campylobacter showae	204
GCF_003213725.2	Helicobacter cinaedi	213
GCF_900450915.1	Helicobacter fennelliae	215
GCF_900450885.1	Helicobacter muridarum	216
GCF_900476215.1	Helicobacter mustelae	217
GCF_004328865.1	Pseudoalteromonas carrageenovora	227
GCF_900475375.1	Elizabethkingia meningoseptica	238
GCF_900176575.1	Planomicrobium okeanokoites	244
GCF_900446785.1	Chryseobacterium balustinum	246
GCF_009834475.1	Empedobacter brevis	247
GCF_900636535.1	Chryseobacterium gleum	250
GCF_006540005.1	Halomonas halmophila	252
GCF_900460995.1	Chryseobacterium indologenes	253
GCF_003815915.1	Chryseobacterium indoltheticum	254
GCF_900453865.1	Myroides odoratus	256
GCF_900457435.1	Sphingobacterium spiritivorum	258
GCF_901482695.1	Sphingobacterium thalpophilum	259
GCF_004063735.1	Paracoccus denitrificans	266
GCF_000771745.2	Thermus filiformis	276
GCF_005871085.1	Xanthobacter autotrophicus	280
GCF_000740035.1	Comamonas testosteroni	285
GCF_007988745.1	Pseudoalteromonas atlantica	288
GCF_009586235.1	Burkholderia cepacia	292
GCF_900445995.1	Brevundimonas diminuta	293
