Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Leptolyngbya valderiana BDU 20041 contig00185, whole genome shotgun sequence",Leptolyngbya valderiana BDU 20041,282,282,90%,3.00E-85,55.21,14605,NZ_LSYZ01000185.1
"Scytonema tolypothrichoides VB-61278 scaffold_029, whole genome shotgun sequence",Scytonema tolypothrichoides VB-61278,189,189,90%,6.00E-53,41.47,27619,NZ_JXCA02000018.1
"Euhalothece natronophila Z-M001 plasmid pEu4, complete sequence",Euhalothece natronophila Z-M001,184,184,90%,5.00E-51,40.77,25471,NZ_CP042330.1
"Anabaena minutissima FACHB-250 contig47, whole genome shotgun sequence",Anabaena minutissima FACHB-250,183,233,89%,8.00E-51,40.47,41086,NZ_JACJRG010000047.1
"Nostoc parmelioides FACHB-3921 contig62, whole genome shotgun sequence",Nostoc parmelioides FACHB-3921,182,328,90%,2.00E-50,40.47,34418,NZ_JACJQL010000062.1
"Hyella patelloides LEGE 07179 isolate 1, whole genome shotgun sequence",Hyella patelloides LEGE 07179,179,179,90%,2.00E-49,40,9623,NZ_LR214373.1
"Pseudanabaena yagii GIHE-NHR1 1013Pa_7_1, whole genome shotgun sequence",Pseudanabaena yagii GIHE-NHR1,177,177,91%,2.00E-48,38.55,51529,NZ_JAAVJL010000007.1
"Pseudanabaena biceps strain O153 map unlocalized plasmid unnamed1 scaffold2_size239714, whole genome shotgun sequence",Pseudanabaena biceps,174,298,91%,2.00E-47,37.79,239714,NZ_JAATWA010000002.1
"Nostoc foliaceum FACHB-393 contig79, whole genome shotgun sequence",Nostoc foliaceum FACHB-393,173,173,89%,4.00E-47,38.52,24211,NZ_JACJTD010000079.1
"Anabaena sphaerica FACHB-251 contig37, whole genome shotgun sequence",Anabaena sphaerica FACHB-251,171,171,89%,1.00E-46,38.13,21753,NZ_JACJQU010000037.1
"Leptolyngbya valderiana BDU 20041 contig00117, whole genome shotgun sequence",Leptolyngbya valderiana BDU 20041,159,159,89%,3.00E-42,37.41,18110,NZ_LSYZ01000117.1
"Gloeocapsopsis crepidinum LEGE 06123 NODE_41_length_51439_cov_12.6512, whole genome shotgun sequence",,159,159,83%,3.00E-42,38.02,51439,NZ_JADEWN010000041.1
"Planktothrix paucivesiculata PCC 9631 isolate BBR_PRJEB10994, whole genome shotgun sequence",Planktothrix paucivesiculata PCC 9631,155,155,81%,5.00E-41,39.5,4089,NZ_LR734999.1
"Planktothrix paucivesiculata PCC 9631 isolate BBR_PRJEB10994, whole genome shotgun sequence",Planktothrix paucivesiculata PCC 9631,155,155,81%,6.00E-41,39.5,314135,NZ_LR735021.1
"Planktothrix tepida PCC 9214 isolate BBR_PRJEB10993, whole genome shotgun sequence",,154,302,89%,9.00E-41,39.5,350838,NZ_LN889815.1
"Calothrix parasitica NIES-267 plasmid plasmid1 DNA, complete genome",Calothrix parasitica NIES-267,152,297,89%,7.00E-40,33.85,271562,NZ_AP018228.1
"Anabaena sphaerica FACHB-251 contig10, whole genome shotgun sequence",Anabaena sphaerica FACHB-251,152,152,83%,8.00E-40,37.76,185036,NZ_JACJQU010000010.1
