Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Spirochaeta africana DSM 8902, complete sequence",Spirochaeta africana DSM 8902,68.2,68.2,89%,1.00E-11,29.07,3285855,NC_017098.1
"Treponema azotonutricium ZAS-9, complete sequence",Treponema azotonutricium ZAS-9,64.7,64.7,89%,2.00E-10,27.34,3855671,NC_015577.1
"Leptospira fainei serovar Hurstbridge str. BUT 6 ctg1134728687809, whole genome shotgun sequence",Leptospira fainei serovar Hurstbridge str. BUT 6,64.7,64.7,59%,2.00E-10,27.81,579278,NZ_AKWZ02000002.1
"Leptospira broomii serovar Hurstbridge str. 5399 ctg1134731807507, whole genome shotgun sequence",Leptospira broomii serovar Hurstbridge str. 5399,64.3,64.3,59%,3.00E-10,27.81,691580,NZ_AHMO02000004.1
"Leptospira fletcheri strain SSW15 contig_0004, whole genome shotgun sequence",Leptospira fletcheri,64.3,64.3,59%,3.00E-10,27.81,269582,NZ_RQET01000008.1
"Leptospira fluminis strain SCS5 contig_0002, whole genome shotgun sequence",Leptospira fluminis,64.3,64.3,59%,3.00E-10,27.81,493428,NZ_RQEV01000012.1
"Leptospira haakeii strain ATI7-C-A2 contig_21, whole genome shotgun sequence",Leptospira haakeii,63.9,63.9,59%,3.00E-10,27.81,25159,NZ_NPEI01000021.1
"Leptospira neocaledonica strain ES4-C-A1 contig_8, whole genome shotgun sequence",Leptospira neocaledonica,63.9,63.9,59%,4.00E-10,27.81,253566,NZ_NPEA01000008.1
"Leptospira johnsonii strain E8, whole genome shotgun sequence",Leptospira johnsonii,63.9,63.9,59%,4.00E-10,27.81,400688,NZ_BFAY01000006.1
"Leptospira selangorensis strain 201702405 contig_0004, whole genome shotgun sequence",Leptospira selangorensis,63.9,63.9,59%,4.00E-10,27.81,413905,NZ_RQGV01000010.1
"Leptospira saintgironsiae strain FH4-C-A2 contig_2, whole genome shotgun sequence",Leptospira saintgironsiae,63.9,63.9,59%,4.00E-10,27.81,559327,NZ_NPDR01000002.1
"Leptospira venezuelensis strain IVIC-Bov1 contig_0003, whole genome shotgun sequence",Leptospira venezuelensis,63.9,63.9,59%,4.00E-10,27.81,659809,NZ_NFUQ01000003.1
"Leptospira sarikeiensis strain 201702455 contig_0007, whole genome shotgun sequence",Leptospira sarikeiensis,63.9,63.9,59%,4.00E-10,27.81,226204,NZ_RQGF01000025.1
"Leptospira wolffii strain 201800291 contig_0004, whole genome shotgun sequence",Leptospira wolffii,63.9,63.9,59%,4.00E-10,27.81,398646,NZ_RQFH01000007.1
"Leptospira hartskeerlii strain MCA1-C-A1 contig_6, whole genome shotgun sequence",Leptospira hartskeerlii,63.9,63.9,59%,4.00E-10,27.81,377496,NZ_NPDN01000006.1
"Leptospira koniambonensis strain 201800265 contig_0004, whole genome shotgun sequence",Leptospira koniambonensis,63.9,63.9,59%,4.00E-10,27.81,388476,NZ_RQFY01000006.1
"Leptospira dzoumogneensis strain 201601113 contig_0004, whole genome shotgun sequence",Leptospira dzoumogneensis,63.9,63.9,59%,4.00E-10,27.81,408877,NZ_RQHS01000010.1
"Leptospira licerasiae str. MMD4847 ctg7180000002430, whole genome shotgun sequence",Leptospira licerasiae str. MMD4847,63.9,63.9,59%,4.00E-10,27.81,553412,NZ_AHOM02000008.1
"Leptospira andrefontaineae strain 201800301 contig_0001, whole genome shotgun sequence",Leptospira andrefontaineae,63.9,63.9,59%,4.00E-10,27.81,611223,NZ_RQEY01000005.1
"Leptospira langatensis strain SSW18 contig_0002, whole genome shotgun sequence",Leptospira langatensis,63.5,63.5,59%,5.00E-10,27.81,640893,NZ_RQER01000001.1
"Leptospira semungkisensis strain SSS9 contig_0003, whole genome shotgun sequence",Leptospira semungkisensis,63.5,63.5,59%,6.00E-10,27.81,653976,NZ_RQEP01000018.1
"Leptospira perolatii strain FH1-B-B1 contig_5, whole genome shotgun sequence",Leptospira perolatii,63.2,63.2,51%,7.00E-10,29.25,263630,NZ_NPDZ01000005.1
"Leptospira inadai serovar Lyme strain M34/99 Contig_6_consensus_sequence, whole genome shotgun sequence",Leptospira inadai serovar Lyme,62.4,62.4,59%,1.00E-09,27.22,257533,NZ_MCRM02000005.1
"Spirochaeta lutea strain JC230 contig809, whole genome shotgun sequence",Spirochaeta lutea,61.6,61.6,89%,2.00E-09,25.87,230068,NZ_JNUP01000023.1
"Brachyspira suanatina strain AN4859/03, whole genome shotgun sequence",Brachyspira suanatina,61.2,61.2,52%,3.00E-09,27.89,2243936,NZ_CVLB01000001.1
"Brachyspira alvinipulli ATCC 51933 T324DRAFT_scaffold00002.2, whole genome shotgun sequence",Brachyspira alvinipulli ATCC 51933,61.2,61.2,52%,3.00E-09,27.89,563111,NZ_KI912403.1
"Sediminispirochaeta smaragdinae DSM 11293, complete sequence",Sediminispirochaeta smaragdinae DSM 11293,61.2,61.2,50%,3.00E-09,31.69,4653970,NC_014364.1
"Treponema vincentii F0403 aczIO-supercont1.2, whole genome shotgun sequence",Treponema vincentii F0403,60.8,60.8,87%,4.00E-09,24.9,180029,NZ_KE332513.1
