Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Shewanella fodinae strain 74A Ga0227276_108, whole genome shotgun sequence",Shewanella fodinae,356,356,75%,9.00E-109,70.79,113499,NZ_SLWF01000008.1
"Shewanella xiamenensis strain DCB2-1 NODE_3_length_203773_cov_278.288, whole genome shotgun sequence",Shewanella xiamenensis,355,355,75%,1.00E-108,70.79,203773,NZ_QFLG01000003.1
"Shewanella putrefaciens CN-32, complete sequence",Shewanella putrefaciens CN-32,355,355,75%,2.00E-108,70.41,4659220,NC_009438.1
Shewanella decolorationis strain sesselensis chromosome,Shewanella decolorationis,355,355,75%,2.00E-108,70.79,4719362,NZ_CP037898.1
"Shewanella bicestrii strain JAB-1 chromosome, complete genome",Shewanella bicestrii,355,355,75%,2.00E-108,70.79,4800597,NZ_CP022358.1
"Shewanella baltica OS678, complete sequence",Shewanella baltica OS678,354,354,75%,4.00E-108,70.41,5288069,NC_016901.1
"Shewanella morhuae strain CW7 sequence_2, whole genome shotgun sequence",Shewanella morhuae,353,353,75%,6.00E-108,70.04,3219938,NZ_PYSG01000002.1
"Shewanella corallii strain A687 scaffold_0, whole genome shotgun sequence",Shewanella corallii,353,353,75%,9.00E-108,70.79,699360,NZ_QRCS01000013.1
"Shewanella denitrificans OS217, complete sequence",Shewanella denitrificans OS217,352,352,75%,1.00E-107,70.41,4545906,NC_007954.1
"Shewanella frigidimarina NCIMB 400, complete sequence",Shewanella frigidimarina NCIMB 400,352,352,75%,3.00E-107,69.66,4845257,NC_008345.1
"Shewanella waksmanii ATCC BAA-643 L865DRAFT_scaffold00002.2_C, whole genome shotgun sequence",Shewanella waksmanii ATCC BAA-643,351,351,75%,3.00E-107,69.66,276650,NZ_JAEH01000002.1
"Shewanella mangrovi strain YQH10 contig12, whole genome shotgun sequence",Shewanella mangrovi,351,351,75%,3.00E-107,70.04,99880,NZ_JPEO01000011.1
Shewanella oneidensis MR-1 chromosome,Shewanella oneidensis MR-1,351,351,75%,4.00E-107,70.04,4972338,NZ_CP053946.1
"Shewanella livingstonensis strain LMG 19866 chromosome, complete genome",Shewanella livingstonensis,351,351,75%,5.00E-107,69.66,4839879,NZ_CP034015.1
"Shewanella insulae strain JBTF-M18 10, whole genome shotgun sequence",Shewanella insulae,351,351,75%,5.00E-107,69.29,187454,NZ_WRPA01000010.1
"Shewanella chilikensis strain JC5 NODE_25_length_71790_cov_1579.36, whole genome shotgun sequence",Shewanella chilikensis,351,351,75%,5.00E-107,69.29,71790,NZ_NIJM01000025.1
"Shewanella indica strain KJW27 scaffold25, whole genome shotgun sequence",Shewanella indica,351,351,75%,5.00E-107,69.29,110159,NZ_NIJK01000039.1
"Shewanella carassii strain 08MAS2251 scaffold8, whole genome shotgun sequence",Shewanella carassii,351,351,75%,5.00E-107,69.29,532406,NZ_NGVS01000006.1
"Shewanella algae strain RQs-106 chromosome, complete genome",Shewanella algae,351,351,75%,5.00E-107,69.29,4990025,NZ_CP046378.1
"Shewanella violacea DSS12, complete sequence",Shewanella violacea DSS12,350,350,75%,7.00E-107,69.66,4962103,NC_014012.1
"Shewanella vesiculosa strain LMG 24424 ctg_8, whole genome shotgun sequence",Shewanella vesiculosa,350,350,75%,8.00E-107,69.29,274735,NZ_RKKD01000008.1
"Shewanella psychrophila strain WP2 chromosome, complete genome",Shewanella psychrophila,350,350,75%,8.00E-107,69.66,6353406,NZ_CP014782.1
"Shewanella amazonensis SB2B, complete sequence",Shewanella amazonensis SB2B,350,350,75%,9.00E-107,70.04,4306142,NC_008700.1
"Shewanella loihica PV-4, complete sequence",Shewanella loihica PV-4,350,350,75%,9.00E-107,68.91,4602594,NC_009092.1
"Shewanella donghaensis strain LT17 chromosome, complete genome",Shewanella donghaensis,350,350,75%,1.00E-106,69.66,4912773,NZ_CP041783.1
"Shewanella marisflavi strain EP1 chromosome, complete genome",Shewanella marisflavi,350,350,75%,1.00E-106,68.91,4321452,NZ_CP022272.1
"Shewanella khirikhana strain TH2012 chromosome, complete genome",Shewanella khirikhana,350,350,75%,1.00E-106,70.04,4808629,NZ_CP020373.1
"Shewanella halifaxensis HAW-EB4, complete sequence",Shewanella halifaxensis HAW-EB4,349,349,75%,2.00E-106,70.04,5226917,NC_010334.1
"Shewanella canadensis strain HAW-EB2 NODE_4_length_519701_cov_47.5352, whole genome shotgun sequence",Shewanella canadensis,349,349,75%,2.00E-106,69.29,519701,NZ_RXNU01000004.1
"Shewanella japonica strain KCTC 22435 chromosome, complete genome",Shewanella japonica,349,349,75%,2.00E-106,69.29,4975677,NZ_CP020472.1
"Shewanella atlantica strain HAW-EB5 NODE_3_length_621446_cov_61.708037, whole genome shotgun sequence",Shewanella atlantica,349,349,75%,2.00E-106,68.91,621446,NZ_RXNV01000003.1
