Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Marinitoga piezophila KA3, complete sequence",Marinitoga piezophila KA3,183,183,90%,6.00E-52,39.15,2231407,NC_016751.1
"Tepiditoga spiralis strain sy52 chromosome, complete genome",Tepiditoga spiralis,180,180,89%,9.00E-51,37.45,2502404,NZ_AP018712.1
"Mesoaciditoga lauensis cd-1655R = DSM 25116 EK18DRAFT_scaffold00001.1_C, whole genome shotgun sequence",Mesoaciditoga lauensis cd-1655R = DSM 25116,179,179,89%,2.00E-50,37.35,174379,NZ_JQJI01000001.1
"Thermosipho atlanticus DSM 15807, whole genome shotgun sequence",Thermosipho atlanticus DSM 15807,179,179,89%,3.00E-50,38.55,449026,NZ_FQXN01000001.1
"Marinitoga hydrogenitolerans DSM 16785, whole genome shotgun sequence",Marinitoga hydrogenitolerans DSM 16785,178,178,90%,5.00E-50,37.21,35560,NZ_FQUI01000023.1
"Thermosipho globiformans strain JCM 15059 Tglo_010, whole genome shotgun sequence",Thermosipho globiformans,178,178,89%,5.00E-50,37.35,85820,NZ_BHXD01000010.1
"Mesotoga prima MesG1.Ag.4.2, complete sequence",Mesotoga prima MesG1.Ag.4.2,177,177,89%,5.00E-50,40.55,2974229,NC_017934.1
"Fervidobacterium pennivorans DSM 9078, complete sequence",Fervidobacterium pennivorans DSM 9078,177,226,89%,6.00E-50,38.1,2166381,NC_017095.1
"Thermosipho africanus TCF52B, complete sequence",Thermosipho africanus TCF52B,177,177,89%,9.00E-50,37.1,2016657,NC_011653.1
"Marinitoga lauensis strain LG1 unitig_3_quiver, whole genome shotgun sequence",Marinitoga lauensis,177,177,90%,9.00E-50,37.21,305609,NZ_QHLX01000005.1
"Thermosipho japonicus strain DSM 13481 Ga0415353_04, whole genome shotgun sequence",Thermosipho japonicus,177,177,89%,1.00E-49,37.1,196548,NZ_JACHEX010000004.1
"Mesotoga infera isolate MESINF1 chromosome MESINF, complete sequence",Mesotoga infera,175,175,96%,4.00E-49,37.96,2965660,NZ_LS974202.1
"Thermosipho melanesiensis strain 431 chromosome, complete genome",Thermosipho melanesiensis,175,175,89%,6.00E-49,36.69,1915344,NZ_CP007389.1
"Kosmotoga olearia TBF 19.5.1, complete sequence",Kosmotoga olearia TBF 19.5.1,174,174,89%,7.00E-49,40.7,2302126,NC_012785.1
"Fervidobacterium islandicum strain AW-1, complete genome",Fervidobacterium islandicum,174,174,88%,1.00E-48,37.96,2237377,NZ_CP014334.1
Fervidobacterium changbaicum strain CBS-1 chromosome,Fervidobacterium changbaicum,174,174,88%,1.00E-48,37.96,2266449,NZ_CP026721.1
"Thermosipho affectus strain ik275mar contig_2, whole genome shotgun sequence",Thermosipho affectus,174,174,84%,1.00E-48,39.48,285252,NZ_LBFC01000022.1
"Fervidobacterium thailandense strain FC2004 contig00022, whole genome shotgun sequence",Fervidobacterium thailandense,173,173,83%,3.00E-48,37.93,19979,NZ_LWAF01000022.1
"Athalassotoga saccharophila strain NAS-01 chromosome, complete genome",Athalassotoga saccharophila,173,173,89%,3.00E-48,36.8,1957762,NZ_AP019551.1
"Kosmotoga pacifica strain SLHLJ1 chromosome, complete genome",Kosmotoga pacifica,172,172,89%,5.00E-48,39.69,2169170,NZ_CP011232.1
"Kosmotoga arenicorallina S304 contig_4, whole genome shotgun sequence",Kosmotoga arenicorallina S304,172,172,89%,7.00E-48,39.3,350318,NZ_JFHK01000004.1
"Petrotoga mexicana DSM 14811 P.mexicana__contig_6, whole genome shotgun sequence",Petrotoga mexicana DSM 14811,171,171,89%,1.00E-47,36.86,115591,NZ_AZRN01000033.1
"Fervidobacterium nodosum Rt17-B1, complete sequence",Fervidobacterium nodosum Rt17-B1,170,170,87%,2.00E-47,37.4,1948941,NC_009718.1
"Petrotoga sibirica DSM 13575 contig_19, whole genome shotgun sequence",Petrotoga sibirica DSM 13575,170,170,89%,2.00E-47,36.47,70213,NZ_JAHC01000007.1
"Thermotoga caldifontis AZM44c09 chromosome, complete genome",Thermotoga caldifontis AZM44c09,170,170,89%,3.00E-47,37.01,2014912,NZ_AP014509.1
"Thermotoga neapolitana DSM 4359, complete sequence",Thermotoga neapolitana DSM 4359,170,170,89%,3.00E-47,35.86,1884562,NC_011978.1
"Defluviitoga tunisiensis isolate L3 chromosome I, complete sequence",Defluviitoga tunisiensis,170,170,89%,3.00E-47,36.47,2053097,NZ_LN824141.1
"Pseudothermotoga hypogea DSM 11164 = NBRC 106472, complete sequence",Pseudothermotoga hypogea DSM 11164 = NBRC 106472,170,170,89%,3.00E-47,37.8,2165165,NC_022795.1
"Petrotoga olearia DSM 13574 P._olearia__contig_9, whole genome shotgun sequence",Petrotoga olearia DSM 13574,169,169,89%,4.00E-47,36.47,343252,NZ_AZRL01000022.1
"Petrotoga mobilis SJ95, complete sequence",Petrotoga mobilis SJ95,169,169,89%,4.00E-47,36.47,2169548,NC_010003.1
"Pseudothermotoga thermarum DSM 5069, complete sequence",Pseudothermotoga thermarum DSM 5069,169,169,89%,4.00E-47,36.61,2039943,NC_015707.1
"Oceanotoga teriensis strain DSM 24906 Ga0215701_111, whole genome shotgun sequence",Oceanotoga teriensis,169,169,89%,4.00E-47,36.58,95346,NZ_QGGI01000011.1
"Thermotoga profunda AZM34c06 chromosome, complete genome",Thermotoga profunda AZM34c06,169,169,89%,8.00E-47,35.83,2187612,NZ_AP014510.1
"Thermotoga petrophila RKU-1, complete sequence",Thermotoga petrophila RKU-1,168,168,89%,1.00E-46,36.55,1823511,NC_009486.1
"Fervidobacterium gondwanense DSM 13020, whole genome shotgun sequence",Fervidobacterium gondwanense DSM 13020,168,168,86%,1.00E-46,37.66,490392,NZ_FRDJ01000001.1
"Petrotoga halophila DSM 16923 P-halophila_contig_201, whole genome shotgun sequence",Petrotoga halophila DSM 16923,167,167,89%,2.00E-46,35.69,11469,NZ_JALY01000038.1
"Petrotoga miotherma DSM 10691 P._miotherma_contig_13, whole genome shotgun sequence",Petrotoga miotherma DSM 10691,167,167,89%,2.00E-46,35.69,68803,NZ_AZRM01000005.1
"Thermotoga naphthophila RKU-10, complete sequence",Thermotoga naphthophila RKU-10,166,166,84%,6.00E-46,36.48,1809823,NC_013642.1
"Thermotoga maritima MSB8, complete sequence",Thermotoga maritima MSB8,166,166,84%,6.00E-46,36.48,1869644,NC_023151.1
"Pseudothermotoga lettingae TMO, complete sequence",Pseudothermotoga lettingae TMO,164,164,88%,4.00E-45,36.59,2135342,NC_009828.1
"Pseudothermotoga elfii DSM 9442 = NBRC 107921, complete sequence",Pseudothermotoga elfii DSM 9442 = NBRC 107921,164,164,88%,4.00E-45,36.59,2169860,NC_022792.1
"Geotoga petraea strain WG14, whole genome shotgun sequence",Geotoga petraea,155,155,88%,4.00E-42,34.27,237672,NZ_FMYV01000004.1
"Fervidobacterium gondwanense DSM 13020, whole genome shotgun sequence",Fervidobacterium gondwanense DSM 13020,49.7,49.7,52%,3.00E-06,27.45,234296,NZ_FRDJ01000002.1
"Mesoaciditoga lauensis cd-1655R = DSM 25116 EK18DRAFT_scaffold00028.28_C, whole genome shotgun sequence",Mesoaciditoga lauensis cd-1655R = DSM 25116,45.4,45.4,52%,8.00E-05,26.97,30927,NZ_JQJI01000030.1
,,,,,,,,
,,,,,,,,
,,,,,,,,
"		",,,,,,,,
