Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Nitrolancea hollandica Lb, whole genome shotgun sequence",Nitrolancea hollandica Lb,244,244,89%,1.00E-72,48.79,7467,NZ_CAGS01000279.1
"Thermomicrobium roseum DSM 5159, complete sequence",Thermomicrobium roseum DSM 5159,236,236,89%,4.00E-70,49.6,2003006,NC_011959.1
"Oscillochloris trichoides DG-6 OSCTscaffold_2, whole genome shotgun sequence",Oscillochloris trichoides DG-6,232,232,97%,1.00E-68,46.1,989072,NZ_GL501401.1
"Thermorudis peleae strain KI4 N675DRAFT_scf7180000000026_quiver.4_C, whole genome shotgun sequence",Thermorudis peleae,232,232,89%,2.00E-68,46.37,745267,NZ_JQMP01000004.1
"Chloroflexus islandicus strain isl-2 NODE_25_length_70839_cov_26.9006_ID_4301, whole genome shotgun sequence",Chloroflexus islandicus,229,229,97%,2.00E-67,46.1,70839,NZ_LWQS01000044.1
"Sphaerobacter thermophilus DSM 20745 chromosome 1, complete sequence",Sphaerobacter thermophilus DSM 20745,229,229,96%,2.00E-67,43.45,2741033,NC_013523.1
"Anaerolinea thermolimosa strain IMO-1, whole genome shotgun sequence",Anaerolinea thermolimosa,227,227,89%,9.00E-67,48.58,3442441,NZ_DF967965.1
"Thermosporothrix hazakensis strain SK20-1 sequence1, whole genome shotgun sequence",Thermosporothrix hazakensis,227,227,96%,1.00E-66,43.98,5600616,NZ_BIFX01000001.1
"Chloroflexus aggregans DSM 9485, complete sequence",Chloroflexus aggregans DSM 9485,226,226,97%,3.00E-66,45.72,4684931,NC_011831.1
"Thermogemmatispora carboxidivorans strain PM5 N688DRAFT_scf7180000000002_quiver_dupTrim_7460.1_C, whole genome shotgun sequence",Thermogemmatispora carboxidivorans,224,224,89%,1.00E-65,46.22,5607959,NZ_JNIM01000001.1
"Leptolinea tardivitalis strain YMTK-2, whole genome shotgun sequence",Leptolinea tardivitalis,224,224,89%,1.00E-65,47.58,716318,NZ_BBYA01000008.1
"Thermogemmatispora aurantia strain A1-2 sequence06, whole genome shotgun sequence",Thermogemmatispora aurantia,224,224,89%,1.00E-65,46.22,305600,NZ_BKZV01000006.1
"Thermogemmatispora tikiterensis strain T81 A4R35_scaffold00002, whole genome shotgun sequence",Thermogemmatispora tikiterensis,224,224,89%,1.00E-65,46.22,5961682,NZ_MCIF01000002.1
"Pelolinea submarina strain MO-CFX1 chromosome, complete genome",Pelolinea submarina,223,223,96%,2.00E-65,45.49,3519887,NZ_AP018437.1
