Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Scytonema tolypothrichoides VB-61278 scaffold_029, whole genome shotgun sequence",Scytonema tolypothrichoides VB-61278,128,128,81%,2.00E-31,33.99,27619,NZ_JXCA02000018.1
"Leptolyngbya valderiana BDU 20041 contig00185, whole genome shotgun sequence",Leptolyngbya valderiana BDU 20041,125,125,81%,2.00E-30,34.38,14605,NZ_LSYZ01000185.1
"Euhalothece natronophila Z-M001 plasmid pEu4, complete sequence",Euhalothece natronophila Z-M001,124,124,81%,4.00E-30,32.02,25471,NZ_CP042330.1
"Scytonema tolypothrichoides VB-61278 scaffold_014, whole genome shotgun sequence",Scytonema tolypothrichoides VB-61278,119,119,78%,2.00E-28,31.4,69344,NZ_JXCA02000011.1
"Sphaerospermopsis reniformis strain NIES-1949 sequence159, whole genome shotgun sequence",Sphaerospermopsis reniformis,119,119,76%,2.00E-28,32.35,12687,NZ_BJCE01000159.1
"Fremyella diplosiphon NIES-3275 plasmid plasmid06 DNA, complete genome",Fremyella diplosiphon NIES-3275,119,119,77%,4.00E-28,31.43,93764,NZ_AP018239.1
"Anabaena sphaerica FACHB-251 contig10, whole genome shotgun sequence",Anabaena sphaerica FACHB-251,118,118,76%,6.00E-28,31.93,185036,NZ_JACJQU010000010.1
"Calothrix membranacea FACHB-236 contig34, whole genome shotgun sequence",Calothrix membranacea FACHB-236,117,117,77%,1.00E-27,31.02,90775,NZ_JACJPX010000034.1
"Anabaena cylindrica PCC 7122 plasmid pANACY.03, complete sequence",Anabaena cylindrica PCC 7122,117,175,83%,1.00E-27,32.81,128780,NC_019773.1
"Nostoc foliaceum FACHB-393 contig48, whole genome shotgun sequence",Nostoc foliaceum FACHB-393,115,115,77%,4.00E-27,32.65,50246,NZ_JACJTD010000048.1
"Nostoc muscorum FACHB-395 contig169, whole genome shotgun sequence",Nostoc muscorum FACHB-395,115,115,77%,7.00E-27,31.69,8924,NZ_JACJSF010000169.1
"Nostoc foliaceum FACHB-393 contig50, whole genome shotgun sequence",Nostoc foliaceum FACHB-393,114,114,77%,2.00E-26,30.86,49173,NZ_JACJTD010000050.1
"Fremyella diplosiphon NIES-3275 plasmid plasmid11 DNA, complete genome",Fremyella diplosiphon NIES-3275,112,112,77%,4.00E-26,32.77,39300,NZ_AP018244.1
"Nostoc paludosum FACHB-159 contig74, whole genome shotgun sequence",Nostoc paludosum FACHB-159,112,112,77%,5.00E-26,30.45,25814,NZ_JACJTU010000074.1
"Limnothrix rosea IAM M-220 plasmid pNIES208a, whole genome shotgun sequence",Limnothrix rosea IAM M-220,112,112,83%,6.00E-26,28.29,73363,NZ_CM007612.1
"Oscillatoria nigro-viridis PCC 7112 plasmid pOSC7112.04, complete sequence",Oscillatoria nigro-viridis PCC 7112,112,112,77%,7.00E-26,30.45,74236,NC_019764.1
"Anabaena minutissima FACHB-250 contig91, whole genome shotgun sequence",Anabaena minutissima FACHB-250,112,112,77%,7.00E-26,30.45,5450,NZ_JACJRG010000091.1
"Calothrix desertica PCC 7102 Cal7102DRAFT_CDB.8, whole genome shotgun sequence",Calothrix desertica PCC 7102,112,176,78%,7.00E-26,31.43,2372181,NZ_VLKB01000009.1
"Nostoc flagelliforme CCNUN1 plasmid pNFSY08, complete sequence",Nostoc flagelliforme CCNUN1,112,329,79%,8.00E-26,30.16,805120,NZ_CP024793.1
"Planktothrix paucivesiculata PCC 9631 isolate BBR_PRJEB10994, whole genome shotgun sequence",Planktothrix paucivesiculata PCC 9631,111,111,76%,8.00E-26,33.06,4089,NZ_LR734999.1
"Planktothrix paucivesiculata PCC 9631 isolate BBR_PRJEB10994, whole genome shotgun sequence",Planktothrix paucivesiculata PCC 9631,111,111,76%,1.00E-25,33.06,314135,NZ_LR735021.1
"Calothrix brevissima NIES-22 plasmid plasmid7 DNA, complete genome",Calothrix brevissima NIES-22,111,111,77%,1.00E-25,31.02,25761,NZ_AP018214.1
