Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
ParA family protein [Halothiobacillus neapolitanus],Halothiobacillus neapolitanus,523,523,100%,0.0,100.00,259,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_012825176.1?report=genbank&log$=prottop&blast_rank=1&RID=6VN1S420016"",""WP_012825176.1"")"
ParA family protein [Guyparkeria halophila],Guyparkeria halophila,392,392,99%,6e-136,71.60,276,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_156575238.1?report=genbank&log$=prottop&blast_rank=2&RID=6VN1S420016"",""WP_156575238.1"")"
ParA family protein [Novimethylophilus kurashikiensis],Novimethylophilus kurashikiensis,324,324,95%,1e-109,60.08,256,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_109014930.1?report=genbank&log$=prottop&blast_rank=3&RID=6VN1S420016"",""WP_109014930.1"")"
ParA family protein [Sulfuriferula multivorans],Sulfuriferula multivorans,324,324,97%,1e-109,61.26,257,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_124703727.1?report=genbank&log$=prottop&blast_rank=4&RID=6VN1S420016"",""WP_124703727.1"")"
ParA family protein [Thiohalobacter thiocyanaticus],Thiohalobacter thiocyanaticus,323,323,98%,5e-109,60.94,270,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_125181295.1?report=genbank&log$=prottop&blast_rank=5&RID=6VN1S420016"",""WP_125181295.1"")"
ParA family protein [Pseudomethylobacillus aquaticus],Pseudomethylobacillus aquaticus,323,323,97%,6e-109,61.51,269,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_123236656.1?report=genbank&log$=prottop&blast_rank=6&RID=6VN1S420016"",""WP_123236656.1"")"
ParA family protein [Sulfuricella denitrificans],Sulfuricella denitrificans,321,321,97%,2e-108,61.90,252,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_023507064.1?report=genbank&log$=prottop&blast_rank=7&RID=6VN1S420016"",""WP_023507064.1"")"
ParA family protein [Sideroxydans lithotrophicus],Sideroxydans lithotrophicus,320,320,97%,4e-108,61.26,259,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_013031111.1?report=genbank&log$=prottop&blast_rank=8&RID=6VN1S420016"",""WP_013031111.1"")"
MULTISPECIES: AAA family ATPase [Methylovorus],Methylovorus,320,320,97%,9e-108,60.71,261,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_190274907.1?report=genbank&log$=prottop&blast_rank=9&RID=6VN1S420016"",""WP_190274907.1"")"
ParA family protein [Nitrosospira briensis],Nitrosospira briensis,319,319,97%,1e-107,61.11,269,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_025041510.1?report=genbank&log$=prottop&blast_rank=10&RID=6VN1S420016"",""WP_025041510.1"")"
MULTISPECIES: ParA family protein [Nitrosomonas],Nitrosomonas,318,318,97%,2e-107,58.89,254,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_011635409.1?report=genbank&log$=prottop&blast_rank=11&RID=6VN1S420016"",""WP_011635409.1"")"
ParA family protein [Nitrosospira multiformis],Nitrosospira multiformis,319,319,97%,2e-107,61.11,270,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_011382040.1?report=genbank&log$=prottop&blast_rank=12&RID=6VN1S420016"",""WP_011382040.1"")"
AAA family ATPase [Methylotenera versatilis],Methylotenera versatilis,317,317,99%,1e-106,58.17,262,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_190274952.1?report=genbank&log$=prottop&blast_rank=13&RID=6VN1S420016"",""WP_190274952.1"")"
AAA family ATPase [Methylotenera mobilis],Methylotenera mobilis,317,317,97%,1e-106,58.33,258,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_187287249.1?report=genbank&log$=prottop&blast_rank=14&RID=6VN1S420016"",""WP_187287249.1"")"
ParA family protein [Sulfurirhabdus autotrophica],Sulfurirhabdus autotrophica,316,316,96%,2e-106,59.20,256,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_124946816.1?report=genbank&log$=prottop&blast_rank=15&RID=6VN1S420016"",""WP_124946816.1"")"
ParA family protein [Amantichitinum ursilacus],Amantichitinum ursilacus,315,315,97%,5e-106,60.32,262,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_053938439.1?report=genbank&log$=prottop&blast_rank=16&RID=6VN1S420016"",""WP_053938439.1"")"
ParA family protein [Sulfuriferula plumbiphila],Sulfuriferula plumbiphila,314,314,97%,1e-105,60.08,257,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_147069521.1?report=genbank&log$=prottop&blast_rank=17&RID=6VN1S420016"",""WP_147069521.1"")"
ParA family protein [Ketobacter alkanivorans],Ketobacter alkanivorans,314,314,98%,2e-105,58.20,266,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_101894455.1?report=genbank&log$=prottop&blast_rank=18&RID=6VN1S420016"",""WP_101894455.1"")"
AAA family ATPase [Methylobacillus flagellatus],Methylobacillus flagellatus,313,313,97%,2e-105,60.32,263,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_195742222.1?report=genbank&log$=prottop&blast_rank=19&RID=6VN1S420016"",""WP_195742222.1"")"
ParA family protein [Sulfuritortus calidifontis],Sulfuritortus calidifontis,313,313,98%,4e-105,58.59,261,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_126463937.1?report=genbank&log$=prottop&blast_rank=20&RID=6VN1S420016"",""WP_126463937.1"")"
ParA family protein [Legionella yabuuchiae],Legionella yabuuchiae,312,312,98%,7e-105,59.06,257,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_133130172.1?report=genbank&log$=prottop&blast_rank=21&RID=6VN1S420016"",""WP_133130172.1"")"
ParA family protein [Legionella fallonii],Legionella fallonii,312,312,97%,8e-105,60.32,256,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_045097167.1?report=genbank&log$=prottop&blast_rank=22&RID=6VN1S420016"",""WP_045097167.1"")"
ParA family protein [Gallaecimonas pentaromativorans],Gallaecimonas pentaromativorans,312,312,98%,1e-104,55.29,266,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_050660530.1?report=genbank&log$=prottop&blast_rank=23&RID=6VN1S420016"",""WP_050660530.1"")"
ParA family protein [Aliidiomarina taiwanensis],Aliidiomarina taiwanensis,311,311,98%,2e-104,55.12,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_126756113.1?report=genbank&log$=prottop&blast_rank=24&RID=6VN1S420016"",""WP_126756113.1"")"
