Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Thermoflexus hugenholtzii JAD2, whole genome shotgun sequence",Thermoflexus hugenholtzii JAD2,242,242,90%,8.00E-72,48.46,37467,NZ_FYEK01000061.1
"Herpetosiphon geysericola strain DSM 7119 contig_1, whole genome shotgun sequence",Herpetosiphon geysericola,241,241,91%,2.00E-71,47.71,661236,NZ_LGKP01000025.1
"Herpetosiphon llansteffanensis strain CA052B NODE_19_length_115265_cov_37_539_ID_4178, whole genome shotgun sequence",Herpetosiphon llansteffanensis,240,240,91%,4.00E-71,48.47,115265,NZ_PUBZ01000080.1
"Thermogemmatispora onikobensis strain NBRC 111776, whole genome shotgun sequence",Thermogemmatispora onikobensis,239,239,90%,8.00E-71,49.81,66660,NZ_BDGT01000033.1
"Thermogemmatispora aurantia strain A1-2 sequence05, whole genome shotgun sequence",Thermogemmatispora aurantia,239,239,90%,8.00E-71,49.81,574905,NZ_BKZV01000005.1
"Thermogemmatispora carboxidivorans strain PM5 N688DRAFT_scf7180000000002_quiver_dupTrim_7460.1_C, whole genome shotgun sequence",Thermogemmatispora carboxidivorans,239,332,90%,8.00E-71,49.81,5607959,NZ_JNIM01000001.1
"Thermogemmatispora tikiterensis strain T81 A4R35_scaffold00002, whole genome shotgun sequence",Thermogemmatispora tikiterensis,239,239,90%,8.00E-71,49.81,5961682,NZ_MCIF01000002.1
"Thermosporothrix hazakensis strain SK20-1 sequence1, whole genome shotgun sequence",Thermosporothrix hazakensis,232,523,91%,2.00E-68,46.72,5600616,NZ_BIFX01000001.1
"Chloroflexus islandicus strain isl-2 NODE_1_length_331829_cov_30.0518_ID_6002, whole genome shotgun sequence",Chloroflexus islandicus,231,231,90%,4.00E-68,47.88,331829,NZ_LWQS01000038.1
"Tengunoibacter tsumagoiensis strain Uno3 sequence1, whole genome shotgun sequence",Tengunoibacter tsumagoiensis,230,312,90%,1.00E-67,46.33,5303167,NZ_BIFR01000001.1
"Chloroflexus aurantiacus Y-400-fl, complete sequence",Chloroflexus aurantiacus Y-400-fl,229,327,90%,2.00E-67,48.45,5268950,NC_012032.1
"Chloroflexus aggregans DSM 9485, complete sequence",Chloroflexus aggregans DSM 9485,229,522,90%,3.00E-67,47.49,4684931,NC_011831.1
"Ktedonobacter racemifer DSM 44963 strain SOSP1-21 Krac_Contig206, whole genome shotgun sequence",Ktedonobacter racemifer DSM 44963,227,227,90%,1.00E-66,46.72,3837106,NZ_ADVG01000001.1
"Oscillochloris trichoides DG-6 OSCTscaffold_3, whole genome shotgun sequence",Oscillochloris trichoides DG-6,227,227,90%,1.00E-66,45.74,322257,NZ_GL501402.1
"Tepidiforma bonchosmolovskayae strain 3753O chromosome, complete genome",Tepidiforma bonchosmolovskayae,226,276,91%,4.00E-66,46.18,2746948,NZ_CP042829.1
"Dictyobacter aurantiacus strain S27 sequence1, whole genome shotgun sequence",Dictyobacter aurantiacus,224,224,90%,1.00E-65,45.95,6133338,NZ_BIFQ01000001.1
"Dictyobacter alpinus strain Uno16 sequence1, whole genome shotgun sequence",Dictyobacter alpinus,224,224,90%,2.00E-65,45.56,5582978,NZ_BIFT01000001.1
"Dictyobacter kobayashii strain Uno11 sequence1, whole genome shotgun sequence",Dictyobacter kobayashii,223,223,90%,3.00E-65,45.56,6031971,NZ_BIFS01000001.1
"Sphaerobacter thermophilus DSM 20745 chromosome 2, complete sequence",Sphaerobacter thermophilus DSM 20745,217,352,90%,5.00E-63,47.49,1252731,NC_013524.1
"Roseiflexus castenholzii DSM 13941, complete sequence",Roseiflexus castenholzii DSM 13941,215,523,90%,1.00E-62,43.02,5723298,NC_009767.1
"Ardenticatena maritima strain 110S contig_3, whole genome shotgun sequence",Ardenticatena maritima,213,213,90%,1.00E-61,45.17,700437,NZ_LGKN01000005.1
"Nitrolancea hollandica Lb, whole genome shotgun sequence",Nitrolancea hollandica Lb,211,211,90%,3.00E-61,44.4,5132,NZ_CAGS01000341.1
"Ktedonosporobacter rubrisoli strain SCAWS-G2 chromosome, complete genome",Ktedonosporobacter rubrisoli,211,341,89%,5.00E-61,43.24,11340617,NZ_CP035758.1
"Thermobaculum terrenum ATCC BAA-798 chromosome 1, complete sequence",Thermobaculum terrenum ATCC BAA-798,210,362,90%,8.00E-61,43.41,2026947,NC_013525.1
"Thermomicrobium roseum DSM 5159, complete sequence",Thermomicrobium roseum DSM 5159,210,210,90%,1.00E-60,45.56,2003006,NC_011959.1
"Litorilinea aerophila strain ATCC BAA-2444 NODE_45_length_36724_cov_57.172255, whole genome shotgun sequence",Litorilinea aerophila,210,210,91%,1.00E-60,48.29,36724,NZ_VIGC01000045.1
"Thermobaculum terrenum ATCC BAA-798 chromosome 2, complete sequence",Thermobaculum terrenum ATCC BAA-798,206,206,89%,3.00E-59,44.53,1074634,NC_013526.1
"Anaerolinea thermophila UNI-1, complete sequence",Anaerolinea thermophila UNI-1,206,660,89%,4.00E-59,44.19,3532378,NC_014960.1
"Longilinea arvoryzae strain KOME-1, whole genome shotgun sequence",Longilinea arvoryzae,205,463,91%,5.00E-59,42.31,4145241,NZ_DF967972.1
"Caldilinea aerophila DSM 14535 = NBRC 104270, complete sequence",Caldilinea aerophila DSM 14535 = NBRC 104270,204,204,91%,1.00E-58,46.77,5144873,NC_017079.1
"Pelolinea submarina strain MO-CFX1 chromosome, complete genome",Pelolinea submarina,203,339,90%,2.00E-58,40.38,3519887,NZ_AP018437.1
"Anaerolinea thermolimosa strain IMO-1, whole genome shotgun sequence",Anaerolinea thermolimosa,202,553,90%,6.00E-58,43.8,3442441,NZ_DF967965.1
"Flexilinea flocculi strain TC1, whole genome shotgun sequence",Flexilinea flocculi,199,302,91%,9.00E-57,40.38,2313929,NZ_DF968181.1
"Ornatilinea apprima strain P3M-1 contig_8, whole genome shotgun sequence",Ornatilinea apprima,198,198,89%,1.00E-56,43.02,219703,NZ_LGCL01000026.1
