Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Ferrithrix thermotolerans DSM 19514, whole genome shotgun sequence",Ferrithrix thermotolerans DSM 19514,146,146,82%,3.00E-37,44.28,31884,NZ_FQUL01000027.1
"Acidimicrobium ferrooxidans DSM 10331, complete sequence",Acidimicrobium ferrooxidans DSM 10331,103,158,82%,2.00E-22,36.82,2158157,NC_013124.1
"Agromyces cerinus subsp. cerinus strain DSM 8595, whole genome shotgun sequence",Agromyces cerinus subsp. cerinus,92,92,72%,2.00E-18,35.23,22271,NZ_FSRJ01000007.1
"Hoyosella altamirensis strain DSM 45258 Ga0310548_11, whole genome shotgun sequence",Hoyosella altamirensis,88.6,88.6,79%,3.00E-17,30.77,21323,NZ_JACHWS010000011.1
"Mycobacterium syngnathidarum strain 27335 NODE_46_length_14079_cov_5.32444, whole genome shotgun sequence",Mycobacterium syngnathidarum,83.2,83.2,66%,2.00E-15,33.95,14079,NZ_MLCL01000018.1
"Rathayibacter rathayi strain DSM 7485 Ga0197511_11, whole genome shotgun sequence",Rathayibacter rathayi,76.3,129,71%,5.00E-13,32,2766417,NZ_VIVJ01000001.1
"Glutamicibacter protophormiae strain JCM 1973 sequence20, whole genome shotgun sequence",Glutamicibacter protophormiae,75.1,75.1,72%,1.00E-12,31.25,47689,NZ_BMPH01000020.1
"Streptomyces cinereus strain JCM 3040 sequence042, whole genome shotgun sequence",Streptomyces cinereus,73.6,73.6,72%,3.00E-12,32.39,13546,NZ_BMPS01000042.1
"Mycobacterium xenopi strain NCTC10042, whole genome shotgun sequence",Mycobacterium xenopi,68.9,68.9,65%,1.00E-10,32.7,15094,NZ_UATA01000005.1
"Agrococcus casei LMG 22410, whole genome shotgun sequence",Agrococcus casei LMG 22410,67.8,67.8,71%,4.00E-10,29.71,24745,NZ_FUHU01000033.1
"Tsukamurella pseudospumae strain JCM 15929 pw3201_c48, whole genome shotgun sequence",Tsukamurella pseudospumae,63.9,63.9,47%,3.00E-09,35.04,1005,NZ_LSRF01000042.1
"Bifidobacterium vespertilionis strain RST16 NODE_25_length_13374_cov_695.955839, whole genome shotgun sequence",Bifidobacterium vespertilionis,60.5,60.5,48%,9.00E-08,33.61,13374,NZ_RZNZ01000025.1
"Mycobacterium talmoniae strain MO-5499 PROKKA_contig000150, whole genome shotgun sequence",Mycobacterium talmoniae,60.5,60.5,67%,1.00E-07,29.88,13223,NZ_MLQM01000150.1
"Microbacterium murale strain CCM 7640 sequence06, whole genome shotgun sequence",Microbacterium murale,58.9,58.9,50%,3.00E-07,33.6,289829,NZ_BMCM01000006.1
"Streptomyces cinereus strain JCM 3040 sequence020, whole genome shotgun sequence",Streptomyces cinereus,58.5,58.5,72%,4.00E-07,27.27,43917,NZ_BMPS01000020.1
"Bifidobacterium rousetti strain RST9 NODE_7_length_196674_cov_110.385525, whole genome shotgun sequence",Bifidobacterium rousetti,58.5,58.5,50%,4.00E-07,33.6,196674,NZ_PEBH01000007.1
"Microbacterium wangchenii strain dk512 chromosome, complete genome",Microbacterium wangchenii,58.5,58.5,50%,5.00E-07,34.65,3828279,NZ_CP038266.1
"Bifidobacterium biavatii DSM 23969 contig14, whole genome shotgun sequence",Bifidobacterium biavatii DSM 23969,58.2,58.2,50%,5.00E-07,33.6,120322,NZ_JDUU01000014.1
"Bifidobacterium scaligerum strain TRE D NODE_3_length_293303_cov_53.687596, whole genome shotgun sequence",Bifidobacterium scaligerum,58.2,58.2,50%,5.00E-07,33.6,293303,NZ_PGLQ01000003.1
"Microbacterium saccharophilum strain NBRC 108778 sequence19, whole genome shotgun sequence",Microbacterium saccharophilum,57,57,63%,1.00E-06,30.32,41047,NZ_BKAH01000019.1
"Microbacterium trichothecenolyticum strain DSM 8608 RS82_contig000040, whole genome shotgun sequence",Microbacterium trichothecenolyticum,57,57,70%,2.00E-06,29.31,337772,NZ_JYJA01000040.1
"Microbacterium aquimaris strain JCM 15625 NODE_33_length_29046_cov_2.029317, whole genome shotgun sequence",Microbacterium aquimaris,56.6,56.6,63%,2.00E-06,30.97,29046,NZ_JADIJA010000033.1
"Microbacterium invictum strain DSM 19600 Ga0104583_01, whole genome shotgun sequence",Microbacterium invictum,56.6,56.6,63%,2.00E-06,30.97,3580260,NZ_JACIFH010000001.1
"Demequina maris strain NBRC 109392, whole genome shotgun sequence",Demequina maris,56.2,56.2,17%,3.00E-06,65.12,93876,NZ_BBLX01000011.1
"Demequina gelatinilytica strain NBRC 109390, whole genome shotgun sequence",Demequina gelatinilytica,56.2,56.2,17%,3.00E-06,65.12,158499,NZ_BBLV01000009.1
"Demequina subtropica strain NBRC 109396, whole genome shotgun sequence",Demequina subtropica,56.2,56.2,17%,3.00E-06,65.12,352294,NZ_BBMB01000011.1
"Demequina silvatica strain NBRC 109395, whole genome shotgun sequence",Demequina silvatica,55.8,55.8,17%,3.00E-06,62.79,822161,NZ_BBMA01000002.1
"Demequina phytophila strain NBRC 109391, whole genome shotgun sequence",Demequina phytophila,55.8,55.8,17%,3.00E-06,62.79,408902,NZ_BBLW01000003.1
"Demequina soli strain NBRC 109394, whole genome shotgun sequence",Demequina soli,55.8,55.8,17%,3.00E-06,62.79,165941,NZ_BBLZ01000005.1
"Ancrocorticia populi strain sk1b4 Scaffold1_1, whole genome shotgun sequence",Ancrocorticia populi,55.8,55.8,17%,4.00E-06,65.12,1080388,NZ_QETB01000001.1
"Demequina mangrovi strain DSM 24868, whole genome shotgun sequence",Demequina mangrovi,55.5,55.5,17%,4.00E-06,65.12,220361,NZ_FNZI01000005.1
"Arcanobacterium bovis strain C605018/01/1 11, whole genome shotgun sequence",Arcanobacterium bovis,55.5,55.5,17%,4.00E-06,58.14,11222,NZ_SJDT01000011.1
"Demequina iriomotensis strain NBRC 109399, whole genome shotgun sequence",Demequina iriomotensis,55.5,55.5,17%,4.00E-06,62.79,735729,NZ_BBME01000009.1
"Arcanobacterium haemolyticum strain NCTC8452 chromosome 1, complete sequence",Arcanobacterium haemolyticum,55.5,55.5,17%,4.00E-06,62.79,1988850,NZ_LS483427.1
"Janibacter alkaliphilus strain DSM 24723 Ga0104610_01, whole genome shotgun sequence",Janibacter alkaliphilus,55.5,55.5,17%,4.00E-06,67.44,3323277,NZ_JACBZX010000001.1
"Arcanobacterium ihumii strain Marseille-P5647, whole genome shotgun sequence",Arcanobacterium ihumii,55.5,55.5,17%,5.00E-06,58.14,347529,NZ_UWOS01000003.1
Mycobacterium kubicae strain NJH_MKUB1 plasmid pNJH01,Mycobacterium kubicae,55.5,55.5,47%,5.00E-06,37.93,97051,NZ_CP045082.1
"Mycobacterium paragordonae strain 49061 plasmid unnamed2, complete sequence",Mycobacterium paragordonae,55.5,55.5,47%,5.00E-06,37.93,144093,NZ_CP025548.1
"Arcanobacterium bovis strain C605018/01/1 13, whole genome shotgun sequence",Arcanobacterium bovis,55.1,55.1,17%,5.00E-06,58.14,7624,NZ_SJDT01000013.1
"Demequina aestuarii strain NBRC 106260, whole genome shotgun sequence",Demequina aestuarii,55.1,55.1,17%,5.00E-06,65.12,306182,NZ_BBRD01000002.1
"Rathayibacter oskolensis strain VKM Ac-2121, whole genome shotgun sequence",Rathayibacter oskolensis,55.1,55.1,17%,5.00E-06,62.79,472460,NZ_FXBM01000003.1
"Demequina rhizosphaerae strain NBRC 109397, whole genome shotgun sequence",Demequina rhizosphaerae,55.1,55.1,17%,6.00E-06,60.47,166381,NZ_BBMC01000009.1
"Frankia torreyi strain CpI1 FF36_scaffold_111.112, whole genome shotgun sequence",Frankia torreyi,54.7,54.7,18%,7.00E-06,58.7,8550,NZ_JYFN01000112.1
"Trueperella bernardiae strain UMB0116 .16933_8_48.3, whole genome shotgun sequence",Trueperella bernardiae,55.1,55.1,17%,7.00E-06,62.79,234570,NZ_PKHY01000003.1
"Demequina globuliformis strain NBRC 106266, whole genome shotgun sequence",Demequina globuliformis,54.7,54.7,17%,7.00E-06,62.79,1829653,NZ_BBRG01000001.1
"Streptomyces cinereus strain JCM 3040 sequence041, whole genome shotgun sequence",Streptomyces cinereus,54.7,54.7,61%,8.00E-06,27.33,13764,NZ_BMPS01000041.1
"Nesterenkonia sandarakina strain DSM 15664 Ga0415195_02, whole genome shotgun sequence",Nesterenkonia sandarakina,54.7,54.7,48%,9.00E-06,32.2,103098,NZ_JACCFQ010000002.1
"Corynebacterium striatum strain 1329_CAUR 967_9933_274231_45+,...,956_, whole genome shotgun sequence",Corynebacterium striatum,54.7,54.7,48%,9.00E-06,32.79,9933,NZ_JVTL01000015.1
"Flaviflexus massiliensis strain SIT4, whole genome shotgun sequence",Flaviflexus massiliensis,54.7,54.7,50%,9.00E-06,30.95,341641,NZ_LN831056.1
"Galliscardovia ingluviei strain CCM 8606 sequence06, whole genome shotgun sequence",Galliscardovia ingluviei,54.7,54.7,48%,9.00E-06,34.45,92946,NZ_BMDH01000006.1
"Nakamurella multipartita DSM 44233, complete sequence",Nakamurella multipartita DSM 44233,54.3,54.3,18%,1.00E-05,60,6060298,NC_013235.1
"Agromyces subbeticus DSM 16689 H521DRAFT_scaffold00003.3_C, whole genome shotgun sequence",Agromyces subbeticus DSM 16689,54.3,54.3,17%,1.00E-05,62.79,393995,NZ_ATXG01000003.1
"Haloactinobacterium album strain DSM 21368, whole genome shotgun sequence",Haloactinobacterium album,53.9,53.9,18%,1.00E-05,59.09,2284280,NZ_FNTX01000001.1
"Flaviflexus huanghaiensis strain CICC 10486 Scaffold1_1, whole genome shotgun sequence",Flaviflexus huanghaiensis,53.9,53.9,17%,1.00E-05,55.81,385849,NZ_JACFAK010000001.1
"Demequina salsinemoris strain NBRC 105323, whole genome shotgun sequence",Demequina salsinemoris,53.9,53.9,17%,1.00E-05,62.79,193544,NZ_BBQZ01000006.1
"Cryobacterium breve strain TMT4-23 C295, whole genome shotgun sequence",Cryobacterium breve,53.9,53.9,17%,1.00E-05,62.79,97275,NZ_SOGJ01000037.1
"Microcella alkaliphila strain AC4r Ga0310587_104, whole genome shotgun sequence",Microcella alkaliphila,53.9,53.9,17%,1.00E-05,62.79,309027,NZ_SGXT01000015.1
