Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Deinococcus yavapaiensis KR-236 strain DSM 18048 Ga0244513_116, whole genome shotgun sequence",Deinococcus yavapaiensis KR-236,64.7,64.7,80%,6.00E-11,27.41,123741,NZ_QJSX01000016.1
"Deinococcus detaillensis strain H1 H1_Contig40, whole genome shotgun sequence",Deinococcus detaillensis,62,62,68%,4.00E-10,29.65,16177,NZ_VKDB01000040.1
"Deinococcus detaillensis strain H1 H1_Contig38, whole genome shotgun sequence",Deinococcus detaillensis,58.2,58.2,48%,8.00E-09,36.44,17553,NZ_VKDB01000038.1
"Deinococcus fonticola strain FeSDHB5-19 NODE_30_length_41835_cov_12.693416, whole genome shotgun sequence",Deinococcus fonticola,57.8,57.8,48%,1.00E-08,36.44,41835,NZ_SMMH01000030.1
"Deinococcus frigens DSM 12807 Q322DRAFT_scaffold00101.101_C, whole genome shotgun sequence",Deinococcus frigens DSM 12807,57.4,57.4,48%,2.00E-08,36.44,6426,NZ_JNIW01000102.1
"Deinococcus metalli strain CGMCC 1.18437 sequence18, whole genome shotgun sequence",Deinococcus metalli,55.5,55.5,48%,7.00E-08,35.59,68982,NZ_BNAJ01000018.1
"Deinococcus sedimenti strain JCM 31405 sequence11, whole genome shotgun sequence",Deinococcus sedimenti,54.3,54.3,65%,1.00E-07,28.57,102649,NZ_BMQN01000011.1
"Deinococcus daejeonensis strain JCM 16918 sequence18, whole genome shotgun sequence",Deinococcus daejeonensis,52.4,52.4,65%,7.00E-07,29.56,62833,NZ_BMOR01000018.1
"Deinococcus radiotolerans strain JCM 19173 sequence30, whole genome shotgun sequence",Deinococcus radiotolerans,52.4,52.4,65%,8.00E-07,29.56,29524,NZ_BMPE01000030.1
"Deinococcus radiophilus strain ATCC 27603 NODE_22_length_43761_cov_177.947724, whole genome shotgun sequence",Deinococcus radiophilus,49.3,49.3,17%,7.00E-06,55.81,43761,NZ_RXPE01000022.1
