Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Fuerstia marisgermanicae strain NH11 chromosome, complete genome",Fuerstia marisgermanicae,100,238,72%,6.00E-23,35.96,8920478,NZ_CP017641.1
"Rubripirellula reticaptiva strain Poly59 Poly59_contig00004, whole genome shotgun sequence",Rubripirellula reticaptiva,98.6,98.6,75%,5.00E-22,33.7,1124872,NZ_SJPX01000004.1
"Rhodopirellula europaea SH398 cSH3980113, whole genome shotgun sequence",Rhodopirellula europaea SH398,98.2,98.2,75%,6.00E-22,34.24,21191,NZ_ANOF01000110.1
"Rhodopirellula bahusiensis strain SWK21 Rhodopirellula_bahusiensis_SWK21_contig_19, whole genome shotgun sequence",Rhodopirellula bahusiensis,97.1,97.1,75%,2.00E-21,33.7,164989,NZ_NIZW01000019.1
"Fimbriiglobus ruber strain SP5 contig01, whole genome shotgun sequence",Fimbriiglobus ruber,96.3,147,81%,3.00E-21,34.85,1571462,NZ_NIDE01000001.1
"Rhodopirellula islandica strain K833 K8330045, whole genome shotgun sequence",Rhodopirellula islandica,95.9,95.9,75%,4.00E-21,33.15,588433,NZ_LECT01000044.1
"Symmachiella dynata strain Mal52 chromosome, complete genome",Symmachiella dynata,92.8,140,81%,5.00E-20,32.32,7767809,NZ_CP036276.1
"Frigoriglobus tundricola strain PL17 chromosome, complete genome",Frigoriglobus tundricola,91.3,91.3,83%,2.00E-19,32.51,9832702,NZ_CP053452.2
Tuwongella immobilis isolate MBLW1 chromosome 1,Tuwongella immobilis,90.9,141,80%,2.00E-19,35.2,6690754,NZ_LR593887.1
"Lignipirellula cremea strain Pla85_3_4 chromosome, complete genome",Lignipirellula cremea,90.5,90.5,72%,3.00E-19,32.95,9565229,NZ_CP036433.1
"Blastopirellula marina DSM 3645 scf_1099463000750, whole genome shotgun sequence",Blastopirellula marina DSM 3645,85.5,85.5,71%,1.00E-17,33.14,2020175,NZ_CH672377.1
"Novipirellula galeiformis strain Pla52o Pla52o_contig00005, whole genome shotgun sequence",Novipirellula galeiformis,85.5,85.5,75%,1.00E-17,31.52,680367,NZ_SJPT01000005.1
Caulifigura coniformis strain Pan44 chromosome,Caulifigura coniformis,82.4,135,72%,1.00E-16,32.95,6761146,NZ_CP036271.1
Crateriforma conspicua strain Mal65 chromosome,Crateriforma conspicua,81.6,130,72%,2.00E-16,32.02,7182433,NZ_CP036319.1
Stieleria neptunia strain Enr13 chromosome,Stieleria neptunia,79,79,72%,2.00E-15,32.39,10975817,NZ_CP037423.1
"Rhodopirellula islandica strain K833 K8330018, whole genome shotgun sequence",Rhodopirellula islandica,58.5,58.5,37%,2.00E-08,34.78,497880,NZ_LECT01000017.1
"Alienimonas chondri strain LzC2 LzC2_90, whole genome shotgun sequence",Alienimonas chondri,55.8,55.8,17%,1.00E-07,65.12,20259,NZ_WTPX01000090.1
"Planctopirus ephydatiae strain spb1 chromosome, complete genome",Planctopirus ephydatiae,55.8,55.8,17%,1.00E-07,66.67,5214061,NZ_CP036299.1
"Planctopirus hydrillae strain JC280 Contig60, whole genome shotgun sequence",Planctopirus hydrillae,55.8,55.8,17%,1.00E-07,66.67,110291,NZ_LYDR01000137.1
"Planctopirus limnophila DSM 3776, complete sequence",Planctopirus limnophila DSM 3776,55.8,55.8,17%,1.00E-07,66.67,5423075,NC_014148.1
Rosistilla carotiformis strain Poly24 chromosome,Rosistilla carotiformis,55.1,55.1,17%,2.00E-07,65.12,7437004,NZ_CP036348.1
"Rosistilla oblonga strain CA51 chromosome, complete genome",Rosistilla oblonga,55.1,55.1,17%,2.00E-07,65.12,7250512,NZ_CP036292.1
Gimesia aquarii strain V144 chromosome,Gimesia aquarii,54.7,54.7,17%,4.00E-07,60.47,7397129,NZ_CP037920.1
Calycomorphotria hydatis strain V22 chromosome,Calycomorphotria hydatis,54.7,54.7,17%,4.00E-07,62.79,5163473,NZ_CP036316.1
Alienimonas californiensis strain CA12 chromosome,Alienimonas californiensis,53.9,103,21%,5.00E-07,62.79,5475215,NZ_CP036265.1
"Gimesia benthica strain E7 chromosome, complete genome",Gimesia benthica,53.9,53.9,17%,6.00E-07,60.47,8027492,NZ_CP043930.1
"Paludisphaera borealis strain PX4 chromosome, complete genome",Paludisphaera borealis,53.9,104,49%,6.00E-07,29.75,7497544,NZ_CP019082.1
"Gimesia chilikensis strain JC646 NODE_6_length_680724_cov_29.832197, whole genome shotgun sequence",Gimesia chilikensis,53.9,53.9,17%,6.00E-07,60.47,680802,NZ_VTSR01000006.1
Gimesia alba strain Pan241w chromosome,Gimesia alba,53.9,53.9,17%,6.00E-07,60.47,7769723,NZ_CP036269.1
Gimesia fumaroli strain Enr17 chromosome,Gimesia fumaroli,53.9,53.9,17%,7.00E-07,60.47,7704373,NZ_CP037452.1
Gimesia panareensis strain Enr10 chromosome,Gimesia panareensis,53.5,53.5,17%,8.00E-07,58.14,7828706,NZ_CP037421.1
"Gimesia maris strain CA11 chromosome, complete genome",Gimesia maris,53.1,53.1,17%,9.00E-07,58.14,7626893,NZ_CP036353.1
