Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Geoalkalibacter ferrihydriticus strain DSM 17813, whole genome shotgun sequence",Geoalkalibacter ferrihydriticus,274,274,89%,3.00E-82,52.14,561069,NZ_FNGU01000002.1
"Desulfuromonas acetexigens isolate DSM 1397, whole genome shotgun sequence",Desulfuromonas acetexigens,272,272,89%,2.00E-81,52.53,57301,NZ_FOJJ01000009.1
"Desulfuromonas soudanensis strain WTL chromosome, complete genome",Desulfuromonas soudanensis,270,270,89%,1.00E-80,51.75,3958620,NZ_CP010802.1
"Geobacter daltonii FRC-32, complete sequence",Geobacter daltonii FRC-32,267,267,90%,6.00E-80,50.58,4304501,NC_011979.1
"Desulfuromonas thiophila strain DSM 8987, whole genome shotgun sequence",Desulfuromonas thiophila,265,265,91%,4.00E-79,51.91,88012,NZ_FNAQ01000010.1
"Geoalkalibacter subterraneus strain Red1 chromosome, complete genome",Geoalkalibacter subterraneus,263,263,87%,1.00E-78,51.79,3475523,NZ_CP010311.1
"Pelobacter carbinolicus DSM 2380, complete sequence",Pelobacter carbinolicus DSM 2380,262,331,90%,3.00E-78,50,3665893,NC_007498.2
Syntrophotalea acetylenica strain DSM 3247 chromosome,Syntrophotalea acetylenica,262,333,89%,5.00E-78,50.97,3176363,NZ_CP015518.1
"Vulgatibacter incomptus strain DSM 27710 chromosome, complete genome",Vulgatibacter incomptus,261,518,90%,6.00E-78,50.19,4350553,NZ_CP012332.1
"Geopsychrobacter electrodiphilus DSM 16401 D888DRAFT_scaffold00001.1_C, whole genome shotgun sequence",Geopsychrobacter electrodiphilus DSM 16401,261,261,90%,1.00E-77,50.58,4241730,NZ_ARWE01000001.1
"Malonomonas rubra DSM 5091, whole genome shotgun sequence",Malonomonas rubra DSM 5091,260,260,89%,2.00E-77,49.42,148427,NZ_FQZT01000009.1
"Geobacter sulfurreducens PCA, complete sequence",Geobacter sulfurreducens PCA,258,258,90%,1.00E-76,49.81,3814128,NC_002939.5
"Desulfuromusa kysingii strain DSM 7343, whole genome shotgun sequence",Desulfuromusa kysingii,258,258,89%,1.00E-76,49.42,300127,NZ_FNQN01000005.1
"Pelobacter seleniigenes DSM 18267 N909DRAFT_scf7180000000030_quiver.2_C, whole genome shotgun sequence",Pelobacter seleniigenes DSM 18267,257,336,90%,2.00E-76,49.42,3076292,NZ_JOMG01000002.1
"Geomonas limicola strain Red745 sequence02, whole genome shotgun sequence",Geomonas limicola,257,257,90%,3.00E-76,49.03,768223,NZ_BLXZ01000002.1
"Deferrisoma camini S3R1 DefcaDRAFT_chromosome1.1_C, whole genome shotgun sequence",Deferrisoma camini S3R1,257,257,89%,3.00E-76,51.36,4236551,NZ_JAFN01000001.1
"Geomonas silvestris strain Red330 sequence02, whole genome shotgun sequence",Geomonas silvestris,256,256,90%,5.00E-76,49.03,610809,NZ_BLXX01000002.1
"Geobacter anodireducens strain PheS2 Geo-1_14, whole genome shotgun sequence",Geobacter anodireducens,256,256,90%,5.00E-76,49.81,82439,NZ_JADBFD010000014.1
"Geobacter soli strain GSS01 Scaffold1, whole genome shotgun sequence",Geobacter soli,256,256,90%,6.00E-76,49.81,3636051,NZ_JXBL01000001.1
"Geobacter metallireducens GS-15, complete sequence",Geobacter metallireducens GS-15,256,256,90%,7.00E-76,49.42,3997420,NC_007517.1
"Corallococcus coralloides DSM 2259, complete sequence",Corallococcus coralloides DSM 2259,256,545,91%,8.00E-76,50.19,10080619,NC_017030.1
"Corallococcus exercitus strain AB043B NODE_393_length_7740_cov_27.3887, whole genome shotgun sequence",Corallococcus exercitus,255,255,90%,9.00E-76,49.81,7740,NZ_JABFJV010000393.1
"Corallococcus interemptor strain AB047A NODE_36_71782_cov_89.8729_ID_7991, whole genome shotgun sequence",Corallococcus interemptor,255,255,90%,9.00E-76,50.19,71782,NZ_RAWM01000036.1
"Corallococcus carmarthensis strain CA043D NODE_112_30829_cov_30.3728_ID_10803, whole genome shotgun sequence",Corallococcus carmarthensis,255,255,90%,9.00E-76,49.81,30829,NZ_RAWE01000112.1
"Hyalangium minutum strain DSM 14724 contig_6, whole genome shotgun sequence",Hyalangium minutum,255,255,90%,1.00E-75,50.19,1037819,NZ_JMCB01000006.1
"Geobacter uraniireducens Rf4, complete sequence",Geobacter uraniireducens Rf4,255,331,90%,1.00E-75,49.81,5136364,NC_009483.1
"Corallococcus aberystwythensis strain AB050A NODE_111_29837_cov_23.2359_ID_11661, whole genome shotgun sequence",Corallococcus aberystwythensis,255,255,90%,1.00E-75,49.81,29837,NZ_RAWK01000111.1
"Corallococcus llansteffanensis strain CA051B NODE_82_23148_cov_14.2243, whole genome shotgun sequence",Corallococcus llansteffanensis,255,255,90%,1.00E-75,49.81,23148,NZ_RAWB01000082.1
"Corallococcus sicarius strain CA040B NODE_182_19269_cov_55.1441, whole genome shotgun sequence",Corallococcus sicarius,255,255,90%,1.00E-75,49.81,19269,NZ_RAWG01000182.1
"Corallococcus terminator strain CA054A NODE_88_30076_cov_28.3368, whole genome shotgun sequence",Corallococcus terminator,255,255,90%,1.00E-75,49.81,30076,NZ_RAVZ01000088.1
"Corallococcus praedator strain CA031B NODE_149_20387_cov_36.1974, whole genome shotgun sequence",Corallococcus praedator,255,255,90%,1.00E-75,49.81,20387,NZ_RAWI01000149.1
"Corallococcus exiguus strain DSM 14696 contig12, whole genome shotgun sequence",Corallococcus exiguus,254,254,90%,2.00E-75,49.81,319367,NZ_JAAAPK010000012.1
"Geobacter pickeringii strain G13 chromosome, complete genome",Geobacter pickeringii,254,254,90%,3.00E-75,50.58,3618700,NZ_CP009788.1
"Lujinxingia litoralis strain B210 B210_contig1, whole genome shotgun sequence",Lujinxingia litoralis,253,472,91%,4.00E-75,49.62,1149548,NZ_QHKO01000001.1
"Polyangium fumosum strain DSM 14668 Scaffold4_1, whole genome shotgun sequence",Polyangium fumosum,253,380,90%,4.00E-75,49.61,303106,NZ_SSMQ01000004.1
"Melittangium boletus DSM 14713 chromosome, complete genome",Melittangium boletus DSM 14713,253,468,90%,5.00E-75,50.19,9910441,NZ_CP022163.1
"Geobacter argillaceus strain ATCC BAA-1139 Ga0052872_scaffold00012.12, whole genome shotgun sequence",Geobacter argillaceus,253,253,90%,5.00E-75,49.03,139086,NZ_VLLN01000012.1
"Cystobacter ferrugineus strain Cbfe23 Contig_115, whole genome shotgun sequence",Cystobacter ferrugineus,253,253,90%,6.00E-75,50.19,408223,NZ_MPIN01000010.1
"Cystobacter fuscus DSM 2262 contig4, whole genome shotgun sequence",Cystobacter fuscus DSM 2262,253,253,90%,7.00E-75,50.19,726204,NZ_ANAH02000004.1
"Lujinxingia sediminis strain SEH01 Contig1_1, whole genome shotgun sequence",Lujinxingia sediminis,253,479,91%,7.00E-75,48.85,1484324,NZ_SADD01000001.1
Labilithrix luteola strain DSM 27648 chromosome,Labilithrix luteola,252,360,90%,2.00E-74,48.26,12191466,NZ_CP012333.1
"Archangium gephyra strain DSM 2261 Ga0070489_106, whole genome shotgun sequence",Archangium gephyra,252,252,90%,2.00E-74,50.58,800329,NZ_QUMU01000006.1
"Geothermobacter ehrlichii strain SS015 Ga0244669_109, whole genome shotgun sequence",Geothermobacter ehrlichii,251,251,90%,2.00E-74,49.61,122321,NZ_VNIB01000009.1
