Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Enorma burkinafasonensis strain Marseille-P9525, whole genome shotgun sequence",Enorma burkinafasonensis,254,254,90%,2.00E-74,47.88,168654,NZ_LR597504.1
"Enorma phocaeensis strain Marseille-P3242, whole genome shotgun sequence",Enorma phocaeensis,254,254,90%,4.00E-74,47.1,999098,NZ_LT891970.1
"Streptomyces cinereus strain JCM 3040 sequence001, whole genome shotgun sequence",Streptomyces cinereus,253,253,90%,6.00E-74,49.43,275644,NZ_BMPS01000001.1
"Collinsella bouchesdurhonensis strain Marseille-P3296, whole genome shotgun sequence",Collinsella bouchesdurhonensis,251,251,90%,3.00E-73,47.88,282095,NZ_LT699742.1
"Enorma massiliensis phI, whole genome shotgun sequence",Enorma massiliensis phI,250,250,90%,7.00E-73,46.72,1607085,NZ_HE978574.1
"Atopobium rimae ATCC 49626 contig00007, whole genome shotgun sequence",Atopobium rimae ATCC 49626,249,249,90%,1.00E-72,45.95,463785,NZ_ACFE01000002.1
"Collinsella tanakaei YIT 12063 supercont1.8, whole genome shotgun sequence",Collinsella tanakaei YIT 12063,248,248,90%,4.00E-72,45.95,146819,NZ_JH126474.1
"Raoultibacter timonensis strain Marseille-P3277, whole genome shotgun sequence",Raoultibacter timonensis,248,248,90%,6.00E-72,46.72,1025112,NZ_LT964681.1
"Atopobium parvulum DSM 20469, complete sequence",Atopobium parvulum DSM 20469,247,247,90%,1.00E-71,45.95,1543805,NC_013203.1
"Atopobium deltae strain DNF00019 Scaffold18, whole genome shotgun sequence",Atopobium deltae,246,246,90%,2.00E-71,45.56,40634,NZ_KQ959489.1
"Collinsella aerofaciens strain D40t1_170626_B5 NODE_2_length_170395_cov_28.8898, whole genome shotgun sequence",Collinsella aerofaciens,246,246,90%,2.00E-71,45.95,170395,NZ_JADPCJ010000002.1
"Raoultibacter massiliensis strain Marseille-P2849, whole genome shotgun sequence",Raoultibacter massiliensis,246,246,90%,2.00E-71,46.33,976122,NZ_LT962670.1
Olsenella timonensis strain Marseille-P2300 chromosome contig00001,Olsenella timonensis,246,420,90%,3.00E-71,44.02,2176737,NZ_LT635455.1
"Coriobacterium glomerans PW2, complete sequence",Coriobacterium glomerans PW2,245,245,90%,4.00E-71,45.17,2115681,NC_015389.1
"Collinsella provencensis strain Marseille-P3740, whole genome shotgun sequence",Collinsella provencensis,245,245,89%,4.00E-71,46.69,1731011,NZ_LT904908.1
"Olsenella provencensis strain Marseille-P2912T, whole genome shotgun sequence",Olsenella provencensis,245,332,90%,5.00E-71,45.95,2629075,NZ_LT671417.1
"Olsenella mediterranea strain Marseille-P3256T, whole genome shotgun sequence",Olsenella mediterranea,245,245,90%,6.00E-71,46.72,1272789,NZ_FPKO01000009.1
