Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Leptolyngbya ohadii IS1 Scaffold_1, whole genome shotgun sequence",Leptolyngbya ohadii IS1,204,204,96%,4.00E-58,46.1,4260588,NZ_NKFP01000006.1
"Phormidium ambiguum IAM M-71 NIES-2119_Scaffold_21, whole genome shotgun sequence",Phormidium ambiguum IAM M-71,200,200,96%,7.00E-57,43.28,103797,NZ_MRCE01000021.1
"Limnoraphis robusta CS-951 contig237, whole genome shotgun sequence",Limnoraphis robusta CS-951,195,195,96%,4.00E-55,42.54,21669,NZ_LATL02000237.1
"Phormidesmis priestleyi ULC007 NODE_29_length_53244_cov_98.499_ID_17773, whole genome shotgun sequence",Phormidesmis priestleyi ULC007,194,194,96%,8.00E-55,42.54,53244,NZ_PVWG01000029.1
"Lyngbya aestuarii BL J laest3.contig.16, whole genome shotgun sequence",Lyngbya aestuarii BL J,193,193,96%,2.00E-54,42.16,102024,NZ_AUZM01000017.1
"Thermosynechococcus vulcanus NIES-2134 chromosome, complete genome",Thermosynechococcus vulcanus NIES-2134,192,192,97%,4.00E-54,42.34,2571271,NZ_AP018202.1
Limnospira indica PCC 8005 chromosome,Limnospira indica PCC 8005,192,192,96%,6.00E-54,43.66,6228153,NZ_FO818640.1
"Limnospira fusiformis SAG 85.79 chromosome, complete genome",Limnospira fusiformis SAG 85.79,192,192,96%,6.00E-54,43.66,6423694,NZ_CP051185.1
"Thermosynechococcus elongatus BP-1, complete sequence",Thermosynechococcus elongatus BP-1,192,192,97%,6.00E-54,41.97,2593857,NC_004113.1
"Arthrospira platensis NIES-39, complete sequence, *** SEQUENCING IN PROGRESS ***",Arthrospira platensis NIES-39,192,192,96%,7.00E-54,43.66,6788435,NC_016640.1
"Phormidium willei BDU 130791 contig00025, whole genome shotgun sequence",Phormidium willei BDU 130791,191,191,96%,1.00E-53,43.28,44835,NZ_LSZA01000025.1
"Myxacorys almedinensis A NODE_14_length_137682_cov_12.987086, whole genome shotgun sequence",Myxacorys almedinensis A,191,191,96%,2.00E-53,42.91,137682,NZ_WVIE01000014.1
"Scytonema millei VB511283 NODE_1_length_1697822_cov_11.193, whole genome shotgun sequence",Scytonema millei VB511283,190,190,96%,2.00E-53,42.54,1697822,NZ_JTJC03000001.1
"Planktothrix mougeotii NIVA-CYA 405 scaffold00003, whole genome shotgun sequence",Planktothrix mougeotii NIVA-CYA 405,190,190,96%,3.00E-53,42.91,537235,NZ_KE734706.1
"Planktothrix rubescens NIVA-CYA 407 scaffold00001, whole genome shotgun sequence",Planktothrix rubescens NIVA-CYA 407,190,190,96%,3.00E-53,42.91,3157393,NZ_KE734717.1
"Planktothrix prolifica NIVA-CYA 540 scaffold00001, whole genome shotgun sequence",Planktothrix prolifica NIVA-CYA 540,190,190,96%,3.00E-53,42.91,5502793,NZ_KE734720.1
"Chroogloeocystis siderophila 5.2 s.c.1 NIES-1031_Scaffold_9, whole genome shotgun sequence",Chroogloeocystis siderophila 5.2 s.c.1,190,190,96%,3.00E-53,41.64,226564,NZ_MRCC01000009.1
"Kamptonema formosum PCC 6407 Oscil6407scaffold_6, whole genome shotgun sequence",Kamptonema formosum PCC 6407,190,190,96%,4.00E-53,42.54,2754513,NZ_KB235903.1
