Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Deinococcus deserti VCD115, complete sequence",Deinococcus deserti VCD115,57,57,54%,7.00E-08,27.92,2819842,NC_012526.1
"Deinococcus malanensis strain JCM 30331 sequence17, whole genome shotgun sequence",Deinococcus malanensis,55.8,55.8,54%,2.00E-07,27.41,102248,NZ_BMPP01000017.1
"Deinococcus aquiradiocola strain JCM 14371 sequence05, whole genome shotgun sequence",Deinococcus aquiradiocola,55.5,55.5,54%,3.00E-07,27.41,262354,NZ_BMOE01000005.1
"Deinococcus indicus strain DR1 Spades_3_len:240435, whole genome shotgun sequence",Deinococcus indicus,54.7,54.7,54%,4.00E-07,26.9,240435,NZ_NHMK01000014.1
"Deinococcus gobiensis I-0, complete sequence",Deinococcus gobiensis I-0,54.3,54.3,54%,6.00E-07,25.89,3137147,NC_017790.1
"Deinococcus knuensis strain JCM 31406 sequence06, whole genome shotgun sequence",Deinococcus knuensis,53.9,53.9,54%,6.00E-07,26.9,155622,NZ_BMQO01000006.1
"Deinococcus seoulensis strain JCM 31404 sequence18, whole genome shotgun sequence",Deinococcus seoulensis,53.9,53.9,54%,6.00E-07,26.9,88207,NZ_BMQM01000018.1
"Deinococcus maricopensis DSM 21211, complete sequence",Deinococcus maricopensis DSM 21211,53.9,53.9,54%,7.00E-07,27.41,3498530,NC_014958.1
"Deinococcus misasensis DSM 22328 Q371DRAFT_scaffold00005.5_C, whole genome shotgun sequence",Deinococcus misasensis DSM 22328,53.1,53.1,64%,1.00E-06,27.04,203335,NZ_JQKG01000005.1
"Deinococcus saudiensis strain CGMCC 1.15089 sequence015, whole genome shotgun sequence",Deinococcus saudiensis,53.1,53.1,54%,1.00E-06,26.9,111778,NZ_BMHJ01000015.1
"Deinococcus soli Cha et al. 2016 strain N5 chromosome, complete genome",Deinococcus soli Cha et al. 2016,53.1,53.1,54%,1.00E-06,26.9,3236984,NZ_CP011389.1
"Deinococcus grandis strain ATCC 43672, whole genome shotgun sequence",Deinococcus grandis,53.1,53.1,54%,1.00E-06,26.9,3250361,NZ_BCMS01000001.1
"Deinococcus actinosclerus strain BM2 chromosome, complete genome",Deinococcus actinosclerus,53.1,53.1,54%,1.00E-06,26.9,3264334,NZ_CP013910.1
