Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Eubacterium plexicaudatum ASF492 acLZb-supercont1.2, whole genome shotgun sequence",Eubacterium plexicaudatum ASF492,58.5,58.5,17%,2.00E-07,69.05,896384,NZ_KB822482.1
"Clostridium phoceensis strain GD3, whole genome shotgun sequence",Clostridium phoceensis,58.5,58.5,17%,3.00E-07,71.43,38098,NZ_LN866272.1
"Blautia glucerasea strain MSK.21.93 NODE_149_length_547_cov_212.789, whole genome shotgun sequence",Blautia glucerasea,55.5,55.5,17%,5.00E-07,61.9,547,NZ_JAAITU010000148.1
"Amphibacillus xylanus NBRC 15112, complete sequence",Amphibacillus xylanus NBRC 15112,57.4,57.4,17%,5.00E-07,69.77,2569486,NC_018704.1
"Papillibacter cinnamivorans DSM 12816, whole genome shotgun sequence",Papillibacter cinnamivorans DSM 12816,57,57,17%,7.00E-07,66.67,348713,NZ_FWXW01000004.1
"Pelagirhabdus alkalitolerans strain S5, whole genome shotgun sequence",Pelagirhabdus alkalitolerans,57,57,17%,8.00E-07,69.77,101046,NZ_FMYI01000008.1
"Hespellia stercorisuis DSM 15480, whole genome shotgun sequence",Hespellia stercorisuis DSM 15480,56.6,56.6,17%,9.00E-07,64.29,54868,NZ_FQZY01000029.1
"Anaerotignum faecicola strain KCTC 15736 Contigs04, whole genome shotgun sequence",Anaerotignum faecicola,56.6,56.6,17%,1.00E-06,66.67,255112,NZ_BHVZ01000004.1
"Catonella morbi ATCC 51271 Scfld3, whole genome shotgun sequence",Catonella morbi ATCC 51271,56.6,56.6,17%,1.00E-06,59.52,447361,NZ_KI535369.1
"Angelakisella massiliensis strain Marseille-P3217T, whole genome shotgun sequence",Angelakisella massiliensis,56.2,56.2,54%,1.00E-06,27.22,2993682,NZ_LT629945.1
"Dialister invisus DSM 15470 Scfld0, whole genome shotgun sequence",Dialister invisus DSM 15470,56.2,56.2,17%,1.00E-06,65.12,1895960,NZ_GG698602.1
"Ruminococcus bromii strain ATCC 27255 contig000016, whole genome shotgun sequence",Ruminococcus bromii,55.8,55.8,17%,2.00E-06,65.12,78270,NZ_NNSR01000016.1
"Blautia faecis strain MSK.11.45 NODE_48_length_28064_cov_115.968, whole genome shotgun sequence",Blautia faecis,55.8,55.8,17%,2.00E-06,61.9,28064,NZ_JAAIPV010000048.1
"Eubacterium ramulus strain 2789STDY5608891, whole genome shotgun sequence",Eubacterium ramulus,55.8,55.8,17%,2.00E-06,61.9,182032,NZ_CYYA01000006.1
"Mediterraneibacter butyricigenes strain KCTC 15684 Contigs1, whole genome shotgun sequence",Mediterraneibacter butyricigenes,55.8,55.8,17%,2.00E-06,61.9,2916053,NZ_BHGK01000001.1
"Anaerobutyricum soehngenii strain BSM-383-APC-4H seq31, whole genome shotgun sequence",Anaerobutyricum soehngenii,55.8,55.8,17%,2.00E-06,64.29,38822,NZ_VULP01000031.1
"Blautia stercoris strain 3_YM_SP_D4_24.mj T248_ctg004, whole genome shotgun sequence",Blautia stercoris,55.8,55.8,17%,2.00E-06,61.9,446773,NZ_JACRTP010000004.1
"Holdemanella biformis isolate MGYG-HGUT-01711, whole genome shotgun sequence",Holdemanella biformis,55.5,55.5,17%,2.00E-06,61.9,6912,NZ_CABLCL010000050.1
"Caproicibacter fermentans strain EA1 CAFE_52, whole genome shotgun sequence",Caproicibacter fermentans,55.5,55.5,17%,2.00E-06,62.79,322673,NZ_VWXL01000052.1
"Dorea longicatena strain 1001283B150210_160208_H7 NODE_14_length_71861_cov_56.1734, whole genome shotgun sequence",Dorea longicatena,55.5,55.5,17%,2.00E-06,61.9,71861,NZ_JADMOH010000014.1
"Anaerobutyricum hallii strain AM34-3LB AM34-3LB.Scaf16, whole genome shotgun sequence",Anaerobutyricum hallii,55.5,55.5,17%,2.00E-06,61.9,89226,NZ_QSID01000016.1
"Coprococcus phoceensis strain Marseille-P3062T, whole genome shotgun sequence",Coprococcus phoceensis,55.5,55.5,17%,2.00E-06,61.9,546010,NZ_FNWC01000006.1
"Blautia obeum strain AF29-2BH AF29-2BH.Scaf15, whole genome shotgun sequence",Blautia obeum,55.5,55.5,17%,2.00E-06,61.9,73918,NZ_QRSS01000015.1
"Thermolongibacillus altinsuensis strain DSM 24979 Ga0244693_102, whole genome shotgun sequence",Thermolongibacillus altinsuensis,55.5,55.5,17%,2.00E-06,65.12,273922,NZ_SLUL01000002.1
"Dorea formicigenerans ATCC 27755 D_formicigenerans-3.0.1_Cont399, whole genome shotgun sequence",Dorea formicigenerans ATCC 27755,55.5,55.5,17%,2.00E-06,61.9,957115,NZ_AAXA02000015.1
"Blautia wexlerae DSM 19850 K316DRAFT_scaffold00113.113_C, whole genome shotgun sequence",Blautia wexlerae DSM 19850,55.5,55.5,17%,2.00E-06,61.9,12040,NZ_AXVN01000113.1
"Parageobacillus thermantarcticus strain M1, whole genome shotgun sequence",Parageobacillus thermantarcticus,55.5,55.5,17%,3.00E-06,67.44,126168,NZ_FOJS01000004.1
"[Clostridium] innocuum strain ATCC 14501 chromosome, complete genome",[Clostridium] innocuum,55.5,55.5,18%,3.00E-06,62.22,4718906,NZ_CP048838.1
"Longicatena caecimuris strain DSM 29481 Ga0244710_120, whole genome shotgun sequence",Longicatena caecimuris,55.1,55.1,18%,3.00E-06,62.22,58892,NZ_SMBP01000020.1
"Holdemania massiliensis AP2, whole genome shotgun sequence",Holdemania massiliensis AP2,55.1,55.1,18%,3.00E-06,60,184928,NZ_HE998571.1
"Holdemania filiformis strain AF24-29 AF24-29.Scaf11, whole genome shotgun sequence",Holdemania filiformis,55.1,55.1,18%,3.00E-06,60,125842,NZ_QRUP01000011.1
"Erysipelothrix tonsillarum DSM 14972 B096DRAFT_scaffold_3.4, whole genome shotgun sequence",Erysipelothrix tonsillarum DSM 14972,55.1,55.1,18%,3.00E-06,62.22,346770,NZ_KB892380.1
"Erysipelothrix piscisicarius strain 15TAL0474 chromosome, complete genome",Erysipelothrix piscisicarius,55.1,55.1,18%,3.00E-06,62.22,1722938,NZ_CP034234.1
"Erysipelothrix rhusiopathiae strain NCTC8163 chromosome 1, complete sequence",Erysipelothrix rhusiopathiae,55.1,55.1,18%,3.00E-06,62.22,1770411,NZ_LR134439.1
"Catenibacillus scindens strain DSM 106146 Ga0415378_12, whole genome shotgun sequence",Catenibacillus scindens,55.1,55.1,17%,4.00E-06,61.9,111970,NZ_JACHFW010000012.1
"Ileibacterium valens strain NYU-BL-A3 NODE_98_length_10356_cov_223.651_ID_195, whole genome shotgun sequence",Ileibacterium valens,54.7,54.7,17%,4.00E-06,65.12,10356,NZ_MPJW01000221.1
"Aminicella lysinilytica strain DSM 28287 Ga0310519_156, whole genome shotgun sequence",Aminicella lysinilytica,54.7,54.7,16%,4.00E-06,70,9433,NZ_SNXO01000056.1
"Erysipelothrix inopinata strain DSM 15511 chromosome, complete genome",Erysipelothrix inopinata,54.7,54.7,18%,4.00E-06,60,2217552,NZ_CP060715.1
"Absiella dolichum DSM 3991 Scfld_02_14, whole genome shotgun sequence",Absiella dolichum DSM 3991,54.7,54.7,18%,4.00E-06,62.22,365126,NZ_DS483474.1
"Traorella massiliensis strain Marseille-P3110T, whole genome shotgun sequence",Traorella massiliensis,54.7,54.7,18%,4.00E-06,62.22,661371,NZ_LT629967.1
"Dielma fastidiosa strain AF31-27BH AF31-27BH.Scaf2, whole genome shotgun sequence",Dielma fastidiosa,54.7,54.7,18%,4.00E-06,62.22,679797,NZ_QRQL01000002.1
"Eubacterium coprostanoligenes strain ATCC 51222, whole genome shotgun sequence",Eubacterium coprostanoligenes,54.7,54.7,17%,5.00E-06,53.49,73285,NZ_FUWW01000011.1
