Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Nitratiruptor tergarcus DSM 16512, whole genome shotgun sequence",Nitratiruptor tergarcus DSM 16512,128,221,61%,2.00E-31,34.91,1894691,NZ_FWWZ01000001.1
"Nitratiruptor labii strain HRV44 chromosome 1, complete sequence",Nitratiruptor labii,124,224,67%,5.00E-30,31,1990315,NZ_AP022826.1
"Wolinella succinogenes DSM 1740, complete sequence",Wolinella succinogenes DSM 1740,114,114,63%,9.00E-27,32.31,2110355,NC_005090.1
"Hydrogenimonas thermophila strain EP1-55-1, whole genome shotgun sequence",Hydrogenimonas thermophila,110,110,56%,2.00E-25,34.33,127898,NZ_FOXB01000004.1
"Sulfurospirillum cavolei strain UCH003 chromosome, complete genome",Sulfurospirillum cavolei,108,108,61%,1.00E-24,32.27,2698323,NZ_AP014724.1
"Campylobacter showae strain ATCC 51146, complete genome",Campylobacter showae,108,108,56%,1.00E-24,34.62,2097887,NZ_CP012544.1
"Sulfuricurvum kujiense DSM 16994, complete sequence",Sulfuricurvum kujiense DSM 16994,108,108,59%,2.00E-24,31.78,2574824,NC_014762.1
"Sulfurospirillum deleyianum DSM 6946, complete sequence",Sulfurospirillum deleyianum DSM 6946,107,107,62%,2.00E-24,31.08,2306351,NC_013512.1
"Campylobacter rectus strain ATCC 33238 chromosome, complete genome",Campylobacter rectus,107,107,63%,3.00E-24,31.7,2571679,NZ_CP012543.1
"Campylobacter curvus strain ATCC 35224 chromosome, complete genome",Campylobacter curvus,105,105,63%,1.00E-23,31.14,1974918,NZ_CP053826.1
"Sulfurospirillum multivorans DSM 12446 chromosome, complete genome",Sulfurospirillum multivorans DSM 12446,105,105,61%,1.00E-23,31.36,3175729,NZ_CP007201.1
"Sulfurospirillum halorespirans DSM 13726 strain PCE-M2 chromosome, complete genome",Sulfurospirillum halorespirans DSM 13726,105,105,61%,2.00E-23,31.36,3029840,NZ_CP017111.1
"Sulfurospirillum barnesii SES-3, complete sequence",Sulfurospirillum barnesii SES-3,104,104,61%,2.00E-23,30.45,2510109,NC_018002.1
