Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Thiomonas bhubaneswarensis strain DSM 18181 DSM_18181_01, whole genome shotgun sequence",Thiomonas bhubaneswarensis,184,184,83%,5.00E-51,52.71,542382,NZ_LIPV01000001.1
"Thiomonas arsenitoxydans, complete sequence",Thiomonas arsenitoxydans,184,184,83%,7.00E-51,52.71,3738778,NC_014145.1
"Thiomonas intermedia strain ATCC 15466 chromosome, complete genome",Thiomonas intermedia,178,286,83%,5.00E-49,52.22,3301026,NZ_CP020046.1
"Acidovorax facilis isolate 7, whole genome shotgun sequence",Acidovorax facilis,173,173,82%,2.00E-47,50.99,100843,NZ_CAIGKB010000019.1
"Nitrosomonas halophila strain Nm1, whole genome shotgun sequence",Nitrosomonas halophila,170,170,82%,5.00E-46,47.52,116980,NZ_FNOY01000001.1
"Sulfuriferula thiophila strain mst6 mst6_28, whole genome shotgun sequence",Sulfuriferula thiophila,168,168,83%,2.00E-45,50.74,152141,NZ_BHGL01000028.1
"Sulfuriferula nivalis strain SGTM chromosome, complete genome",Sulfuriferula nivalis,167,167,83%,3.00E-45,49.75,3361892,NZ_AP021881.1
"Nitrosomonas nitrosa strain Nm146, whole genome shotgun sequence",Nitrosomonas nitrosa,166,166,82%,1.00E-44,47.32,65086,NZ_FOUF01000020.1
"Nitrosomonas eutropha strain Nm38, whole genome shotgun sequence",Nitrosomonas eutropha,164,164,82%,3.00E-44,47.03,162797,NZ_FNNM01000005.1
"Sulfurirhabdus autotrophica strain DSM 100309 Ga0244719_102, whole genome shotgun sequence",Sulfurirhabdus autotrophica,164,164,83%,6.00E-44,50.25,242094,NZ_SMCO01000002.1
"Thiobacillus thioparus DSM 505 B058DRAFT_scaffold_0.1, whole genome shotgun sequence",Thiobacillus thioparus DSM 505,158,209,83%,5.00E-42,45.54,1101984,NZ_KB891316.1
"Sulfuriferula multivorans strain TTN NODE_50, whole genome shotgun sequence",Sulfuriferula multivorans,152,152,83%,6.00E-40,51.72,49568,NZ_BGOW01000050.1
"Sulfuriferula plumbiphila strain Gro7 chromosome, complete genome",Sulfuriferula plumbiphila,152,238,83%,8.00E-40,51.72,3452774,NZ_AP021884.1
"Tepidimonas thermarum strain AA-1 Tepi_ther_18, whole genome shotgun sequence",Tepidimonas thermarum,149,149,82%,6.00E-39,46.04,46041,NZ_VJOL01000018.1
"Tepidimonas alkaliphilus strain YIM 72238 Tepi_alka_8, whole genome shotgun sequence",Tepidimonas alkaliphilus,145,145,81%,1.00E-37,46,128600,NZ_VJNB01000008.1
"Sulfuritortus calidifontis strain J1A chromosome, complete genome",Sulfuritortus calidifontis,140,345,83%,1.00E-35,46.53,2720636,NZ_AP018721.1
"Tepidimonas ignava strain DSM 12034 Ga0244665_101, whole genome shotgun sequence",Tepidimonas ignava,138,138,81%,4.00E-35,43.35,285766,NZ_SMAH01000001.1
"Tepidimonas charontis strain SPSP-6 Tepi_SPSP6_8, whole genome shotgun sequence",Tepidimonas charontis,127,127,82%,2.00E-31,40.3,79297,NZ_VJON01000008.1
"Tepidimonas taiwanensis strain VT154-175 contig238_0, whole genome shotgun sequence",Tepidimonas taiwanensis,124,124,82%,4.00E-30,39.9,13413,NZ_JTKY01000020.1
"Tepidimonas aquatica strain CLN-1 Tepidimonas_aquatica_26, whole genome shotgun sequence",Tepidimonas aquatica,123,123,81%,6.00E-30,42.86,36122,NZ_VJNA01000026.1
"Serpentinomonas raichei strain A1 chromosome, complete genome",Serpentinomonas raichei,109,109,82%,6.00E-25,41.29,2574013,NZ_AP014568.1
"Serpentinomonas mccroryi strain B1 chromosome, complete genome",Serpentinomonas mccroryi,101,151,82%,3.00E-22,39.5,2606868,NZ_AP014569.1
"Azoarcus olearius strain DQS-4 chromosome, complete genome",Azoarcus olearius,100,100,83%,6.00E-22,35.27,4451751,NZ_CP016210.1
"Azoarcus communis SWub3 = DSM 12120 strain SWub3 NODE_7_length_217902_cov_140.618285, whole genome shotgun sequence",Azoarcus communis SWub3 = DSM 12120,98.6,98.6,84%,3.00E-21,36.54,217902,NZ_QKOE01000007.1
"Noviherbaspirillum soli strain SUEMI10 Scaffold3_1, whole genome shotgun sequence",Noviherbaspirillum soli,97.4,97.4,83%,7.00E-21,29.27,321061,NZ_JACYOX010000003.1
"Paraburkholderia acidophila strain ATCC 31433 plasmid pATCC31433, complete sequence",Paraburkholderia acidophila,96.7,96.7,82%,1.00E-20,30.39,153349,NZ_CP020740.1
"Thauera aminoaromatica S2 Cont93, whole genome shotgun sequence",Thauera aminoaromatica S2,95.9,95.9,81%,2.00E-20,34.65,15680,NZ_AMXD01000093.1
"Thauera phenylacetica B4P Cont170, whole genome shotgun sequence",Thauera phenylacetica B4P,94.7,94.7,81%,4.00E-20,34,9081,NZ_AMXF01000170.1
"Acidovorax caeni strain R-24608, whole genome shotgun sequence",Acidovorax caeni,94.4,94.4,67%,6.00E-20,31.33,58422,NZ_FPBX01000025.1
"Cupriavidus pauculus strain CCUG 12507 contig_0000060, whole genome shotgun sequence",Cupriavidus pauculus,94.4,94.4,82%,8.00E-20,31.68,12333,NZ_VZOW01000060.1
"Macromonas bipunctata strain DSM 12705 DSM12705_1_(paired)_trimmed_(paired)_contig_50, whole genome shotgun sequence",Macromonas bipunctata,93.6,93.6,82%,1.00E-19,29.7,30178,NZ_NWBQ01000050.1
"Thauera phenolivorans strain ZV1C Scaffold5, whole genome shotgun sequence",Thauera phenolivorans,93.2,93.2,81%,2.00E-19,35.5,620134,NZ_MBFM01000005.1
"Paraburkholderia azotifigens strain NF 2-5-3 2, whole genome shotgun sequence",Paraburkholderia azotifigens,93.2,93.2,82%,2.00E-19,31.86,3220671,NZ_VOQS01000003.1
"Bordetella petrii, complete sequence",Bordetella petrii,93.2,233,72%,2.00E-19,38.86,5287950,NC_010170.1
"Thauera butanivorans NBRC 103042, whole genome shotgun sequence",Thauera butanivorans NBRC 103042,92.8,92.8,81%,3.00E-19,33.5,141879,NZ_BCUG01000011.1
"Paraburkholderia franconis strain CNPSo 3157 scaffold1.1, whole genome shotgun sequence",Paraburkholderia franconis,92.4,92.4,82%,3.00E-19,31.37,367602,NZ_WHNP01000001.1
"Paraburkholderia phymatum STM815 chromosome 2, complete sequence",Paraburkholderia phymatum STM815,92.4,92.4,82%,3.00E-19,31.86,2697374,NC_010623.1
"Acidovorax facilis isolate 7, whole genome shotgun sequence",Acidovorax facilis,92.4,92.4,72%,3.00E-19,36.93,117660,NZ_CAIGKB010000016.1
"Paraburkholderia rhynchosiae strain LMG 27174 isolate LMG 27174, whole genome shotgun sequence",Paraburkholderia rhynchosiae,92.4,92.4,82%,4.00E-19,31.37,227167,NZ_CADIJZ010000013.1
"Paraburkholderia bonniea strain BbQS859, whole genome shotgun sequence",Paraburkholderia bonniea,92.4,92.4,82%,4.00E-19,30.88,922806,NZ_QPEQ01000002.1
"Paraburkholderia piptadeniae strain STM7183, whole genome shotgun sequence",Paraburkholderia piptadeniae,92,92,82%,4.00E-19,31.37,210345,NZ_CYGY02000046.1
"Thauera humireducens strain SgZ-1, complete genome",Thauera humireducens,92,92,81%,5.00E-19,34,4171754,NZ_CP014646.1
"Paraburkholderia kururiensis M130 Bk_4, whole genome shotgun sequence",Paraburkholderia kururiensis M130,91.7,91.7,82%,5.00E-19,31.37,540795,NZ_ANSK01000004.1
"Paraburkholderia lacunae strain S27 S27_8, whole genome shotgun sequence",Paraburkholderia lacunae,91.7,91.7,82%,6.00E-19,31.37,318227,NZ_QHKS01000008.1
"Paraburkholderia phenazinium strain LMG 2247, whole genome shotgun sequence",Paraburkholderia phenazinium,91.7,91.7,82%,6.00E-19,30.88,868734,NZ_FNCJ01000001.1
"Paraburkholderia monticola strain JC2948 10.BMJC2948.1.00009, whole genome shotgun sequence",Paraburkholderia monticola,91.7,91.7,82%,6.00E-19,30.88,205360,NZ_LRBG01000009.1
"Paraburkholderia unamae strain SCZa-39 Ga0215850_113, whole genome shotgun sequence",Paraburkholderia unamae,91.7,91.7,82%,6.00E-19,31.37,311771,NZ_QEOB01000013.1
"Paraburkholderia terrae strain DSM 17804 chromosome 2, complete sequence",Paraburkholderia terrae,91.7,91.7,82%,6.00E-19,31.37,3002289,NZ_CP026112.1
"Paraburkholderia terricola strain mHS1 chromosome mHS1_B, complete sequence",Paraburkholderia terricola,91.7,91.7,82%,6.00E-19,31.37,3058868,NZ_CP024942.1
"Paraburkholderia atlantica strain JPY171 Ga0400095_08, whole genome shotgun sequence",Paraburkholderia atlantica,91.7,91.7,82%,6.00E-19,30.88,423807,NZ_JACHDF010000008.1
"Paraburkholderia tuberum strain DUS833, whole genome shotgun sequence",Paraburkholderia tuberum,91.7,91.7,82%,6.00E-19,30.88,2956712,NZ_FNKX01000002.1
"Roseateles aquatilis strain CCUG 48205 Scaffold20_1, whole genome shotgun sequence",Roseateles aquatilis,91.7,91.7,72%,6.00E-19,36.93,61437,NZ_NIOF01000022.1
"Thauera linaloolentis 47Lol = DSM 12138 Q393DRAFT_scaffold00020.20_C, whole genome shotgun sequence",Thauera linaloolentis 47Lol = DSM 12138,91.7,91.7,81%,6.00E-19,34,71727,NZ_JHYR01000021.1
"Acidovorax wautersii strain DSM 27981, whole genome shotgun sequence",Acidovorax wautersii,91.7,91.7,72%,6.00E-19,36.93,420673,NZ_FONX01000004.1
"Delftia lacustris strain FDAARGOS_890 chromosome, complete genome",Delftia lacustris,91.7,405,72%,6.00E-19,36.93,6904082,NZ_CP065748.1
"Delftia tsuruhatensis strain CM13, complete genome",Delftia tsuruhatensis,91.7,410,72%,6.00E-19,36.93,7195716,NZ_CP017420.1
"Paraburkholderia phenoliruptrix strain LMG 22037 isolate LMG 22037, whole genome shotgun sequence",Paraburkholderia phenoliruptrix,91.7,91.7,82%,6.00E-19,31.37,423478,NZ_CADIKB010000002.1
"Paraburkholderia diazotrophica strain LMG 26031, whole genome shotgun sequence",Paraburkholderia diazotrophica,91.7,91.7,82%,6.00E-19,31.37,413401,NZ_FNYE01000003.1
"Noviherbaspirillum malthae strain CC-AFH3 Scaffold93_1, whole genome shotgun sequence",Noviherbaspirillum malthae,91.7,91.7,81%,6.00E-19,28.86,17232,NZ_JACYXF010000098.1
"Paraburkholderia sprentiae WSM5005 chromosome 2, complete sequence",Paraburkholderia sprentiae WSM5005,91.7,91.7,82%,6.00E-19,30.88,2657711,NZ_CP017562.1
"Paraburkholderia caribensis strain 852011 chromosome 2, complete sequence",Paraburkholderia caribensis,91.7,91.7,82%,7.00E-19,31.37,2895821,NZ_CP015959.1
"Paraburkholderia ultramafica strain LMG 28614 isolate LMG 28614, whole genome shotgun sequence",Paraburkholderia ultramafica,91.3,91.3,82%,9.00E-19,30.88,21991,NZ_CADIKK010000059.1
"Paraburkholderia ribeironis strain STM 7296, whole genome shotgun sequence",Paraburkholderia ribeironis,91.3,91.3,82%,9.00E-19,30.88,67543,NZ_CYGX02000053.1
