Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Deinococcus aerolatus strain JCM 15442 sequence05, whole genome shotgun sequence",Deinococcus aerolatus,211,211,91%,5.00E-61,45.21,242030,NZ_BMOL01000005.1
"Deinococcus humi strain DSM 27939 Ga0416732_19, whole genome shotgun sequence",Deinococcus humi,211,211,90%,8.00E-61,44.79,96973,NZ_JACHFL010000019.1
"Deinococcus radiopugnans ATCC 19172 strain DSM 12027 Ga0416726_06, whole genome shotgun sequence",Deinococcus radiopugnans ATCC 19172,210,210,91%,9.00E-61,45.21,197178,NZ_JACHEW010000006.1
"Deinococcus swuensis strain DY59 chromosome, complete genome",Deinococcus swuensis,210,210,91%,1.00E-60,45.21,3531443,NZ_CP010028.1
"Deinococcus marmoris DSM 12784 Q319DRAFT_scaffold00018.18_C, whole genome shotgun sequence",Deinococcus marmoris DSM 12784,209,209,91%,4.00E-60,44.83,53619,NZ_JNIV01000019.1
"Deinococcus frigens DSM 12807 Q322DRAFT_scaffold00014.14_C, whole genome shotgun sequence",Deinococcus frigens DSM 12807,208,208,91%,7.00E-60,44.83,87623,NZ_JNIW01000014.1
"Deinococcus aerophilus strain JCM 15443 sequence14, whole genome shotgun sequence",Deinococcus aerophilus,207,207,90%,1.00E-59,44.02,82794,NZ_BMOM01000014.1
"Deinococcus murrayi DSM 11303 H565DRAFT_scaffold00014.14_C, whole genome shotgun sequence",Deinococcus murrayi DSM 11303,206,206,90%,3.00E-59,44.4,73004,NZ_AXWT01000022.1
"Deinococcus misasensis DSM 22328 Q371DRAFT_scaffold00028.28_C, whole genome shotgun sequence",Deinococcus misasensis DSM 22328,205,205,90%,7.00E-59,43.24,52463,NZ_JQKG01000030.1
"Deinococcus koreensis strain SJW1-2 SJW1-2_contig1, whole genome shotgun sequence",Deinococcus koreensis,204,268,90%,9.00E-59,44.02,3524480,NZ_PPPD01000001.1
"Deinococcus radiodurans strain R1 dM1 chromosome I, complete sequence",Deinococcus radiodurans,204,266,90%,2.00E-58,43.63,2647538,NZ_CP031500.1
