Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Aliidiomarina taiwanensis strain AIT1 contig1, whole genome shotgun sequence",Aliidiomarina taiwanensis,364,364,90%,1.00E-112,67.95,928937,NZ_PIPQ01000001.1
"Parashewanella tropica strain MEBiC05444 chromosome, complete genome",Parashewanella tropica,361,470,90%,9.00E-112,69.5,4222191,NZ_CP037951.1
"Shewanella chilikensis strain JC5 NODE_62_length_24056_cov_2583.67, whole genome shotgun sequence",Shewanella chilikensis,361,361,90%,1.00E-111,69.5,24056,NZ_NIJM01000062.1
"Shewanella carassii strain 08MAS2251 scaffold28, whole genome shotgun sequence",Shewanella carassii,361,361,90%,1.00E-111,69.5,67714,NZ_NGVS01000022.1
"Shewanella indica strain KJW27 scaffold41, whole genome shotgun sequence",Shewanella indica,361,361,90%,1.00E-111,69.5,85939,NZ_NIJK01000053.1
"Shewanella fidelis ATCC BAA-318 L884DRAFT_scaffold00017.17_C, whole genome shotgun sequence",Shewanella fidelis ATCC BAA-318,360,360,90%,2.00E-111,69.88,80386,NZ_JADX01000023.1
"Ferrimonas sediminum strain DSM 23317, whole genome shotgun sequence",Ferrimonas sediminum,360,360,90%,2.00E-111,69.5,63604,NZ_FNEM01000022.1
"Shewanella algae strain RQs-106 chromosome, complete genome",Shewanella algae,360,485,90%,2.00E-111,69.11,4990025,NZ_CP046378.1
"Ferrimonas kyonanensis DSM 18153 H598DRAFT_scaffold00021.21_C, whole genome shotgun sequence",Ferrimonas kyonanensis DSM 18153,360,360,90%,2.00E-111,69.5,67922,NZ_AUDJ01000033.1
"Shewanella canadensis strain HAW-EB2 NODE_17_length_103828_cov_66.4916, whole genome shotgun sequence",Shewanella canadensis,360,360,90%,2.00E-111,69.5,103828,NZ_RXNU01000017.1
"Shewanella piezotolerans WP3, complete sequence",Shewanella piezotolerans WP3,359,480,90%,4.00E-111,69.5,5396476,NC_011566.1
"Shewanella waksmanii ATCC BAA-643 L865DRAFT_scaffold00021.21_C, whole genome shotgun sequence",Shewanella waksmanii ATCC BAA-643,359,359,90%,5.00E-111,69.5,76079,NZ_JAEH01000024.1
"Shewanella psychrophila strain WP2 chromosome, complete genome",Shewanella psychrophila,359,534,90%,5.00E-111,69.5,6353406,NZ_CP014782.1
"Shewanella violacea DSS12, complete sequence",Shewanella violacea DSS12,358,481,90%,8.00E-111,69.11,4962103,NC_014012.1
"Shewanella colwelliana strain CSB03KR, whole genome shotgun sequence",Shewanella colwelliana,358,358,90%,9.00E-111,68.73,116564,NZ_MCBT01000030.1
"Parashewanella curva strain C51 Scaffold8, whole genome shotgun sequence",Parashewanella curva,358,358,90%,1.00E-110,69.88,94944,NZ_ML014760.1
"Shewanella woodyi ATCC 51908, complete sequence",Shewanella woodyi ATCC 51908,358,478,91%,2.00E-110,69.11,5935403,NC_010506.1
"Shewanella hanedai strain JCM 20706 NODE_22_length_110565_cov_46.775705, whole genome shotgun sequence",Shewanella hanedai,357,357,90%,2.00E-110,69.11,110565,NZ_VKGK01000022.1
"Shewanella algidipiscicola isolate 1Shewanella algidipiscicola H1, whole genome shotgun sequence",Shewanella algidipiscicola,357,357,90%,2.00E-110,68.73,173288,NZ_OXJV01000020.1
"Shewanella marina JCM 15074, whole genome shotgun sequence",Shewanella marina JCM 15074,357,357,90%,3.00E-110,69.5,52268,NZ_BALM01000030.1
"Shewanella sediminis HAW-EB3, complete sequence",Shewanella sediminis HAW-EB3,357,488,90%,4.00E-110,68.34,5517674,NC_009831.1
"Shewanella atlantica strain HAW-EB5 NODE_16_length_91678_cov_95.223380, whole genome shotgun sequence",Shewanella atlantica,357,357,90%,4.00E-110,68.73,91678,NZ_RXNV01000016.1
"Shewanella baltica OS678, complete sequence",Shewanella baltica OS678,356,474,90%,8.00E-110,68.34,5288069,NC_016901.1
"Shewanella halifaxensis HAW-EB4, complete sequence",Shewanella halifaxensis HAW-EB4,355,475,90%,1.00E-109,69.11,5226917,NC_010334.1
"Idiomarina xiamenensis 10-D-4 contig9, whole genome shotgun sequence",Idiomarina xiamenensis 10-D-4,355,355,90%,2.00E-109,67.57,137756,NZ_AMRG01000009.1
"Ferrimonas balearica DSM 9799, complete sequence",Ferrimonas balearica DSM 9799,355,553,90%,2.00E-109,68.73,4279159,NC_014541.1
"Aliidiomarina celeris strain F3105 NODE_2_length_705659_cov_132.880741, whole genome shotgun sequence",Aliidiomarina celeris,354,354,90%,3.00E-109,67.57,705659,NZ_QMIL01000002.1
"Alteromonas ponticola strain MYP5, whole genome shotgun sequence",Alteromonas ponticola,354,354,91%,3.00E-109,66.41,429788,NZ_JAATNW010000006.1
"Vibrio thalassae strain CECT8203, whole genome shotgun sequence",Vibrio thalassae,354,354,90%,4.00E-109,67.95,77683,NZ_OANU01000037.1
"Vibrio barjaei strain 3062 NODE_9_length_79965_cov_58.221771, whole genome shotgun sequence",Vibrio barjaei,354,354,90%,4.00E-109,67.95,80017,NZ_LQXO02000064.1
"Vibrio mediterranei strain QT6D1 chromosome 1, complete sequence",Vibrio mediterranei,354,464,90%,4.00E-109,67.95,3613787,NZ_CP018308.1
"Vibrio hangzhouensis strain CGMCC 1.7062, whole genome shotgun sequence",Vibrio hangzhouensis,354,354,90%,4.00E-109,67.95,82515,NZ_FNVG01000021.1
"Shewanella gelidii strain JCM 30804 sequence12, whole genome shotgun sequence",Shewanella gelidii,353,353,91%,4.00E-109,67.94,95102,NZ_BMPZ01000012.1
"Pseudidiomarina planktonica strain CGMCC 1.12458, whole genome shotgun sequence",Pseudidiomarina planktonica,353,479,90%,4.00E-109,67.18,1833841,NZ_FXWH01000001.1
"Shewanella xiamenensis strain DCB2-1 NODE_25_length_77078_cov_297.359, whole genome shotgun sequence",Shewanella xiamenensis,353,353,90%,4.00E-109,67.95,77078,NZ_QFLG01000025.1
Shewanella decolorationis strain sesselensis chromosome,Shewanella decolorationis,353,476,91%,5.00E-109,67.95,4719362,NZ_CP037898.1
"Shewanella bicestrii strain JAB-1 chromosome, complete genome",Shewanella bicestrii,353,478,90%,5.00E-109,67.95,4800597,NZ_CP022358.1
"Shewanella pealeana ATCC 700345, complete sequence",Shewanella pealeana ATCC 700345,353,478,90%,5.00E-109,69.11,5174581,NC_009901.1
"Shewanella frigidimarina NCIMB 400, complete sequence",Shewanella frigidimarina NCIMB 400,353,466,90%,5.00E-109,68.34,4845257,NC_008345.1
"Pseudidiomarina atlantica strain MCCC 1A10513 contig12, whole genome shotgun sequence",Pseudidiomarina atlantica,353,353,90%,5.00E-109,66.8,200942,NZ_JPIN01000012.1
"Shewanella corallii strain A687 scaffold_19, whole genome shotgun sequence",Shewanella corallii,353,353,90%,5.00E-109,68.34,61170,NZ_QRCS01000032.1
"Shewanella fodinae strain 74A Ga0227276_106, whole genome shotgun sequence",Shewanella fodinae,353,353,91%,5.00E-109,67.18,131696,NZ_SLWF01000006.1
