Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Persephonella hydrogeniphila strain DSM 15103, whole genome shotgun sequence",Persephonella hydrogeniphila,231,231,96%,8.00E-69,46.47,114428,NZ_OBEI01000005.1
"Hydrogenothermus marinus strain VM1 Ga0180987_103, whole genome shotgun sequence",Hydrogenothermus marinus,228,281,97%,6.00E-68,46.1,199910,NZ_REFO01000012.1
"Hydrogenobacter hydrogenophilus strain DSM 2913, whole genome shotgun sequence",Hydrogenobacter hydrogenophilus,223,223,89%,3.00E-66,44.8,96051,NZ_OBEN01000005.1
"Sulfurihydrogenibium subterraneum DSM 15120 Q385DRAFT_scaffold00004.4_C, whole genome shotgun sequence",Sulfurihydrogenibium subterraneum DSM 15120,223,223,89%,5.00E-66,46.59,214416,NZ_JHUV01000011.1
"Hydrogenobacter thermophilus TK-6, complete sequence",Hydrogenobacter thermophilus TK-6,222,222,89%,8.00E-66,45.6,1742932,NC_017161.1
"Sulfurihydrogenibium azorense Az-Fu1, complete sequence",Sulfurihydrogenibium azorense Az-Fu1,221,221,89%,1.00E-65,46.18,1640877,NC_012438.1
"Hydrogenivirga caldilitoris strain DSM 16510 Ga0104484_11, whole genome shotgun sequence",Hydrogenivirga caldilitoris,221,280,90%,1.00E-65,46.83,1753429,NZ_RCCJ01000001.1
"Persephonella marina EX-H1, complete sequence",Persephonella marina EX-H1,220,220,89%,4.00E-65,47.6,1930284,NC_012440.1
"Desulfurobacterium indicum strain K6013 contig22_length_24619_cov_1216.68, whole genome shotgun sequence",Desulfurobacterium indicum,218,218,89%,2.00E-64,46.22,24619,NZ_MOEN01000022.1
"Balnearium lithotrophicum strain DSM 16304, whole genome shotgun sequence",Balnearium lithotrophicum,218,218,90%,3.00E-64,45.63,47972,NZ_FXTM01000015.1
"Thermovibrio ammonificans HB-1, complete sequence",Thermovibrio ammonificans HB-1,216,216,89%,1.00E-63,44.44,1682965,NC_014926.1
"Desulfurobacterium thermolithotrophum strain HR11 Seq9, whole genome shotgun sequence",Desulfurobacterium thermolithotrophum,216,216,89%,1.00E-63,45.2,65782,NZ_WSXR01000009.1
"Thermocrinis albus DSM 14484, complete sequence",Thermocrinis albus DSM 14484,214,214,90%,6.00E-63,45.02,1500577,NC_013894.1
"Desulfurobacterium atlanticum strain DSM 15668, whole genome shotgun sequence",Desulfurobacterium atlanticum,214,214,89%,7.00E-63,44.62,53685,NZ_FZOB01000010.1
"Thermovibrio guaymasensis strain DSM 15521 Ga0215661_11, whole genome shotgun sequence",Thermovibrio guaymasensis,213,261,90%,1.00E-62,45.24,982355,NZ_RBIE01000001.1
"Phorcysia thermohydrogeniphila strain DSM 24425 Ga0181007_12, whole genome shotgun sequence",Phorcysia thermohydrogeniphila,211,211,89%,4.00E-62,43.6,327746,NZ_SMFV01000002.1
"Sulfurihydrogenibium yellowstonense SS-5 gcontig_192, whole genome shotgun sequence",Sulfurihydrogenibium yellowstonense SS-5,211,211,97%,5.00E-62,45.35,5163,NZ_ABZS01000121.1
Thermocrinis minervae strain DSM 19557 chromosome I,Thermocrinis minervae,210,273,97%,1.00E-61,41.11,1367921,NZ_LT670846.1
"Thermocrinis ruber strain DSM 23557 chromosome, complete genome",Thermocrinis ruber,207,207,89%,9.00E-61,45.2,1521037,NZ_CP007028.1
"Aquifex aeolicus VF5, complete sequence",Aquifex aeolicus VF5,207,268,93%,1.00E-60,41.76,1551335,NC_000918.1
"Desulfurobacterium atlanticum strain DSM 15668, whole genome shotgun sequence",Desulfurobacterium atlanticum,45.1,45.1,87%,4.00E-05,26.72,136120,NZ_FZOB01000005.1
,,,,,,,,
,,,,,,,,
,,,,,,,,
"		",,,,,,,,
