Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Deinococcus misasensis DSM 22328 Q371DRAFT_scaffold00028.28_C, whole genome shotgun sequence",Deinococcus misasensis DSM 22328,123,123,81%,2.00E-30,32.67,52463,NZ_JQKG01000030.1
"Deinococcus irradiatisoli strain 17bor-2 chromosome, complete genome",Deinococcus irradiatisoli,123,123,81%,3.00E-30,33.73,3052043,NZ_CP029494.1
"Deinococcus cellulosilyticus NBRC 106333 = KACC 11606 strain NBRC 106333 sequence36, whole genome shotgun sequence",Deinococcus cellulosilyticus NBRC 106333 = KACC 11606,121,121,81%,1.00E-29,32.27,48925,NZ_BJXB01000036.1
"Deinococcus roseus strain JCM 14370 sequence08, whole genome shotgun sequence",Deinococcus roseus,120,120,81%,3.00E-29,31.87,196348,NZ_BMOD01000008.1
"Deinococcus alpinitundrae strain LMG 24283 NODE_9_length_174072_cov_204.968742, whole genome shotgun sequence",Deinococcus alpinitundrae,118,118,81%,1.00E-28,32,174072,NZ_WXZL01000009.1
"Deinococcus radiodurans strain R1 dM1 chromosome I, complete sequence",Deinococcus radiodurans,117,164,81%,2.00E-28,33.73,2647538,NZ_CP031500.1
"Deinococcus indicus strain DR1 Masurca_173_len:57264, whole genome shotgun sequence",Deinococcus indicus,117,117,83%,2.00E-28,34.48,57264,NZ_NHMK01000018.1
"Deinococcus peraridilitoris DSM 19664, complete sequence",Deinococcus peraridilitoris DSM 19664,117,117,81%,3.00E-28,33.46,3881839,NC_019793.1
"Deinococcus seoulensis strain JCM 31404 sequence21, whole genome shotgun sequence",Deinococcus seoulensis,117,117,81%,3.00E-28,34.77,80297,NZ_BMQM01000021.1
"Deinococcus deserti VCD115, complete sequence",Deinococcus deserti VCD115,117,117,81%,3.00E-28,33.73,2819842,NC_012526.1
"Deinococcus reticulitermitis strain CGMCC 1.10218, whole genome shotgun sequence",Deinococcus reticulitermitis,117,117,81%,3.00E-28,33.73,142580,NZ_FNZA01000008.1
"Deinococcus yavapaiensis KR-236 strain DSM 18048 Ga0244513_112, whole genome shotgun sequence",Deinococcus yavapaiensis KR-236,117,117,81%,3.00E-28,31.87,164237,NZ_QJSX01000012.1
"Deinococcus arenae strain JCM 31047 sequence09, whole genome shotgun sequence",Deinococcus arenae,117,117,81%,4.00E-28,33.73,192679,NZ_BMQG01000009.1
"Deinococcus murrayi DSM 11303 H565DRAFT_scaffold00014.14_C, whole genome shotgun sequence",Deinococcus murrayi DSM 11303,117,117,81%,4.00E-28,32.41,73004,NZ_AXWT01000022.1
"Deinococcus radiotolerans strain JCM 19173 sequence04, whole genome shotgun sequence",Deinococcus radiotolerans,116,116,81%,6.00E-28,33.73,209108,NZ_BMPE01000004.1
"Deinococcus actinosclerus strain BM2 chromosome, complete genome",Deinococcus actinosclerus,116,164,81%,7.00E-28,33.73,3264334,NZ_CP013910.1
"Deinococcus ficus strain CC-FR2-10 chromosome, complete genome",Deinococcus ficus,115,115,81%,9.00E-28,33.73,2801970,NZ_CP021081.1
"Deinococcus daejeonensis strain JCM 16918 sequence06, whole genome shotgun sequence",Deinococcus daejeonensis,115,115,81%,2.00E-27,33.73,191320,NZ_BMOR01000006.1
"Deinococcus malanensis strain JCM 30331 sequence22, whole genome shotgun sequence",Deinococcus malanensis,115,115,81%,2.00E-27,34.13,45815,NZ_BMPP01000022.1
"Deinococcus wulumuqiensis R12 1, whole genome shotgun sequence",Deinococcus wulumuqiensis R12,114,219,81%,2.00E-27,33.73,2857585,NZ_JADAKQ010000001.1
"Deinobacterium chartae strain DSM 21458 Ga0415239_08, whole genome shotgun sequence",Deinobacterium chartae,113,113,81%,5.00E-27,32.28,195622,NZ_JACHHG010000008.1
"Deinococcus aerophilus strain JCM 15443 sequence14, whole genome shotgun sequence",Deinococcus aerophilus,113,113,80%,6.00E-27,34.14,82794,NZ_BMOM01000014.1
"Deinococcus koreensis strain SJW1-2 SJW1-2_contig1, whole genome shotgun sequence",Deinococcus koreensis,113,113,81%,6.00E-27,33.73,3524480,NZ_PPPD01000001.1
"Deinococcus pimensis DSM 21231 DeipiDRAFT_Scaffold27.20, whole genome shotgun sequence",Deinococcus pimensis DSM 21231,112,112,81%,1.00E-26,32.27,429922,NZ_KI912633.1
"Deinococcus proteolyticus MRP, complete sequence",Deinococcus proteolyticus MRP,112,112,81%,1.00E-26,33.86,2147060,NC_015161.1
"Deinococcus metalli strain CGMCC 1.18437 sequence13, whole genome shotgun sequence",Deinococcus metalli,112,112,81%,2.00E-26,32.81,137636,NZ_BNAJ01000013.1
"Deinococcus planocerae strain XY-FW106 contig10, whole genome shotgun sequence",Deinococcus planocerae,111,111,81%,3.00E-26,33.86,122321,NZ_PNOR01000010.1
"Deinococcus frigens DSM 12807 Q322DRAFT_scaffold00014.14_C, whole genome shotgun sequence",Deinococcus frigens DSM 12807,110,110,80%,5.00E-26,32.93,87623,NZ_JNIW01000014.1
"Deinococcus radiophilus strain ATCC 27603 NODE_22_length_43761_cov_177.947724, whole genome shotgun sequence",Deinococcus radiophilus,110,110,81%,5.00E-26,32.67,43761,NZ_RXPE01000022.1
"Deinococcus detaillensis strain H1 H1_Contig1, whole genome shotgun sequence",Deinococcus detaillensis,110,110,81%,8.00E-26,30.68,487005,NZ_VKDB01000001.1
"Deinococcus fonticola strain FeSDHB5-19 NODE_6_length_141933_cov_42.128584, whole genome shotgun sequence",Deinococcus fonticola,109,109,83%,2.00E-25,30.86,141933,NZ_SMMH01000006.1
Deinococcus metallilatus strain MA1002 chromosome,Deinococcus metallilatus,106,106,81%,1.00E-24,32.95,3062136,NZ_CP038512.1
"Deinococcus saudiensis strain CGMCC 1.15089 sequence020, whole genome shotgun sequence",Deinococcus saudiensis,106,106,81%,1.00E-24,32.54,82975,NZ_BMHJ01000020.1
"Deinococcus ruber strain JCM 31311 sequence005, whole genome shotgun sequence",Deinococcus ruber,106,106,81%,2.00E-24,29.48,196955,NZ_BMQL01000005.1
"Deinococcus budaensis strain DSM 101791 Ga0416733_16, whole genome shotgun sequence",Deinococcus budaensis,105,105,81%,2.00E-24,31.76,84409,NZ_JACHFN010000016.1
"Deinococcus aquiradiocola strain JCM 14371 sequence21, whole genome shotgun sequence",Deinococcus aquiradiocola,105,105,81%,2.00E-24,30.28,44534,NZ_BMOE01000021.1
"Deinococcus geothermalis DSM 11300, complete sequence",Deinococcus geothermalis DSM 11300,104,104,81%,6.00E-24,32.68,2467205,NC_008025.1
"Deinococcus budaensis strain DSM 101791 Ga0416733_13, whole genome shotgun sequence",Deinococcus budaensis,96.7,96.7,78%,3.00E-21,32.26,112823,NZ_JACHFN010000013.1
"Deinococcus aquatilis DSM 23025 F561DRAFT_scaffold00063.63, whole genome shotgun sequence",Deinococcus aquatilis DSM 23025,96.3,96.3,78%,5.00E-21,32.13,23139,NZ_KB899757.1
"Deinococcus piscis strain CGMCC 1.18439 sequence015, whole genome shotgun sequence",Deinococcus piscis,95.5,95.5,77%,9.00E-21,32.38,61613,NZ_BNAL01000015.1
"Deinococcus sedimenti strain JCM 31405 sequence15, whole genome shotgun sequence",Deinococcus sedimenti,92.8,92.8,78%,6.00E-20,31.87,58525,NZ_BMQN01000015.1
"Deinococcus aerolatus strain JCM 15442 sequence05, whole genome shotgun sequence",Deinococcus aerolatus,91.7,151,59%,2.00E-19,39.06,242030,NZ_BMOL01000005.1
"Deinococcus knuensis strain JCM 31406 sequence23, whole genome shotgun sequence",Deinococcus knuensis,90.5,152,55%,5.00E-19,39.37,56371,NZ_BMQO01000023.1
"Deinococcus puniceus strain DY1 chromosome, complete genome",Deinococcus puniceus,90.1,197,55%,6.00E-19,40.94,2971983,NZ_CP011387.1
"Deinococcus sedimenti strain JCM 31405 sequence14, whole genome shotgun sequence",Deinococcus sedimenti,89.7,149,55%,6.00E-19,38.58,66550,NZ_BMQN01000014.1
"Deinococcus grandis strain ATCC 43672, whole genome shotgun sequence",Deinococcus grandis,89.4,195,55%,9.00E-19,38.58,3250361,NZ_BCMS01000001.1
"Deinococcus soli Cha et al. 2016 strain N5 chromosome, complete genome",Deinococcus soli Cha et al. 2016,89.4,195,55%,9.00E-19,38.58,3236984,NZ_CP011389.1
"Deinococcus xianganensis strain Y35 Scaffold3, whole genome shotgun sequence",Deinococcus xianganensis,89.4,146,55%,1.00E-18,38.58,98359,NZ_WVHK01000003.1
"Deinococcus humi strain DSM 27939 Ga0416732_19, whole genome shotgun sequence",Deinococcus humi,89,147,54%,1.00E-18,39.53,96973,NZ_JACHFL010000019.1
"Deinococcus piscis strain CGMCC 1.18439 sequence003, whole genome shotgun sequence",Deinococcus piscis,88.6,147,59%,2.00E-18,37.21,144234,NZ_BNAL01000003.1
"Deinococcus arenae strain JCM 31047 sequence18, whole genome shotgun sequence",Deinococcus arenae,88.2,88.2,78%,2.00E-18,28.75,56757,NZ_BMQG01000018.1
"Deinococcus radiopugnans ATCC 19172 strain DSM 12027 Ga0416726_06, whole genome shotgun sequence",Deinococcus radiopugnans ATCC 19172,87.4,146,58%,5.00E-18,37.8,197178,NZ_JACHEW010000006.1
"Deinococcus swuensis strain DY59 chromosome, complete genome",Deinococcus swuensis,87,145,58%,5.00E-18,37.8,3531443,NZ_CP010028.1
"Deinococcus gobiensis I-0, complete sequence",Deinococcus gobiensis I-0,86.7,204,81%,8.00E-18,36.22,3137147,NC_017790.1
"Deinococcus aerius strain TR0125, whole genome shotgun sequence",Deinococcus aerius,86.3,144,55%,9.00E-18,37.98,119952,NZ_BFAG01000016.1
"Deinococcus marmoris DSM 12784 Q319DRAFT_scaffold00018.18_C, whole genome shotgun sequence",Deinococcus marmoris DSM 12784,85.9,145,59%,2.00E-17,37.01,53619,NZ_JNIV01000019.1
"Deinococcus apachensis DSM 19763 F784DRAFT_scaffold00015.15, whole genome shotgun sequence",Deinococcus apachensis DSM 19763,85.1,143,55%,2.00E-17,37.98,107503,NZ_KB906412.1
"Deinococcus aquatilis DSM 23025 F561DRAFT_scaffold00022.22, whole genome shotgun sequence",Deinococcus aquatilis DSM 23025,85.1,145,55%,2.00E-17,37.8,81390,NZ_KB899716.1
"Deinococcus hopiensis KR-140, whole genome shotgun sequence",Deinococcus hopiensis KR-140,85.1,143,55%,3.00E-17,37.01,3128235,NZ_FWWU01000009.1
"Deinococcus malanensis strain JCM 30331 sequence14, whole genome shotgun sequence",Deinococcus malanensis,84,84,80%,6.00E-17,27.71,120532,NZ_BMPP01000014.1
"Deinococcus gobiensis I-0 plasmid P5, complete sequence",Deinococcus gobiensis I-0,82.8,82.8,78%,1.00E-16,29.17,54602,NC_017806.1
"Deinococcus piscis strain CGMCC 1.18439 sequence032, whole genome shotgun sequence",Deinococcus piscis,82,82,78%,3.00E-16,26.67,31315,NZ_BNAL01000032.1
"Deinococcus maricopensis DSM 21211, complete sequence",Deinococcus maricopensis DSM 21211,82,143,62%,3.00E-16,35.04,3498530,NC_014958.1
"Deinococcus phoenicis strain 1P10ME CR5801000052, whole genome shotgun sequence",Deinococcus phoenicis,81.3,140,55%,6.00E-16,36.43,85248,NZ_JHAC01000050.1
"Deinococcus geothermalis DSM 11300 plasmid pDGEO01, complete sequence",Deinococcus geothermalis DSM 11300,80.1,143,78%,1.00E-15,29.17,574127,NC_008010.2
"Deinococcus hopiensis KR-140, whole genome shotgun sequence",Deinococcus hopiensis KR-140,79.3,79.3,77%,2.00E-15,28.03,290938,NZ_FWWU01000011.1
"Deinococcus malanensis strain JCM 30331 sequence13, whole genome shotgun sequence",Deinococcus malanensis,79.3,79.3,81%,2.00E-15,28.4,130190,NZ_BMPP01000013.1
"Deinococcus reticulitermitis strain CGMCC 1.10218, whole genome shotgun sequence",Deinococcus reticulitermitis,77.4,77.4,80%,8.00E-15,25.61,36946,NZ_FNZA01000022.1
"Deinococcus hopiensis KR-140, whole genome shotgun sequence",Deinococcus hopiensis KR-140,77.4,124,68%,1.00E-14,32.38,300167,NZ_FWWU01000010.1
"Deinococcus fonticola strain FeSDHB5-19 NODE_27_length_48248_cov_36.410735, whole genome shotgun sequence",Deinococcus fonticola,76.6,76.6,62%,2.00E-14,31.61,48248,NZ_SMMH01000027.1
"Deinococcus knuensis strain JCM 31406 sequence20, whole genome shotgun sequence",Deinococcus knuensis,75.9,75.9,68%,3.00E-14,28.24,61181,NZ_BMQO01000020.1
"Deinococcus indicus strain DR1 Masurca_129_len:99725, whole genome shotgun sequence",Deinococcus indicus,75.9,75.9,78%,3.00E-14,27.08,99725,NZ_NHMK01000003.1
"Deinococcus deserti VCD115 plasmid 1, complete sequence",Deinococcus deserti VCD115,75.1,75.1,66%,5.00E-14,27.8,324711,NC_012527.1
"Deinococcus radiopugnans ATCC 19172 strain DSM 12027 Ga0416726_36, whole genome shotgun sequence",Deinococcus radiopugnans ATCC 19172,75.1,75.1,80%,6.00E-14,25.61,25837,NZ_JACHEW010000036.1
"Deinococcus humi strain DSM 27939 Ga0416732_11, whole genome shotgun sequence",Deinococcus humi,75.1,75.1,78%,7.00E-14,30.16,151928,NZ_JACHFL010000011.1
"Deinococcus aerophilus strain JCM 15443 sequence55, whole genome shotgun sequence",Deinococcus aerophilus,74.7,74.7,78%,7.00E-14,28.33,9790,NZ_BMOM01000055.1
"Deinococcus proteolyticus MRP plasmid pDEIPR03, complete sequence",Deinococcus proteolyticus MRP,74.7,74.7,57%,7.00E-14,30.17,132270,NC_015170.1
"Deinococcus ruber strain JCM 31311 sequence019, whole genome shotgun sequence",Deinococcus ruber,74.7,74.7,80%,7.00E-14,27.89,96370,NZ_BMQL01000019.1
"Deinococcus grandis strain ATCC 43672, whole genome shotgun sequence",Deinococcus grandis,74.3,74.3,78%,9.00E-14,26.67,91291,NZ_BCMS01000006.1
"Deinococcus humi strain DSM 27939 Ga0416732_21, whole genome shotgun sequence",Deinococcus humi,74.3,74.3,80%,1.00E-13,25.61,78648,NZ_JACHFL010000021.1
"Deinococcus hopiensis KR-140, whole genome shotgun sequence",Deinococcus hopiensis KR-140,73.6,73.6,65%,2.00E-13,33.5,330958,NZ_FWWU01000003.1
"Deinococcus aquatilis DSM 23025 F561DRAFT_scaffold00003.3, whole genome shotgun sequence",Deinococcus aquatilis DSM 23025,73.6,73.6,77%,2.00E-13,31.08,176450,NZ_KB899697.1
"Deinococcus humi strain DSM 27939 Ga0416732_04, whole genome shotgun sequence",Deinococcus humi,73.6,73.6,77%,2.00E-13,28.93,414221,NZ_JACHFL010000004.1
"Deinococcus metalli strain CGMCC 1.18437 sequence02, whole genome shotgun sequence",Deinococcus metalli,73.2,140,81%,3.00E-13,29.88,428234,NZ_BNAJ01000002.1
"Deinococcus yavapaiensis KR-236 strain DSM 18048 Ga0244513_122, whole genome shotgun sequence",Deinococcus yavapaiensis KR-236,73.2,73.2,80%,3.00E-13,26.27,56869,NZ_QJSX01000022.1
"Deinococcus hopiensis KR-140, whole genome shotgun sequence",Deinococcus hopiensis KR-140,73.2,73.2,78%,3.00E-13,27.5,418513,NZ_FWWU01000005.1
"Deinococcus ruber strain JCM 31311 sequence068, whole genome shotgun sequence",Deinococcus ruber,71.6,71.6,78%,9.00E-13,26.75,23314,NZ_BMQL01000068.1
"Deinococcus phoenicis strain 1P10ME CR5801000026, whole genome shotgun sequence",Deinococcus phoenicis,71.2,71.2,78%,1.00E-12,27.98,87785,NZ_JHAC01000026.1
"Deinococcus metallilatus strain MA1002 plasmid unnamed1, complete sequence",Deinococcus metallilatus,71.2,71.2,77%,1.00E-12,28.98,876461,NZ_CP038510.1
"Deinococcus ficus strain CC-FR2-10 plasmid pDFI1, complete sequence",Deinococcus ficus,71.2,71.2,78%,1.00E-12,25.83,642681,NZ_CP021082.1
"Deinococcus seoulensis strain JCM 31404 sequence20, whole genome shotgun sequence",Deinococcus seoulensis,70.9,70.9,77%,1.00E-12,27.69,81847,NZ_BMQM01000020.1
"Deinococcus aquatilis DSM 23025 F561DRAFT_scaffold00041.41, whole genome shotgun sequence",Deinococcus aquatilis DSM 23025,70.9,70.9,78%,1.00E-12,26.34,43974,NZ_KB899735.1
"Deinococcus radiopugnans ATCC 19172 strain DSM 12027 Ga0416726_02, whole genome shotgun sequence",Deinococcus radiopugnans ATCC 19172,70.9,70.9,77%,1.00E-12,28.57,356233,NZ_JACHEW010000002.1
"Deinococcus frigens DSM 12807 Q322DRAFT_scaffold00045.45_C, whole genome shotgun sequence",Deinococcus frigens DSM 12807,70.9,70.9,77%,1.00E-12,29.39,29331,NZ_JNIW01000046.1
"Deinococcus knuensis strain JCM 31406 sequence03, whole genome shotgun sequence",Deinococcus knuensis,70.5,70.5,77%,2.00E-12,28.1,260702,NZ_BMQO01000003.1
"Deinococcus marmoris DSM 12784 Q319DRAFT_scaffold00019.19_C, whole genome shotgun sequence",Deinococcus marmoris DSM 12784,70.5,70.5,77%,2.00E-12,28.57,53511,NZ_JNIV01000020.1
"Deinococcus budaensis strain DSM 101791 Ga0416733_17, whole genome shotgun sequence",Deinococcus budaensis,70.5,70.5,76%,2.00E-12,27.87,82773,NZ_JACHFN010000017.1
"Deinococcus radiotolerans strain JCM 19173 sequence17, whole genome shotgun sequence",Deinococcus radiotolerans,70.5,70.5,78%,2.00E-12,26.97,59677,NZ_BMPE01000017.1
"Deinococcus deserti VCD115 plasmid 2, complete sequence",Deinococcus deserti VCD115,69.7,69.7,77%,3.00E-12,29.05,314317,NC_012529.1
"Deinococcus hopiensis KR-140, whole genome shotgun sequence",Deinococcus hopiensis KR-140,69.3,69.3,77%,5.00E-12,28.22,256687,NZ_FWWU01000002.1
"Deinococcus indicus strain DR1 Masurca_162_len:150459, whole genome shotgun sequence",Deinococcus indicus,68.9,68.9,77%,6.00E-12,26.14,150459,NZ_NHMK01000012.1
"Deinococcus malanensis strain JCM 30331 sequence29, whole genome shotgun sequence",Deinococcus malanensis,68.9,68.9,78%,7.00E-12,26.64,24257,NZ_BMPP01000029.1
"Deinococcus fonticola strain FeSDHB5-19 NODE_12_length_115436_cov_33.850489, whole genome shotgun sequence",Deinococcus fonticola,68.6,68.6,78%,8.00E-12,26.25,115436,NZ_SMMH01000012.1
"Deinococcus planocerae strain XY-FW106 contig12, whole genome shotgun sequence",Deinococcus planocerae,68.6,68.6,77%,8.00E-12,28.1,118465,NZ_PNOR01000012.1
"Deinococcus pimensis DSM 21231 DeipiDRAFT_Scaffold60.57, whole genome shotgun sequence",Deinococcus pimensis DSM 21231,68.6,68.6,77%,9.00E-12,26.45,110800,NZ_KI912670.1
"Deinococcus detaillensis strain H1 H1_Contig9, whole genome shotgun sequence",Deinococcus detaillensis,68.6,68.6,77%,9.00E-12,23.85,106475,NZ_VKDB01000009.1
"Deinococcus malanensis strain JCM 30331 sequence03, whole genome shotgun sequence",Deinococcus malanensis,68.2,68.2,80%,1.00E-11,27.53,317410,NZ_BMPP01000003.1
"Deinococcus saudiensis strain CGMCC 1.15089 sequence045, whole genome shotgun sequence",Deinococcus saudiensis,67.8,67.8,78%,1.00E-11,26.25,25295,NZ_BMHJ01000045.1
"Deinococcus radiophilus strain ATCC 27603 NODE_42_length_13858_cov_109.080184, whole genome shotgun sequence",Deinococcus radiophilus,67.8,67.8,53%,1.00E-11,28.82,13858,NZ_RXPE01000042.1
"Deinococcus humi strain DSM 27939 Ga0416732_06, whole genome shotgun sequence",Deinococcus humi,67.4,67.4,79%,2.00E-11,25.41,282091,NZ_JACHFL010000006.1
"Deinococcus aerius strain TR0125, whole genome shotgun sequence",Deinococcus aerius,67,67,77%,3.00E-11,28.16,229284,NZ_BFAG01000008.1
"Deinococcus aerolatus strain JCM 15442 sequence13, whole genome shotgun sequence",Deinococcus aerolatus,67,67,77%,3.00E-11,28.16,96876,NZ_BMOL01000013.1
"Deinococcus sedimenti strain JCM 31405 sequence12, whole genome shotgun sequence",Deinococcus sedimenti,67,67,78%,3.00E-11,25.83,97023,NZ_BMQN01000012.1
"Deinococcus pimensis DSM 21231 DeipiDRAFT_Scaffold65.62, whole genome shotgun sequence",Deinococcus pimensis DSM 21231,66.6,66.6,76%,3.00E-11,26.67,298699,NZ_KI912675.1
"Deinococcus indicus strain DR1 Masurca_172_len:47933, whole genome shotgun sequence",Deinococcus indicus,66.2,66.2,77%,5.00E-11,24.79,47933,NZ_NHMK01000023.1
