Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Thalassocella blandensis strain ISS155, whole genome shotgun sequence",Thalassocella blandensis,327,327,90%,5.00E-100,64.09,381709,NZ_CABFPG010000007.1
"Sneathiella glossodoripedis JCM 23214, whole genome shotgun sequence",Sneathiella glossodoripedis JCM 23214,269,269,91%,9.00E-80,50.19,1590032,NZ_BAMS01000001.1
"Hwanghaeella grinnelliae strain Gri0909 Gri0909_2, whole genome shotgun sequence",Hwanghaeella grinnelliae,268,268,90%,4.00E-79,49.81,1358699,NZ_SADE01000002.1
"Inquilinus limosus DSM 16000 G537DRAFT_scaffold00003.3, whole genome shotgun sequence",Inquilinus limosus DSM 16000,266,266,90%,1.00E-78,52.51,411936,NZ_KE383985.1
"Tistrella bauzanensis strain CGMCC 1.10188 sequence035, whole genome shotgun sequence",Tistrella bauzanensis,265,265,90%,4.00E-78,50.19,62047,NZ_BMDZ01000035.1
"Tistrella mobilis KA081020-065, complete sequence",Tistrella mobilis KA081020-065,264,317,90%,5.00E-78,50.58,3919492,NC_017956.1
"Sneathiella limimaris strain KCTC 52846 NODE_1_length_2859372_cov_51.501346, whole genome shotgun sequence",Sneathiella limimaris,263,263,91%,9.00E-78,48.66,2838132,NZ_JABBYJ010000001.1
"Nisaea denitrificans DSM 18348 K328DRAFT_scaffold00003.3_C, whole genome shotgun sequence",Nisaea denitrificans DSM 18348,261,261,91%,8.00E-77,48.09,550725,NZ_AUFM01000015.1
"Nisaea nitritireducens strain DSM 19540 Scaffold2_7, whole genome shotgun sequence",Nisaea nitritireducens,261,261,91%,9.00E-77,48.09,169584,NZ_JACZFS010000036.1
"Sneathiella aquimaris strain 216LB-ZA1-12 NODE_1_length_1776623_cov_65.923689, whole genome shotgun sequence",Sneathiella aquimaris,260,260,91%,1.00E-76,48.66,1751906,NZ_VNWM01000001.1
"Zhengella mangrovi strain X9-2-2 Scaffold1_1, whole genome shotgun sequence",Zhengella mangrovi,259,259,90%,2.00E-76,49.42,787811,NZ_PDVP01000001.1
"Euryhalocaulis caribicus strain JL2009 contig00002, whole genome shotgun sequence",Euryhalocaulis caribicus,258,258,90%,6.00E-76,50,279523,NZ_ASJA01000002.1
"Sneathiella chinensis strain LMG23452 contig2, whole genome shotgun sequence",Sneathiella chinensis,258,258,90%,7.00E-76,49.03,1373931,NZ_VNWN01000002.1
"Magnetospirillum magnetotacticum MS-1 contig_1, whole genome shotgun sequence",Magnetospirillum magnetotacticum MS-1,258,258,91%,8.00E-76,47.51,1344907,NZ_JXSL01000030.1
"Magnetospirillum magneticum AMB-1, complete sequence",Magnetospirillum magneticum AMB-1,258,539,91%,8.00E-76,47.13,4967148,NC_007626.1
"Magnetospirillum kuznetsovii strain LBB-42 NODE_1_length_546444_cov_116.019, whole genome shotgun sequence",Magnetospirillum kuznetsovii,257,257,91%,1.00E-75,47.51,546444,NZ_PGTO01000001.1
"Phenylobacterium zucineum HLK1, complete sequence",Phenylobacterium zucineum HLK1,257,257,90%,2.00E-75,49.42,3996255,NC_011144.1
"Magnetospirillum caucaseum strain SO-1 contig00017, whole genome shotgun sequence",Magnetospirillum caucaseum,257,257,91%,2.00E-75,46.74,74468,NZ_AONQ01000017.1
"Rhodothalassium salexigens DSM 2132 Ga0310481_103, whole genome shotgun sequence",Rhodothalassium salexigens DSM 2132,256,256,91%,2.00E-75,47.89,417344,NZ_SLXO01000003.1
"Oceanibaculum pacificum strain MCCC 1A02656 contig1, whole genome shotgun sequence",Oceanibaculum pacificum,256,256,91%,3.00E-75,48.09,185612,NZ_LPXN01000001.1
"Zavarzinia compransoris strain DSM 1231 DSM1231_3, whole genome shotgun sequence",Zavarzinia compransoris,256,256,90%,3.00E-75,48.65,669422,NZ_QGLF01000003.1
"Corticibacterium populi strain KCTC 42249 sequence02, whole genome shotgun sequence",Corticibacterium populi,256,256,90%,3.00E-75,49.03,1463426,NZ_BMZQ01000002.1
"Magnetospirillum aberrantis SpK contig00042_length=210935, whole genome shotgun sequence",Magnetospirillum aberrantis SpK,256,256,90%,3.00E-75,48.26,210935,NZ_JAAIYP010000042.1
"Caulobacter flavus strain RHGG3 chromosome, complete genome",Caulobacter flavus,256,365,90%,4.00E-75,49.42,5659202,NZ_CP026100.1
"Phyllobacterium brassicacearum strain 29-15 Ga0215880_123, whole genome shotgun sequence",Phyllobacterium brassicacearum,256,256,90%,4.00E-75,48.26,83208,NZ_SNYE01000023.1
"Thalassobaculum fulvum strain KCTC 42651 sequence01, whole genome shotgun sequence",Thalassobaculum fulvum,256,256,91%,5.00E-75,48.85,687776,NZ_BMZS01000001.1
"Ferruginivarius sediminum strain WD2A32 WD2A32_scaffold2, whole genome shotgun sequence",Ferruginivarius sediminum,256,256,90%,5.00E-75,50.19,397483,NZ_QPMH01000002.1
"Rhodovibrio salinarum DSM 9154 RHOSADRAFT_scaffold1.1, whole genome shotgun sequence",Rhodovibrio salinarum DSM 9154,256,256,90%,5.00E-75,49.81,4176524,NZ_KI911559.1
"Mesorhizobium oceanicum strain B7, complete genome",Mesorhizobium oceanicum,256,256,90%,5.00E-75,48.65,5158483,NZ_CP018171.1
"Mesorhizobium denitrificans strain LA-28 contig_4, whole genome shotgun sequence",Mesorhizobium denitrificans,255,255,90%,6.00E-75,49.03,383232,NZ_QURN01000004.1
"Magnetospirillum fulvum strain DSM 13234, whole genome shotgun sequence",Magnetospirillum fulvum,255,255,90%,7.00E-75,47.88,394817,NZ_FNWO01000002.1
"Caulobacter radicis strain 695 NODE_7_length_206228_cov_75.0671, whole genome shotgun sequence",Caulobacter radicis,255,255,90%,7.00E-75,49.42,206228,NZ_QDKO01000040.1
"Haematospirillum jordaniae strain H5569 chromosome, complete genome",Haematospirillum jordaniae,255,255,90%,9.00E-75,48.26,2131542,NZ_CP014525.1
"Kordiimonas lacus strain CGMCC 1.9109, whole genome shotgun sequence",Kordiimonas lacus,255,255,90%,9.00E-75,49.42,728612,NZ_FNAK01000001.1
"Caulobacter rhizosphaerae strain KCTC 52515 chromosome, complete genome",Caulobacter rhizosphaerae,255,255,90%,9.00E-75,49.42,5732418,NZ_CP048815.1
"Phenylobacterium kunshanense strain BUT-10 contig_2_length_780760_cov_44.634181, whole genome shotgun sequence",Phenylobacterium kunshanense,255,255,91%,1.00E-74,49.43,780760,NZ_QFYS01000002.1
"Caulobacter zeae strain 410 SGCZ15, whole genome shotgun sequence",Caulobacter zeae,254,254,90%,1.00E-74,49.42,397838,NZ_PJRS01000049.1
"Kordiimonas lipolytica strain M41 M41_S24, whole genome shotgun sequence",Kordiimonas lipolytica,254,254,90%,1.00E-74,49.42,229908,NZ_LRUB01000024.1
"Parvibaculum sedimenti strain HXT-9 HXT-9_scaffold21, whole genome shotgun sequence",Parvibaculum sedimenti,254,254,90%,1.00E-74,46.13,59944,NZ_WESC01000021.1
"Brevundimonas variabilis strain DSM 4737 Ga0373203_01, whole genome shotgun sequence",Brevundimonas variabilis,254,254,90%,1.00E-74,48.26,946433,NZ_JACHOR010000001.1
"Phyllobacterium endophyticum strain CECT 7949 Ga0372406_02, whole genome shotgun sequence",Phyllobacterium endophyticum,254,254,90%,1.00E-74,49.03,1246362,NZ_JACHXT010000002.1
"Mesorhizobium albiziae strain DSM 21822, whole genome shotgun sequence",Mesorhizobium albiziae,254,254,90%,1.00E-74,47.49,347771,NZ_FOSL01000004.1
"Roseospira goensis strain JA135 Ga0394285_15, whole genome shotgun sequence",Roseospira goensis,254,254,91%,2.00E-74,50.19,107261,NZ_JACIGI010000015.1
"Oceanibacterium hippocampi strain CECT 7691, whole genome shotgun sequence",Oceanibacterium hippocampi,254,254,90%,2.00E-74,48.26,2309638,NZ_FWFR01000001.1
"Phyllobacterium zundukense strain Tri-48, complete sequence",Phyllobacterium zundukense,254,254,90%,2.00E-74,48.26,3950702,NZ_CP017940.1
"Magnetovibrio blakemorei strain MV-1 Q8, whole genome shotgun sequence",Magnetovibrio blakemorei,254,254,90%,3.00E-74,47.49,160857,NZ_MCGG01000078.1
"Insolitispirillum peregrinum strain DSM 11589, whole genome shotgun sequence",Insolitispirillum peregrinum,253,253,90%,3.00E-74,46.72,822205,NZ_FTOA01000002.1
"Pseudaminobacter manganicus strain JH-7 JH-7_scaffold5, whole genome shotgun sequence",Pseudaminobacter manganicus,253,253,90%,3.00E-74,47.1,205533,NZ_MDET01000045.1
"Brevundimonas basaltis strain DSM 25335 Ga0415292_02, whole genome shotgun sequence",Brevundimonas basaltis,253,253,90%,3.00E-74,48.26,623027,NZ_JACHFZ010000002.1
"Magnetospirillum marisnigri strain SP-1 NODE_2_length_280790_cov_106.57_ID_2839, whole genome shotgun sequence",Magnetospirillum marisnigri,253,253,91%,4.00E-74,47.13,280790,NZ_LWQT01000055.1
"Sphingomonas phyllosphaerae FA2 SphspDRAFT_scaffold1.1, whole genome shotgun sequence",Sphingomonas phyllosphaerae FA2,253,319,90%,4.00E-74,47.86,3799314,NZ_KE386571.1
"Thalassobaculum litoreum DSM 18839, whole genome shotgun sequence",Thalassobaculum litoreum DSM 18839,253,253,91%,5.00E-74,47.71,320790,NZ_FNBW01000006.1
"Thalassobaculum salexigens DSM 19539 G578DRAFT_scaffold00003.3, whole genome shotgun sequence",Thalassobaculum salexigens DSM 19539,253,253,91%,5.00E-74,47.71,735542,NZ_KE384095.1
"Kordiimonas gwangyangensis DSM 19435 = JCM 12864 strain DSM 19435 B150DRAFT_scaffold_0.1_C, whole genome shotgun sequence",Kordiimonas gwangyangensis DSM 19435 = JCM 12864,253,253,90%,6.00E-74,49.62,1053240,NZ_AQXF01000001.1
"Brevundimonas aurantiaca strain DSM 4731 Ga0373201_03, whole genome shotgun sequence",Brevundimonas aurantiaca,253,253,90%,6.00E-74,47.49,527606,NZ_JACHOQ010000003.1
"Asticcacaulis tiandongensis strain 3.1105 NODE_2, whole genome shotgun sequence",Asticcacaulis tiandongensis,253,253,90%,6.00E-74,48.26,756523,NZ_ML636837.1
"Brevundimonas abyssalis TAR-001, whole genome shotgun sequence",Brevundimonas abyssalis TAR-001,252,252,90%,7.00E-74,47.49,90807,NZ_BATC01000006.1
"Azospirillum oleiclasticum strain RWY-5-1-1 contig7, whole genome shotgun sequence",Azospirillum oleiclasticum,252,252,91%,7.00E-74,48.47,377514,NZ_JABFFR010000007.1
"Caulobacter crescentus NA1000, complete genome",Caulobacter vibrioides NA1000,252,252,90%,7.00E-74,49.42,4042929,NC_011916.1
"Notoacmeibacter marinus strain XMTR2A4 NODE_1_length_1694787_cov_286.62, whole genome shotgun sequence",Notoacmeibacter marinus,252,252,91%,9.00E-74,46.74,1694787,NZ_NBYO01000001.1
"Kordiimonas sediminis strain KCTC 42590 sequence01, whole genome shotgun sequence",Kordiimonas sediminis,252,252,90%,9.00E-74,48.65,1727258,NZ_BNCI01000001.1
"Nitrospirillum amazonense CBAmc chromosome 1, complete sequence",Nitrospirillum amazonense CBAmc,252,306,90%,9.00E-74,49.03,2945703,NZ_CP022110.1
"Rhodospirillum rubrum F11, complete sequence",Rhodospirillum rubrum F11,252,413,91%,9.00E-74,48.26,4352825,NC_017584.1
"Phyllobacterium sophorae strain CCBAU 03422 NODE_1_length_815661_cov_62.7057, whole genome shotgun sequence",Phyllobacterium sophorae,252,252,90%,1.00E-73,47.88,815661,NZ_PGGM01000001.1
"Magnetospirillum molischianum DSM 120, whole genome shotgun sequence",Magnetospirillum molischianum DSM 120,252,252,91%,1.00E-73,47.13,235676,NZ_CAHP01000021.1
"Brevundimonas alba strain DSM 4736 Ga0373202_01, whole genome shotgun sequence",Brevundimonas alba,252,252,90%,1.00E-73,47.49,2132302,NZ_JAATJM010000001.1
"Magnetospirillum moscoviense strain BB-1 NODE_26_length_52409_cov_136.982_ID_4706, whole genome shotgun sequence",Magnetospirillum moscoviense,252,252,91%,1.00E-73,46.74,52409,NZ_LWQU01000126.1
"Aurantiacibacter zhengii strain V18 V18_3, whole genome shotgun sequence",Aurantiacibacter zhengii,252,252,91%,1.00E-73,49.81,509162,NZ_QXFL01000003.1
"Limibacillus halophilus strain CECT 8803 Ga0372437_01, whole genome shotgun sequence",Limibacillus halophilus,252,252,90%,1.00E-73,47.49,686925,NZ_JACHXA010000001.1
"Notoacmeibacter ruber strain M2BS9Y-3-1 Scaffold1_1, whole genome shotgun sequence",Notoacmeibacter ruber,251,251,91%,1.00E-73,47.13,3023540,NZ_RCWN01000001.1
"Brevundimonas bacteroides DSM 4726 Q333DRAFT_scaffold00007.7_C, whole genome shotgun sequence",Brevundimonas bacteroides DSM 4726,251,251,89%,1.00E-73,47.86,151100,NZ_JNIX01000014.1
"Kordiimonas pumila strain N18 chromosome, complete genome",Kordiimonas pumila,251,251,90%,1.00E-73,48.06,4041658,NZ_CP061205.1
"Denitrobaculum tricleocarpae strain R148 Scaffold4, whole genome shotgun sequence",Denitrobaculum tricleocarpae,251,251,90%,2.00E-73,48.26,534451,NZ_ML660055.1
"Thalassospira alkalitolerans strain JCM 18968 contig1, whole genome shotgun sequence",Thalassospira alkalitolerans,251,251,90%,2.00E-73,47.1,656187,NZ_JFKB01000001.1
"Phenylobacterium immobile (ATCC 35973) strain (strain E), whole genome shotgun sequence",Phenylobacterium immobile (ATCC 35973),251,409,91%,2.00E-73,48.28,2879815,NZ_CVJQ01000001.1
"Caenispirillum salinarum AK4 contig4, whole genome shotgun sequence",Caenispirillum salinarum AK4,251,251,90%,2.00E-73,47.49,379284,NZ_ANHY01000004.1
"Caulobacter segnis strain TK0059 chromosome, complete genome",Caulobacter segnis,251,251,91%,2.00E-73,49.04,4655467,NZ_CP027850.1
"Phenylobacterium deserti strain YIM 73061 contig_1_length_1923015_cov_46.330439, whole genome shotgun sequence",Phenylobacterium deserti,251,251,90%,2.00E-73,49.03,1923015,NZ_QFYR01000001.1
"Hypericibacter terrae strain R5913 chromosome, complete genome",Hypericibacter terrae,251,251,90%,2.00E-73,48.65,5894118,NZ_CP042906.1
"Varunaivibrio sulfuroxidans strain DSM 101688 Ga0244726_101, whole genome shotgun sequence",Varunaivibrio sulfuroxidans,251,251,90%,2.00E-73,48.26,551878,NZ_SLZW01000001.1
"Sphingomonas soli NBRC 100801, whole genome shotgun sequence",Sphingomonas soli NBRC 100801,251,251,90%,2.00E-73,48.84,279325,NZ_BCTZ01000012.1
"Hypericibacter adhaerens strain R5959 chromosome, complete genome",Hypericibacter adhaerens,251,251,90%,2.00E-73,47.88,5865246,NZ_CP042582.1
"Sphingomonas kyeonggiensis strain DSM 101806 Ga0373265_03, whole genome shotgun sequence",Sphingomonas kyeonggiensis,251,251,89%,2.00E-73,49.42,1340023,NZ_JACIEH010000003.1
"Roseospira marina strain DSM 15113 NODE_5_length_264403_cov_40.3514, whole genome shotgun sequence",Roseospira marina,251,251,90%,3.00E-73,49.61,264403,NZ_VWPJ01000005.1
"Mesorhizobium alhagi CCNWXJ12-2 contig30, whole genome shotgun sequence",Mesorhizobium alhagi CCNWXJ12-2,251,251,90%,3.00E-73,47.1,27729,NZ_AHAM01000028.1
"Sphingomonas endophytica strain AS3.13 Ga0372457_08, whole genome shotgun sequence",Sphingomonas endophytica,251,251,89%,3.00E-73,47.47,203777,NZ_JACHBT010000008.1
"Sphingomonas dokdonensis strain DSM 21029 SPDO_contig000003, whole genome shotgun sequence",Sphingomonas dokdonensis,250,250,89%,3.00E-73,49.03,506040,NZ_NBBI01000003.1
"Phyllobacterium bourgognense strain 31-25a Ga0215879_104, whole genome shotgun sequence",Phyllobacterium bourgognense,250,250,90%,3.00E-73,47.88,390788,NZ_QPJM01000004.1
"Marinicaulis flavus strain SY-3-19 5, whole genome shotgun sequence",Marinicaulis flavus,250,250,90%,3.00E-73,49.03,1204220,NZ_PJCH01000005.1
"Sphingomonas guangdongensis strain CGMCC 1.12672, whole genome shotgun sequence",Sphingomonas guangdongensis,250,250,91%,4.00E-73,48.66,1465339,NZ_OBMI01000001.1
"Phyllobacterium myrsinacearum strain HAMBI_1992 EJMNOJEN_2, whole genome shotgun sequence",Phyllobacterium myrsinacearum,250,250,90%,4.00E-73,47.49,537959,NZ_QLKY01000002.1
"Marinicauda pacifica strain CGMCC 1.11031 sequence03, whole genome shotgun sequence",Marinicauda pacifica,250,250,90%,4.00E-73,48.28,656990,NZ_BMEI01000003.1
"Sneathiella chungangensis strain KCTC32476 contig2, whole genome shotgun sequence",Sneathiella chungangensis,250,250,91%,4.00E-73,46.36,1157844,NZ_VNWO01000002.1
"Brevundimonas mediterranea strain DSM 14878 Ga0373215_02, whole genome shotgun sequence",Brevundimonas mediterranea,250,250,90%,4.00E-73,47.49,1025876,NZ_JACIDA010000002.1
"Sphingomonas mucosissima strain DSM 17494 SPMU_contig000004, whole genome shotgun sequence",Sphingomonas mucosissima,250,250,89%,4.00E-73,49.42,294642,NZ_NBBJ01000004.1
"Azospirillum brasilense strain Sp 7 Ga0060187_unitig_1_quiver.10, whole genome shotgun sequence",Azospirillum brasilense,250,250,91%,5.00E-73,48.28,1148496,NZ_VISK01000010.1
"Thalassospira australica strain NP 3b2 scaffold_0, whole genome shotgun sequence",Thalassospira australica,250,250,90%,5.00E-73,46.72,788206,NZ_JRJE01000032.1
"Mesorhizobium ephedrae strain 6GN-30 ZB100021, whole genome shotgun sequence",Mesorhizobium ephedrae,250,250,90%,5.00E-73,48.65,118005,NZ_PXYK01000022.1
"Marinicauda algicola strain JCM 31718 contig_2, whole genome shotgun sequence",Marinicauda algicola,249,249,90%,6.00E-73,48.28,658970,NZ_SRXW01000002.1
"Mesorhizobium zhangyense strain CGMCC 1.15528 11, whole genome shotgun sequence",Mesorhizobium zhangyense,249,249,90%,7.00E-73,47.1,188589,NZ_JAAKZG010000011.1
"Aestuariispira insulae strain CECT 8488 Ga0244593_103, whole genome shotgun sequence",Aestuariispira insulae,249,249,90%,7.00E-73,47.1,443346,NZ_QRDW01000003.1
"Brevundimonas intermedia strain B-10 id_8, whole genome shotgun sequence",Brevundimonas intermedia,249,249,90%,8.00E-73,47.49,1543057,NZ_SPVH01000006.1
"Nitrospirillum iridis strain DSM 22198 Ga0373326_21, whole genome shotgun sequence",Nitrospirillum iridis,249,249,90%,8.00E-73,48.29,96965,NZ_JACIIZ010000021.1
"Thalassospira xiamenensis M-5 = DSM 17429, whole genome shotgun sequence",Thalassospira xiamenensis M-5 = DSM 17429,249,249,90%,8.00E-73,46.33,689164,NZ_FTON01000001.1
"Thalassospira permensis strain KO164, whole genome shotgun sequence",Thalassospira permensis,249,249,90%,8.00E-73,46.33,4790004,NZ_FNTU01000002.1
"Phyllobacterium salinisoli strain LLAN61 ZB100007, whole genome shotgun sequence",Phyllobacterium salinisoli,249,249,90%,9.00E-73,48.26,235657,NZ_QOZG01000008.1
"Phyllobacterium trifolii strain CECT 7015 Ga0372396_05, whole genome shotgun sequence",Phyllobacterium trifolii,249,249,90%,9.00E-73,47.49,347791,NZ_JACHXN010000005.1
"Albidovulum inexpectatum strain DSM 12048 LV82DRAFT_scaffold00001.1, whole genome shotgun sequence",Albidovulum inexpectatum,249,249,90%,9.00E-73,49.81,661678,NZ_PRDS01000001.1
"Brevundimonas viscosa strain CGMCC 1.10683, whole genome shotgun sequence",Brevundimonas viscosa,249,249,90%,9.00E-73,46.72,808211,NZ_FOZV01000001.1
"Tepidicaulis marinus strain MA2, whole genome shotgun sequence",Tepidicaulis marinus,249,249,90%,9.00E-73,45.42,420028,NZ_BBIO01000001.1
"Glycocaulis alkaliphilus strain 6B-8, complete genome",Glycocaulis alkaliphilus,249,249,91%,9.00E-73,48.67,3019659,NZ_CP018911.1
"Mesorhizobium carbonis strain B2.3 NODE_4_length_82536, whole genome shotgun sequence",Mesorhizobium carbonis,249,249,89%,1.00E-72,47.67,82598,NZ_RWKW01000004.1
"Thalassospira xianhensis MCCC 1A02616 contig3, whole genome shotgun sequence",Thalassospira xianhensis MCCC 1A02616,249,249,90%,1.00E-72,46.33,233263,NZ_JPWA01000003.1
"Altererythrobacter aquaemixtae strain KCTC 52763 NODE_2_length_1069596, whole genome shotgun sequence",Altererythrobacter aquaemixtae,249,249,89%,1.00E-72,48.64,1069596,NZ_WTYX01000002.1
"Mesorhizobium wenxiniae strain WYCCWR 10195 scaffold9, whole genome shotgun sequence",Mesorhizobium wenxiniae,249,249,90%,1.00E-72,47.49,301485,NZ_NPKH01000024.1
"Mesorhizobium muleiense strain CGMCC 1.11022, whole genome shotgun sequence",Mesorhizobium muleiense,249,249,90%,1.00E-72,47.49,423368,NZ_FNEE01000003.1
"Mesorhizobium temperatum strain SDW018 scaffold11, whole genome shotgun sequence",Mesorhizobium temperatum,249,249,90%,1.00E-72,47.49,599032,NZ_NPKJ01000068.1
