Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Granulicella rosea strain DSM 18704, whole genome shotgun sequence",Granulicella rosea,88.2,88.2,66%,4.00E-19,34.13,335556,NZ_FZOU01000006.1
"Granulicella rosea strain DSM 18704, whole genome shotgun sequence",Granulicella rosea,57,107,71%,2.00E-08,31.61,1463594,NZ_FZOU01000001.1
"Pyrinomonas methylaliphatogenes strain K22, whole genome shotgun sequence",Pyrinomonas methylaliphatogenes,56.2,56.2,17%,3.00E-08,65.12,258097,NZ_CBXV010000003.1
"Edaphobacter aggregans DSM 19364 Q363DRAFT_scaffold00123.123_C, whole genome shotgun sequence",Edaphobacter aggregans DSM 19364,55.8,55.8,50%,4.00E-08,31.97,13352,NZ_JQKI01000134.1
"Chloracidobacterium thermophilum B chromosome 1, complete sequence",Chloracidobacterium thermophilum B,55.5,107,17%,5.00E-08,67.44,2683362,NC_016024.1
"Granulicella tundricola MP5ACTX9, complete sequence",Granulicella tundricola MP5ACTX9,55.1,55.1,17%,6.00E-08,66.67,4309153,NC_015064.1
"Edaphobacter aggregans DSM 19364 Q363DRAFT_scaffold00001.1_C, whole genome shotgun sequence",Edaphobacter aggregans DSM 19364,54.3,54.3,17%,1.00E-07,62.79,612934,NZ_JQKI01000001.1
"Bryocella elongata strain DSM 22489, whole genome shotgun sequence",Bryocella elongata,52.8,52.8,17%,4.00E-07,62.79,661247,NZ_FNVA01000003.1
"Granulicella mallensis MP5ACTX8, complete sequence",Granulicella mallensis MP5ACTX8,52,52,17%,6.00E-07,58.14,6237577,NC_016631.1
"Granulicella aggregans strain M8UP14 Ga0401177_04, whole genome shotgun sequence",Granulicella aggregans,52,52,17%,7.00E-07,61.9,844690,NZ_JACHIP010000004.1
"Edaphobacter modestus strain DSM 18101 Ga0242575_11, whole genome shotgun sequence",Edaphobacter modestus,52,52,17%,8.00E-07,58.14,6121180,NZ_SHKW01000001.1
"Pyrinomonas methylaliphatogenes strain K22, whole genome shotgun sequence",Pyrinomonas methylaliphatogenes,51.6,51.6,17%,1.00E-06,65.12,1063214,NZ_CBXV010000008.1
"Granulicella arctica strain X4EP2 Ga0401179_01, whole genome shotgun sequence",Granulicella arctica,51.6,51.6,17%,1.00E-06,59.52,2159447,NZ_JACCCW010000001.1
"Granulicella pectinivorans strain DSM 21001, whole genome shotgun sequence",Granulicella pectinivorans,51.2,51.2,17%,1.00E-06,59.52,4439413,NZ_FOZL01000001.1
"Bryobacter aggregatus MPL3 M017DRAFT_scf7180000000020_quiver.3_C, whole genome shotgun sequence",Bryobacter aggregatus MPL3,51.2,51.2,17%,1.00E-06,58.14,4257809,NZ_JNIF01000003.1
"Terriglobus saanensis SP1PR4, complete sequence",Terriglobus saanensis SP1PR4,50.8,50.8,17%,1.00E-06,59.52,5095226,NC_014963.1
"Granulicella aggregans strain M8UP14 Ga0401177_24, whole genome shotgun sequence",Granulicella aggregans,50.8,50.8,18%,2.00E-06,51.11,36138,NZ_JACHIP010000024.1
"Thermoanaerobaculum aquaticum strain MP-01 contig_15, whole genome shotgun sequence",Thermoanaerobaculum aquaticum,50.8,50.8,17%,2.00E-06,58.14,129099,NZ_JMFG01000015.1
"Luteitalea pratensis strain DSM 100886, partial sequence",Luteitalea pratensis,50.8,96.7,17%,2.00E-06,58.14,7480314,NZ_CP015136.1
"Edaphobacter acidisoli strain CGMCC 1.15447 sequence1, whole genome shotgun sequence",Edaphobacter acidisoli,50.4,50.4,17%,2.00E-06,58.14,3211950,NZ_BMJB01000001.1
"Paludibaculum fermentans strain P105 chromosome, complete genome",Paludibaculum fermentans,49.7,49.7,17%,4.00E-06,58.14,9476802,NZ_CP063849.1
"Granulicella rosea strain DSM 18704, whole genome shotgun sequence",Granulicella rosea,47.4,47.4,71%,2.00E-05,25.99,13726,NZ_FZOU01000020.1
"Granulicella aggregans strain M8UP14 Ga0401177_52, whole genome shotgun sequence",Granulicella aggregans,46.2,46.2,71%,5.00E-05,25.99,8707,NZ_JACHIP010000052.1
"Granulicella pectinivorans strain DSM 21001, whole genome shotgun sequence",Granulicella pectinivorans,46.2,46.2,71%,5.00E-05,25.99,10803,NZ_FOZL01000003.1
"Geothrix fermentans DSM 14018 G398DRAFT_scaffold00004.4_C, whole genome shotgun sequence",Geothrix fermentans DSM 14018,46.2,46.2,17%,6.00E-05,58.14,194317,NZ_AUAU01000007.1
,,,,,,,,
,,,,,,,,
,,,,,,,,
"		",,,,,,,,
