Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Anaeromicrobium sediminis strain DY2726D Seq15, whole genome shotgun sequence",Anaeromicrobium sediminis,171,171,80%,3.00E-45,36.55,104293,NZ_NIBG01000015.1
"Anaerobutyricum hallii strain AM34-3LB AM34-3LB.Scaf16, whole genome shotgun sequence",Anaerobutyricum hallii,170,296,81%,8.00E-45,34.66,89226,NZ_QSID01000016.1
"Anaerobutyricum soehngenii strain BSM-383-APC-4H seq31, whole genome shotgun sequence",Anaerobutyricum soehngenii,167,297,81%,7.00E-44,34.26,38822,NZ_VULP01000031.1
"Serpentinicella alkaliphila strain DSM 100013 Ga0244716_1017, whole genome shotgun sequence",Serpentinicella alkaliphila,165,165,81%,3.00E-43,32.67,56496,NZ_SLYC01000017.1
"Xylanivirga thermophila strain SYSU GA17129 Scaffold43_1, whole genome shotgun sequence",Xylanivirga thermophila,164,164,81%,4.00E-43,35.06,16065,NZ_RXHQ01000044.1
"Coprococcus eutactus ATCC 27759 Scfld_02_14, whole genome shotgun sequence",Coprococcus eutactus ATCC 27759,164,164,81%,7.00E-43,36.65,172583,NZ_DS483534.1
"Caloramator mitchellensis strain VF08 ABG79_contig000019, whole genome shotgun sequence",Caloramator mitchellensis,164,164,81%,8.00E-43,33.07,34436,NZ_LKHP01000019.1
Lachnoclostridium phocaeense strain Marseille-P3177T chromosome contig00001,Lachnoclostridium phocaeense,163,471,81%,2.00E-42,33.07,3500754,NZ_LT635479.1
Moorella glycerini strain DSM 11254 chromosome,Moorella glycerini,163,163,81%,2.00E-42,34.52,3509488,NZ_CP046244.1
Thermanaeromonas toyohensis ToBE chromosome I,Thermanaeromonas toyohensis ToBE,163,163,81%,2.00E-42,37.05,3334124,NZ_LT838272.1
"Dorea formicigenerans ATCC 27755 D_formicigenerans-3.0.1_Cont399, whole genome shotgun sequence",Dorea formicigenerans ATCC 27755,162,288,81%,2.00E-42,34.26,957115,NZ_AAXA02000015.1
"Moorella stamsii strain DSM 26217 MOST_contig000042, whole genome shotgun sequence",Moorella stamsii,162,162,81%,4.00E-42,34.52,43462,NZ_PVXL01000042.1
"Moorella mulderi DSM 14980 MOMU_contig000001, whole genome shotgun sequence",Moorella mulderi DSM 14980,162,162,81%,4.00E-42,34.52,612036,NZ_LTBC01000001.1
"Caldisalinibacter kiritimatiensis strain L21-TH-D2 NODE_2, whole genome shotgun sequence",Caldisalinibacter kiritimatiensis,161,161,81%,7.00E-42,33.07,31730,NZ_ARZA01000274.1
"Megasphaera paucivorans strain DSM 16981, whole genome shotgun sequence",Megasphaera paucivorans,160,160,81%,1.00E-41,37.05,65104,NZ_FNHQ01000017.1
"Clostridium formicaceticum strain DSM 92 chromosome, complete genome",Clostridium formicaceticum,160,160,81%,1.00E-41,34.26,4586728,NZ_CP020559.1
"Anaeromusa acidaminophila DSM 3853 C508DRAFT_scaffold00003.3, whole genome shotgun sequence",Anaeromusa acidaminophila DSM 3853,160,160,81%,1.00E-41,35.86,182162,NZ_KB894584.1
"Anaeroarcus burkinensis DSM 6283 H523DRAFT_scaffold00004.4_C, whole genome shotgun sequence",Anaeroarcus burkinensis DSM 6283,160,160,81%,1.00E-41,35.86,380384,NZ_AUMI01000016.1
"Anaerovibrio lipolyticus DSM 3074, whole genome shotgun sequence",Anaerovibrio lipolyticus DSM 3074,160,160,81%,1.00E-41,37.3,226132,NZ_FQYW01000003.1
"Caloramator australicus RC3, whole genome shotgun sequence",Caloramator australicus RC3,160,160,81%,1.00E-41,33.07,32575,NZ_CAKP01000104.1
"Schaedlerella arabinosiphila strain DSM 106076 000000F_quiver_pilon, whole genome shotgun sequence",Schaedlerella arabinosiphila,160,650,81%,2.00E-41,33.07,6346997,NZ_RHJS01000002.1
"Clostridium aceticum strain DSM 1496 chromosome, complete genome",Clostridium aceticum,160,160,81%,2.00E-41,33.86,4201318,NZ_CP009687.1
"Thermobrachium celere DSM 8682, whole genome shotgun sequence",Thermobrachium celere DSM 8682,160,160,81%,2.00E-41,33.47,172707,NZ_HF952022.1
"Thermovenabulum gondwanense strain R270 ATZ99_contig000023, whole genome shotgun sequence",Thermovenabulum gondwanense,160,160,81%,2.00E-41,32.67,208766,NZ_LOHZ01000022.1
"Alkaliphilus metalliredigens QYMF, complete sequence",Alkaliphilus metalliredigens QYMF,159,259,81%,2.00E-41,35.06,4929566,NC_009633.1
"Thermoanaerobacter brockii subsp. finnii Ako-1, complete sequence",Thermoanaerobacter brockii subsp. finnii Ako-1,159,159,81%,3.00E-41,33.86,2344824,NC_014964.1
"Thermoanaerobacter pseudethanolicus ATCC 33223, complete sequence",Thermoanaerobacter pseudethanolicus ATCC 33223,159,159,81%,3.00E-41,33.86,2362816,NC_010321.1
"Butyrivibrio hungatei DSM 14810, whole genome shotgun sequence",Butyrivibrio hungatei DSM 14810,159,159,81%,3.00E-41,33.07,168281,NZ_FRDH01000009.1
"Moorella humiferrea strain DSM 23265 MOHU_contig000025, whole genome shotgun sequence",Moorella humiferrea,159,159,81%,4.00E-41,33.86,50169,NZ_PVXM01000025.1
"Tindallia californiensis strain APO, whole genome shotgun sequence",Tindallia californiensis,159,159,82%,6.00E-41,33.46,148557,NZ_FNPV01000009.1
"Caloranaerobacter azorensis H53214 contig79, whole genome shotgun sequence",Caloranaerobacter azorensis H53214,158,158,81%,7.00E-41,33.86,7684,NZ_AZTB01000079.1
"Megasphaera hominis strain NSJ-59 N28_ctg007, whole genome shotgun sequence",Megasphaera hominis,158,158,81%,7.00E-41,37.4,100466,NZ_JACOGK010000007.1
"Anaerovorax odorimutans DSM 5092 K292DRAFT_scaffold00020.20_C, whole genome shotgun sequence",Anaerovorax odorimutans DSM 5092,158,158,80%,8.00E-41,33.47,40939,NZ_AUFC01000023.1
"Caloramator proteoclasticus DSM 10124, whole genome shotgun sequence",Caloramator proteoclasticus DSM 10124,158,158,81%,8.00E-41,33.86,22754,NZ_FQVG01000043.1
"Tindallia magadiensis strain Z-7934, whole genome shotgun sequence",Tindallia magadiensis,158,158,82%,8.00E-41,33.46,94821,NZ_FOQA01000009.1
"Dorea longicatena strain 1001283B150210_160208_H7 NODE_14_length_71861_cov_56.1734, whole genome shotgun sequence",Dorea longicatena,158,283,81%,9.00E-41,33.07,71861,NZ_JADMOH010000014.1
"Anaerobium acetethylicum strain GluBS11, whole genome shotgun sequence",Anaerobium acetethylicum,158,158,81%,1.00E-40,33.86,238805,NZ_FMKA01000004.1
"Caminicella sporogenes strain AM 1114 contig_5, whole genome shotgun sequence",Caminicella sporogenes,157,157,80%,1.00E-40,33.47,167995,NZ_MCHZ01000027.1
"Thermoanaerobacter thermohydrosulfuricus strain DSM 569, whole genome shotgun sequence",Thermoanaerobacter thermohydrosulfuricus,157,157,81%,1.00E-40,33.86,16741,NZ_FNBS01000056.1
"Thermoanaerobacter wiegelii Rt8.B1, complete sequence",Thermoanaerobacter wiegelii Rt8.B1,157,157,81%,1.00E-40,33.86,2785056,NC_015958.1
"Thermoanaerobacter ethanolicus JW 200 chromosome, complete genome",Thermoanaerobacter ethanolicus JW 200,157,157,81%,1.00E-40,33.86,2911280,NZ_CP033580.1
"Peribacillus loiseleuriae strain FJAT-27997 Scaffold1, whole genome shotgun sequence",Peribacillus loiseleuriae,157,157,80%,1.00E-40,34.68,5138704,NZ_LFZW01000001.1
"Pseudoclostridium thermosuccinogenes strain DSM 5807 chromosome, complete genome",Pseudoclostridium thermosuccinogenes,157,258,81%,2.00E-40,34.26,4731216,NZ_CP021850.1
"Merdimonas faecis strain BR31 BR31_L001_R1_001_(paired)_contig_8, whole genome shotgun sequence",Merdimonas faecis,157,157,81%,2.00E-40,33.47,64154,NZ_MIEH01000008.1
"Clostridium saccharoperbutylacetonicum N1-4(HMT), complete sequence",Clostridium saccharoperbutylacetonicum N1-4(HMT),157,216,80%,2.00E-40,34.27,6530257,NC_020291.1
"Hydrogenispora ethanolica strain LX-B Ga0244694_1002, whole genome shotgun sequence",Hydrogenispora ethanolica,157,157,80%,2.00E-40,34.27,364062,NZ_SLUN01000002.1
"Thermoanaerobacter siderophilus SR4 chromosome, whole genome shotgun sequence",Thermoanaerobacter siderophilus SR4,157,157,81%,2.00E-40,33.86,2540159,NZ_CM001486.1
"Angelakisella massiliensis strain Marseille-P3217T, whole genome shotgun sequence",Angelakisella massiliensis,157,327,83%,2.00E-40,36.25,2993682,NZ_LT629945.1
"Thermoanaerobacter italicus Ab9, complete sequence",Thermoanaerobacter italicus Ab9,157,157,81%,2.00E-40,33.07,2451061,NC_013921.1
"Propionispira raffinosivorans DSM 20765 F606DRAFT_scaffold00033.33, whole genome shotgun sequence",Propionispira raffinosivorans DSM 20765,157,157,81%,2.00E-40,33.07,32537,NZ_KB905871.1
"Clostridium chauvoei strain SBP 07/09 chromosome, complete genome",Clostridium chauvoei,157,157,81%,2.00E-40,33.07,2883701,NZ_CP027286.1
"Caldicellulosiruptor changbaiensis strain CBS-Z chromosome, complete genome",Caldicellulosiruptor changbaiensis,157,157,80%,2.00E-40,33.99,2905633,NZ_CP034791.1
"Alkaliphilus peptidifermentans DSM 18978, whole genome shotgun sequence",Alkaliphilus peptidifermentans DSM 18978,157,157,81%,2.00E-40,32.27,133170,NZ_FMUS01000011.1
"Megasphaera cerevisiae strain NSB1 NODE_55_length_15626_cov_37.2749, whole genome shotgun sequence",Megasphaera cerevisiae,157,157,81%,2.00E-40,36.22,15626,NZ_MQNM01000055.1
"Caldicellulosiruptor saccharolyticus DSM 8903, complete sequence",Caldicellulosiruptor saccharolyticus DSM 8903,156,156,80%,3.00E-40,33.99,2970275,NC_009437.1
"Haloimpatiens massiliensis strain Mt13, whole genome shotgun sequence",Haloimpatiens massiliensis,156,156,81%,3.00E-40,32.27,357959,NZ_LT854637.1
"Bacillus dakarensis strain Marseille-P3515T, whole genome shotgun sequence",Bacillus dakarensis,156,156,81%,3.00E-40,35.46,3636411,NZ_LT707409.1
"Gottschalkia purinilytica strain DSM 1384 CLPU_19c, whole genome shotgun sequence",Gottschalkia purinilytica,156,156,81%,3.00E-40,31.87,59919,NZ_LGSS01000019.1
"Pelosinus fermentans strain R7, DSM 17108, whole genome shotgun sequence",Pelosinus fermentans,156,156,81%,3.00E-40,34.26,5009075,NZ_FNKF01000002.1
"Butyricicoccus faecihominis strain JCM 31056 sequence05, whole genome shotgun sequence",Butyricicoccus faecihominis,156,156,81%,3.00E-40,35.46,229121,NZ_BMQH01000005.1
"Pelosinus propionicus DSM 13327, whole genome shotgun sequence",Pelosinus propionicus DSM 13327,156,156,80%,3.00E-40,34.27,80631,NZ_FOTS01000020.1
"Thermoanaerobacter kivui strain LKT-1 chromosome, complete genome",Thermoanaerobacter kivui,156,156,81%,4.00E-40,33.47,2397824,NZ_CP009170.1
"Calidifontibacillus erzurumensis strain P2 P2-assembly-2020_contig_15, whole genome shotgun sequence",Calidifontibacillus erzurumensis,156,156,80%,4.00E-40,34.27,91689,NZ_JABTTE010000015.1
"Fervidicola ferrireducens strain Y170 AN618_contig000020, whole genome shotgun sequence",Fervidicola ferrireducens,156,156,81%,4.00E-40,33.2,42249,NZ_LOED01000020.1
"Thermoanaerobacter thermocopriae JCM 7501 strain ATCC 51646 L887DRAFT_scaffold00051.51_C, whole genome shotgun sequence",Thermoanaerobacter thermocopriae JCM 7501,155,155,81%,4.00E-40,32.67,2707,NZ_JADV01000053.1
"Geosporobacter subterraneus DSM 17957, whole genome shotgun sequence",Geosporobacter subterraneus DSM 17957,155,155,81%,5.00E-40,33.86,61829,NZ_FQZV01000023.1
"Syntrophomonas zehnderi OL-4, whole genome shotgun sequence",Syntrophomonas zehnderi OL-4,155,155,81%,5.00E-40,34.66,24158,NZ_CGIH01000033.1
"Thermoanaerobacter uzonensis DSM 18761, whole genome shotgun sequence",Thermoanaerobacter uzonensis DSM 18761,155,155,81%,6.00E-40,33.07,94069,NZ_FQUR01000013.1
"Natronincola ferrireducens strain DSM 18346, whole genome shotgun sequence",Natronincola ferrireducens,155,155,80%,6.00E-40,32.66,75563,NZ_FNFP01000009.1
"Fervidicella metallireducens AeB contig00016, whole genome shotgun sequence",Fervidicella metallireducens AeB,155,155,81%,6.00E-40,32.27,53565,NZ_AZQP01000016.1
"Thermoanaerobacter mathranii subsp. mathranii str. A3, complete sequence",Thermoanaerobacter mathranii subsp. mathranii str. A3,155,155,81%,6.00E-40,32.67,2306092,NC_014209.1
"Clostridium cylindrosporum DSM 605 CLCY_3c, whole genome shotgun sequence",Clostridium cylindrosporum DSM 605,155,155,81%,6.00E-40,33.07,312805,NZ_LFVU01000026.1
"Clostridium polynesiense isolate MGYG-HGUT-01479, whole genome shotgun sequence",Clostridium polynesiense,155,155,81%,7.00E-40,32.67,40095,NZ_CABKTP010000146.1
"Anaerocolumna cellulosilytica strain SN021 chromosome, complete genome",Anaerocolumna cellulosilytica,155,267,81%,7.00E-40,33.86,5430627,NZ_AP023367.1
"Caloranaerobacter ferrireducens strain DY22619 contig13, whole genome shotgun sequence",Caloranaerobacter ferrireducens,155,155,81%,7.00E-40,33.47,21345,NZ_MDJR01000013.1
"Desulfallas gibsoniae DSM 7213, complete sequence",Desulfallas gibsoniae DSM 7213,155,155,81%,8.00E-40,33.86,4855529,NC_021184.1
"Geosporobacter ferrireducens strain IRF9, complete sequence",Geosporobacter ferrireducens,155,264,81%,8.00E-40,33.07,5792634,NZ_CP017269.1
"Natranaerovirga pectinivora strain DSM 24629 Ga0244691_112, whole genome shotgun sequence",Natranaerovirga pectinivora,155,155,81%,8.00E-40,33.07,78336,NZ_SMAL01000012.1
"[Ruminococcus] torques strain AM22-16 AM22-16.Scaf44, whole genome shotgun sequence",[Ruminococcus] torques,155,155,81%,8.00E-40,31.87,20587,NZ_QRIH01000044.1
"Lutispora thermophila DSM 19022, whole genome shotgun sequence",Lutispora thermophila DSM 19022,155,155,81%,9.00E-40,34.26,40399,NZ_FQZS01000025.1
"[Clostridium] hylemonae strain BSD2780061688st1_A6 NODE_18_length_93955_cov_62.1639, whole genome shotgun sequence",[Clostridium] hylemonae,155,155,81%,9.00E-40,32.27,93955,NZ_SPFR01000018.1
"Caldicoprobacter oshimai DSM 21659 K363DRAFT_scaffold00005.5_C, whole genome shotgun sequence",Caldicoprobacter oshimai DSM 21659,155,155,81%,1.00E-39,32.27,46582,NZ_JAGB01000005.1
"Marvinbryantia formatexigens strain I-52, whole genome shotgun sequence",Marvinbryantia formatexigens,155,155,81%,1.00E-39,32.4,78635,NZ_FNBY01000022.1
"Hungateiclostridium thermocellum DSM 2360, complete genome",Hungateiclostridium thermocellum DSM 2360,155,155,81%,1.00E-39,32.67,3577579,NZ_CP016502.1
"Dorea phocaeensis strain Marseille-P4003, whole genome shotgun sequence",Dorea phocaeensis,155,281,81%,1.00E-39,31.47,637407,NZ_OEPZ01000002.1
"Anaerostipes rhamnosivorans strain 1y2 chromosome, complete genome",Anaerostipes rhamnosivorans,155,155,81%,1.00E-39,33.07,3588860,NZ_CP040058.1
"Lachnoclostridium phytofermentans ISDg, complete sequence",Lachnoclostridium phytofermentans ISDg,154,154,81%,1.00E-39,33.47,4847594,NC_010001.1
"Anaerocolumna aminovalerica isolate src1, whole genome shotgun sequence",Anaerocolumna aminovalerica,154,154,81%,1.00E-39,33.07,89550,NZ_OAOG01000019.1
"Anaerobacterium chartisolvens strain DSM 27016 Ga0244570_112, whole genome shotgun sequence",Anaerobacterium chartisolvens,154,154,81%,1.00E-39,32.67,147930,NZ_QPJT01000012.1
"Thermoclostridium caenicola strain DSM 19027, whole genome shotgun sequence",Thermoclostridium caenicola,154,154,81%,1.00E-39,33.59,67988,NZ_FQZP01000009.1
"Caldanaerobacter subterraneus subsp. tengcongensis MB4, complete sequence",Caldanaerobacter subterraneus subsp. tengcongensis MB4,154,154,81%,1.00E-39,33.47,2689445,NC_003869.1
"Acetivibrio mesophilus strain N2K1 seq34, whole genome shotgun sequence",Acetivibrio mesophilus,154,154,81%,1.00E-39,33.07,23605,NZ_RLII01000034.1
"Megasphaera hexanoica strain Oil-RF-744-FAT-WT-6-1 Contig_5, whole genome shotgun sequence",Megasphaera hexanoica,154,154,81%,1.00E-39,37.4,168479,NZ_JABAFG010000005.1
"[Clostridium] scindens ATCC 35704 chromosome, complete genome",[Clostridium] scindens ATCC 35704,154,312,81%,2.00E-39,31.87,3658040,NZ_CP036170.1
