Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Tepidibacter thalassicus DSM 15285, whole genome shotgun sequence",Tepidibacter thalassicus DSM 15285,245,245,89%,2.00E-71,51,362981,NZ_FQXH01000005.1
"Thermotalea metallivorans strain B2-1 AN619_contig000026, whole genome shotgun sequence",Thermotalea metallivorans,244,244,89%,6.00E-71,50.6,233164,NZ_LOEE01000019.1
"Anaerotignum faecicola strain KCTC 15736 Contigs14, whole genome shotgun sequence",Anaerotignum faecicola,243,243,89%,1.00E-70,50.2,461116,NZ_BHVZ01000014.1
"Carboxydocella sporoproducens DSM 16521, whole genome shotgun sequence",Carboxydocella sporoproducens DSM 16521,241,241,89%,5.00E-70,50.2,21425,NZ_FUXM01000040.1
"Carboxydocella thermautotrophica strain 041T chromosome, complete genome",Carboxydocella thermautotrophica,241,294,89%,5.00E-70,50.2,2690058,NZ_CP028514.1
"Calorimonas adulescens strain A05MB NODE_7_length_120950_cov_9.886968, whole genome shotgun sequence",Calorimonas adulescens,241,241,89%,5.00E-70,51.79,120950,NZ_VTPS01000007.1
"Anaerotignum propionicum DSM 1682, complete genome",Anaerotignum propionicum DSM 1682,241,241,89%,6.00E-70,49.4,3120417,NZ_CP014223.1
"Anaerotignum lactatifermentans DSM 14214, whole genome shotgun sequence",Anaerotignum lactatifermentans DSM 14214,239,239,89%,1.00E-69,49,108091,NZ_FRAH01000006.1
Romboutsia ilealis strain CRIB chromosome 1,Romboutsia ilealis,238,238,89%,4.00E-69,50,2581778,NZ_LN555523.1
"Alkaliphilus peptidifermentans DSM 18978, whole genome shotgun sequence",Alkaliphilus peptidifermentans DSM 18978,238,291,97%,4.00E-69,47.06,201299,NZ_FMUS01000004.1
"Romboutsia timonensis strain Marseille-P326, whole genome shotgun sequence",Romboutsia timonensis,238,238,89%,5.00E-69,50,2358301,NZ_LT629850.1
"[Eubacterium] tenue strain 1001254J_160919_B3 NODE_1_length_1691326_cov_39.9034, whole genome shotgun sequence",[Eubacterium] tenue,238,238,89%,6.00E-69,48.81,1691326,NZ_JADPFO010000001.1
"Paraclostridium bifermentans ATCC 638 gcdATCC638.contig.14, whole genome shotgun sequence",Paraclostridium bifermentans ATCC 638,238,238,89%,7.00E-69,48.81,2254808,NZ_AVNC01000015.1
"Tepidibacter mesophilus strain JCM 16806, whole genome shotgun sequence",Tepidibacter mesophilus,238,238,89%,8.00E-69,49.8,358450,NZ_BDQY01000001.1
"Paraclostridium dentum strain SKVG24 NODE_2_length_339133_cov_55-253642, whole genome shotgun sequence",Paraclostridium dentum,237,237,89%,1.00E-68,48.81,339133,NZ_WIPK01000002.1
"Clostridium thiosulfatireducens isolate src6, whole genome shotgun sequence",Clostridium thiosulfatireducens,237,237,89%,1.00E-68,48.81,2207958,NZ_OAOI01000014.1
"Paraclostridium benzoelyticum strain JC272 contig291, whole genome shotgun sequence",Paraclostridium benzoelyticum,237,237,89%,1.00E-68,48.81,38927,NZ_LBBT01000271.1
"Pelotomaculum propionicicum strain MGP Pmgp_5, whole genome shotgun sequence",Pelotomaculum propionicicum,237,237,89%,1.00E-68,50.2,150878,NZ_QFFZ01000005.1
"Moorella thermoacetica strain DSM 103284, complete genome",Moorella thermoacetica,237,237,89%,1.00E-68,50.2,2560375,NZ_CP017237.1
"Desulfotomaculum hydrothermale Lam5 = DSM 18033 strain type strain: Lam5 = DSM 18033, whole genome shotgun sequence",Desulfotomaculum hydrothermale Lam5 = DSM 18033,237,237,89%,1.00E-68,49,115758,NZ_CAOS01000004.1
"Orenia metallireducens strain Z6 2524618313, whole genome shotgun sequence",Orenia metallireducens,237,237,89%,2.00E-68,51.41,837414,NZ_LWDV01000010.1
Biomaibacter acetigenes strain SK-G1 chromosome,Biomaibacter acetigenes,236,299,89%,2.00E-68,50.99,3398411,NZ_CP033169.1
"Pelosinus fermentans strain R7, DSM 17108, whole genome shotgun sequence",Pelosinus fermentans,236,289,89%,2.00E-68,48.4,5009075,NZ_FNKF01000002.1
"Terrisporobacter othiniensis strain 08-306576 Contig109, whole genome shotgun sequence",Terrisporobacter othiniensis,236,236,89%,2.00E-68,48.41,156581,NZ_JWHR01000109.1
"Pelosinus propionicus DSM 13327, whole genome shotgun sequence",Pelosinus propionicus DSM 13327,236,236,89%,2.00E-68,48.4,127571,NZ_FOTS01000013.1
"Syntrophomonas zehnderi OL-4, whole genome shotgun sequence",Syntrophomonas zehnderi OL-4,236,236,89%,3.00E-68,51.42,78177,NZ_CGIH01000053.1
"Alkaliphilus oremlandii OhILAs, complete sequence",Alkaliphilus oremlandii OhILAs,236,236,89%,3.00E-68,49.6,3123558,NC_009922.1
Thermanaeromonas toyohensis ToBE chromosome I,Thermanaeromonas toyohensis ToBE,236,236,89%,3.00E-68,49.8,3334124,NZ_LT838272.1
"Romboutsia lituseburensis DSM 797, whole genome shotgun sequence",Romboutsia lituseburensis DSM 797,236,236,89%,3.00E-68,48.81,461350,NZ_FNGW01000004.1
"Carboxydothermus ferrireducens DSM 11255 Ga0395992_02, whole genome shotgun sequence",Carboxydothermus ferrireducens DSM 11255,236,236,89%,4.00E-68,49.6,812699,NZ_JACCBS010000002.1
"Carboxydothermus hydrogenoformans Z-2901, complete sequence",Carboxydothermus hydrogenoformans Z-2901,236,236,89%,4.00E-68,49.6,2401520,NC_007503.1
"Caloramator proteoclasticus DSM 10124, whole genome shotgun sequence",Caloramator proteoclasticus DSM 10124,236,236,89%,4.00E-68,49.6,96638,NZ_FQVG01000004.1
"Orenia marismortui strain MSL 6dP Ga0206412_122, whole genome shotgun sequence",Orenia marismortui,235,235,89%,4.00E-68,49.4,47567,NZ_SOEG01000022.1
"Paeniclostridium sordellii strain AM370, complete sequence",Paeniclostridium sordellii,235,235,89%,4.00E-68,48.41,3550458,NZ_CP014150.1
"Blautia faecicola strain KGMB01111 KGMB01111_contig00001, whole genome shotgun sequence",Blautia faecicola,235,235,89%,5.00E-68,50.6,3589629,NZ_SDKC01000001.1
"Clostridium formicaceticum strain DSM 92 chromosome, complete genome",Clostridium formicaceticum,235,235,89%,5.00E-68,49.6,4586728,NZ_CP020559.1
"Thermoanaerobacter kivui strain LKT-1 chromosome, complete genome",Thermoanaerobacter kivui,235,235,89%,6.00E-68,51.79,2397824,NZ_CP009170.1
"Caloramator quimbayensis strain USBA 833, whole genome shotgun sequence",Caloramator quimbayensis,235,235,89%,7.00E-68,51.01,59773,NZ_FUYH01000016.1
"Anaerovirgula multivorans strain SCA, whole genome shotgun sequence",Anaerovirgula multivorans,234,234,89%,8.00E-68,49.4,187094,NZ_FZOJ01000008.1
"Carboxydothermus pertinax strain Ug1, whole genome shotgun sequence",Carboxydothermus pertinax,234,234,89%,8.00E-68,49.6,173577,NZ_BDJK01000003.1
"Clostridium aceticum strain DSM 1496 chromosome, complete genome",Clostridium aceticum,234,234,89%,8.00E-68,50.2,4201318,NZ_CP009687.1
"Anaerotignum neopropionicum strain DSM-3847 CLNEO_contig000001, whole genome shotgun sequence",Anaerotignum neopropionicum,234,234,89%,8.00E-68,48.59,734541,NZ_LRVM01000001.1
"Terrisporobacter glycolicus ATCC 14880 = DSM 1288 G483DRAFT_scaffold00001.1, whole genome shotgun sequence",Terrisporobacter glycolicus ATCC 14880 = DSM 1288,234,234,89%,8.00E-68,48.02,2636478,NZ_KE392228.1
"Christensenella timonensis strain Marseille-P2437T, whole genome shotgun sequence",Christensenella timonensis,234,234,89%,1.00E-67,51,2314156,NZ_FLKP01000002.1
"Romboutsia maritimum strain CCRI-22766 CCRI-22766_NODE_6_length_127241_cov_440.129, whole genome shotgun sequence",Romboutsia maritimum,234,234,89%,1.00E-67,48.81,127241,NZ_NOJZ02000006.1
"Thermoanaerobacter mathranii subsp. mathranii str. A3, complete sequence",Thermoanaerobacter mathranii subsp. mathranii str. A3,234,234,89%,1.00E-67,51.42,2306092,NC_014209.1
"Desulfotomaculum reducens MI-1, complete sequence",Desulfotomaculum reducens MI-1,234,234,89%,1.00E-67,49,3608104,NC_009253.1
"Anaerocolumna jejuensis DSM 15929, whole genome shotgun sequence",Anaerocolumna jejuensis DSM 15929,234,234,89%,1.00E-67,49.19,777271,NZ_FRAC01000006.1
"Alkaliphilus transvaalensis ATCC 700919 T335DRAFT_scaffold00001.1_C, whole genome shotgun sequence",Alkaliphilus transvaalensis ATCC 700919,234,293,97%,1.00E-67,46.32,481068,NZ_JHYF01000001.1
"Thermoanaerobacter wiegelii Rt8.B1, complete sequence",Thermoanaerobacter wiegelii Rt8.B1,234,234,89%,1.00E-67,51.42,2785056,NC_015958.1
"Thermoanaerobacter thermocopriae JCM 7501 strain ATCC 51646 L887DRAFT_scaffold00003.3_C, whole genome shotgun sequence",Thermoanaerobacter thermocopriae JCM 7501,234,234,89%,2.00E-67,51.42,159049,NZ_JADV01000004.1
"Thermoanaerobacter italicus Ab9, complete sequence",Thermoanaerobacter italicus Ab9,234,234,89%,2.00E-67,51.42,2451061,NC_013921.1
"Romboutsia weinsteinii strain CCRI-19649 CCRI-19649_NODE_1_length_224263_cov_194.735, whole genome shotgun sequence",Romboutsia weinsteinii,234,234,89%,2.00E-67,48.81,224263,NZ_NOJY02000001.1
"Defluviitalea phaphyphila strain Alg1 scaffold3, whole genome shotgun sequence",Defluviitalea phaphyphila,233,233,89%,2.00E-67,49.21,259480,NZ_JWID01000003.1
"Desulfonispora thiosulfatigenes DSM 11270, whole genome shotgun sequence",Desulfonispora thiosulfatigenes DSM 11270,233,233,89%,2.00E-67,49,94449,NZ_FWWT01000020.1
"Thermoanaerobacter brockii subsp. finnii Ako-1, complete sequence",Thermoanaerobacter brockii subsp. finnii Ako-1,233,233,89%,2.00E-67,51.01,2344824,NC_014964.1
"Thermoanaerobacter pseudethanolicus ATCC 33223, complete sequence",Thermoanaerobacter pseudethanolicus ATCC 33223,233,233,89%,2.00E-67,51.01,2362816,NC_010321.1
"Thermobrachium celere DSM 8682, whole genome shotgun sequence",Thermobrachium celere DSM 8682,233,233,88%,2.00E-67,49.39,1976539,NZ_HF952018.1
"Carboxydothermus islandicus strain SET IS-9, whole genome shotgun sequence",Carboxydothermus islandicus,233,233,89%,2.00E-67,49.21,72771,NZ_BDJL01000141.1
"Desulfotomaculum putei DSM 12395, whole genome shotgun sequence",Desulfotomaculum putei DSM 12395,233,233,89%,3.00E-67,47.81,202401,NZ_FQUY01000002.1
"Defluviitalea raffinosedens strain 249c-K6 seq1, whole genome shotgun sequence",Defluviitalea raffinosedens,233,233,89%,3.00E-67,49.8,524752,NZ_WSLF01000001.1
"Terrisporobacter mayombei strain ban5-GNNATD2-55 T79_ctg00001, whole genome shotgun sequence",Terrisporobacter mayombei,233,233,89%,3.00E-67,48.21,344381,NZ_JACRYU010000016.1
"Thermoanaerobacter uzonensis DSM 18761, whole genome shotgun sequence",Thermoanaerobacter uzonensis DSM 18761,233,233,89%,4.00E-67,51.01,84534,NZ_FQUR01000015.1
"Asaccharospora irregularis DSM 2635, whole genome shotgun sequence",Asaccharospora irregularis DSM 2635,233,233,89%,5.00E-67,49.8,69993,NZ_FQWX01000013.1
"Intestinibacter bartlettii isolate MGYG-HGUT-00062, whole genome shotgun sequence",Intestinibacter bartlettii,232,232,90%,5.00E-67,48.41,1660681,NZ_CABIXZ010000001.1
"Desulfotomaculum ferrireducens strain GSS09 chromosome, complete genome",Desulfotomaculum ferrireducens,232,232,89%,5.00E-67,49,3240180,NZ_CP019698.1
"Thermoanaerobacter thermohydrosulfuricus strain DSM 569, whole genome shotgun sequence",Thermoanaerobacter thermohydrosulfuricus,232,232,89%,5.00E-67,50.2,21535,NZ_FNBS01000042.1
"[Clostridium] hiranonis strain DSM 13275 chromosome, complete genome",Peptacetobacter hiranonis,232,232,89%,5.00E-67,49.8,2521899,NZ_CP036523.1
"Thermoanaerobacter siderophilus SR4 chromosome, whole genome shotgun sequence",Thermoanaerobacter siderophilus SR4,232,232,89%,5.00E-67,50.2,2540159,NZ_CM001486.1
"Thermoanaerobacter ethanolicus JW 200 chromosome, complete genome",Thermoanaerobacter ethanolicus JW 200,232,232,89%,5.00E-67,50.2,2911280,NZ_CP033580.1
"Anaerobutyricum hallii strain AM34-3LB AM34-3LB.Scaf6, whole genome shotgun sequence",Anaerobutyricum hallii,232,232,89%,5.00E-67,48.58,182460,NZ_QSID01000006.1
"Geosporobacter subterraneus DSM 17957, whole genome shotgun sequence",Geosporobacter subterraneus DSM 17957,232,232,89%,6.00E-67,47.41,28601,NZ_FQZV01000051.1
"Thermoanaerosceptrum fracticalcis strain DRI-13 chromosome, complete genome",Thermoanaerosceptrum fracticalcis,232,290,89%,6.00E-67,49,3805411,NZ_CP045798.1
"Catabacter hongkongensis strain ABBA15k Contig_8, whole genome shotgun sequence",Catabacter hongkongensis,232,232,89%,6.00E-67,50.2,79666,NZ_LLYX01000092.1
