Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Nitratifractor salsuginis DSM 16511, complete sequence",Nitratifractor salsuginis DSM 16511,220,220,90%,5.00E-64,45.11,2101285,NC_014935.1
"Campylobacter rectus strain ATCC 33238 chromosome, complete genome",Campylobacter rectus,216,216,89%,1.00E-62,42.64,2571679,NZ_CP012543.1
"Campylobacter corcagiensis strain LMG 27932 chromosome, complete genome",Campylobacter corcagiensis,214,214,90%,4.00E-62,41.89,1655616,NZ_CP053842.1
"Campylobacter gracilis strain ATCC 33236 chromosome, complete genome",Campylobacter gracilis,214,214,90%,6.00E-62,42.86,2281652,NZ_CP012196.1
"Campylobacter sputorum bv. paraureolyticus LMG 11764 strain LMG 17589, complete genome",Campylobacter sputorum bv. paraureolyticus LMG 11764,214,214,89%,6.00E-62,42.59,1725016,NZ_CP019684.1
"Sulfurospirillum arcachonense DSM 9755 K354DRAFT_scaffold00002.2_C, whole genome shotgun sequence",Sulfurospirillum arcachonense DSM 9755,213,213,89%,9.00E-62,42.48,263433,NZ_JFBL01000002.1
"Sulfurospirillum cavolei strain UCH003 chromosome, complete genome",Sulfurospirillum cavolei,213,213,89%,2.00E-61,42.11,2698323,NZ_AP014724.1
"Sulfurospirillum deleyianum DSM 6946, complete sequence",Sulfurospirillum deleyianum DSM 6946,213,213,89%,2.00E-61,42.11,2306351,NC_013512.1
"Sulfurospirillum arsenophilum NBRC 109478, whole genome shotgun sequence",Sulfurospirillum arsenophilum NBRC 109478,212,212,89%,2.00E-61,42.11,892792,NZ_BBQF01000001.1
"Sulfurospirillum halorespirans DSM 13726 strain PCE-M2 chromosome, complete genome",Sulfurospirillum halorespirans DSM 13726,212,212,89%,2.00E-61,42.11,3029840,NZ_CP017111.1
"Sulfurospirillum multivorans DSM 12446 chromosome, complete genome",Sulfurospirillum multivorans DSM 12446,212,212,89%,2.00E-61,42.11,3175729,NZ_CP007201.1
"Sulfurospirillum barnesii SES-3, complete sequence",Sulfurospirillum barnesii SES-3,212,212,89%,2.00E-61,42.11,2510109,NC_018002.1
"Sulfurimonas autotrophica DSM 16294, complete sequence",Sulfurimonas autotrophica DSM 16294,211,211,90%,5.00E-61,43.45,2153198,NC_014506.1
"Campylobacter showae strain ATCC 51146, complete genome",Campylobacter showae,211,211,88%,7.00E-61,42.53,2097887,NZ_CP012544.1
"Campylobacter geochelonis strain LMG 29375 chromosome, complete genome",Campylobacter geochelonis,211,211,90%,9.00E-61,42.48,2167961,NZ_CP053844.1
"Sulfurimonas gotlandica GD1 chromosome, whole genome shotgun sequence",Sulfurimonas gotlandica GD1,210,292,90%,1.00E-60,43.23,2952682,NZ_AFRZ01000001.1
"Campylobacter iguaniorum strain 2463D chromosome, complete genome",Campylobacter iguaniorum,210,210,89%,1.00E-60,42.05,1809624,NZ_CP010995.1
"Hydrogenimonas thermophila strain EP1-55-1, whole genome shotgun sequence",Hydrogenimonas thermophila,210,210,89%,2.00E-60,41.73,23677,NZ_FOXB01000034.1
"Campylobacter insulaenigrae NCTC 12927, complete genome",Campylobacter insulaenigrae NCTC 12927,209,209,89%,2.00E-60,42.32,1465081,NZ_CP007770.1
"Sulfurovum riftiae strain 1812E contig_1, whole genome shotgun sequence",Sulfurovum riftiae,209,209,89%,2.00E-60,42.8,477810,NZ_LNKT01000001.1
"Campylobacter fetus strain CFF00A031 chromosome, complete genome",Campylobacter fetus,209,209,89%,2.00E-60,41.89,1777789,NZ_CP059443.1
"Campylobacter lari RM2100, complete sequence",Campylobacter lari RM2100,209,209,89%,2.00E-60,42.11,1525460,NC_012039.1
"Campylobacter armoricus strain CCUG 73571 chromosome, complete genome",Campylobacter armoricus,209,209,89%,2.00E-60,42.11,1642612,NZ_CP053825.1
"Campylobacter subantarcticus LMG 24377, complete genome",Campylobacter subantarcticus LMG 24377,209,209,89%,2.00E-60,42.11,1852995,NZ_CP007773.1
"Campylobacter lanienae NCTC 13004, complete genome",Campylobacter lanienae NCTC 13004,209,209,89%,3.00E-60,41.13,1594554,NZ_CP015578.1
"Campylobacter canadensis strain LMG 24001 chromosome, complete genome",Campylobacter canadensis,209,260,89%,3.00E-60,41.98,1923009,NZ_CP035946.1
"Sulfurimonas indica strain NW8N contig17, whole genome shotgun sequence",Sulfurimonas indica,208,208,90%,5.00E-60,42.7,56350,NZ_SDID01000017.1
"Campylobacter ornithocola strain LMG 29815 chromosome, complete genome",Campylobacter ornithocola,208,208,89%,5.00E-60,41.73,1644930,NZ_CP053848.1
"Campylobacter pinnipediorum subsp. pinnipediorum strain RM17261, complete genome",Campylobacter pinnipediorum subsp. pinnipediorum,207,207,90%,9.00E-60,43.49,1744112,NZ_CP012547.1
"Campylobacter peloridis strain 2016D-0074 chromosome, complete genome",Campylobacter peloridis,207,207,89%,9.00E-60,42.11,1679360,NZ_CP063079.1
"Campylobacter concisus strain ATCC 33237, complete genome",Campylobacter concisus,207,207,88%,1.00E-59,41.76,1840041,NZ_CP012541.1
"Campylobacter volucris LMG 24379, complete genome",Campylobacter volucris LMG 24379,207,207,89%,2.00E-59,41.35,1517949,NZ_CP007774.1
"Sulfurimonas paralvinellae strain GO25 chromosome, complete genome",Sulfurimonas paralvinellae,207,207,90%,2.00E-59,42.7,2029060,NZ_CP041406.1
"Caminibacter mediatlanticus TB-2 chromosome, complete genome",Caminibacter mediatlanticus TB-2,207,207,89%,2.00E-59,44.87,1685887,NZ_CP040463.1
"Sulfurimonas hongkongensis strain AST-10 Contig13, whole genome shotgun sequence",Sulfurimonas hongkongensis,207,207,89%,2.00E-59,42.86,293928,NZ_AUPZ01000013.1
"Sulfuricurvum kujiense DSM 16994, complete sequence",Sulfuricurvum kujiense DSM 16994,206,206,89%,4.00E-59,42.54,2574824,NC_014762.1
"Campylobacter hepaticus strain HV10 chromosome, complete genome",Campylobacter hepaticus,206,206,89%,4.00E-59,41.89,1520669,NZ_CP031611.1
"Campylobacter novaezeelandiae strain B423b Contig2, whole genome shotgun sequence",Campylobacter novaezeelandiae,206,206,89%,4.00E-59,41.51,162700,NZ_QPGR01000002.1
"Cetia pacifica strain TB6 chromosome, complete genome",Cetia pacifica,206,255,89%,4.00E-59,43.98,1779337,NZ_CP027432.2
"Poseidonibacter antarcticus strain SM1702 1131d_scaffold6, whole genome shotgun sequence",Poseidonibacter antarcticus,206,206,89%,4.00E-59,42.59,182889,NZ_RCWF01000006.1
"Campylobacter cuniculorum DSM 23162 = LMG 24588 chromosome, complete genome",Campylobacter cuniculorum DSM 23162 = LMG 24588,205,205,89%,6.00E-59,41.89,1931011,NZ_CP020867.1
"Sulfurovum lithotrophicum strain ATCC BAA-797 chromosome, complete genome",Sulfurovum lithotrophicum,205,205,89%,8.00E-59,42.05,2217891,NZ_CP011308.1
"Campylobacter hominis strain NCTC13146, whole genome shotgun sequence",Campylobacter hominis,205,205,90%,9.00E-59,42.91,1711270,NZ_UFUL01000001.1
"Arcobacter venerupis strain LMG 26156 chromosome, complete genome",Arcobacter venerupis,205,205,89%,9.00E-59,42.59,3209085,NZ_CP053840.1
"Campylobacter estrildidarum strain MIT17-664 accn_209.293.con.0007, whole genome shotgun sequence",Campylobacter estrildidarum,204,204,89%,1.00E-58,41.13,85788,NZ_NXLZ01000007.1
"Campylobacter hyointestinalis subsp. lawsonii strain CHY5 chromosome, complete genome",Campylobacter hyointestinalis subsp. lawsonii,204,253,90%,1.00E-58,41.13,1803736,NZ_CP053828.1
"Pseudoarcobacter caeni strain RW17-10 NODE_4_length_211192_cov_37.7275_ID_2055, whole genome shotgun sequence",Arcobacter caeni,204,204,89%,1.00E-58,42.59,211192,NZ_MUXE01000004.1
"Nitratiruptor tergarcus DSM 16512, whole genome shotgun sequence",Nitratiruptor tergarcus DSM 16512,204,204,89%,1.00E-58,42.26,1894691,NZ_FWWZ01000001.1
"Campylobacter ureolyticus DSM 20703 C512DRAFT_scaffold00004.4, whole genome shotgun sequence",Campylobacter ureolyticus DSM 20703,204,204,88%,1.00E-58,42.91,155376,NZ_KB894733.1
"Arcobacter aquimarinus strain W63 chromosome, complete genome",Arcobacter aquimarinus,204,204,89%,1.00E-58,42.59,2520808,NZ_CP030944.1
"Arcobacter cloacae strain LMG 26153 chromosome, complete genome",Arcobacter cloacae,204,204,89%,1.00E-58,42.59,2621880,NZ_CP053833.1
"Campylobacter upsaliensis RM3940 chromosome, complete genome",Campylobacter upsaliensis RM3940,204,204,88%,2.00E-58,41.38,1628950,NZ_CP053849.1
"Arcobacter suis CECT 7833 chromosome, complete genome",Arcobacter suis CECT 7833,204,204,89%,2.00E-58,42.21,2639269,NZ_CP032100.1
"Helicobacter anseris strain MIT 04-9362 H_anseris_04-9362_1_22671459.5961, whole genome shotgun sequence",Helicobacter anseris,204,204,90%,2.00E-58,40.89,226714,NZ_NXLX01000001.1
