Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Thalassocella blandensis strain ISS155, whole genome shotgun sequence",Thalassocella blandensis,266,266,75%,8.00E-78,52.99,590828,NZ_CABFPG010000004.1
"Magnetococcus marinus MC-1, complete sequence",Magnetococcus marinus MC-1,157,157,69%,6.00E-40,37.65,4719581,NC_008576.1
"Magnetofaba australis IT-1 contig00020, whole genome shotgun sequence",Magnetofaba australis IT-1,152,152,69%,5.00E-38,36.59,1497610,NZ_LVJN01000020.1
"Sphingosinicella humi strain QZX222 contig1, whole genome shotgun sequence",Sphingosinicella humi,133,133,75%,1.00E-31,32.58,2704932,NZ_QFFF01000001.1
Allosphingosinicella indica strain Dd16 chromosome I,Allosphingosinicella indica,133,133,68%,1.00E-31,34.3,2807353,NZ_LT840185.1
"Aliidongia dinghuensis strain CGMCC 1.15725 sequence16, whole genome shotgun sequence",Aliidongia dinghuensis,132,132,63%,3.00E-31,37.33,193341,NZ_BMJQ01000016.1
"Sphingosinicella ginsenosidimutans strain BS-11 0BS11, whole genome shotgun sequence",Sphingosinicella ginsenosidimutans,132,132,63%,3.00E-31,36.16,3037769,NZ_VOQQ01000001.1
"Sphingosinicella microcystinivorans strain B-9 chromosome, complete genome",Sphingosinicella microcystinivorans,130,130,63%,9.00E-31,36.61,4036662,NZ_AP018711.1
"Limimonas halophila strain DSM 25584, whole genome shotgun sequence",Limimonas halophila,130,130,60%,1.00E-30,37.21,653550,NZ_FNCE01000001.1
"Sphingosinicella soli strain DSM 17328 Ga0373316_28, whole genome shotgun sequence",Sphingosinicella soli,129,129,63%,2.00E-30,35.71,54325,NZ_JACHNZ010000028.1
"Rhodospirillum rubrum F11, complete sequence",Rhodospirillum rubrum F11,128,128,63%,4.00E-30,36.89,4352825,NC_017584.1
"Allosphingosinicella vermicomposti strain KCTC 22446 ZB100000, whole genome shotgun sequence",Allosphingosinicella vermicomposti,127,127,68%,1.00E-29,32.38,1212955,NZ_PXYJ01000001.1
"Tardibacter chloracetimidivorans strain JJ-A5 chromosome, complete genome",Tardibacter chloracetimidivorans,127,127,63%,2.00E-29,36.16,3381342,NZ_CP018221.1
"Planktomarina temperata RCA23 chromosome, complete genome",Planktomarina temperata RCA23,127,127,64%,2.00E-29,34.63,3288122,NZ_CP003984.1
"Nereida ignava DSM 16309, whole genome shotgun sequence",Nereida ignava DSM 16309,126,126,68%,2.00E-29,36.33,163997,NZ_FORZ01000007.1
"Celeribacter marinus strain IMCC12053, complete genome",Celeribacter marinus,124,124,68%,2.00E-28,33.88,3096705,NZ_CP012023.1
"Sphingomonas solaris strain R4DWN NODE_170_length_3996_cov_7.61515, whole genome shotgun sequence",Sphingomonas solaris,123,123,65%,3.00E-28,33.33,3996,NZ_VNIM01000170.1
