Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Anaerohalosphaera lusitana strain ST-NAGAB-D1, complete genome",Anaerohalosphaera lusitana,206,530,89%,8.00E-59,42.52,4250973,NZ_CP019791.1
"Tautonia plasticadhaerens strain ElP chromosome, complete genome",Tautonia plasticadhaerens,189,514,91%,8.00E-53,41.31,8668938,NZ_CP036426.1
"Limihaloglobus sulfuriphilus strain SM-Chi-D1 chromosome, complete genome",Limihaloglobus sulfuriphilus,188,350,89%,1.00E-52,42.35,3868357,NZ_CP019646.1
"Tautonia sociabilis strain GM2012 NODE_5_length_171729_cov_6.09349_ID_931, whole genome shotgun sequence",Tautonia sociabilis,187,187,90%,2.00E-52,40.93,171729,NZ_RYZH01000005.1
"Singulisphaera acidiphila DSM 18658, complete sequence",Singulisphaera acidiphila DSM 18658,186,349,90%,9.00E-52,40.15,9629675,NC_019892.1
Stieleria neptunia strain Enr13 chromosome,Stieleria neptunia,183,396,90%,8.00E-51,37.45,10975817,NZ_CP037423.1
"Stieleria varia strain Pla52n Pla52n_contig00004, whole genome shotgun sequence",Stieleria varia,181,181,90%,4.00E-50,36.68,1170852,NZ_SJPN01000004.1
"Botrimarina colliarenosi strain Pla108 Pla108_contig00003, whole genome shotgun sequence",Botrimarina colliarenosi,180,180,89%,7.00E-50,40.3,587107,NZ_SJPR01000003.1
"Paludisphaera soli strain JC670 9, whole genome shotgun sequence",Paludisphaera soli,180,180,90%,1.00E-49,38.22,248174,NZ_JAALJI010000009.1
"Paludisphaera borealis strain PX4 chromosome, complete genome",Paludisphaera borealis,177,337,91%,6.00E-49,37.45,7497544,NZ_CP019082.1
"Rubripirellula obstinata strain LF1 LF1_contig00001, whole genome shotgun sequence",Rubripirellula obstinata,177,340,90%,7.00E-49,37.07,6586311,NZ_VRLW01000001.1
"Pirellula staleyi DSM 6068, complete sequence",Pirellula staleyi DSM 6068,177,349,91%,1.00E-48,37.84,6196199,NC_013720.1
"Rhodopirellula rubra strain CECT 8075 Ga0372409_32, whole genome shotgun sequence",Rhodopirellula rubra,177,324,91%,1.00E-48,37.4,84230,NZ_JACHXU010000032.1
"Thermogutta terrifontis strain R1, complete genome",Thermogutta terrifontis,176,399,89%,1.00E-48,38.52,4810751,NZ_CP018477.1
"Rubripirellula tenax strain Poly51 Poly51_contig00001, whole genome shotgun sequence",Rubripirellula tenax,176,176,91%,1.00E-48,37.4,1524178,NZ_SJPW01000001.1
Botrimarina mediterranea strain Spa11 chromosome,Botrimarina mediterranea,176,334,90%,2.00E-48,38.89,5871207,NZ_CP036349.1
"Rubripirellula reticaptiva strain Poly59 Poly59_contig00005, whole genome shotgun sequence",Rubripirellula reticaptiva,175,175,90%,5.00E-48,37.55,1090114,NZ_SJPX01000005.1
"Rhodopirellula sallentina SM41 cSM410146, whole genome shotgun sequence",Rhodopirellula sallentina SM41,174,174,90%,7.00E-48,37.45,29483,NZ_ANOH01000146.1
"Blastopirellula retiformator strain Enr8 Enr8_contig00003, whole genome shotgun sequence",Blastopirellula retiformator,174,174,90%,8.00E-48,36.68,1050701,NZ_SJPF01000003.1
"Aeoliella mucimassa strain Pan181 chromosome, complete genome",Aeoliella mucimassa,174,321,90%,1.00E-47,38.61,6608792,NZ_CP036278.1
"Aureliella helgolandensis strain Q31a chromosome, complete genome",Aureliella helgolandensis,173,430,90%,2.00E-47,36.68,8439957,NZ_CP036298.1
"Rhodopirellula maiorica SM1 cSM10542, whole genome shotgun sequence",Rhodopirellula maiorica SM1,173,173,90%,2.00E-47,38.08,11601,NZ_ANOG01000539.1
"Rubripirellula amarantea strain Pla22 Pla22_contig00002, whole genome shotgun sequence",Rubripirellula amarantea,173,173,90%,2.00E-47,35.91,1802762,NZ_SJPI01000002.1
"Rubripirellula tenax strain Poly51 Poly51_contig00007, whole genome shotgun sequence",Rubripirellula tenax,173,173,90%,2.00E-47,38.38,685749,NZ_SJPW01000007.1
"Botrimarina hoheduenensis strain Pla111 Pla111_contig00002, whole genome shotgun sequence",Botrimarina hoheduenensis,173,173,90%,2.00E-47,38.61,865482,NZ_SJPH01000002.1
"Rubripirellula reticaptiva strain Poly59 Poly59_contig00003, whole genome shotgun sequence",Rubripirellula reticaptiva,173,173,90%,3.00E-47,37.64,1192914,NZ_SJPX01000003.1
"Novipirellula galeiformis strain Pla52o Pla52o_contig00010, whole genome shotgun sequence",Novipirellula galeiformis,172,172,90%,3.00E-47,37.07,213639,NZ_SJPT01000010.1
"Rhodopirellula pilleata strain Pla100 Pla100_contig00002, whole genome shotgun sequence",Rhodopirellula pilleata,172,172,91%,4.00E-47,37.02,1063716,NZ_SJPM01000002.1
"Rhodopirellula islandica strain K833 K8330018, whole genome shotgun sequence",Rhodopirellula islandica,172,172,90%,5.00E-47,38.46,497880,NZ_LECT01000017.1
"Rubripirellula amarantea strain Pla22 Pla22_contig00003, whole genome shotgun sequence",Rubripirellula amarantea,172,172,91%,6.00E-47,38.1,983405,NZ_SJPI01000003.1
"Blastopirellula marina DSM 3645 scf_1099463000750, whole genome shotgun sequence",Blastopirellula marina DSM 3645,171,226,91%,1.00E-46,35.98,2020175,NZ_CH672377.1
"Lignipirellula cremea strain Pla85_3_4 chromosome, complete genome",Lignipirellula cremea,171,383,91%,1.00E-46,36.29,9565229,NZ_CP036433.1
"Rhodopirellula baltica SH 1, complete sequence",Rhodopirellula baltica SH 1,171,326,90%,1.00E-46,38.02,7145576,NC_005027.1
"Rhodopirellula bahusiensis strain SWK21 Rhodopirellula_bahusiensis_SWK21_contig_2, whole genome shotgun sequence",Rhodopirellula bahusiensis,171,171,90%,1.00E-46,37.31,691809,NZ_NIZW01000002.1
"Rhodopirellula europaea SH398 cSH3980086, whole genome shotgun sequence",Rhodopirellula europaea SH398,169,169,90%,4.00E-46,36.92,14495,NZ_ANOF01000083.1
"Novipirellula aureliae strain Q31b Q31b_contig00002, whole genome shotgun sequence",Novipirellula aureliae,169,169,90%,4.00E-46,36.68,996080,NZ_SJPY01000002.1
Calycomorphotria hydatis strain V22 chromosome,Calycomorphotria hydatis,169,169,90%,5.00E-46,36.06,5163473,NZ_CP036316.1
"Rhodopirellula solitaria strain CA85 CA85_contig00003, whole genome shotgun sequence",Rhodopirellula solitaria,169,169,90%,6.00E-46,36.68,734568,NZ_SJPK01000003.1
"Bythopirellula polymerisocia strain Pla144 Pla144_contig00002, whole genome shotgun sequence",Bythopirellula polymerisocia,169,169,90%,6.00E-46,35.52,877056,NZ_SJPS01000002.1
Bythopirellula goksoyri strain Pr1d chromosome,Bythopirellula goksoyri,169,333,90%,6.00E-46,35.52,6473141,NZ_CP042913.1
Rosistilla carotiformis strain Poly24 chromosome,Rosistilla carotiformis,169,335,90%,8.00E-46,35.91,7437004,NZ_CP036348.1
"Rosistilla oblonga strain CA51 chromosome, complete genome",Rosistilla oblonga,168,333,90%,9.00E-46,36.29,7250512,NZ_CP036292.1
Gimesia panareensis strain Enr10 chromosome,Gimesia panareensis,168,168,89%,1.00E-45,37.08,7828706,NZ_CP037421.1
"Novipirellula artificiosorum strain Poly41 Poly41_contig00002, whole genome shotgun sequence",Novipirellula artificiosorum,167,167,90%,2.00E-45,36.68,1008121,NZ_SJPV01000002.1
