Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Enterobacter asburiae strain PDN3 EX28DRAFT_scaffold00001.1, whole genome shotgun sequence",Enterobacter asburiae,471,471,97%,5.00E-150,86.3,2726074,NZ_KN549084.1
"Franconibacter helveticus strain CS-23 Scaffold10_1, whole genome shotgun sequence",Franconibacter helveticus,470,470,97%,6.00E-150,85.93,181186,NZ_QISR01000010.1
"Kluyvera cryocrescens NBRC 102467, whole genome shotgun sequence",Kluyvera cryocrescens NBRC 102467,470,470,97%,6.00E-150,86.3,198800,NZ_BCTM01000008.1
"Franconibacter pulveris strain DJ34 Bact_A5_20, whole genome shotgun sequence",Franconibacter pulveris,470,470,97%,7.00E-150,85.93,188450,NZ_LFEJ01000025.1
"Franconibacter daqui strain CGMCC 1.15944 sequence01, whole genome shotgun sequence",Franconibacter daqui,470,470,97%,9.00E-150,85.93,1965046,NZ_BMKJ01000001.1
"Enterobacter sichuanensis strain SGAir0282 chromosome, complete genome",Enterobacter sichuanensis,469,469,97%,2.00E-149,86.3,4711389,NZ_CP027986.1
"Enterobacter cloacae strain GGT036 chromosome, complete genome",Enterobacter cloacae,469,469,97%,2.00E-149,86.3,4848754,NZ_CP009756.1
"Enterobacter soli, complete sequence",Enterobacter soli,469,469,97%,2.00E-149,85.93,4812833,NC_015968.1
"Klebsiella grimontii isolate SB6415, whole genome shotgun sequence",Klebsiella grimontii,468,468,97%,3.00E-149,85.93,973754,NZ_CABGGT010000012.1
"Enterobacter hormaechei YT3 contig003, whole genome shotgun sequence",Enterobacter hormaechei YT3,468,468,97%,3.00E-149,85.56,1188617,NZ_ANID01000003.1
"Enterobacter oligotrophicus strain CCA6 chromosome, complete genome",Enterobacter oligotrophicus,468,468,97%,3.00E-149,85.56,4476585,NZ_AP019007.1
"Erwinia typographi strain M043b Contig7, whole genome shotgun sequence",Erwinia typographi,468,468,97%,3.00E-149,85.93,100198,NZ_JRUQ01000007.1
"Klebsiella oxytoca 10-5243 strain Oct-43 supercont1.1, whole genome shotgun sequence",Klebsiella oxytoca 10-5243,468,468,97%,4.00E-149,85.93,4989371,NZ_JH603143.1
"Klebsiella michiganensis strain AKKL-001 chromosome, complete genome",Klebsiella michiganensis,468,468,97%,4.00E-149,85.93,6149586,NZ_CP060111.1
"Mangrovibacter plantisponsor strain DSM 19579 Ga0244534_108, whole genome shotgun sequence",Mangrovibacter plantisponsor,468,468,97%,4.00E-149,85.56,276002,NZ_QGTS01000008.1
"Mangrovibacter phragmitis strain MP23 scaffold1.1, whole genome shotgun sequence",Mangrovibacter phragmitis,468,468,97%,4.00E-149,85.56,1277690,NZ_LYRP01000001.1
"Enterobacter roggenkampii strain DSM 16690, complete sequence",Enterobacter roggenkampii,468,468,97%,4.00E-149,86.3,4748414,NZ_CP017184.1
"Erwinia billingiae Eb661, complete sequence",Erwinia billingiae Eb661,468,468,97%,5.00E-149,85.56,5100167,NC_014306.1
"Cedecea colo strain ZA scaffold_1, whole genome shotgun sequence",Cedecea colo,468,468,97%,5.00E-149,85.93,804064,NZ_SOYS01000002.1
"Kluyvera ascorbata strain NCTC9737, whole genome shotgun sequence",Kluyvera ascorbata,468,468,97%,6.00E-149,85.93,1259648,NZ_UGNM01000002.1
"Erwinia tracheiphila PSU-1 scaffold00009, whole genome shotgun sequence",Erwinia tracheiphila PSU-1,468,468,97%,6.00E-149,85.93,217202,NZ_KE136316.1
"Enterobacillus tribolii strain DSM 103736 Ga0215724_101, whole genome shotgun sequence",Enterobacillus tribolii,468,468,97%,6.00E-149,85.56,1060498,NZ_QRAP01000001.1
"Lelliottia nimipressuralis strain SGAir0187 chromosome, complete genome",Lelliottia nimipressuralis,467,467,97%,7.00E-149,85.93,4826853,NZ_CP025034.2
"Enterobacter timonensis strain mt20, whole genome shotgun sequence",Enterobacter timonensis,467,467,97%,7.00E-149,85.93,931139,NZ_FCOP01000013.1
"Erwinia amylovora CFBP1430, complete sequence",Erwinia amylovora CFBP1430,467,467,97%,7.00E-149,86.3,3805573,NC_013961.1
"Erwinia iniecta strain B120 contig000019, whole genome shotgun sequence",Erwinia iniecta,467,467,97%,9.00E-149,85.56,106620,NZ_JRXE01000019.1
"Enterobacter mori strain CCUG 72520 contig_1, whole genome shotgun sequence",Enterobacter mori,467,467,97%,9.00E-149,85.56,848604,NZ_QZDQ02000001.1
"Enterobacter huaxiensis strain WCHEHu045002 1, whole genome shotgun sequence",Enterobacter huaxiensis,467,467,97%,9.00E-149,85.56,915310,NZ_RWHU01000001.1
"Klebsiella variicola strain FH-1 chromosome, complete genome",Klebsiella variicola,467,467,97%,9.00E-149,85.93,5542270,NZ_CP054254.1
"Erwinia aphidicola strain LJJL-01 Ga0171614_11, whole genome shotgun sequence",Erwinia aphidicola,467,467,97%,1.00E-148,85.56,4747496,NZ_SNXL01000001.1
"Scandinavium goeteborgense strain CCUG 66741 chromosome, complete genome",Scandinavium goeteborgense,466,466,97%,1.00E-148,85.93,4571204,NZ_CP054058.1
"Enterobacter ludwigii strain EN-119 chromosome, complete genome",Enterobacter ludwigii,466,466,97%,1.00E-148,85.56,4857439,NZ_CP017279.1
"Enterobacter bugandensis strain GN05729 GCID_ENTE_00252_NODE_6.ctg_1, whole genome shotgun sequence",Enterobacter bugandensis,466,466,97%,1.00E-148,85.56,220596,NZ_LRCV01000035.1
"Enterobacter chuandaensis strain 090028, whole genome shotgun sequence",Enterobacter chuandaensis,466,466,97%,1.00E-148,85.56,337013,NZ_QZCS01000005.1
"Erwinia persicina strain DOAB1061 DOAB1061_contig_1, whole genome shotgun sequence",Erwinia persicina,466,466,97%,2.00E-148,85.93,711464,NZ_JACONS010000001.1
"Erwinia rhapontici strain H1 Contig_3, whole genome shotgun sequence",Erwinia rhapontici,466,466,97%,2.00E-148,85.93,955574,NZ_VRKO01000010.1
