Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Aeromonas molluscorum 848 Cont265, whole genome shotgun sequence",Aeromonas molluscorum 848,305,305,82%,6.00E-95,59.06,2589,NZ_AQGQ01000265.1
"Aeromonas caviae strain FDAARGOS_75 scf7180000000002_quiver_pilon, whole genome shotgun sequence",Aeromonas caviae,311,436,82%,5.00E-94,61.02,4555415,NZ_JTBH02000001.1
"Aeromonas piscicola strain LMG 24783, whole genome shotgun sequence",Aeromonas piscicola,311,311,82%,6.00E-94,60.63,124723,NZ_CDBL01000077.1
"Aeromonas bestiarum strain GA97-22 Contig0005, whole genome shotgun sequence",Aeromonas bestiarum,311,311,82%,8.00E-94,60.63,364823,NZ_PPUX01000005.1
"Aeromonas rivipollensis strain G78 G78_contig_6, whole genome shotgun sequence",Aeromonas rivipollensis,311,311,82%,9.00E-94,60.63,215067,NZ_JAAILA010000008.1
"Aeromonas enteropelogenes strain 1999lcr Contig10, whole genome shotgun sequence",Aeromonas enteropelogenes,310,310,82%,1.00E-93,61.02,1017693,NZ_JMGO02000002.1
"Aeromonas sanarellii strain LMG 24682, whole genome shotgun sequence",Aeromonas sanarellii,310,310,82%,2.00E-93,60.63,52710,NZ_CDBN01000042.1
"Aeromonas veronii strain FDAARGOS_632 chromosome, complete genome",Aeromonas veronii,310,435,82%,2.00E-93,60.63,4559061,NZ_CP044060.1
"Aeromonas sobria strain CECT 4245, whole genome shotgun sequence",Aeromonas sobria,310,310,82%,2.00E-93,60.63,375929,NZ_CDBW01000016.1
"Aeromonas media strain WP7-W18-ESBL-02 chromosome, complete genome",Aeromonas media,309,436,82%,3.00E-93,60.63,4758243,NZ_AP022188.1
"Aeromonas taiwanensis strain LMG 24683, whole genome shotgun sequence",Aeromonas taiwanensis,309,309,82%,3.00E-93,60.63,66400,NZ_CDDD01000057.1
"Aeromonas allosaccharophila strain FDAARGOS_933 chromosome, complete genome",Aeromonas allosaccharophila,309,436,82%,3.00E-93,60.63,4624771,NZ_CP065745.1
"Aeromonas tecta strain CECT 7082, whole genome shotgun sequence",Aeromonas tecta,308,308,82%,6.00E-93,60.24,486161,NZ_CDCA01000036.1
"Aeromonas finlandensis strain 4287D contig314, whole genome shotgun sequence",Aeromonas finlandensis,308,308,82%,6.00E-93,60.24,7625,NZ_JRGK01000314.1
"Aeromonas salmonicida strain SRW-OG1 chromosome, complete genome",Aeromonas salmonicida,308,435,82%,6.00E-93,59.84,4621725,NZ_CP051883.1
"Aeromonas aquatica strain AE235 contig97, whole genome shotgun sequence",Aeromonas aquatica,308,308,82%,6.00E-93,60.24,38985,NZ_JRGL01000097.1
"Aeromonas australiensis strain CECT 8023, whole genome shotgun sequence",Aeromonas australiensis,308,308,82%,6.00E-93,60.24,95627,NZ_CDDH01000046.1
"Aeromonas schubertii strain ATCC 43700 Scaffold2, whole genome shotgun sequence",Aeromonas schubertii,308,308,82%,8.00E-93,59.84,416869,NZ_LPUO01000012.1
"Aeromonas popoffii strain CIP 105493, whole genome shotgun sequence",Aeromonas popoffii,308,308,82%,8.00E-93,59.84,102346,NZ_CDBI01000008.1
"Aeromonas cavernicola strain DSM 24474 A.cavernicola_R1_new_contig_5, whole genome shotgun sequence",Aeromonas cavernicola,307,307,82%,1.00E-92,59.84,166779,NZ_PGGC01000005.1
"Aeromonas fluvialis strain LMG 24681, whole genome shotgun sequence",Aeromonas fluvialis,307,307,82%,2.00E-92,59.84,119802,NZ_CDBO01000036.1
"Aeromonas lusitana strain MDC 2473 A_lusitana_712_R1_new_trimmed_contig_19, whole genome shotgun sequence",Aeromonas lusitana,307,307,82%,2.00E-92,60.24,101519,NZ_PGCP01000019.1
"Aeromonas encheleia strain NCTC12917 chromosome 1, complete sequence",Aeromonas encheleia,307,433,82%,2.00E-92,60.63,4542521,NZ_LR134376.1
"Aeromonas eucrenophila strain CECT 4224, whole genome shotgun sequence",Aeromonas eucrenophila,307,307,82%,2.00E-92,59.84,470164,NZ_CDDF01000011.1
"Aeromonas lacus strain AE122 Contig133, whole genome shotgun sequence",Aeromonas lacus,306,306,82%,2.00E-92,59.84,75749,NZ_JRGM01000133.1
"Aeromonas jandaei Riv2 contig3, whole genome shotgun sequence",Aeromonas jandaei Riv2,306,306,82%,2.00E-92,59.84,566154,NZ_JFDL01000003.1
"Aeromonas dhakensis strain KOR1 Scaffold2, whole genome shotgun sequence",Aeromonas dhakensis,306,306,82%,4.00E-92,59.45,1983240,NZ_KQ464177.1
"Aeromonas diversa CDC 2478-85 strain CECT 4254, whole genome shotgun sequence",Aeromonas diversa CDC 2478-85,306,306,82%,4.00E-92,59.45,586900,NZ_CDCE01000029.1
"Aeromonas hydrophila strain ZYAH75 chromosome, complete genome",Aeromonas hydrophila,305,429,82%,1.00E-91,59.06,4955171,NZ_CP016990.1
"Aeromonas rivuli strain DSM 22539, whole genome shotgun sequence",Aeromonas rivuli,303,303,82%,2.00E-91,59.06,4707,NZ_CDBJ01000081.1
"Aeromonas bivalvium strain ZJ19-2 NODE_4_length_372143_cov_123.335, whole genome shotgun sequence",Aeromonas bivalvium,301,301,82%,2.00E-90,59.06,372143,NZ_NXBQ01000004.1
"Aeromonas simiae strain A6 chromosome, complete genome",Aeromonas simiae,301,425,82%,2.00E-90,59.92,3974097,NZ_CP040449.1
"Pseudomonas duriflava strain CGMCC 1.6858 IQ22DRAFT_scaffold00007.7, whole genome shotgun sequence",Pseudomonas duriflava,297,297,82%,4.00E-89,62.3,274898,NZ_VLKY01000007.1
"Pseudomonas hussainii strain JCM 19513, whole genome shotgun sequence",Pseudomonas hussainii,296,296,82%,1.00E-88,61.51,235912,NZ_FOAS01000005.1
"Pseudomonas zhaodongensis strain NEAU-ST5-21 P7_1, whole genome shotgun sequence",Pseudomonas zhaodongensis,296,415,82%,1.00E-88,60.32,1820931,NZ_RFFM01000001.1
