Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Bacteroides coprocola DSM 17136 Scfld_02_82, whole genome shotgun sequence",Bacteroides coprocola DSM 17136,261,261,90%,6.00E-77,48.26,185391,NZ_DS981509.1
"Phocaeicola plebeius isolate MGYG-HGUT-01364, whole genome shotgun sequence",Phocaeicola plebeius,261,261,90%,7.00E-77,48.65,192302,NZ_CABKPU010000005.1
"Phocaeicola salanitronis DSM 18170, complete sequence",Phocaeicola salanitronis DSM 18170,261,261,90%,7.00E-77,49.03,4242803,NC_015164.1
"Alloprevotella tannerae ATCC 51259 Scfld0, whole genome shotgun sequence",Alloprevotella tannerae ATCC 51259,260,260,90%,1.00E-76,49.42,1429330,NZ_GG700642.1
"Bacteroides luti strain DSM 26991, whole genome shotgun sequence",Bacteroides luti,260,260,90%,1.00E-76,48.26,174896,NZ_FQTV01000009.1
"Bacteroides mediterraneensis strain Marseille-P2644T, whole genome shotgun sequence",Bacteroides mediterraneensis,260,260,90%,2.00E-76,48.65,4034845,NZ_LT635783.1
"Gramella sabulilitoris strain HSMS-1 contig1, whole genome shotgun sequence",Gramella sabulilitoris,259,259,90%,3.00E-76,50.97,1445455,NZ_VHSF01000001.1
"Bacteroides barnesiae DSM 18169 = JCM 13652 strain DSM 18169 C510DRAFT_scaffold00009.9, whole genome shotgun sequence",Bacteroides barnesiae DSM 18169 = JCM 13652,258,258,90%,4.00E-76,49.03,157974,NZ_KB894651.1
"Bacteroides ilei strain Marseille-P3208, whole genome shotgun sequence",Bacteroides ilei,258,434,90%,6.00E-76,47.88,3810995,NZ_LT635801.1
"Rufibacter latericius strain R-22-1 c-1 NODE_31_length_442211_cov_213.570251, whole genome shotgun sequence",Rufibacter latericius,257,257,90%,2.00E-75,48.26,442299,NZ_RJJD01000021.1
"Rufibacter tibetensis strain 1351 chromosome, complete genome",Rufibacter tibetensis,256,409,91%,2.00E-75,48.26,5165513,NZ_CP012643.1
"Prevotella baroniae F0067 strain F0026 contig00003, whole genome shotgun sequence",Prevotella baroniae F0067,256,256,90%,2.00E-75,48.65,223471,NZ_AWEY01000032.1
"Phocaeicola abscessus CCUG 55929, whole genome shotgun sequence",Phocaeicola abscessus CCUG 55929,256,256,90%,4.00E-75,46.72,373437,NZ_HE997184.1
"Gramella aestuarii strain BS12 scaffold_4, whole genome shotgun sequence",Gramella aestuarii,256,256,90%,4.00E-75,50.58,244647,NZ_VJVW01000005.1
"Rufibacter immobilis strain MCC P1 NODE_21_length_1709795_cov_245.796951, whole genome shotgun sequence",Rufibacter immobilis,256,412,91%,4.00E-75,47.49,1709883,NZ_RJJE01000017.1
"Gramella salexigens strain LPB0144 chromosome, complete genome",Gramella salexigens,256,256,90%,4.00E-75,50.58,2978889,NZ_CP018153.1
"Bacteroides coprophilus DSM 18228 = JCM 13818 strain DSM 18228 Scfld17, whole genome shotgun sequence",Bacteroides coprophilus DSM 18228 = JCM 13818,256,256,90%,4.00E-75,47.1,141214,NZ_EQ973645.1
"Salegentibacter salarius strain KCTC 12974 scaffold1, whole genome shotgun sequence",Salegentibacter salarius,256,256,90%,5.00E-75,50.58,305450,NZ_MJBR01000001.1
"Prevotella colorans strain DSM 100333 Ga0215718_105, whole genome shotgun sequence",Prevotella colorans,255,255,90%,5.00E-75,47.88,155695,NZ_QENY01000005.1
"Rufibacter ruber strain CCM 8646 contig_2, whole genome shotgun sequence",Rufibacter ruber,255,255,90%,7.00E-75,47.88,172723,NZ_LRMM01000002.1
"Rufibacter quisquiliarum strain DSM 29854 Ga0373294_10, whole genome shotgun sequence",Rufibacter quisquiliarum,255,401,91%,7.00E-75,47.88,190810,NZ_JACJIQ010000010.1
"Prevotella brevis P6B11 T496DRAFT_scaffold00005.5_C, whole genome shotgun sequence",Prevotella brevis P6B11,255,255,90%,7.00E-75,47.88,308367,NZ_JHXG01000007.1
"Prevotella marshii DSM 16973 = JCM 13450 strain DSM 16973 SCAFFOLD1, whole genome shotgun sequence",Prevotella marshii DSM 16973 = JCM 13450,255,255,90%,7.00E-75,47.88,2544623,NZ_GL397214.1
"Gramella gaetbulicola strain DSM 23082 Ga0183451_12, whole genome shotgun sequence",Gramella gaetbulicola,255,255,90%,7.00E-75,50.58,1045932,NZ_QBKQ01000002.1
"Phocaeicola sartorii strain dnLKV3 acPFj-supercont1.10, whole genome shotgun sequence",Phocaeicola sartorii,255,255,90%,8.00E-75,47.49,195372,NZ_KE159494.1
"Bacteroides vulgatus ATCC 8482, complete sequence",Bacteroides vulgatus ATCC 8482,255,607,91%,8.00E-75,47.49,5163189,NC_009614.1
"Salegentibacter mishustinae strain DSM 23404 Smish_2, whole genome shotgun sequence",Salegentibacter mishustinae,254,254,90%,9.00E-75,50.58,2887939,NZ_LLKN01000002.1
"Prevotella aurantiaca JCM 15754, whole genome shotgun sequence",Prevotella aurantiaca JCM 15754,254,254,90%,1.00E-74,48.26,40008,NZ_BAKF01000021.1
"Gramella flava JLT2011 chromosome, complete genome",Gramella flava JLT2011,254,254,90%,1.00E-74,50.19,4007868,NZ_CP016359.1
Phocaeicola dorei isolate MGYG-HGUT-02478 chromosome 1,Phocaeicola dorei,254,427,90%,2.00E-74,47.1,5444912,NZ_LR699004.1
"Rufibacter roseus strain CCM 8621 contig_2, whole genome shotgun sequence",Rufibacter roseus,254,254,90%,2.00E-74,48.26,520705,NZ_LRML01000002.1
"Gramella forsetii KT0803, complete sequence",Gramella forsetii KT0803,254,254,90%,2.00E-74,50.19,3798465,NC_008571.1
"Porphyromonas gingivicanis strain COT-022 OH1391 contig_12, whole genome shotgun sequence",Porphyromonas gingivicanis,254,254,90%,2.00E-74,48.26,255048,NZ_JQZW01000012.1
"Porphyromonas catoniae F0037 Scfld71, whole genome shotgun sequence",Porphyromonas catoniae F0037,253,253,90%,2.00E-74,49.42,152435,NZ_KB291045.1
"Rufibacter glacialis strain MDT1-10-3 NODE_3, whole genome shotgun sequence",Rufibacter glacialis,253,253,90%,3.00E-74,47.49,856613,NZ_VKKZ01000020.1
"Prevotella ruminicola 23, complete sequence",Prevotella ruminicola 23,253,253,90%,3.00E-74,48.26,3619559,NC_014033.1
"Salegentibacter salinarum strain KCTC 12975 contig6, whole genome shotgun sequence",Salegentibacter salinarum,253,253,90%,3.00E-74,50.19,294875,NZ_LKTS01000045.1
"Prevotella rara strain 109 contig00030, whole genome shotgun sequence",Prevotella rara,253,253,90%,3.00E-74,47.49,33745,NZ_LFQU01000030.1
"Prevotella marseillensis strain Marseille-P8229, whole genome shotgun sequence",Prevotella marseillensis,253,569,90%,3.00E-74,47.49,3414838,NZ_UYXY01000001.1
"Paraprevotella clara isolate MGYG-HGUT-02540, whole genome shotgun sequence",Paraprevotella clara,253,253,90%,3.00E-74,47.88,35809,NZ_CABMOJ010000037.1
"Gramella portivictoriae DSM 23547 G529DRAFT_scaffold00005.5_C, whole genome shotgun sequence",Gramella portivictoriae DSM 23547,253,253,90%,3.00E-74,49.81,273803,NZ_AUHF01000008.1
"Prevotella albensis DSM 11370 = JCM 12258 strain DSM 11370 K333DRAFT_scaffold00002.2_C, whole genome shotgun sequence",Prevotella albensis DSM 11370 = JCM 12258,253,253,90%,3.00E-74,47.88,326384,NZ_AUFP01000002.1
"Gramella echinicola DSM 19838 G530DRAFT_scaffold00005.5_C, whole genome shotgun sequence",Gramella echinicola DSM 19838,253,253,90%,3.00E-74,50.19,226671,NZ_AUHG01000016.1
Salegentibacter salegens strain ACAM 48 chromosome I,Salegentibacter salegens,253,253,90%,3.00E-74,50.19,4010099,NZ_LT670848.1
"Kordia algicida OT-1 1103813601120, whole genome shotgun sequence",Kordia algicida OT-1,253,253,90%,4.00E-74,50.58,5033129,NZ_DS544873.1
"Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 strain DSM 17679 B035DRAFT_scaffold_41.42, whole genome shotgun sequence",Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223,253,253,90%,4.00E-74,47.1,29530,NZ_KB890355.1
"Prevotella hominis strain BCRC 81118 Scaffold46_1, whole genome shotgun sequence",Prevotella hominis,253,253,90%,4.00E-74,47.49,31983,NZ_SGVY01000047.1
"Prevotella buccae strain NCTC13063, whole genome shotgun sequence",Prevotella buccae,253,253,90%,4.00E-74,47.88,2643339,NZ_UGTJ01000001.1
"Prevotella bryantii strain FB3001, whole genome shotgun sequence",Prevotella bryantii,253,253,90%,5.00E-74,47.88,143050,NZ_FNHC01000009.1
"Prevotellamassilia timonensis strain Marseille-P2831T, whole genome shotgun sequence",Prevotellamassilia timonensis,253,253,90%,5.00E-74,48.26,349035,NZ_LT629843.1
"Capnocytophaga felis strain KC07070 sequence14, whole genome shotgun sequence",Capnocytophaga felis,253,253,90%,5.00E-74,49.42,297905,NZ_BLBC01000014.1
"Capnocytophaga stomatis strain H2177 chromosome, complete genome",Capnocytophaga stomatis,253,253,90%,5.00E-74,49.42,2831350,NZ_CP022387.1
Paraprevotella xylaniphila YIT 11841 isolate Paraprevotella xylaniphila 82A6 chromosome 1,Paraprevotella xylaniphila YIT 11841,253,253,90%,5.00E-74,47.88,4125322,NZ_LR215980.1
