Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Mitsuokella jalaludinii strain 2789STDY5608828, whole genome shotgun sequence",Mitsuokella jalaludinii,271,271,89%,2.00E-80,52.53,253785,NZ_CYYU01000002.1
"Clostridium formicaceticum strain DSM 92 chromosome, complete genome",Clostridium formicaceticum,271,271,90%,2.00E-80,51.16,4586728,NZ_CP020559.1
"Clostridium aceticum strain DSM 1496 chromosome, complete genome",Clostridium aceticum,271,271,90%,2.00E-80,51.94,4201318,NZ_CP009687.1
"Mitsuokella multacida isolate MGYG-HGUT-01316, whole genome shotgun sequence",Mitsuokella multacida,271,271,89%,2.00E-80,52.14,220617,NZ_CABKNT010000004.1
"Selenomonas bovis DSM 23594 F599DRAFT_scaffold00025.25, whole genome shotgun sequence",Selenomonas bovis DSM 23594,271,271,89%,3.00E-80,53.7,33192,NZ_KB908403.1
"Anaerovirgula multivorans strain SCA, whole genome shotgun sequence",Anaerovirgula multivorans,270,270,90%,6.00E-80,50.77,140740,NZ_FZOJ01000012.1
"Natronincola peptidivorans strain DSM 18979, whole genome shotgun sequence",Natronincola peptidivorans,267,267,89%,7.00E-79,50.97,32013,NZ_FOHU01000023.1
"Thermincola ferriacetica strain Z-0001 Tfer_ctg29, whole genome shotgun sequence",Thermincola ferriacetica,266,266,90%,9.00E-79,51.35,35169,NZ_LGTE01000029.1
"Marininema mesophilum strain DSM 45610, whole genome shotgun sequence",Marininema mesophilum,266,266,91%,1.00E-78,50.96,119851,NZ_FNNQ01000013.1
"Symbiobacterium thermophilum IAM 14863, complete sequence",Symbiobacterium thermophilum IAM 14863,266,266,90%,2.00E-78,52.12,3566135,NC_006177.1
"Negativibacillus massiliensis strain Marseille-P3213T, whole genome shotgun sequence",Negativibacillus massiliensis,265,565,90%,2.00E-78,50.19,663026,NZ_FTRU01000007.1
"Mahella australiensis 50-1 BON, complete sequence",Mahella australiensis 50-1 BON,265,265,90%,4.00E-78,51.55,3135972,NC_015520.1
"Thermoclostridium stercorarium subsp. stercorarium DSM 8532, complete sequence",Thermoclostridium stercorarium subsp. stercorarium DSM 8532,265,265,90%,4.00E-78,49.61,2974379,NC_020134.1
