Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Thermosulfidibacter takaii ABI70S6 chromosome, complete genome",Thermosulfidibacter takaii ABI70S6,234,291,89%,6.00E-70,47.67,1816670,NZ_AP013035.1
"Thermocrinis ruber strain DSM 23557 chromosome, complete genome",Thermocrinis ruber,91.3,91.3,73%,2.00E-20,30.62,1521037,NZ_CP007028.1
"Persephonella hydrogeniphila strain DSM 15103, whole genome shotgun sequence",Persephonella hydrogeniphila,70.5,70.5,73%,2.00E-13,28.37,555986,NZ_OBEI01000001.1
"Persephonella marina EX-H1, complete sequence",Persephonella marina EX-H1,65.5,65.5,72%,1.00E-11,27.57,1930284,NC_012440.1
"Hydrogenothermus marinus strain VM1 Ga0180987_113, whole genome shotgun sequence",Hydrogenothermus marinus,60.5,60.5,79%,4.00E-10,23.24,10913,NZ_REFO01000004.1
"Aquifex aeolicus VF5, complete sequence",Aquifex aeolicus VF5,48.1,48.1,60%,4.00E-06,25.86,1551335,NC_000918.1
"Aquifex aeolicus VF5 plasmid ece1, complete sequence",Aquifex aeolicus VF5,45.4,45.4,13%,3.00E-05,55,39456,NC_001880.1
"Hydrogenivirga caldilitoris strain DSM 16510 Ga0104484_11, whole genome shotgun sequence",Hydrogenivirga caldilitoris,45.4,45.4,46%,3.00E-05,30.37,1753429,NZ_RCCJ01000001.1
,,,,,,,,
,,,,,,,,
,,,,,,,,
"		",,,,,,,,
