Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Thermoflexus hugenholtzii JAD2, whole genome shotgun sequence",Thermoflexus hugenholtzii JAD2,141,141,81%,1.00E-36,35.29,37467,NZ_FYEK01000061.1
"Oscillochloris trichoides DG-6 OSCTscaffold_5, whole genome shotgun sequence",Oscillochloris trichoides DG-6,140,243,82%,4.00E-36,33.88,2750926,NZ_GL501404.1
"Thermanaerothrix daxensis strain GNS-1 contig_2, whole genome shotgun sequence",Thermanaerothrix daxensis,138,138,81%,2.00E-35,33.2,887442,NZ_LGKO01000005.1
"Roseiflexus castenholzii DSM 13941, complete sequence",Roseiflexus castenholzii DSM 13941,134,335,81%,3.00E-34,34,5723298,NC_009767.1
"Ornatilinea apprima strain P3M-1 contig_12, whole genome shotgun sequence",Ornatilinea apprima,134,134,81%,3.00E-34,32,149144,NZ_LGCL01000039.1
"Brevefilum fermentans isolate CAMBI-1 chromosome I, complete sequence",Brevefilum fermentans,134,134,81%,3.00E-34,31.62,2574431,NZ_LT859958.1
"Anaerolinea thermophila UNI-1, complete sequence",Anaerolinea thermophila UNI-1,134,508,81%,4.00E-34,32,3532378,NC_014960.1
"Levilinea saccharolytica strain KIBI-1 contig_26, whole genome shotgun sequence",Levilinea saccharolytica,134,134,81%,5.00E-34,32.8,52633,NZ_LGCM01000033.1
"Thermogemmatispora onikobensis strain NBRC 111776, whole genome shotgun sequence",Thermogemmatispora onikobensis,133,133,81%,1.00E-33,31.68,66660,NZ_BDGT01000033.1
"Thermogemmatispora aurantia strain A1-2 sequence05, whole genome shotgun sequence",Thermogemmatispora aurantia,133,133,81%,1.00E-33,31.68,574905,NZ_BKZV01000005.1
"Thermogemmatispora carboxidivorans strain PM5 N688DRAFT_scf7180000000002_quiver_dupTrim_7460.1_C, whole genome shotgun sequence",Thermogemmatispora carboxidivorans,133,133,81%,1.00E-33,31.68,5607959,NZ_JNIM01000001.1
"Thermogemmatispora tikiterensis strain T81 A4R35_scaffold00002, whole genome shotgun sequence",Thermogemmatispora tikiterensis,133,133,81%,1.00E-33,31.68,5961682,NZ_MCIF01000002.1
"Chloroflexus aggregans DSM 9485, complete sequence",Chloroflexus aggregans DSM 9485,132,351,81%,2.00E-33,34.66,4684931,NC_011831.1
"Thermobaculum terrenum ATCC BAA-798 chromosome 1, complete sequence",Thermobaculum terrenum ATCC BAA-798,132,251,81%,3.00E-33,31.75,2026947,NC_013525.1
"Herpetosiphon llansteffanensis strain CA052B NODE_19_length_115265_cov_37_539_ID_4178, whole genome shotgun sequence",Herpetosiphon llansteffanensis,131,131,81%,4.00E-33,32.14,115265,NZ_PUBZ01000080.1
"Thermomicrobium roseum DSM 5159, complete sequence",Thermomicrobium roseum DSM 5159,131,131,81%,5.00E-33,34.26,2003006,NC_011959.1
"Leptolinea tardivitalis strain YMTK-2, whole genome shotgun sequence",Leptolinea tardivitalis,130,130,81%,7.00E-33,30.4,308074,NZ_BBYA01000011.1
"Chloroflexus islandicus strain isl-2 NODE_1_length_331829_cov_30.0518_ID_6002, whole genome shotgun sequence",Chloroflexus islandicus,130,130,81%,8.00E-33,34.66,331829,NZ_LWQS01000038.1
"Thermosporothrix hazakensis strain SK20-1 sequence1, whole genome shotgun sequence",Thermosporothrix hazakensis,130,355,82%,9.00E-33,32.81,5600616,NZ_BIFX01000001.1
"Tengunoibacter tsumagoiensis strain Uno3 sequence1, whole genome shotgun sequence",Tengunoibacter tsumagoiensis,130,197,81%,1.00E-32,32.3,5303167,NZ_BIFR01000001.1
"Chloroflexus aurantiacus Y-400-fl, complete sequence",Chloroflexus aurantiacus Y-400-fl,130,220,81%,1.00E-32,35.06,5268950,NC_012032.1
"Anaerolinea thermolimosa strain IMO-1, whole genome shotgun sequence",Anaerolinea thermolimosa,130,467,81%,1.00E-32,32.42,3442441,NZ_DF967965.1
"Dictyobacter alpinus strain Uno16 sequence1, whole genome shotgun sequence",Dictyobacter alpinus,129,129,81%,2.00E-32,31.56,5582978,NZ_BIFT01000001.1
"Oscillochloris trichoides DG-6 OSCTscaffold_3, whole genome shotgun sequence",Oscillochloris trichoides DG-6,129,129,81%,2.00E-32,34.26,322257,NZ_GL501402.1
"Flexilinea flocculi strain TC1, whole genome shotgun sequence",Flexilinea flocculi,129,214,81%,2.00E-32,29.76,2313929,NZ_DF968181.1
"Ornatilinea apprima strain P3M-1 contig_8, whole genome shotgun sequence",Ornatilinea apprima,129,129,81%,2.00E-32,33.6,219703,NZ_LGCL01000026.1
"Ardenticatena maritima strain 110S contig_3, whole genome shotgun sequence",Ardenticatena maritima,129,129,80%,3.00E-32,33.33,700437,NZ_LGKN01000005.1
"Leptolinea tardivitalis strain YMTK-2, whole genome shotgun sequence",Leptolinea tardivitalis,129,129,78%,3.00E-32,31.56,288579,NZ_BBYA01000002.1
"Sphaerobacter thermophilus DSM 20745 chromosome 2, complete sequence",Sphaerobacter thermophilus DSM 20745,128,229,80%,5.00E-32,35.32,1252731,NC_013524.1
"Dictyobacter aurantiacus strain S27 sequence1, whole genome shotgun sequence",Dictyobacter aurantiacus,127,127,81%,6.00E-32,31.25,6133338,NZ_BIFQ01000001.1
"Herpetosiphon geysericola strain DSM 7119 contig_1, whole genome shotgun sequence",Herpetosiphon geysericola,127,127,81%,8.00E-32,31.75,661236,NZ_LGKP01000025.1
"Longilinea arvoryzae strain KOME-1, whole genome shotgun sequence",Longilinea arvoryzae,127,352,82%,1.00E-31,30.83,4145241,NZ_DF967972.1
"Thermobaculum terrenum ATCC BAA-798 chromosome 2, complete sequence",Thermobaculum terrenum ATCC BAA-798,127,127,81%,1.00E-31,33.86,1074634,NC_013526.1
"Dictyobacter kobayashii strain Uno11 sequence1, whole genome shotgun sequence",Dictyobacter kobayashii,127,127,81%,2.00E-31,30.59,6031971,NZ_BIFS01000001.1
"Thermanaerothrix daxensis strain GNS-1 contig_1, whole genome shotgun sequence",Thermanaerothrix daxensis,126,331,82%,3.00E-31,32.66,1385049,NZ_LGKO01000002.1
"Ktedonobacter racemifer DSM 44963 strain SOSP1-21 Krac_Contig206, whole genome shotgun sequence",Ktedonobacter racemifer DSM 44963,126,126,81%,3.00E-31,32.03,3837106,NZ_ADVG01000001.1
"Levilinea saccharolytica strain KIBI-1 contig_34, whole genome shotgun sequence",Levilinea saccharolytica,125,125,78%,4.00E-31,34.43,30154,NZ_LGCM01000009.1
"Bellilinea caldifistulae strain GOMI-1, whole genome shotgun sequence",Bellilinea caldifistulae,124,549,81%,9.00E-31,32.02,3698317,NZ_DF967971.1
"Tepidiforma bonchosmolovskayae strain 3753O chromosome, complete genome",Tepidiforma bonchosmolovskayae,124,124,80%,2.00E-30,34.94,2746948,NZ_CP042829.1
"Thermorudis peleae strain KI4 N675DRAFT_scf7180000000034_quiver.3_C, whole genome shotgun sequence",Thermorudis peleae,120,120,81%,4.00E-29,33.07,1506563,NZ_JQMP01000003.1
