Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Sulfuricella denitrificans skB26, complete sequence",Sulfuricella denitrificans skB26,337,440,90%,7.00E-104,65.25,3130594,NC_022357.1
"Sulfurirhabdus autotrophica strain DSM 100309 Ga0244719_123, whole genome shotgun sequence",Sulfurirhabdus autotrophica,337,458,90%,1.00E-103,64.86,48049,NZ_SMCO01000023.1
"Nitrosospira briensis C-128 chromosome, complete genome",Nitrosospira briensis C-128,336,336,90%,2.00E-103,65.25,3210113,NZ_CP012371.1
"Nitrosospira lacus strain APG3 chromosome, complete genome",Nitrosospira lacus,335,335,90%,4.00E-103,65.64,3261088,NZ_CP021106.3
"Nitrosospira multiformis ATCC 25196, complete sequence",Nitrosospira multiformis ATCC 25196,332,332,90%,7.00E-102,65.25,3184243,NC_007614.1
"Novimethylophilus kurashikiensis strain La2-4, whole genome shotgun sequence",Novimethylophilus kurashikiensis,331,443,90%,1.00E-101,63.71,744548,NZ_BDOQ01000003.1
"Sulfuriferula multivorans strain TTN NODE_03, whole genome shotgun sequence",Sulfuriferula multivorans,328,328,90%,2.00E-100,64.86,263301,NZ_BGOW01000003.1
"Sulfurimicrobium lacus strain skT11 chromosome, complete genome",Sulfurimicrobium lacus,328,431,89%,2.00E-100,64.98,3826324,NZ_AP022853.1
"Sideroxydans lithotrophicus ES-1, complete sequence",Sideroxydans lithotrophicus ES-1,327,528,89%,2.00E-100,63.81,3003656,NC_013959.1
"Methylovorus glucosetrophus SIP3-4, complete sequence",Methylovorus glucosetrophus SIP3-4,327,430,90%,2.00E-100,63.32,2995511,NC_012969.1
"Methylobacillus rhizosphaerae strain Ca-68, whole genome shotgun sequence",Methylobacillus rhizosphaerae,327,327,90%,3.00E-100,62.55,259537,NZ_FZOA01000004.1
"Gallionella capsiferriformans ES-2, complete sequence",Gallionella capsiferriformans ES-2,325,479,89%,2.00E-99,63.81,3162471,NC_014394.1
"Sulfuriferula plumbiphila strain Gro7 chromosome, complete genome",Sulfuriferula plumbiphila,323,374,90%,7.00E-99,62.93,3452774,NZ_AP021884.1
"Pseudomethylobacillus aquaticus strain H-5 contig02, whole genome shotgun sequence",Pseudomethylobacillus aquaticus,323,323,90%,1.00E-98,62.55,547229,NZ_RJVP01000002.1
"Methylobacillus flagellatus KT, complete sequence",Methylobacillus flagellatus KT,322,428,90%,1.00E-98,61,2971517,NC_007947.1
"Nitrosomonas cryotolerans ATCC 49181, whole genome shotgun sequence",Nitrosomonas cryotolerans ATCC 49181,322,322,90%,3.00E-98,62.16,2871606,NZ_FSRO01000001.1
"Nitrosomonas europaea ATCC 19718, complete sequence",Nitrosomonas europaea ATCC 19718,318,403,91%,3.00E-97,60.77,2812094,NC_004757.1
"Nitrosovibrio tenuis strain Nv1, whole genome shotgun sequence",Nitrosovibrio tenuis,318,318,90%,4.00E-97,66.02,44945,NZ_FOBH01000016.1
"Nitrosomonas communis strain Nm110, whole genome shotgun sequence",Nitrosomonas communis,318,318,89%,4.00E-97,62.26,137855,NZ_FNNH01000004.1
"Nitrosomonas nitrosa strain Nm146, whole genome shotgun sequence",Nitrosomonas nitrosa,318,318,89%,5.00E-97,61.48,71974,NZ_FOUF01000017.1
"Nitrosomonas eutropha strain Nm38, whole genome shotgun sequence",Nitrosomonas eutropha,316,316,90%,2.00E-96,59.62,28879,NZ_FNNM01000024.1
"Nitrosomonas oligotropha strain Nm45 Oligotropha_contig000004, whole genome shotgun sequence",Nitrosomonas oligotropha,316,316,89%,3.00E-96,62.65,90587,NZ_QRBZ01000004.1
"Nitrosomonas ureae strain Nm10, complete genome",Nitrosomonas ureae,314,314,89%,1.00E-95,61.87,3307820,NZ_CP013341.1
"Nitrosomonas aestuarii strain Nm36 Ga0181080_102, whole genome shotgun sequence",Nitrosomonas aestuarii,313,313,89%,3.00E-95,61.48,318045,NZ_QAAE01000002.1
"Sulfuritortus calidifontis strain J1A chromosome, complete genome",Sulfuritortus calidifontis,312,619,91%,4.00E-95,60.62,2720636,NZ_AP018721.1
"Sulfuriferula nivalis strain SGTM chromosome, complete genome",Sulfuriferula nivalis,310,310,90%,3.00E-94,59.46,3361892,NZ_AP021881.1
"Nitrosomonas halophila strain Nm1, whole genome shotgun sequence",Nitrosomonas halophila,309,309,89%,6.00E-94,60.7,108856,NZ_FNOY01000002.1
"Nitrosomonas marina strain Nm22, whole genome shotgun sequence",Nitrosomonas marina,308,308,89%,2.00E-93,59.92,192940,NZ_FOCP01000005.1
"Vogesella indigofera strain DSM 3303 Ga0215675_108, whole genome shotgun sequence",Vogesella indigofera,308,308,91%,2.00E-93,58.78,184927,NZ_RBID01000019.1
"Vogesella alkaliphila strain KCTC 32041 sequence13, whole genome shotgun sequence",Vogesella alkaliphila,307,307,91%,3.00E-93,58.78,92272,NZ_BMYW01000013.1
"Chitinivorax tropicus strain DSM 27165 Ga0415264_06, whole genome shotgun sequence",Chitinivorax tropicus,306,306,90%,4.00E-93,59.46,186256,NZ_JACHHY010000006.1
"Methylotenera versatilis 301, complete sequence",Methylotenera versatilis 301,306,306,90%,5.00E-93,58.14,3059871,NC_014207.1
"Vogesella fluminis strain KCTC 23713 sequence028, whole genome shotgun sequence",Vogesella fluminis,306,306,91%,7.00E-93,58.4,40926,NZ_BMYP01000028.1
"Nitrosomonas mobilis isolate 1, whole genome shotgun sequence",Nitrosomonas mobilis,306,306,89%,7.00E-93,58.37,11037,NZ_FMWO01000082.1
"Microvirgula aerodenitrificans DSM 15089 Q352DRAFT_scaffold00009.9_C, whole genome shotgun sequence",Microvirgula aerodenitrificans DSM 15089,306,306,90%,9.00E-93,58.69,137644,NZ_JHVK01000010.1
"Amantichitinum ursilacus strain IGB-41 contig10, whole genome shotgun sequence",Amantichitinum ursilacus,305,305,90%,1.00E-92,58.3,345642,NZ_LAQT01000010.1
"Deefgea rivuli DSM 18356 Q320DRAFT_scaffold00008.8_C, whole genome shotgun sequence",Deefgea rivuli DSM 18356,305,305,90%,2.00E-92,58.3,162145,NZ_JHVM01000012.1
"Sulfuriferula thiophila strain mst6 mst6_1, whole genome shotgun sequence",Sulfuriferula thiophila,304,304,90%,3.00E-92,57.53,149065,NZ_BHGL01000001.1
"Ferriphaselus amnicola strain OYT1 chromosome, complete genome",Ferriphaselus amnicola,304,417,90%,3.00E-92,60.7,2717229,NZ_AP018738.1
"Methylophilus rhizosphaerae strain CBMB127, whole genome shotgun sequence",Methylophilus rhizosphaerae,304,304,90%,4.00E-92,57.92,486120,NZ_FNFX01000004.1
"Chitinolyticbacter meiyuanensis strain SYBC-H1 chromosome, complete genome",Chitinolyticbacter meiyuanensis,303,476,90%,8.00E-92,59.07,4325960,NZ_CP041335.1
"Silvimonas iriomotensis strain CGMCC 1.8859 sequence04, whole genome shotgun sequence",Silvimonas iriomotensis,302,302,90%,2.00E-91,59.07,305955,NZ_BMLX01000004.1
"Formivibrio citricus strain DSM 6150, whole genome shotgun sequence",Formivibrio citricus,302,302,90%,2.00E-91,57.53,100927,NZ_FOVE01000013.1
"Jeongeupia chitinilytica strain KCTC 23701 sequence06, whole genome shotgun sequence",Jeongeupia chitinilytica,302,302,90%,2.00E-91,57.14,301797,NZ_BMYO01000006.1
"Andreprevotia chitinilytica DSM 18519 BR41DRAFT_scaffold00004.4_C, whole genome shotgun sequence",Andreprevotia chitinilytica DSM 18519,301,301,90%,2.00E-91,57.53,319305,NZ_JONM01000004.1
"Paludibacterium purpuratum strain CECT 8976 Ga0244630_104, whole genome shotgun sequence",Paludibacterium purpuratum,301,301,91%,2.00E-91,56.87,287330,NZ_SNZP01000004.1
"Undibacterium seohonense strain KACC 16656 9, whole genome shotgun sequence",Undibacterium seohonense,301,301,90%,4.00E-91,57.53,153601,NZ_JACOFW010000009.1
"Undibacterium amnicola strain KCTC 52442 5, whole genome shotgun sequence",Undibacterium amnicola,301,301,90%,4.00E-91,57.14,414444,NZ_JACOFU010000005.1
"Chitiniphilus eburneus strain HX-2-15 HX-2-15_scaffold2, whole genome shotgun sequence",Chitiniphilus eburneus,301,301,90%,5.00E-91,59.07,492872,NZ_SUMF01000002.1
"Chromobacterium amazonense strain DSM 26508 Camzn_DSM26508.33, whole genome shotgun sequence",Chromobacterium amazonense,301,301,91%,5.00E-91,58.02,451041,NZ_MKCR01000027.1
"Methylotenera mobilis JLW8, complete sequence",Methylotenera mobilis JLW8,301,301,90%,5.00E-91,58.3,2547570,NC_012968.1
"Chitinilyticum aquatile DSM 21506 H559DRAFT_scaffold00003.3_C, whole genome shotgun sequence",Chitinilyticum aquatile DSM 21506,301,301,91%,5.00E-91,56.7,480802,NZ_AUMS01000004.1
"Silvimonas terrae strain DSM 18233 Ga0415246_05, whole genome shotgun sequence",Silvimonas terrae,301,301,90%,5.00E-91,59.07,331594,NZ_JACHHN010000005.1
"Methylophilus methylotrophus DSM 46235 = ATCC 53528 F463DRAFT_scaffold00005.5, whole genome shotgun sequence",Methylophilus methylotrophus DSM 46235 = ATCC 53528,301,301,90%,5.00E-91,57.92,177069,NZ_KB905145.1
"Undibacterium macrobrachii strain KCTC 23916 sequence02, whole genome shotgun sequence",Undibacterium macrobrachii,300,300,90%,8.00E-91,57.14,767755,NZ_BMYT01000002.1
