Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Desulfonatronum lacustre DSM 10312 scaffold1, whole genome shotgun sequence",Desulfonatronum lacustre DSM 10312,385,436,90%,5.00E-121,76.8,3761451,NZ_KI912608.1
"Desulfonatronum thiodismutans strain MLF-1 contig12, whole genome shotgun sequence",Desulfonatronum thiodismutans,385,385,90%,6.00E-121,76.4,324154,NZ_JPIK01000012.1
"Desulfonatronum thiosulfatophilum strain ASO4-2, whole genome shotgun sequence",Desulfonatronum thiosulfatophilum,384,384,90%,1.00E-120,76.8,194117,NZ_FMXO01000007.1
"Desulfonatronum thioautotrophicum strain ASO4-1 LZ09DRAFT_scaffold00001.1_C, whole genome shotgun sequence",Desulfonatronum thioautotrophicum,381,381,90%,1.00E-119,76,1103534,NZ_JYNO01000001.1
"Syntrophus gentianae strain DSM 8423, whole genome shotgun sequence",Syntrophus gentianae,381,381,97%,1.00E-119,70.63,214801,NZ_FOBS01000003.1
"Desulfomicrobium orale DSM 12838 chromosome, complete genome",Desulfomicrobium orale DSM 12838,376,376,90%,4.00E-118,73.6,2783374,NZ_CP014230.1
"Desulfomicrobium baculatum DSM 4028, complete sequence",Desulfomicrobium baculatum DSM 4028,375,431,90%,9.00E-118,73.6,3942657,NC_013173.1
"Desulfobulbus japonicus DSM 18378 G493DRAFT_scaffold00001.1_C, whole genome shotgun sequence",Desulfobulbus japonicus DSM 18378,375,375,96%,1.00E-117,70.04,452846,NZ_AUCV01000001.1
"Desulfomicrobium macestii strain DSM 4194 Ga0244497_07, whole genome shotgun sequence",Desulfomicrobium macestii,374,374,90%,4.00E-117,72.4,148816,NZ_JADBGG010000007.1
"Desulfomicrobium norvegicum strain DSM 1741, whole genome shotgun sequence",Desulfomicrobium norvegicum,374,374,90%,4.00E-117,72.4,169071,NZ_FOTO01000010.1
"Desulfobulbus mediterraneus DSM 13871 G494DRAFT_scaffold00013.13_C, whole genome shotgun sequence",Desulfobulbus mediterraneus DSM 13871,374,374,96%,4.00E-117,70.74,150557,NZ_AUCW01000017.1
"Desulfomicrobium escambiense DSM 10707 G394DRAFT_scaffold00005.5_C, whole genome shotgun sequence",Desulfomicrobium escambiense DSM 10707,374,374,90%,5.00E-117,73.2,242188,NZ_AUAR01000005.1
"Desulfotalea psychrophila LSv54, complete sequence",Desulfotalea psychrophila LSv54,372,434,97%,1.00E-116,67.04,3523383,NC_006138.1
"Desulfomicrobium apsheronum strain DSM 5918, whole genome shotgun sequence",Desulfomicrobium apsheronum,372,372,90%,2.00E-116,72,471070,NZ_FORX01000001.1
"Syntrophus aciditrophicus SB, complete sequence",Syntrophus aciditrophicus SB,370,436,97%,5.00E-116,67.66,3179300,NC_007759.1
"Sorangium cellulosum So ce56, complete sequence",Sorangium cellulosum So ce56,369,369,90%,2.00E-115,70,13033779,NC_010162.1
"Desulfovibrio gigas DSM 1382 = ATCC 19364, partial sequence",Desulfovibrio gigas DSM 1382 = ATCC 19364,365,419,89%,4.00E-114,69.48,3693999,NC_022444.1
"Pelobacter seleniigenes DSM 18267 N909DRAFT_scf7180000000028_quiver.1_C, whole genome shotgun sequence",Pelobacter seleniigenes DSM 18267,359,359,97%,5.00E-112,65.06,575369,NZ_JOMG01000001.1
"Desulfopila aestuarii DSM 18488, whole genome shotgun sequence",Desulfopila aestuarii DSM 18488,359,359,90%,5.00E-112,69.6,211667,NZ_FRFE01000007.1
"Desulfovibrio inopinatus DSM 10711 G451DRAFT_scaffold00001.1_C, whole genome shotgun sequence",Desulfovibrio inopinatus DSM 10711,353,353,89%,7.00E-110,69.48,558303,NZ_AUBP01000001.1
"Desulfobulbus propionicus DSM 2032, complete sequence",Desulfobulbus propionicus DSM 2032,351,408,89%,3.00E-109,70,3851869,NC_014972.1
"Desulfobulbus oralis strain HOT041/ORNL chromosome, complete genome",Desulfobulbus oralis,338,338,89%,8.00E-105,64.66,2774417,NZ_CP021255.1
"Desulfurella amilsii strain TR1 HybridContig12, whole genome shotgun sequence",Desulfurella amilsii,249,249,89%,7.00E-74,51,272064,NZ_MDSU01000001.1
"Desulfurella multipotens strain DSM 8415, whole genome shotgun sequence",Desulfurella multipotens,249,249,89%,1.00E-73,50.6,154296,NZ_FMYU01000003.1
"Desulfurella acetivorans A63 chromosome, complete genome",Desulfurella acetivorans A63,249,304,89%,1.00E-73,50.6,1816487,NZ_CP007051.1
"Hippea jasoniae strain Mar08-272r EK17DRAFT_scaffold00010.10_C, whole genome shotgun sequence",Hippea jasoniae,245,245,89%,3.00E-72,49,55102,NZ_JQLX01000001.1
"Hippea maritima DSM 10411, complete sequence",Hippea maritima DSM 10411,241,241,89%,5.00E-71,48.59,1694430,NC_015318.1
"Hippea alviniae EP5-r G415DRAFT_scaffold00002.2_C, whole genome shotgun sequence",Hippea alviniae EP5-r,225,225,85%,2.00E-65,47.88,453599,NZ_ATUV01000002.1
"Desulfobacter latus strain AcRS2 NODE_70_length_40084_cov_36.238006, whole genome shotgun sequence",Desulfobacter latus,218,218,89%,6.00E-63,44.22,40084,NZ_JACADJ010000034.1
"Desulfobacter postgatei 2ac9 chromosome, whole genome shotgun sequence",Desulfobacter postgatei 2ac9,218,218,89%,8.00E-63,45.42,3974658,NZ_CM001488.1
"Desulfobacula toluolica Tol2, complete sequence",Desulfobacula toluolica Tol2,218,278,97%,9.00E-63,44.84,5197905,NC_018645.1
"Desulfobacula phenolica strain DSM 3384, whole genome shotgun sequence",Desulfobacula phenolica,218,218,89%,1.00E-62,44.84,244196,NZ_FNLL01000009.1
Desulfobacter hydrogenophilus strain AcRS1 chromosome,Desulfobacter hydrogenophilus,214,214,87%,1.00E-61,45.64,5105261,NZ_CP036313.1
"Desulfobacterium vacuolatum DSM 3385, whole genome shotgun sequence",Desulfobacterium vacuolatum DSM 3385,213,213,89%,2.00E-61,45.75,269938,NZ_FWXY01000004.1
"Desulfobacter curvatus DSM 3379 B147DRAFT_scaffold_66.67, whole genome shotgun sequence",Desulfobacter curvatus DSM 3379,213,213,89%,6.00E-61,43.43,31240,NZ_KB893097.1
"Desulfospira joergensenii DSM 10085 F608DRAFT_scaffold00002.2_C, whole genome shotgun sequence",Desulfospira joergensenii DSM 10085,213,213,82%,6.00E-61,46.72,2416792,NZ_ATUG01000002.1
"Thermodesulforhabdus norvegica strain DSM 9990, whole genome shotgun sequence",Thermodesulforhabdus norvegica,209,209,89%,5.00E-60,42.91,107161,NZ_FOUU01000008.1
"Syntrophobacter fumaroxidans MPOB, complete sequence",Syntrophobacter fumaroxidans MPOB,208,208,89%,2.00E-59,42.91,4990251,NC_008554.1
"Desulfobacter vibrioformis DSM 8776 Q366DRAFT_scaffold00002.2_C, whole genome shotgun sequence",Desulfobacter vibrioformis DSM 8776,207,207,84%,3.00E-59,44.21,345802,NZ_JQKJ01000002.1
"Desulfoglaeba alkanexedens ALDC chromosome, complete genome",Desulfoglaeba alkanexedens ALDC,207,207,89%,4.00E-59,43.55,3365583,NZ_CP040098.1
"Desulfobacterium autotrophicum HRM2, complete sequence",Desulfobacterium autotrophicum HRM2,207,207,89%,6.00E-59,44.53,5589073,NC_012108.1
"Desulfamplus magnetovallimortis isolate PRJEB14757, whole genome shotgun sequence",Desulfamplus magnetovallimortis,205,205,82%,2.00E-58,47.16,665663,NZ_LT828541.1
