Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Chlorobaculum parvum NCIB 8327, complete sequence",Chlorobaculum parvum NCIB 8327,126,269,80%,5.00E-32,30.52,2289249,NC_011027.1
"Chlorobaculum tepidum TLS, complete sequence",Chlorobaculum tepidum TLS,125,221,80%,9.00E-32,30.12,2154946,NC_002932.3
"Chlorobaculum limnaeum strain DSM 1677, complete genome",Chlorobaculum limnaeum,125,125,80%,1.00E-31,30.92,2797276,NZ_CP017305.1
"Prosthecochloris vibrioformis strain DSM 260 NODE_1_length_598147_cov_18.9631, whole genome shotgun sequence",Prosthecochloris vibrioformis,124,124,80%,1.00E-31,30.92,598147,NZ_VDCI01000001.1
"Chlorobaculum thiosulfatiphilum strain DSM 249 NODE_12_length_62907_cov_13.5287, whole genome shotgun sequence",Chlorobaculum thiosulfatiphilum,124,124,80%,1.00E-31,30.52,62907,NZ_VDCH01000012.1
"Chlorobium phaeovibrioides DSM 265, complete sequence",Chlorobium phaeovibrioides DSM 265,122,169,81%,6.00E-31,31.23,1966858,NC_009337.1
"Prosthecochloris aestuarii DSM 271, complete sequence",Prosthecochloris aestuarii DSM 271,122,273,81%,1.00E-30,30.12,2512923,NC_011059.1
"Pelodictyon luteolum DSM 273, complete sequence",Pelodictyon luteolum DSM 273,122,214,81%,1.00E-30,30.04,2364842,NC_007512.1
"Prosthecochloris marina strain V1 NODE_2_length_431151_cov_75.7595, whole genome shotgun sequence",Prosthecochloris marina,121,121,80%,2.00E-30,30.12,431151,NZ_PDNZ01000002.1
"Chlorobium limicola DSM 245, complete sequence",Chlorobium limicola DSM 245,119,119,80%,2.00E-29,29.32,2763181,NC_010803.1
"Chlorobium phaeobacteroides DSM 266, complete sequence",Chlorobium phaeobacteroides DSM 266,117,219,80%,3.00E-29,30.52,3133902,NC_008639.1
"Chloroherpeton thalassium ATCC 35110, complete sequence",Chloroherpeton thalassium ATCC 35110,115,210,81%,2.00E-28,31.08,3293456,NC_011026.1
"Chlorobium chlorochromatii CaD3, complete sequence",Chlorobium chlorochromatii CaD3,115,162,80%,3.00E-28,28.8,2572079,NC_007514.1
"Pelodictyon phaeoclathratiforme BU-1, complete sequence",Pelodictyon phaeoclathratiforme BU-1,113,209,81%,1.00E-27,28.51,3018238,NC_011060.1
"Chlorobium ferrooxidans DSM 13031 ctg62, whole genome shotgun sequence",Chlorobium ferrooxidans DSM 13031,113,113,80%,2.00E-27,29.6,331109,NZ_AASE01000001.1
"Prosthecochloris aestuarii DSM 271 plasmid pPAES01, complete sequence",Prosthecochloris aestuarii DSM 271,107,107,80%,1.00E-25,28.35,66772,NC_011061.1
"Prosthecochloris vibrioformis strain DSM 260 NODE_3_length_293850_cov_17.6131, whole genome shotgun sequence",Prosthecochloris vibrioformis,56.2,56.2,79%,2.00E-08,22.45,293850,NZ_VDCI01000003.1
"Prosthecochloris marina strain V1 NODE_1_length_465156_cov_73.9077, whole genome shotgun sequence",Prosthecochloris marina,53.5,53.5,81%,1.00E-07,21.6,465156,NZ_PDNZ01000001.1
"Prosthecochloris marina strain V1 NODE_10_length_75251_cov_79.4236, whole genome shotgun sequence",Prosthecochloris marina,50.1,50.1,14%,1.00E-06,55.56,75251,NZ_PDNZ01000010.1
"Chlorobaculum thiosulfatiphilum strain DSM 249 NODE_41_length_14703_cov_30.1525, whole genome shotgun sequence",Chlorobaculum thiosulfatiphilum,47,47,13%,1.00E-05,52.5,14703,NZ_VDCH01000041.1
"Chlorobaculum thiosulfatiphilum strain DSM 249 NODE_1_length_321802_cov_13.437, whole genome shotgun sequence",Chlorobaculum thiosulfatiphilum,45.4,45.4,13%,4.00E-05,52.38,321802,NZ_VDCH01000001.1
,,,,,,,,
,,,,,,,,
,,,,,,,,
"		",,,,,,,,
