Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Bordetella petrii, complete sequence",Bordetella petrii,139,191,80%,9.00E-35,34.14,5287950,NC_010170.1
"Pandoraea morbifera strain LMG 31116, whole genome shotgun sequence",Pandoraea morbifera,139,139,80%,2.00E-34,32.93,168634,NZ_CABPSD010000011.1
"Pandoraea pnomenusa, complete sequence",Pandoraea pnomenusa,139,190,82%,2.00E-34,32.93,5385946,NC_023018.2
"Pandoraea pneumonica strain LMG 31114, whole genome shotgun sequence",Pandoraea pneumonica,139,139,80%,2.00E-34,32.93,1392766,NZ_CABPSK010000002.1
"Pandoraea oxalativorans strain DSM 23570 chromosome, complete genome",Pandoraea oxalativorans,139,139,80%,2.00E-34,32.93,5630311,NZ_CP011253.3
"Pandoraea aquatica strain LMG 31011, whole genome shotgun sequence",Pandoraea aquatica,138,138,80%,2.00E-34,32.93,244118,NZ_CABPSN010000009.1
"Pandoraea iniqua strain LMG 31009, whole genome shotgun sequence",Pandoraea iniqua,138,138,80%,2.00E-34,32.93,1308188,NZ_CABPSF010000001.1
"Pandoraea norimbergensis strain DSM 11628 chromosome, complete genome",Pandoraea norimbergensis,138,138,80%,2.00E-34,32.93,6167370,NZ_CP013480.3
"Pandoraea commovens strain LMG 31010, whole genome shotgun sequence",Pandoraea commovens,138,138,80%,3.00E-34,32.93,920871,NZ_CABPSA010000002.1
"Pandoraea anapnoica strain LMG 31117, whole genome shotgun sequence",Pandoraea anapnoica,138,138,80%,3.00E-34,32.93,351264,NZ_CABPSP010000005.1
"Pandoraea sputorum strain NCTC13161 chromosome 1, complete sequence",Pandoraea sputorum,138,138,80%,4.00E-34,32.93,5743123,NZ_LT906435.1
"Paraburkholderia sacchari strain LMG 19450 ctg_5, whole genome shotgun sequence",Paraburkholderia sacchari,137,137,80%,5.00E-34,32.53,1234625,NZ_JTDB02000002.1
"Paraburkholderia oxyphila NBRC 105797, whole genome shotgun sequence",Paraburkholderia oxyphila NBRC 105797,137,137,80%,6.00E-34,32.53,81835,NZ_BAYD01000046.1
"Pandoraea communis strain LMG 31110, whole genome shotgun sequence",Pandoraea communis,137,137,80%,6.00E-34,32.53,1422275,NZ_CABPSJ010000001.1
"Pandoraea nosoerga strain LMG 31109, whole genome shotgun sequence",Pandoraea nosoerga,137,137,80%,8.00E-34,32.53,232269,NZ_CABPSC010000006.1
"Pandoraea bronchicola strain LMG 20603, whole genome shotgun sequence",Pandoraea bronchicola,137,137,80%,8.00E-34,32.53,239955,NZ_CABPST010000007.1
"Pandoraea horticolens strain LMG 31112, whole genome shotgun sequence",Pandoraea horticolens,137,137,80%,8.00E-34,32.53,331077,NZ_CABPSM010000006.1
"Pandoraea captiosa strain LMG 31118, whole genome shotgun sequence",Pandoraea captiosa,137,137,80%,9.00E-34,32.93,259432,NZ_CABPSQ010000007.1
"Pandoraea fibrosis strain 6399 chromosome, complete genome",Pandoraea fibrosis,137,137,80%,9.00E-34,32.53,5592065,NZ_CP047385.1
"Pandoraea apista strain DSM 16535, complete genome",Pandoraea apista,137,137,80%,1.00E-33,32.53,5493967,NZ_CP013481.2
"Burkholderia glumae strain 257sh-1 chromosome 1, complete sequence",Burkholderia glumae,136,136,80%,1.00E-33,32.93,3537953,NZ_CP035900.1
"Burkholderia plantarii strain PG1 chromosome 1, complete sequence",Burkholderia plantarii,136,136,80%,1.00E-33,32.93,4163767,NZ_CP002580.1
"Pandoraea vervacti strain NS15 chromosome, complete genome",Pandoraea vervacti,136,136,80%,1.00E-33,32.93,5636000,NZ_CP010897.2
"Pandoraea pulmonicola strain DSM 16583 chromosome, complete genome",Pandoraea pulmonicola,136,136,80%,1.00E-33,32.53,5867621,NZ_CP010310.2
"Oligella urethralis strain NCTC11008, whole genome shotgun sequence",Oligella urethralis,136,136,80%,2.00E-33,32.13,2412025,NZ_UGSE01000002.1
"Taylorella asinigenitalis MCE3, complete sequence",Taylorella asinigenitalis MCE3,135,135,81%,2.00E-33,32.68,1638559,NC_016043.1
"Pandoraea soli strain LMG 31014, whole genome shotgun sequence",Pandoraea soli,135,135,80%,3.00E-33,32.53,146569,NZ_CABPSG010000011.1
"Pandoraea capi strain LMG 20602, whole genome shotgun sequence",Pandoraea capi,135,135,80%,3.00E-33,32.53,233517,NZ_CABPRV010000011.1
