Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Neisseria canis strain NCTC10296 chromosome 1, complete sequence",Neisseria canis,395,395,97%,4.00E-124,71.96,2569389,NZ_LR134313.1
"Corticimicrobacter populi strain 3d-2-2 Scaffold1, whole genome shotgun sequence",Corticimicrobacter populi,394,394,97%,8.00E-124,72.59,1094549,NZ_QETA01000001.1
"Snodgrassella alvi wkB2 chromosome, complete genome",Snodgrassella alvi wkB2,394,394,97%,1.00E-123,71.59,2527978,NZ_CP007446.1
"Neisseria wadsworthii strain DSM 22245 chromosome, complete genome",Neisseria wadsworthii,394,394,97%,1.00E-123,71.59,2501534,NZ_CP059565.1
"Castellaniella defragrans 65Phen chromosome I, complete sequence",Castellaniella defragrans 65Phen,394,394,97%,2.00E-123,71.48,3952818,NZ_HG916765.1
"Neisseria animalis strain ATCC 49930 chromosome, complete genome",Neisseria animalis,393,393,97%,2.00E-123,72.06,2236930,NZ_CP031699.1
"Bergeriella denitrificans strain NCTC10295, whole genome shotgun sequence",Bergeriella denitrificans,393,393,97%,3.00E-123,71.69,1588934,NZ_UGQS01000002.1
"Alcaligenes faecalis strain ZD02, complete genome",Alcaligenes faecalis,392,392,97%,3.00E-123,71.48,4233756,NZ_CP013119.1
"Pusillimonas ginsengisoli strain KCTC 22046 NODE_8_length_183217_cov_46.684275, whole genome shotgun sequence",Pusillimonas ginsengisoli,392,392,97%,4.00E-123,71.11,183217,NZ_SDQE01000008.1
Alcaligenes aquatilis strain BU33N chromosome,Alcaligenes aquatilis,392,392,97%,5.00E-123,71.48,3838399,NZ_CP022390.1
"Neisseria shayeganii strain DSM 22244 chromosome, complete genome",Neisseria shayeganii,392,392,97%,7.00E-123,72.32,2419744,NZ_CP059567.1
"Vogesella indigofera strain DSM 3303 Ga0215675_107, whole genome shotgun sequence",Vogesella indigofera,392,392,97%,7.00E-123,69.63,187144,NZ_RBID01000018.1
"Vogesella alkaliphila strain KCTC 32041 sequence15, whole genome shotgun sequence",Vogesella alkaliphila,391,391,97%,8.00E-123,69.63,38467,NZ_BMYW01000015.1
"Neisseria brasiliensis strain N.177.16 chromosome, complete genome",Neisseria brasiliensis,391,391,97%,1.00E-122,71.69,2617510,NZ_CP046027.1
"Advenella incenata strain DSM 23814 Ga0310505_101, whole genome shotgun sequence",Advenella incenata,390,390,97%,2.00E-122,70.37,2497651,NZ_SHKO01000001.1
"Advenella kashmirensis WT001, complete sequence",Advenella kashmirensis WT001,390,390,97%,2.00E-122,70.37,4365995,NC_017964.1
