Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Alkalispirochaeta odontotermitis strain JC202 79040, whole genome shotgun sequence",Alkalispirochaeta odontotermitis,63.5,63.5,61%,3.00E-10,30.19,9852,NZ_JRAS01000221.1
"Leptospira adleri strain FH2-B-C1 contig_10, whole genome shotgun sequence",Leptospira adleri,55.8,55.8,17%,1.00E-07,60.47,166655,NZ_NPDV01000010.1
"Leptospira alexanderi strain 56659 Contig013, whole genome shotgun sequence",Leptospira alexanderi,55.5,55.5,17%,1.00E-07,58.14,59960,NZ_JQGW01000013.1
"Leptospira borgpetersenii serovar Ceylonica strain Piyasena chromosome 2, complete sequence",Leptospira borgpetersenii serovar Ceylonica,55.5,55.5,17%,2.00E-07,58.14,322551,NZ_CP026672.1
"Leptospira santarosai str. CBC1531 ctg7180000004752, whole genome shotgun sequence",Leptospira santarosai str. CBC1531,55.1,55.1,17%,2.00E-07,58.14,43045,NZ_APGN01000132.1
"Leptospira kirschneri serovar Cynopteri str. 3522 CT ctg1134731807578, whole genome shotgun sequence",Leptospira kirschneri serovar Cynopteri str. 3522 CT,55.1,55.1,17%,2.00E-07,58.14,380622,NZ_AHMN02000007.1
"Leptospira noguchii serovar Panama str. CZ214 ctg1134732786314, whole genome shotgun sequence",Leptospira noguchii serovar Panama str. CZ214,55.1,55.1,17%,2.00E-07,58.14,357938,NZ_AKWY02000020.1
"Leptospira alstonii strain 56661 Contig074, whole genome shotgun sequence",Leptospira alstonii,55.1,55.1,17%,2.00E-07,58.14,59010,NZ_JQRS01000074.1
"Leptospira mayottensis strain VS2413 chromosome II, complete sequence",Leptospira mayottensis,55.1,55.1,17%,2.00E-07,58.14,334270,NZ_CP030143.1
"Leptospira weilii strain CUDO6 chromosome II, complete sequence",Leptospira weilii,55.1,55.1,17%,2.00E-07,58.14,327104,NZ_CP040841.1
"Leptospira interrogans serovar Copenhageni strain FDAARGOS_203 plasmid unnamed1, complete sequence",Leptospira interrogans serovar Copenhageni,55.1,55.1,17%,2.00E-07,58.14,350181,NZ_CP020413.2
"Leptospira yasudae strain 201702446 contig_0002, whole genome shotgun sequence",Leptospira yasudae,55.1,55.1,17%,2.00E-07,58.14,395219,NZ_RQGL01000011.1
"Leptospira stimsonii strain SSW20 contig_0005, whole genome shotgun sequence",Leptospira stimsonii,55.1,55.1,17%,2.00E-07,58.14,308726,NZ_RQEQ01000027.1
"Leptospira stimsonii strain Yale NODE_4_length_432588_cov_334.483, whole genome shotgun sequence",Leptospira stimsonii,55.1,55.1,17%,2.00E-07,58.14,432588,NZ_QHCT01000004.1
"Leptospira gomenensis strain 201800299 contig_0004, whole genome shotgun sequence",Leptospira gomenensis,55.1,55.1,17%,2.00E-07,58.14,255522,NZ_RQFA01000010.1
"Leptospira brenneri strain 201800277 contig_0004, whole genome shotgun sequence",Leptospira brenneri,55.1,55.1,17%,2.00E-07,60.47,260061,NZ_RQFP01000008.1
"Leptospira ellisii strain ATI7-C-A5 contig_27, whole genome shotgun sequence",Leptospira ellisii,55.1,55.1,17%,2.00E-07,58.14,25513,NZ_NPEF01000027.1
"Leptospira ilyithenensis strain 201400974 NODE_5_covk_45.0713_covr_88.61_cutoff_51, whole genome shotgun sequence",Leptospira ilyithenensis,55.1,55.1,17%,2.00E-07,62.79,266913,NZ_RQHV01000002.1
"Leptospira kobayashii strain E30, whole genome shotgun sequence",Leptospira kobayashii,55.1,55.1,17%,2.00E-07,62.79,274170,NZ_BFBA01000014.1
"Leptospira noumeaensis strain 201800287 contig_0007, whole genome shotgun sequence",Leptospira noumeaensis,55.1,55.1,17%,2.00E-07,60.47,268124,NZ_RQFK01000023.1
"Leptospira kmetyi strain LS 001/16 chromosome 2, complete sequence",Leptospira kmetyi,55.1,55.1,17%,2.00E-07,58.14,489634,NZ_CP033615.1
"Leptospira barantonii strain FH4-C-A1 contig_13, whole genome shotgun sequence",Leptospira barantonii,54.7,54.7,17%,2.00E-07,58.14,31392,NZ_NPDS01000013.1
"Leptospira congkakensis strain 201702421 contig_0006, whole genome shotgun sequence",Leptospira congkakensis,54.7,54.7,17%,2.00E-07,60.47,267445,NZ_RQGQ01000014.1
"Leptospira yasudae strain F1 NODE_6_length_381410_cov_164.176, whole genome shotgun sequence",Leptospira yasudae,54.7,54.7,17%,2.00E-07,58.14,381410,NZ_QHCU01000006.1
"Leptospira kanakyensis strain 201800292 contig_0006, whole genome shotgun sequence",Leptospira kanakyensis,54.7,54.7,17%,2.00E-07,60.47,282047,NZ_RQFG01000016.1
"Leptospira langatensis strain SSW18 contig_0008, whole genome shotgun sequence",Leptospira langatensis,54.7,54.7,17%,2.00E-07,58.14,290537,NZ_RQER01000005.1
"Leptospira johnsonii strain E8, whole genome shotgun sequence",Leptospira johnsonii,54.7,54.7,17%,2.00E-07,58.14,301729,NZ_BFAY01000012.1
"Leptospira selangorensis strain 201702405 contig_0005, whole genome shotgun sequence",Leptospira selangorensis,54.7,54.7,17%,2.00E-07,58.14,307126,NZ_RQGV01000012.1
"Leptospira venezuelensis strain IVIC-Bov1 contig_0006, whole genome shotgun sequence",Leptospira venezuelensis,54.7,54.7,17%,2.00E-07,58.14,335859,NZ_NFUQ01000006.1
"Leptospira dzoumogneensis strain 201601113 contig_0005, whole genome shotgun sequence",Leptospira dzoumogneensis,54.7,54.7,17%,2.00E-07,58.14,336452,NZ_RQHS01000012.1
"Leptospira perdikensis strain 201702692 contig_0004, whole genome shotgun sequence",Leptospira perdikensis,54.7,54.7,17%,2.00E-07,60.47,262935,NZ_RQGA01000007.1
"Leptospira haakeii strain ATI7-C-A2 contig_4, whole genome shotgun sequence",Leptospira haakeii,54.7,54.7,17%,2.00E-07,58.14,324807,NZ_NPEI01000004.1
"Leptospira andrefontaineae strain 201800301 contig_0005, whole genome shotgun sequence",Leptospira andrefontaineae,54.7,54.7,17%,2.00E-07,58.14,417390,NZ_RQEY01000012.1
"Leptospira licerasiae str. MMD4847 ctg7180000002432, whole genome shotgun sequence",Leptospira licerasiae str. MMD4847,54.7,54.7,17%,3.00E-07,58.14,346808,NZ_AHOM02000001.1
"Leptospira vanthielii strain 201601955 contig_0009, whole genome shotgun sequence",Leptospira vanthielii,54.7,54.7,17%,3.00E-07,60.47,258636,NZ_RQHF01000042.1
"Leptospira montravelensis strain 201800278 contig_0005, whole genome shotgun sequence",Leptospira montravelensis,54.7,54.7,17%,3.00E-07,60.47,255951,NZ_RQFO01000011.1
"Leptospira wolbachii serovar Codice str. CDC ctg1134731807517, whole genome shotgun sequence",Leptospira wolbachii serovar Codice str. CDC,54.7,54.7,17%,3.00E-07,60.47,259627,NZ_AOGZ02000016.1
"Leptospira terpstrae serovar Hualin str. LT 11-33 = ATCC 700639 strain LT 11-33 ctg7180000024111, whole genome shotgun sequence",Leptospira terpstrae serovar Hualin str. LT 11-33 = ATCC 700639,54.7,54.7,17%,3.00E-07,60.47,229834,NZ_AOGW02000023.1
"Leptospira bandrabouensis strain 201601109 NODE_3_covk_43.3292_covr_85.98_44, whole genome shotgun sequence",Leptospira bandrabouensis,54.7,54.7,17%,3.00E-07,60.47,266051,NZ_RQHU01000024.1
"Leptospira semungkisensis strain SSS9 contig_0005, whole genome shotgun sequence",Leptospira semungkisensis,54.7,54.7,17%,3.00E-07,58.14,294175,NZ_RQEP01000012.1
"Leptospira saintgironsiae strain FH4-C-A2 contig_5, whole genome shotgun sequence",Leptospira saintgironsiae,54.7,54.7,17%,3.00E-07,58.14,297440,NZ_NPDR01000005.1
"Leptospira neocaledonica strain ES4-C-A1 contig_7, whole genome shotgun sequence",Leptospira neocaledonica,54.7,54.7,17%,3.00E-07,58.14,321441,NZ_NPEA01000007.1
"Leptospira hartskeerlii strain MCA1-C-A1 contig_7, whole genome shotgun sequence",Leptospira hartskeerlii,54.7,54.7,17%,3.00E-07,58.14,298142,NZ_NPDN01000007.1
"Leptospira wolffii strain 201800291 contig_0005, whole genome shotgun sequence",Leptospira wolffii,54.7,54.7,17%,3.00E-07,58.14,346660,NZ_RQFH01000009.1
"Leptospira koniambonensis strain 201800265 contig_0005, whole genome shotgun sequence",Leptospira koniambonensis,54.7,54.7,17%,3.00E-07,58.14,363960,NZ_RQFY01000007.1
"Leptospira meyeri strain ES1-C-A1 contig_6, whole genome shotgun sequence",Leptospira meyeri,54.7,54.7,17%,3.00E-07,60.47,271795,NZ_NPEC01000006.1
"Leptospira ryugenii strain YH101, whole genome shotgun sequence",Leptospira ryugenii,54.7,54.7,17%,3.00E-07,60.47,277983,NZ_BFBB01000009.1
"Leptospira tipperaryensis strain GWTS#1 chromosome 2, complete sequence",Leptospira tipperaryensis,54.7,54.7,17%,3.00E-07,55.81,486474,NZ_CP015218.1
"Leptospira kemamanensis strain 201702454 contig_0006, whole genome shotgun sequence",Leptospira kemamanensis,54.3,54.3,17%,3.00E-07,60.47,224302,NZ_RQGG01000010.1
"Leptospira idonii strain 201300427 NODE_3_covk_39.5669_covr_79.98_cutoff_40, whole genome shotgun sequence",Leptospira idonii,54.3,54.3,17%,3.00E-07,60.47,265485,NZ_RQHW01000028.1
"Leptospira yanagawae strain 201800272 contig_0006, whole genome shotgun sequence",Leptospira yanagawae,54.3,54.3,17%,3.00E-07,60.47,273131,NZ_RQFU01000016.1
"Leptospira jelokensis strain 201702419 contig_0004, whole genome shotgun sequence",Leptospira jelokensis,54.3,54.3,17%,3.00E-07,60.47,313752,NZ_RQGR01000007.1
"Leptospira ognonensis strain 201702476 NODE_5_covk_30.8237_covr_60.08_cutoff_5, whole genome shotgun sequence",Leptospira ognonensis,54.3,54.3,17%,3.00E-07,60.47,305521,NZ_RQGD01000014.1
"Leptospira sarikeiensis strain 201702455 contig_0003, whole genome shotgun sequence",Leptospira sarikeiensis,54.3,54.3,17%,3.00E-07,58.14,317720,NZ_RQGF01000035.1
"Leptospira mtsangambouensis strain 201601298 NODE_5_covk_42.9667_covr_72.85, whole genome shotgun sequence",Leptospira mtsangambouensis,54.3,54.3,17%,3.00E-07,60.47,259140,NZ_RQHK01000005.1
"Leptospira bourretii strain 201800267 contig_0007, whole genome shotgun sequence",Leptospira bourretii,54.3,54.3,17%,3.00E-07,60.47,264175,NZ_RQFW01000001.1
"Leptospira ellinghausenii strain E18, whole genome shotgun sequence",Leptospira ellinghausenii,54.3,54.3,17%,3.00E-07,60.47,275635,NZ_BFAZ01000010.1
"Leptospira biflexa strain 201601962 contig_0003, whole genome shotgun sequence",Leptospira biflexa,54.3,54.3,17%,3.00E-07,60.47,282548,NZ_RQHA01000012.1
"Leptospira harrisiae strain FH2-B-A1 contig_6, whole genome shotgun sequence",Leptospira harrisiae,54.3,54.3,17%,3.00E-07,60.47,251315,NZ_NPDX01000006.1
"Leptospira levettii strain 201601119 NODE_2_covk_43.2841_covr_85.74_cutoff_47, whole genome shotgun sequence",Leptospira levettii,54.3,54.3,17%,3.00E-07,60.47,332235,NZ_RQHO01000004.1
"Leptospira bouyouniensis strain 201800295 contig_0005, whole genome shotgun sequence",Leptospira bouyouniensis,54.3,54.3,17%,3.00E-07,60.47,267812,NZ_RQFD01000010.1
"Leptospira perolatii strain FH1-B-B1 contig_3, whole genome shotgun sequence",Leptospira perolatii,53.9,53.9,17%,4.00E-07,55.81,352179,NZ_NPDZ01000003.1
"Leptospira fluminis strain SCS5 contig_0004, whole genome shotgun sequence",Leptospira fluminis,53.5,53.5,17%,6.00E-07,55.81,325090,NZ_RQEV01000007.1
"Leptospira fletcheri strain SSW15 contig_0005, whole genome shotgun sequence",Leptospira fletcheri,53.5,53.5,17%,6.00E-07,55.81,345251,NZ_RQET01000009.1
"Leptospira fainei serovar Hurstbridge str. BUT 6 ctg1134728687810, whole genome shotgun sequence",Leptospira fainei serovar Hurstbridge str. BUT 6,53.5,53.5,17%,6.00E-07,55.81,331619,NZ_AKWZ02000011.1
"Leptospira inadai serovar Lyme strain M34/99 Contig_1_consensus_sequence, whole genome shotgun sequence",Leptospira inadai serovar Lyme,53.5,53.5,17%,6.00E-07,55.81,400360,NZ_MCRM02000001.1
"Leptospira broomii serovar Hurstbridge str. 5399 ctg1134731807505, whole genome shotgun sequence",Leptospira broomii serovar Hurstbridge str. 5399,53.5,53.5,17%,6.00E-07,55.81,440053,NZ_AHMO02000007.1
"Leptonema illini DSM 21528 Lepilscaffold_1, whole genome shotgun sequence",Leptonema illini DSM 21528,52.8,152,17%,1.00E-06,65.12,4325094,NZ_JH597773.1
"Treponema ruminis strain DSM 103462 Ga0415371_08, whole genome shotgun sequence",Treponema ruminis,52.4,52.4,18%,2.00E-06,51.11,157906,NZ_JACHFQ010000008.1
"Turneriella parva DSM 21527 plasmid pTURPA.01, complete sequence",Turneriella parva DSM 21527,52,52,17%,2.00E-06,60.47,25287,NC_018021.1
"Leptospira perolatii strain FH1-B-B1 contig_1, whole genome shotgun sequence",Leptospira perolatii,49.7,49.7,17%,1.00E-05,53.49,819540,NZ_NPDZ01000001.1
"Treponema saccharophilum DSM 2985 Tsacc_Contig231, whole genome shotgun sequence",Treponema saccharophilum DSM 2985,48.9,48.9,18%,2.00E-05,50,123325,NZ_AGRW01000045.1
"Treponema ruminis strain DSM 103462 Ga0415371_06, whole genome shotgun sequence",Treponema ruminis,48.5,48.5,17%,2.00E-05,55.81,245694,NZ_JACHFQ010000006.1
"Leptospira gomenensis strain 201800299 contig_0007, whole genome shotgun sequence",Leptospira gomenensis,48.5,48.5,17%,3.00E-05,53.49,226394,NZ_RQFA01000026.1
"Treponema zioleckii strain kT3 contig00027, whole genome shotgun sequence",Treponema zioleckii,48.5,48.5,18%,3.00E-05,42.22,48452,NZ_JPUF01000027.1
"Leptospira saintgironsiae strain FH4-C-A2 contig_1, whole genome shotgun sequence",Leptospira saintgironsiae,47.8,47.8,17%,4.00E-05,51.16,1069366,NZ_NPDR01000001.1
"Leptospira alstonii strain 56661 Contig002, whole genome shotgun sequence",Leptospira alstonii,47.8,47.8,17%,5.00E-05,51.16,213731,NZ_JQRS01000002.1
"Leptospira semungkisensis strain SSS9 contig_0001, whole genome shotgun sequence",Leptospira semungkisensis,47.8,94.7,17%,6.00E-05,51.16,1612815,NZ_RQEP01000005.1
"Leptospira weilii strain CUDO6 chromosome I, complete sequence",Leptospira weilii,47.4,47.4,17%,6.00E-05,51.16,3965053,NZ_CP040840.1
"Leptospira adleri strain FH2-B-C1 contig_3, whole genome shotgun sequence",Leptospira adleri,47.4,47.4,17%,6.00E-05,48.84,301528,NZ_NPDV01000003.1
"Leptospira borgpetersenii serovar Ceylonica strain Piyasena chromosome 1, complete sequence",Leptospira borgpetersenii serovar Ceylonica,47.4,47.4,17%,6.00E-05,48.84,3670231,NZ_CP026671.1
"Leptospira tipperaryensis strain GWTS#1 chromosome 1, complete sequence",Leptospira tipperaryensis,47.4,47.4,17%,6.00E-05,48.84,4105414,NZ_CP015217.1
"Leptospira alexanderi strain 56659 Contig148, whole genome shotgun sequence",Leptospira alexanderi,47.4,47.4,17%,7.00E-05,48.84,6569,NZ_JQGW01000148.1
"Leptospira inadai serovar Lyme strain M34/99 Contig_5_consensus_sequence, whole genome shotgun sequence",Leptospira inadai serovar Lyme,47.4,47.4,17%,7.00E-05,51.16,208892,NZ_MCRM02000007.1
"Leptospira stimsonii strain SSW20 contig_0001, whole genome shotgun sequence",Leptospira stimsonii,47.4,47.4,17%,7.00E-05,48.84,609088,NZ_RQEQ01000073.1
"Leptospira broomii serovar Hurstbridge str. 5399 ctg1134731807512, whole genome shotgun sequence",Leptospira broomii serovar Hurstbridge str. 5399,47.4,47.4,17%,7.00E-05,51.16,2457338,NZ_AHMO02000008.1
"Leptospira santarosai str. CBC1531 ctg7180000005066, whole genome shotgun sequence",Leptospira santarosai str. CBC1531,47.4,47.4,17%,7.00E-05,48.84,56796,NZ_APGN01000154.1
"Leptospira fluminis strain SCS5 contig_0001, whole genome shotgun sequence",Leptospira fluminis,47.4,47.4,17%,7.00E-05,51.16,718176,NZ_RQEV01000003.1
"Leptospira yasudae strain 201702446 contig_0001, whole genome shotgun sequence",Leptospira yasudae,47.4,47.4,17%,7.00E-05,48.84,455028,NZ_RQGL01000024.1
"Leptospira yasudae strain F1 NODE_2_length_728769_cov_223.751, whole genome shotgun sequence",Leptospira yasudae,47.4,47.4,17%,7.00E-05,48.84,728769,NZ_QHCU01000002.1
"Leptospira wolffii strain 201800291 contig_0001, whole genome shotgun sequence",Leptospira wolffii,47.4,47.4,17%,7.00E-05,51.16,1546204,NZ_RQFH01000003.1
"Leptospira mayottensis strain VS2413 chromosome I, complete sequence",Leptospira mayottensis,47.4,47.4,17%,8.00E-05,48.84,3803942,NZ_CP030142.1
"Leptospira barantonii strain FH4-C-A1 contig_7, whole genome shotgun sequence",Leptospira barantonii,47,47,17%,8.00E-05,48.84,320527,NZ_NPDS01000007.1
"Leptospira fletcheri strain SSW15 contig_0001, whole genome shotgun sequence",Leptospira fletcheri,47,47,17%,8.00E-05,51.16,1400601,NZ_RQET01000004.1
"Leptospira kmetyi strain LS 001/16 chromosome 1, complete sequence",Leptospira kmetyi,47,47,17%,8.00E-05,48.84,3927288,NZ_CP033614.1
"Leptospira neocaledonica strain ES4-C-A1 contig_3, whole genome shotgun sequence",Leptospira neocaledonica,47,47,17%,8.00E-05,51.16,457806,NZ_NPEA01000003.1
"Leptospira andrefontaineae strain 201800301 contig_0002, whole genome shotgun sequence",Leptospira andrefontaineae,47,47,17%,8.00E-05,51.16,584447,NZ_RQEY01000019.1
