Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Catonella morbi ATCC 51271 Scfld4, whole genome shotgun sequence",Catonella morbi ATCC 51271,167,167,62%,3.00E-43,43.61,411696,NZ_KI535370.1
"Halothermothrix orenii H 168, complete sequence",Halothermothrix orenii H 168,159,222,64%,1.00E-40,38.67,2578146,NC_011899.1
"Defluviitalea phaphyphila strain Alg1 scaffold2, whole genome shotgun sequence",Defluviitalea phaphyphila,158,158,69%,4.00E-40,35.63,314254,NZ_JWID01000002.1
"Selenihalanaerobacter shriftii strain ATCC BAA-73, whole genome shotgun sequence",Selenihalanaerobacter shriftii,157,157,69%,5.00E-40,34.69,125861,NZ_FUWM01000010.1
"[Clostridium] populeti strain 743A, whole genome shotgun sequence",[Clostridium] populeti,157,157,62%,1.00E-39,42.41,174560,NZ_FOYZ01000011.1
"Anaerosporobacter mobilis DSM 15930, whole genome shotgun sequence",Anaerosporobacter mobilis DSM 15930,157,157,59%,1.00E-39,44.6,672632,NZ_FRCP01000005.1
"Mobilisporobacter senegalensis strain DSM 26537 Ga0244700_102, whole genome shotgun sequence",Mobilisporobacter senegalensis,156,156,64%,1.00E-39,40.6,542039,NZ_RJVG01000002.1
"Anaerocolumna cellulosilytica strain SN021 chromosome, complete genome",Anaerocolumna cellulosilytica,156,156,62%,1.00E-39,38.67,5430627,NZ_AP023367.1
"Mobilitalea sibirica strain DSM 26468 seq16, whole genome shotgun sequence",Mobilitalea sibirica,154,154,59%,6.00E-39,40.93,118530,NZ_JAEAGR010000016.1
"Anaerocolumna xylanovorans DSM 12503, whole genome shotgun sequence",Anaerocolumna xylanovorans DSM 12503,154,154,66%,7.00E-39,39.17,329447,NZ_FRFD01000007.1
"Clostridium cylindrosporum DSM 605 CLCY_2c, whole genome shotgun sequence",Clostridium cylindrosporum DSM 605,154,154,63%,1.00E-38,36.61,465656,NZ_LFVU01000027.1
"Lachnospira pectinoschiza strain M83, whole genome shotgun sequence",Lachnospira pectinoschiza,153,153,63%,1.00E-38,39.04,163564,NZ_FNHZ01000007.1
"Anoxybacter fermentans strain DY22613, complete genome",Anoxybacter fermentans,153,153,69%,2.00E-38,34.15,3557532,NZ_CP016379.1
"Lachnospira multipara strain D15d, whole genome shotgun sequence",Lachnospira multipara,152,152,63%,3.00E-38,39.04,164503,NZ_FNUL01000008.1
"Defluviitalea raffinosedens strain 249c-K6 seq1, whole genome shotgun sequence",Defluviitalea raffinosedens,152,204,69%,3.00E-38,34.68,524752,NZ_WSLF01000001.1
"Acetohalobium arabaticum DSM 5501, complete sequence",Acetohalobium arabaticum DSM 5501,150,150,67%,1.00E-37,33.33,2469596,NC_014378.1
"Lachnoclostridium phytofermentans ISDg, complete sequence",Lachnoclostridium phytofermentans ISDg,150,203,69%,1.00E-37,37.61,4847594,NC_010001.1
"Anaerocolumna aminovalerica isolate src1, whole genome shotgun sequence",Anaerocolumna aminovalerica,150,150,62%,2.00E-37,40.44,119170,NZ_OAOG01000011.1
"Herbinix luporum strain SD1D chromosome I, complete sequence",Herbinix luporum,150,150,68%,2.00E-37,35.6,2609352,NZ_LN879430.1
"Paramaledivibacter caminithermalis DSM 15212, whole genome shotgun sequence",Paramaledivibacter caminithermalis DSM 15212,150,150,60%,2.00E-37,38.79,71533,NZ_FRAG01000015.1
"Anaerocolumna jejuensis DSM 15929, whole genome shotgun sequence",Anaerocolumna jejuensis DSM 15929,150,150,62%,2.00E-37,40,410877,NZ_FRAC01000008.1
"Dethiobacter alkaliphilus AHT 1 ctg27, whole genome shotgun sequence",Dethiobacter alkaliphilus AHT 1,149,149,68%,3.00E-37,37.4,55374,NZ_ACJM01000016.1
"Petrocella atlantisensis isolate 70B-A chromosome 1, complete sequence",Petrocella atlantisensis,149,206,67%,3.00E-37,36.78,3518882,NZ_LR130778.1
"Natranaerovirga pectinivora strain DSM 24629 Ga0244691_104, whole genome shotgun sequence",Natranaerovirga pectinivora,149,205,64%,5.00E-37,36.4,236681,NZ_SMAL01000004.1
"[Eubacterium] eligens ATCC 27750, complete sequence",[Eubacterium] eligens ATCC 27750,149,211,64%,5.00E-37,39.47,2144190,NC_012778.1
"Herbinix hemicellulosilytica isolate T3/55T, whole genome shotgun sequence",Herbinix hemicellulosilytica,149,149,63%,6.00E-37,37.55,439462,NZ_CVTD020000015.1
"Natranaerovirga hydrolytica strain DSM 24176 Ga0244688_101, whole genome shotgun sequence",Natranaerovirga hydrolytica,148,204,68%,1.00E-36,37.33,1207265,NZ_SMGQ01000011.1
Thermanaeromonas toyohensis ToBE chromosome I,Thermanaeromonas toyohensis ToBE,148,148,64%,1.00E-36,40.17,3334124,NZ_LT838272.1
"Hungateiclostridium clariflavum DSM 19732, complete sequence",Hungateiclostridium clariflavum DSM 19732,148,148,75%,1.00E-36,33.95,4897678,NC_016627.1
"Cellulosilyticum ruminicola JCM 14822, whole genome shotgun sequence",Cellulosilyticum ruminicola JCM 14822,145,145,63%,8.00E-36,37,170588,NZ_BBCG01000001.1
"[Clostridium] polysaccharolyticum strain DSM 1801, whole genome shotgun sequence",[Clostridium] polysaccharolyticum,145,145,63%,1.00E-35,40.53,270458,NZ_FOHN01000001.1
"Acetitomaculum ruminis DSM 5522, whole genome shotgun sequence",Acetitomaculum ruminis DSM 5522,144,144,63%,2.00E-35,37.28,80525,NZ_FOJY01000015.1
"Niameybacter massiliensis strain Mt14, whole genome shotgun sequence",Niameybacter massiliensis,144,202,65%,2.00E-35,34.48,3391002,NZ_LN875035.1
"Halobacteroides halobius DSM 5150, complete sequence",Halobacteroides halobius DSM 5150,144,144,68%,2.00E-35,34.43,2649255,NC_019978.1
"Eubacterium xylanophilum ATCC 35991 L877DRAFT_scaffold00002.2, whole genome shotgun sequence",Eubacterium xylanophilum ATCC 35991,144,144,69%,2.00E-35,35.86,255598,NZ_KI912470.1
"Thermacetogenium phaeum DSM 12270, complete sequence",Thermacetogenium phaeum DSM 12270,144,144,66%,2.00E-35,37.02,2939057,NC_018870.1
"Carboxydocella sporoproducens DSM 16521, whole genome shotgun sequence",Carboxydocella sporoproducens DSM 16521,144,144,69%,3.00E-35,35.51,73131,NZ_FUXM01000010.1
"Carboxydocella thermautotrophica strain 041T chromosome, complete genome",Carboxydocella thermautotrophica,144,202,69%,3.00E-35,35.51,2690058,NZ_CP028514.1
"Pseudobutyrivibrio xylanivorans DSM 14809, whole genome shotgun sequence",Pseudobutyrivibrio xylanivorans DSM 14809,144,144,63%,3.00E-35,36.84,180983,NZ_FQYQ01000006.1
"Anaerosacchriphilus polymeriproducens strain MCWD5 MCWD5.49, whole genome shotgun sequence",Anaerosacchriphilus polymeriproducens,144,144,62%,3.00E-35,36.89,421402,NZ_QRCT01000049.1
"Natranaerobius thermophilus JW/NM-WN-LF, complete sequence",Natranaerobius thermophilus JW/NM-WN-LF,143,273,68%,3.00E-35,34.38,3165557,NC_010718.1
"Thermoanaerosceptrum fracticalcis strain DRI-13 chromosome, complete genome",Thermoanaerosceptrum fracticalcis,143,333,64%,4.00E-35,35.71,3805411,NZ_CP045798.1
"Acetivibrio mesophilus strain N2K1 seq2, whole genome shotgun sequence",Acetivibrio mesophilus,142,142,75%,6.00E-35,33.21,339685,NZ_RLII01000002.1
"Paenibacillus endophyticus strain CECT 8234 Ga0372411_05, whole genome shotgun sequence",Paenibacillus endophyticus,142,142,68%,6.00E-35,34.02,404235,NZ_JACHXW010000005.1
"Butyrivibrio crossotus isolate MGYG-HGUT-01319, whole genome shotgun sequence",Butyrivibrio crossotus,142,201,67%,7.00E-35,36.59,1117448,NZ_CABKNR010000011.1
"Alkaliphilus oremlandii OhILAs, complete sequence",Alkaliphilus oremlandii OhILAs,142,142,63%,9.00E-35,35.27,3123558,NC_009922.1
"Paenibacillus harenae DSM 16969 H581DRAFT_scaffold00001.1, whole genome shotgun sequence",Paenibacillus harenae DSM 16969,142,142,69%,9.00E-35,34.15,2051210,NZ_KE383842.1
"Paenibacillus agaridevorans strain T-3040, whole genome shotgun sequence",Paenibacillus agaridevorans,142,142,68%,1.00E-34,35.66,163450,NZ_BDQX01000243.1
"Hungateiclostridium cellulolyticum CD2 Acecescaffold_8, whole genome shotgun sequence",Hungateiclostridium cellulolyticum CD2,142,142,69%,1.00E-34,36,1072651,NZ_JH556658.1
"Thermincola ferriacetica strain Z-0001 Tfer_ctg02, whole genome shotgun sequence",Thermincola ferriacetica,142,142,69%,1.00E-34,35.63,265702,NZ_LGTE01000002.1
"Sporolituus thermophilus DSM 23256, whole genome shotgun sequence",Sporolituus thermophilus DSM 23256,141,141,64%,2.00E-34,36.24,72258,NZ_FNBU01000015.1
"[Clostridium] fimetarium strain DSM 9179, whole genome shotgun sequence",[Clostridium] fimetarium,141,141,62%,2.00E-34,37.78,461681,NZ_FOJI01000002.1
"Hungateiclostridium thermocellum DSM 2360, complete genome",Hungateiclostridium thermocellum DSM 2360,141,141,75%,3.00E-34,32.84,3577579,NZ_CP016502.1
"Natranaerobius trueperi strain DSM 18760 ZB100017, whole genome shotgun sequence",Natranaerobius trueperi,140,140,62%,3.00E-34,33.78,51557,NZ_NIQC01000018.1
"Pseudoclostridium thermosuccinogenes strain DSM 5807 chromosome, complete genome",Pseudoclostridium thermosuccinogenes,140,140,60%,3.00E-34,38.32,4731216,NZ_CP021850.1
"Desulfonispora thiosulfatigenes DSM 11270, whole genome shotgun sequence",Desulfonispora thiosulfatigenes DSM 11270,140,140,62%,5.00E-34,33.94,184950,NZ_FWWT01000008.1
"Maledivibacter halophilus strain M1, whole genome shotgun sequence",Maledivibacter halophilus,140,140,68%,5.00E-34,33.2,357555,NZ_FUZT01000006.1
"Acetoanaerobium noterae strain ATCC 35199, whole genome shotgun sequence",Acetoanaerobium noterae,139,139,65%,7.00E-34,35.06,730213,NZ_FUYN01000001.1
"Paenibacillus chitinolyticus strain KCCM 41400 chromosome, complete genome",Paenibacillus chitinolyticus,139,139,69%,8.00E-34,34.69,6509090,NZ_CP026520.1
