Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Olegusella massiliensis strain KHD7, whole genome shotgun sequence",Olegusella massiliensis,162,162,81%,4.00E-42,36.11,1755906,NZ_FLLS01000002.1
"Olsenella mediterranea strain Marseille-P3256T, whole genome shotgun sequence",Olsenella mediterranea,159,159,81%,6.00E-41,34.52,1272789,NZ_FPKO01000009.1
"Olsenella provencensis strain Marseille-P2912T, whole genome shotgun sequence",Olsenella provencensis,159,238,81%,9.00E-41,34.66,2629075,NZ_LT671417.1
"Atopobium rimae ATCC 49626 contig00007, whole genome shotgun sequence",Atopobium rimae ATCC 49626,157,157,81%,2.00E-40,34.26,463785,NZ_ACFE01000002.1
"Atopobium parvulum DSM 20469, complete sequence",Atopobium parvulum DSM 20469,157,157,81%,2.00E-40,34.26,1543805,NC_013203.1
"Acidimicrobium ferrooxidans DSM 10331, complete sequence",Acidimicrobium ferrooxidans DSM 10331,153,153,81%,7.00E-39,36.65,2158157,NC_013124.1
Olsenella timonensis strain Marseille-P2300 chromosome contig00001,Olsenella timonensis,151,272,81%,3.00E-38,33.07,2176737,NZ_LT635455.1
"Atopobium fossor DSM 15642 G469DRAFT_scaffold00003.3_C, whole genome shotgun sequence",Atopobium fossor DSM 15642,151,151,81%,4.00E-38,32.67,225503,NZ_AXXR01000004.1
"Parolsenella catena strain JCM 31932 chromosome, complete genome",Parolsenella catena,150,150,81%,1.00E-37,31.87,1796691,NZ_AP019367.1
Parolsenella massiliensis strain Marseille-P3237T chromosome scaffold00001,Parolsenella massiliensis,149,228,81%,2.00E-37,32.82,2009306,NZ_LT671675.1
"Actinomarinicola tropica strain SCSIO 58843 chromosome, complete genome",Actinomarinicola tropica,149,224,81%,2.00E-37,34.66,3715454,NZ_CP045851.1
"Enorma timonensis strain GD5, whole genome shotgun sequence",Enorma timonensis,149,149,81%,3.00E-37,31.47,68480,NZ_CAPF01000097.1
"Acidithrix ferrooxidans strain Py-F3 AXFE_contig000062, whole genome shotgun sequence",Acidithrix ferrooxidans,147,147,81%,7.00E-37,34.26,38554,NZ_JXYS01000062.1
"Olsenella phocaeensis strain Marseille-P2936T, whole genome shotgun sequence",Olsenella phocaeensis,147,147,81%,7.00E-37,32.54,2000060,NZ_LT635494.1
"Collinsella provencensis strain Marseille-P3740, whole genome shotgun sequence",Collinsella provencensis,147,147,81%,8.00E-37,33.07,1731011,NZ_LT904908.1
"Olsenella scatoligenes strain SK9K4 contig_1, whole genome shotgun sequence",Olsenella scatoligenes,147,147,81%,9.00E-37,33.33,1021707,NZ_LOJF01000001.1
"Ferrimicrobium acidiphilum DSM 19497 Q367DRAFT_scaffold00016.16_C, whole genome shotgun sequence",Ferrimicrobium acidiphilum DSM 19497,147,147,81%,1.00E-36,34.26,52572,NZ_JQKF01000017.1
"Fannyhessea vaginae strain NCTC13935, whole genome shotgun sequence",Fannyhessea vaginae,146,146,81%,2.00E-36,33.6,1445974,NZ_UFSV01000001.1
"Enorma massiliensis phI, whole genome shotgun sequence",Enorma massiliensis phI,146,146,81%,2.00E-36,31.87,1607085,NZ_HE978574.1
"Brevibacterium jeotgali strain DSM 29217 Ga0314179_11, whole genome shotgun sequence",Brevibacterium jeotgali,146,275,81%,2.00E-36,34.26,2609693,NZ_VIUB01000001.1
Olsenella umbonata strain DSM 22620 chromosome I,Olsenella umbonata,145,145,81%,3.00E-36,32.67,2353193,NZ_LT629759.1
"Collinsella bouchesdurhonensis strain Marseille-P3296, whole genome shotgun sequence",Collinsella bouchesdurhonensis,145,145,81%,3.00E-36,31.08,282095,NZ_LT699742.1
"Xylanibacterium ulmi strain DSM 16932 Ga0197527_11, whole genome shotgun sequence",Xylanibacterium ulmi,145,255,81%,3.00E-36,35.86,3965098,NZ_SGWX01000001.1
"Coriobacterium glomerans PW2, complete sequence",Coriobacterium glomerans PW2,145,145,81%,5.00E-36,31.08,2115681,NC_015389.1
"Collinsella ihuae isolate MGYG-HGUT-01538, whole genome shotgun sequence",Collinsella ihuae,145,145,83%,5.00E-36,31.03,199822,NZ_CABKVW010000005.1
"Atopobium minutum 10063974 acnkJ-supercont1.1, whole genome shotgun sequence",Atopobium minutum 10063974,145,145,81%,6.00E-36,32.17,1459495,NZ_KB822533.1
"Collinsella stercoris DSM 13279 Scfld6, whole genome shotgun sequence",Collinsella stercoris DSM 13279,144,144,81%,1.00E-35,31.87,286825,NZ_DS995479.1
"Isoptericola halotolerans strain KCTC 19046 Ga0400134_03, whole genome shotgun sequence",Isoptericola halotolerans,144,144,81%,1.00E-35,35.46,540091,NZ_JABEZU010000003.1
"Olsenella uli DSM 7084, complete sequence",Olsenella uli DSM 7084,143,143,81%,2.00E-35,32.67,2051896,NC_014363.1
"Egicoccus halophilus strain EGI 80432 chromosome, complete genome",Egicoccus halophilus,143,386,81%,2.00E-35,34.88,3980161,NZ_CP036250.1
"Nocardia pseudobrasiliensis strain DSM 44290 Ga0244499_118, whole genome shotgun sequence",Nocardia pseudobrasiliensis,143,143,81%,2.00E-35,35.06,62765,NZ_QQBC01000018.1
"Nocardia vulneris strain NBRC 108936, whole genome shotgun sequence",Nocardia vulneris,143,143,81%,3.00E-35,35.06,563302,NZ_BDCI01000017.1
"Bifidobacterium saimiriisciurei strain SMA1 sequence08, whole genome shotgun sequence",Bifidobacterium saimiriisciurei,143,143,82%,3.00E-35,33.73,140937,NZ_WHZU01000008.1
"Bifidobacterium primatium strain TRE 1 NODE_1_length_1055992_cov_95.327966, whole genome shotgun sequence",Bifidobacterium primatium,143,143,82%,3.00E-35,33.73,1055992,NZ_PEBI01000001.1
"Brevibacterium ravenspurgense strain CCUG56047 Bravens_contig000010, whole genome shotgun sequence",Brevibacterium ravenspurgense,142,142,81%,3.00E-35,34.26,843292,NZ_LQQC01000010.1
"Lentzea flava strain JCM 3296 sequence029, whole genome shotgun sequence",Lentzea flava,142,142,81%,4.00E-35,33.86,106503,NZ_BMRE01000029.1
"Nocardia brasiliensis strain FDAARGOS_352 chromosome, complete genome",Nocardia brasiliensis,142,260,81%,4.00E-35,35.06,8935513,NZ_CP022088.2
"Collinsella intestinalis isolate Collinsella_intestinalis_DSM_13632, whole genome shotgun sequence",Collinsella intestinalis,142,142,81%,4.00E-35,31.87,453107,NZ_CABWIC010000011.1
"Pseudonocardia alni strain DSM 44104 Ga0074759_13, whole genome shotgun sequence",Pseudonocardia alni,142,258,81%,4.00E-35,35.46,5686562,NZ_PHUJ01000003.1
"Lentzea aerocolonigenes strain NBRC 13195, whole genome shotgun sequence",Lentzea aerocolonigenes,142,142,81%,4.00E-35,33.86,164169,NZ_BBOJ01000023.1
"Tsukamurella paurometabola DSM 20162, complete sequence",Tsukamurella paurometabola DSM 20162,142,384,81%,4.00E-35,35.86,4379918,NC_014158.1
"Pseudonocardia antarctica strain DSM 44749 Ga0415164_01, whole genome shotgun sequence",Pseudonocardia antarctica,142,258,81%,4.00E-35,35.46,5989168,NZ_JACCCZ010000001.1
"Lentzea deserti strain DSM 45480 Ga0215650_105, whole genome shotgun sequence",Lentzea deserti,142,142,81%,5.00E-35,33.86,626399,NZ_QGHB01000005.1
"Lentzea atacamensis strain DSM 45479 Ga0215649_104, whole genome shotgun sequence",Lentzea atacamensis,142,142,81%,5.00E-35,33.86,785641,NZ_QLTT01000004.1
"Propioniferax innocua strain DSM 8251 Ga0197512_12, whole genome shotgun sequence",Propioniferax innocua,142,266,83%,5.00E-35,33.59,1035347,NZ_VFOR01000002.1
"Lentzea pudingi strain CGMCC 4.7319 sequence17, whole genome shotgun sequence",Lentzea pudingi,142,142,81%,6.00E-35,33.86,148139,NZ_BMNC01000017.1
"Brevibacterium yomogidense strain B Co 03.10, whole genome shotgun sequence",Brevibacterium yomogidense,142,142,81%,6.00E-35,34.26,153762,NZ_FWFF01000013.1
"Xylanimonas allomyrinae strain 2JSPR-7 chromosome, complete genome",Xylanimonas allomyrinae,142,253,81%,6.00E-35,35.06,3816482,NZ_CP035495.1
"Lentzea waywayandensis strain DSM 44232, whole genome shotgun sequence",Lentzea waywayandensis,142,142,81%,7.00E-35,33.86,252538,NZ_FOYL01000014.1
"Brevibacterium sanguinis strain 2b_TX Ga0227256_118, whole genome shotgun sequence",Brevibacterium sanguinis,142,142,81%,7.00E-35,34.26,68911,NZ_QNRZ01000018.1
"Brevibacterium celere strain 3b_TX Ga0227255_116, whole genome shotgun sequence",Brevibacterium celere,142,142,81%,7.00E-35,34.26,69026,NZ_QNSB01000016.1
"Actinosynnema mirum DSM 43827, complete sequence",Actinosynnema mirum DSM 43827,142,338,81%,7.00E-35,34.26,8248144,NC_013093.1
"Prauserella endophytica strain CGMCC 4.7182 Scaffold41, whole genome shotgun sequence",Prauserella endophytica,142,142,81%,7.00E-35,33.47,37655,NZ_SWMS01000041.1
"Lentzea guizhouensis strain DHS C013 chromosome, complete genome",Lentzea guizhouensis,141,328,81%,8.00E-35,33.86,9997872,NZ_CP016793.1
"Xylanimonas cellulosilytica DSM 15894, complete sequence",Xylanimonas cellulosilytica DSM 15894,141,251,81%,8.00E-35,35.06,3742776,NC_013530.1
"Aeromicrobium flavum strain NBRC 107625 sequence12, whole genome shotgun sequence",Aeromicrobium flavum,141,141,82%,8.00E-35,35.43,104149,NZ_BJZQ01000012.1
"Collinsella aerofaciens strain D40t1_170626_B5 NODE_2_length_170395_cov_28.8898, whole genome shotgun sequence",Collinsella aerofaciens,141,141,81%,8.00E-35,30.28,170395,NZ_JADPCJ010000002.1
"Corynebacterium dentalis strain Marseille-P4122, whole genome shotgun sequence",Corynebacterium dentalis,141,141,81%,8.00E-35,33.73,300431,NZ_OCTS01000005.1
"Brevibacterium paucivorans strain UMB1301 ERR1203651.17957_1_63.1, whole genome shotgun sequence",Brevibacterium paucivorans,141,141,81%,8.00E-35,34.66,994346,NZ_PNHK01000001.1
"Nigerium massiliense strain SIT7, whole genome shotgun sequence",Nigerium massiliense,141,141,83%,9.00E-35,33.59,1557177,NZ_CCYM01000003.1
"Slackia heliotrinireducens strain NCTC11029 chromosome 1, complete sequence",Slackia heliotrinireducens,141,141,81%,9.00E-35,33.07,3166158,NZ_LR134379.1
"Saccharopolyspora dendranthemae strain DSM 46699 Ga0310433_12, whole genome shotgun sequence",Saccharopolyspora dendranthemae,141,141,81%,9.00E-35,32.67,1390797,NZ_VIWX01000002.1
"Olsenella profusa F0195 contig00005, whole genome shotgun sequence",Olsenella profusa F0195,141,141,81%,9.00E-35,32.14,148674,NZ_AWEZ01000073.1
"Brooklawnia cerclae strain DSM 19609 Ga0197548_01, whole genome shotgun sequence",Brooklawnia cerclae,141,141,81%,9.00E-35,33.86,2902969,NZ_JAAMOZ010000001.1
"Saccharopolyspora flava strain DSM 44771, whole genome shotgun sequence",Saccharopolyspora flava,141,141,81%,1.00E-34,32.67,297930,NZ_FOZX01000009.1
"Umezawaea tangerina strain DSM 44720 Ga0180964_119, whole genome shotgun sequence",Umezawaea tangerina,141,141,81%,1.00E-34,33.47,165429,NZ_PVTF01000019.1
"Lentzea terrae strain NEAU-LZS 42 scaffold36, whole genome shotgun sequence",Lentzea terrae,141,141,81%,1.00E-34,33.47,230759,NZ_QFWW01000034.1
"Nocardia pseudovaccinii NBRC 100343, whole genome shotgun sequence",Nocardia pseudovaccinii NBRC 100343,141,141,81%,1.00E-34,34.66,7433,NZ_BDBY01000395.1
"Actinophytocola oryzae strain DSM 45499 Ga0181036_131, whole genome shotgun sequence",Actinophytocola oryzae,141,141,81%,1.00E-34,33.47,77884,NZ_SOCP01000031.1
"Lentzea albidocapillata strain DSM 44073, whole genome shotgun sequence",Lentzea albidocapillata,141,141,81%,1.00E-34,33.86,403119,NZ_FWYC01000012.1
"Olsenella urininfantis strain Marseille-P3197T, whole genome shotgun sequence",Olsenella urininfantis,141,141,81%,1.00E-34,32.27,1740490,NZ_LT732540.1
"Tsukamurella asaccharolytica strain HKU71 NODE_10_length_103216_cov_89.454588, whole genome shotgun sequence",Tsukamurella asaccharolytica,141,141,81%,1.00E-34,35.86,103216,NZ_VIGW01000010.1
