Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Desulfovibrio aerotolerans strain DSM 16695 NODE_66_length_13383_cov_36.454059, whole genome shotgun sequence",Desulfovibrio aerotolerans,87.4,87.4,82%,6.00E-18,31.68,13383,NZ_WVUD01000066.1
"Desulfohalobium retbaense DSM 5692 plasmid pDRET01, complete sequence",Desulfohalobium retbaense DSM 5692,81.3,158,72%,8.00E-16,33.14,45263,NC_013224.1
"Desulfatitalea tepidiphila strain S28bF, whole genome shotgun sequence",Desulfatitalea tepidiphila,78.2,78.2,61%,8.00E-15,32.67,868698,NZ_BCAG01000006.1
"Desulfocapsa sulfexigens DSM 10523 plasmid unnamed, complete sequence",Desulfocapsa sulfexigens DSM 10523,69.3,69.3,83%,7.00E-12,26.34,36751,NC_020305.1
"Desulfamplus magnetovallimortis isolate PRJEB14757, whole genome shotgun sequence",Desulfamplus magnetovallimortis,65.9,65.9,66%,1.00E-10,27.27,665663,NZ_LT828541.1
"Desulfovibrio putealis DSM 16056 G453DRAFT_scaffold00010.10_C, whole genome shotgun sequence",Desulfovibrio putealis DSM 16056,59.3,59.3,49%,2.00E-08,33.61,216741,NZ_AUBQ01000015.1
"Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome",Desulfovibrio carbinolicus,58.9,58.9,49%,3.00E-08,33.61,4524866,NZ_CP026538.1
"Desulfovibrio aerotolerans strain DSM 16695 NODE_76_length_8859_cov_35.259276, whole genome shotgun sequence",Desulfovibrio aerotolerans,56.2,56.2,54%,2.00E-07,32.84,8859,NZ_WVUD01000076.1
"Desulfocarbo indianensis strain SCBM scaffold5.1, whole genome shotgun sequence",Desulfocarbo indianensis,56.2,56.2,16%,2.00E-07,70,465460,NZ_LBMP01000005.1
"Desulfatiglans anilini DSM 4660 H567DRAFT_scaffold00043.43_C, whole genome shotgun sequence",Desulfatiglans anilini DSM 4660,55.8,55.8,17%,2.00E-07,60.47,24404,NZ_AULM01000044.1
"Geobacter lovleyi SZ plasmid pGLOV01, complete sequence",Geobacter lovleyi SZ,55.8,55.8,69%,2.00E-07,28.4,77113,NC_010815.1
"Desulfolutivibrio sulfoxidireducens strain DSM 107105 chromosome, complete genome",Desulfolutivibrio sulfoxidireducens,55.1,55.1,16%,5.00E-07,70,4155851,NZ_CP045508.1
"Desulfobulbus propionicus DSM 2032, complete sequence",Desulfobulbus propionicus DSM 2032,53.9,53.9,17%,1.00E-06,62.79,3851869,NC_014972.1
"Corallococcus llansteffanensis strain CA051B NODE_142_18757_cov_19.4206, whole genome shotgun sequence",Corallococcus llansteffanensis,53.9,53.9,18%,1.00E-06,54.35,18757,NZ_RAWB01000142.1
"Geothermobacter ehrlichii strain SS015 Ga0244669_109, whole genome shotgun sequence",Geothermobacter ehrlichii,53.9,53.9,17%,1.00E-06,62.79,122321,NZ_VNIB01000009.1
"Desulfovibrio sulfodismutans DSM 3696 chromosome, complete genome",Desulfovibrio sulfodismutans DSM 3696,53.9,102,17%,1.00E-06,70,4388462,NZ_CP045504.1
"Dethiosulfatarculus sandiegensis strain SPR contig_9, whole genome shotgun sequence",Dethiosulfatarculus sandiegensis,53.5,53.5,18%,1.00E-06,63.27,100787,NZ_AZAC01000083.1
"Desulfobulbus elongatus DSM 2908 Q362DRAFT_scaffold00004.4_C, whole genome shotgun sequence",Desulfobulbus elongatus DSM 2908,53.5,53.5,17%,2.00E-06,62.79,189644,NZ_JHZB01000004.1
"Desulfoluna butyratoxydans isolate Desulfoluna butyratoxydans MSL71, whole genome shotgun sequence",Desulfoluna butyratoxydans,52.4,52.4,18%,3.00E-06,55.56,936145,NZ_CAADHO010000002.1
"Desulfatibacillum alkenivorans DSM 16219, whole genome shotgun sequence",Desulfatibacillum alkenivorans DSM 16219,52.4,52.4,17%,4.00E-06,60.47,504904,NZ_FQZU01000001.1
"Chondromyces apiculatus DSM 436 contig96, whole genome shotgun sequence",Chondromyces apiculatus DSM 436,52,52,17%,4.00E-06,62.79,44200,NZ_ASRX01000096.1
"Desulfosalsimonas propionicica strain DSM 17721 Ga0415317_01, whole genome shotgun sequence",Desulfosalsimonas propionicica,52,52,17%,4.00E-06,60.47,821796,NZ_JACDUS010000001.1
"Desulfatibacillum aliphaticivorans, complete sequence",Desulfatibacillum aliphaticivorans,52,52,17%,5.00E-06,60.47,6517073,NC_011768.1
"Desulforhopalus singaporensis strain DSM 12130, whole genome shotgun sequence",Desulforhopalus singaporensis,52,52,17%,5.00E-06,60.47,7154,NZ_FNJI01000073.1
"Chondromyces crocatus strain Cm c5 chromosome, complete genome",Chondromyces crocatus,51.6,51.6,17%,6.00E-06,62.79,11388132,NZ_CP012159.1
"Dethiosulfatarculus sandiegensis strain SPR contig_6, whole genome shotgun sequence",Dethiosulfatarculus sandiegensis,51.6,51.6,17%,6.00E-06,62.79,353358,NZ_AZAC01000056.1
"Melittangium boletus DSM 14713 chromosome, complete genome",Melittangium boletus DSM 14713,51.6,100,18%,7.00E-06,60.47,9910441,NZ_CP022163.1
"Corallococcus terminator strain CA054A NODE_778_559_cov_1.11111, whole genome shotgun sequence",Corallococcus terminator,49.7,49.7,17%,7.00E-06,59.52,559,NZ_RAVZ01000778.1
"Desulfacinum infernum DSM 9756, whole genome shotgun sequence",Desulfacinum infernum DSM 9756,51.6,51.6,17%,7.00E-06,60.47,154688,NZ_FQVB01000009.1
"Cystobacter ferrugineus strain Cbfe23 Contig_115, whole genome shotgun sequence",Cystobacter ferrugineus,51.2,51.2,17%,8.00E-06,60.47,408223,NZ_MPIN01000010.1
"Myxococcus hansupus strain contaminant ex DSM 436 chromosome, complete genome",Myxococcus hansupus,51.2,51.2,17%,9.00E-06,60.47,9490432,NZ_CP012109.1
"Minicystis rosea strain DSM 24000, complete genome",Minicystis rosea,51.2,99.7,17%,9.00E-06,62.79,16040666,NZ_CP016211.1
"Cystobacter fuscus DSM 2262 contig4, whole genome shotgun sequence",Cystobacter fuscus DSM 2262,51.2,51.2,17%,9.00E-06,60.47,726204,NZ_ANAH02000004.1
"Corallococcus exercitus strain AB043B NODE_393_length_7740_cov_27.3887, whole genome shotgun sequence",Corallococcus exercitus,50.8,50.8,17%,9.00E-06,60.47,7740,NZ_JABFJV010000393.1
"Desulfonatronum thioautotrophicum strain ASO4-1 LZ09DRAFT_scaffold00001.1_C, whole genome shotgun sequence",Desulfonatronum thioautotrophicum,51.2,51.2,17%,9.00E-06,65.12,1103534,NZ_JYNO01000001.1
"Corallococcus llansteffanensis strain CA051B NODE_82_23148_cov_14.2243, whole genome shotgun sequence",Corallococcus llansteffanensis,51.2,51.2,17%,9.00E-06,60.47,23148,NZ_RAWB01000082.1
"Corallococcus sicarius strain CA040B NODE_182_19269_cov_55.1441, whole genome shotgun sequence",Corallococcus sicarius,51.2,51.2,17%,1.00E-05,60.47,19269,NZ_RAWG01000182.1
"Corallococcus terminator strain CA054A NODE_88_30076_cov_28.3368, whole genome shotgun sequence",Corallococcus terminator,51.2,51.2,17%,1.00E-05,60.47,30076,NZ_RAVZ01000088.1
"Myxococcus fulvus strain DSM 16525, whole genome shotgun sequence",Myxococcus fulvus,51.2,51.2,17%,1.00E-05,60.47,306865,NZ_FOIB01000014.1
Labilithrix luteola strain DSM 27648 chromosome,Labilithrix luteola,51.2,51.2,20%,1.00E-05,55.1,12191466,NZ_CP012333.1
"Corallococcus interemptor strain AB047A NODE_36_71782_cov_89.8729_ID_7991, whole genome shotgun sequence",Corallococcus interemptor,51.2,51.2,17%,1.00E-05,60.47,71782,NZ_RAWM01000036.1
"Corallococcus carmarthensis strain CA043D NODE_112_30829_cov_30.3728_ID_10803, whole genome shotgun sequence",Corallococcus carmarthensis,50.8,50.8,17%,1.00E-05,60.47,30829,NZ_RAWE01000112.1
"Corallococcus coralloides DSM 2259, complete sequence",Corallococcus coralloides DSM 2259,50.8,50.8,17%,1.00E-05,60.47,10080619,NC_017030.1
"Corallococcus aberystwythensis strain AB050A NODE_111_29837_cov_23.2359_ID_11661, whole genome shotgun sequence",Corallococcus aberystwythensis,50.8,50.8,17%,1.00E-05,60.47,29837,NZ_RAWK01000111.1
"Corallococcus macrosporus DSM 14697 chromosome, complete genome",Corallococcus macrosporus DSM 14697,50.8,50.8,17%,1.00E-05,60.47,8973512,NZ_CP022203.1
"Myxococcus stipitatus DSM 14675, complete sequence",Myxococcus stipitatus DSM 14675,50.8,50.8,17%,1.00E-05,60.47,10350586,NC_020126.1
"Corallococcus exiguus strain DSM 14696 contig12, whole genome shotgun sequence",Corallococcus exiguus,50.8,50.8,17%,1.00E-05,60.47,319367,NZ_JAAAPK010000012.1
"Desulfuromonas acetexigens isolate DSM 1397, whole genome shotgun sequence",Desulfuromonas acetexigens,50.8,50.8,17%,1.00E-05,62.79,57301,NZ_FOJJ01000009.1
"Myxococcus xanthus DK 1622, complete sequence",Myxococcus xanthus DK 1622,50.8,50.8,17%,1.00E-05,60.47,9139763,NC_008095.1
"Corallococcus praedator strain CA031B NODE_149_20387_cov_36.1974, whole genome shotgun sequence",Corallococcus praedator,50.8,50.8,17%,1.00E-05,60.47,20387,NZ_RAWI01000149.1
"Myxococcus virescens strain DSM 2260, whole genome shotgun sequence",Myxococcus virescens,50.8,50.8,17%,1.00E-05,60.47,503429,NZ_FNAJ01000006.1
"Desulfuromonas thiophila strain DSM 8987, whole genome shotgun sequence",Desulfuromonas thiophila,50.8,50.8,17%,1.00E-05,60.47,88012,NZ_FNAQ01000010.1
"Desulfohalobium retbaense DSM 5692, complete sequence",Desulfohalobium retbaense DSM 5692,50.8,50.8,16%,1.00E-05,63.41,2864304,NC_013223.1
"Geobacter sulfurreducens PCA, complete sequence",Geobacter sulfurreducens PCA,50.4,50.4,17%,1.00E-05,60.47,3814128,NC_002939.5
"Hyalangium minutum strain DSM 14724 contig_6, whole genome shotgun sequence",Hyalangium minutum,50.4,50.4,17%,1.00E-05,60.47,1037819,NZ_JMCB01000006.1
"Geoalkalibacter ferrihydriticus strain DSM 17813, whole genome shotgun sequence",Geoalkalibacter ferrihydriticus,50.4,50.4,17%,2.00E-05,60.47,561069,NZ_FNGU01000002.1
"Pelobacter seleniigenes DSM 18267 N909DRAFT_scf7180000000030_quiver.2_C, whole genome shotgun sequence",Pelobacter seleniigenes DSM 18267,50.4,50.4,17%,2.00E-05,60.47,3076292,NZ_JOMG01000002.1
"Geobacter anodireducens strain PheS2 Geo-1_14, whole genome shotgun sequence",Geobacter anodireducens,50.4,50.4,17%,2.00E-05,60.47,82439,NZ_JADBFD010000014.1
"Geobacter soli strain GSS01 Scaffold1, whole genome shotgun sequence",Geobacter soli,50.4,50.4,17%,2.00E-05,60.47,3636051,NZ_JXBL01000001.1
"Polyangium fumosum strain DSM 14668 Scaffold4_1, whole genome shotgun sequence",Polyangium fumosum,50.1,50.1,17%,2.00E-05,60.47,303106,NZ_SSMQ01000004.1
"Desulfocarbo indianensis strain SCBM scaffold4.1, whole genome shotgun sequence",Desulfocarbo indianensis,50.1,50.1,17%,2.00E-05,65.12,506308,NZ_LBMP01000004.1
"Polyangium spumosum strain DSM 14734 Scaffold1, whole genome shotgun sequence",Polyangium spumosum,50.1,98.2,17%,2.00E-05,60.47,1503602,NZ_WJIE01000001.1
"Desulfuromusa kysingii strain DSM 7343, whole genome shotgun sequence",Desulfuromusa kysingii,50.1,50.1,17%,2.00E-05,58.14,300127,NZ_FNQN01000005.1
"Desulfovibrio fructosivorans JJ ctg00049, whole genome shotgun sequence",Desulfovibrio fructosivorans JJ,50.1,50.1,15%,2.00E-05,66.67,315934,NZ_AECZ01000001.1
"Stigmatella erecta strain DSM 16858, whole genome shotgun sequence",Stigmatella erecta,50.1,50.1,17%,2.00E-05,59.52,923979,NZ_FOIJ01000002.1
"Desulfopila aestuarii DSM 18488, whole genome shotgun sequence",Desulfopila aestuarii DSM 18488,49.7,49.7,17%,2.00E-05,51.16,430916,NZ_FRFE01000001.1
"Pseudodesulfovibrio aespoeensis Aspo-2, complete sequence",Pseudodesulfovibrio aespoeensis Aspo-2,49.7,49.7,16%,2.00E-05,62.5,3629109,NC_014844.1
"Stigmatella erecta strain DSM 16858, whole genome shotgun sequence",Stigmatella erecta,49.7,49.7,17%,3.00E-05,60.47,217814,NZ_FOIJ01000016.1
"Desulfonatronum lacustre DSM 10312 scaffold1, whole genome shotgun sequence",Desulfonatronum lacustre DSM 10312,49.7,49.7,17%,3.00E-05,60.47,3761451,NZ_KI912608.1
"Stigmatella aurantiaca strain DSM 17044, whole genome shotgun sequence",Stigmatella aurantiaca,49.7,49.7,17%,3.00E-05,60.47,552472,NZ_FOAP01000003.1
"Anaeromyxobacter dehalogenans 2CP-1, complete sequence",Anaeromyxobacter dehalogenans 2CP-1,49.7,49.7,17%,3.00E-05,58.14,5029329,NC_011891.1
"Geobacter metallireducens GS-15, complete sequence",Geobacter metallireducens GS-15,49.7,49.7,17%,3.00E-05,61.9,3997420,NC_007517.1
"Geopsychrobacter electrodiphilus DSM 16401 D888DRAFT_scaffold00001.1_C, whole genome shotgun sequence",Geopsychrobacter electrodiphilus DSM 16401,49.7,49.7,17%,3.00E-05,62.79,4241730,NZ_ARWE01000001.1
"Geobacter daltonii FRC-32, complete sequence",Geobacter daltonii FRC-32,49.7,49.7,17%,3.00E-05,58.14,4304501,NC_011979.1
"Geobacter argillaceus strain ATCC BAA-1139 Ga0052872_scaffold00012.12, whole genome shotgun sequence",Geobacter argillaceus,49.7,49.7,17%,3.00E-05,60.47,139086,NZ_VLLN01000012.1
"Desulfonema ishimotonii strain Tokyo 01 NODE_1, whole genome shotgun sequence",Desulfonema ishimotonii,49.3,49.3,17%,3.00E-05,55.81,6610564,NZ_BEXT01000001.1
"Desulfovermiculus halophilus DSM 18834 N902DRAFT_scaffold00013.13_C, whole genome shotgun sequence",Desulfovermiculus halophilus DSM 18834,49.3,49.3,17%,3.00E-05,60.47,80896,NZ_JIAK01000015.1
"Geobacter uraniireducens Rf4, complete sequence",Geobacter uraniireducens Rf4,49.3,49.3,17%,3.00E-05,58.7,5136364,NC_009483.1
"Desulfurivibrio alkaliphilus AHT 2, complete sequence",Desulfurivibrio alkaliphilus AHT 2,49.3,49.3,17%,4.00E-05,60.47,3097763,NC_014216.1
"Desulfobulbus japonicus DSM 18378 G493DRAFT_scaffold00013.13_C, whole genome shotgun sequence",Desulfobulbus japonicus DSM 18378,49.3,49.3,17%,4.00E-05,55.81,124647,NZ_AUCV01000017.1
"Haliangium ochraceum DSM 14365, complete sequence",Haliangium ochraceum DSM 14365,49.3,98.2,20%,4.00E-05,60.53,9446314,NC_013440.1
"Geobacter pickeringii strain G13 chromosome, complete genome",Geobacter pickeringii,49.3,49.3,17%,4.00E-05,61.9,3618700,NZ_CP009788.1
"Desulforegula conservatrix Mb1Pa I997DRAFT_scaffold00055.55_C, whole genome shotgun sequence",Desulforegula conservatrix Mb1Pa,48.9,48.9,17%,4.00E-05,53.49,27008,NZ_AUEY01000055.1
"Vulgatibacter incomptus strain DSM 27710 chromosome, complete genome",Vulgatibacter incomptus,49.3,49.3,17%,4.00E-05,58.14,4350553,NZ_CP012332.1
"Hyalangium minutum strain DSM 14724 contig_19, whole genome shotgun sequence",Hyalangium minutum,48.9,48.9,18%,4.00E-05,56.82,237595,NZ_JMCB01000019.1
"Corallococcus aberystwythensis strain AB050A NODE_43_44414_cov_24.965_ID_11527, whole genome shotgun sequence",Corallococcus aberystwythensis,48.9,48.9,15%,5.00E-05,58.97,44414,NZ_RAWK01000043.1
"Geomonas edaphica strain Red53 contig4, whole genome shotgun sequence",Geomonas edaphica,48.9,48.9,17%,5.00E-05,60.87,1148776,NZ_SSYB01000004.1
"Geomonas terrae strain Red111 contig1, whole genome shotgun sequence",Geomonas terrae,48.9,48.9,17%,5.00E-05,60.87,1680501,NZ_SRSC01000001.1
"Geomonas ferrireducens strain S62 contig1, whole genome shotgun sequence",Geomonas ferrireducens,48.9,48.9,17%,5.00E-05,60.87,1995319,NZ_SSYA01000001.1
"Geomonas oryzae strain S43 contig1, whole genome shotgun sequence",Geomonas oryzae,48.9,48.9,17%,5.00E-05,60.87,1101829,NZ_RAHW01000001.1
"Archangium gephyra strain DSM 2261 Ga0070489_106, whole genome shotgun sequence",Archangium gephyra,48.9,48.9,17%,5.00E-05,58.14,800329,NZ_QUMU01000006.1
Syntrophotalea acetylenica strain DSM 3247 chromosome,Syntrophotalea acetylenica,48.9,48.9,17%,5.00E-05,60.47,3176363,NZ_CP015518.1
"Desulfarculus baarsii DSM 2075, complete sequence",Desulfarculus baarsii DSM 2075,48.9,48.9,17%,6.00E-05,60.47,3655731,NC_014365.1
"Desulfosarcina cetonica JCM 12296, whole genome shotgun sequence",Desulfosarcina cetonica JCM 12296,48.5,48.5,17%,6.00E-05,55.81,73845,NZ_BBCC01000006.1
