Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Campylobacter blaseri strain LMG 30333 chromosome, complete genome",Campylobacter blaseri,136,136,81%,1.00E-34,30.35,1891678,NZ_CP053841.1
"Nitratiruptor tergarcus DSM 16512, whole genome shotgun sequence",Nitratiruptor tergarcus DSM 16512,135,135,81%,2.00E-34,31.78,1894691,NZ_FWWZ01000001.1
"Campylobacter hominis strain NCTC13146, whole genome shotgun sequence",Campylobacter hominis,135,135,81%,3.00E-34,30.12,1711270,NZ_UFUL01000001.1
"Sulfurovum riftiae strain 1812E contig_1, whole genome shotgun sequence",Sulfurovum riftiae,134,134,81%,6.00E-34,29.84,477810,NZ_LNKT01000001.1
"Sulfuricurvum kujiense DSM 16994, complete sequence",Sulfuricurvum kujiense DSM 16994,134,134,81%,7.00E-34,32.69,2574824,NC_014762.1
"Cetia pacifica strain TB6 chromosome, complete genome",Cetia pacifica,134,134,81%,8.00E-34,31.54,1779337,NZ_CP027432.2
"Campylobacter geochelonis strain LMG 29375 chromosome, complete genome",Campylobacter geochelonis,132,132,81%,2.00E-33,30.74,2167961,NZ_CP053844.1
"Nitratifractor salsuginis DSM 16511, complete sequence",Nitratifractor salsuginis DSM 16511,132,132,81%,2.00E-33,29.84,2101285,NC_014935.1
"Campylobacter corcagiensis strain LMG 27932 chromosome, complete genome",Campylobacter corcagiensis,132,132,81%,3.00E-33,28.02,1655616,NZ_CP053842.1
"Campylobacter sputorum bv. paraureolyticus LMG 11764 strain LMG 17589, complete genome",Campylobacter sputorum bv. paraureolyticus LMG 11764,132,132,81%,4.00E-33,31.52,1725016,NZ_CP019684.1
"Nautilia profundicola AmH, complete sequence",Nautilia profundicola AmH,131,131,81%,5.00E-33,31.78,1676444,NC_012115.1
"Helicobacter labetoulli strain 48519 NODE_5_length_128278_cov_317.745, whole genome shotgun sequence",Helicobacter labetoulli,131,131,81%,6.00E-33,29.84,128278,NZ_QXJF01000005.1
"Campylobacter helveticus strain ATCC 51209 chromosome, complete genome",Campylobacter helveticus,131,180,81%,6.00E-33,30.38,1758726,NZ_CP020478.1
"Campylobacter iguaniorum strain 2463D chromosome, complete genome",Campylobacter iguaniorum,130,130,81%,1.00E-32,30.74,1809624,NZ_CP010995.1
"Sulfurovum lithotrophicum strain ATCC BAA-797 chromosome, complete genome",Sulfurovum lithotrophicum,130,130,81%,1.00E-32,30.23,2217891,NZ_CP011308.1
"Campylobacter hyointestinalis subsp. lawsonii strain CHY5 chromosome, complete genome",Campylobacter hyointestinalis subsp. lawsonii,130,130,81%,2.00E-32,29.84,1803736,NZ_CP053828.1
"Malaciobacter halophilus strain CCUG 53805 chromosome, complete genome",Malaciobacter halophilus,129,129,81%,2.00E-32,30.35,2812536,NZ_CP031218.1
"Arcobacter venerupis strain LMG 26156 chromosome, complete genome",Arcobacter venerupis,129,129,81%,2.00E-32,29.96,3209085,NZ_CP053840.1
"Campylobacter insulaenigrae NCTC 12927, complete genome",Campylobacter insulaenigrae NCTC 12927,129,129,81%,2.00E-32,29.07,1465081,NZ_CP007770.1
"Arcobacter caeni strain RW17-10 NODE_4_length_211192_cov_37.7275_ID_2055, whole genome shotgun sequence",Arcobacter caeni,129,129,81%,2.00E-32,29.96,211192,NZ_MUXE01000004.1
"Helicobacter magdeburgensis strain MIT 96-1001 NODE_4_length_152102_cov_42.0353, whole genome shotgun sequence",Helicobacter magdeburgensis,129,129,81%,2.00E-32,29.46,152102,NZ_JRPE02000004.1
"Campylobacter peloridis strain 2016D-0074 chromosome, complete genome",Campylobacter peloridis,129,129,81%,2.00E-32,29.07,1679360,NZ_CP063079.1
"Campylobacter gracilis strain ATCC 33236 chromosome, complete genome",Campylobacter gracilis,129,129,81%,3.00E-32,29.57,2281652,NZ_CP012196.1
"Campylobacter lanienae NCTC 13004, complete genome",Campylobacter lanienae NCTC 13004,129,129,81%,3.00E-32,31.4,1594554,NZ_CP015578.1
"Malaciobacter molluscorum LMG 25693 strain CECT 7696 chromosome, complete genome",Malaciobacter molluscorum LMG 25693,129,129,81%,3.00E-32,30.35,2800582,NZ_CP032098.1
"Arcobacter suis CECT 7833 chromosome, complete genome",Arcobacter suis CECT 7833,129,129,81%,3.00E-32,29.96,2639269,NZ_CP032100.1
"Campylobacter ureolyticus DSM 20703 C512DRAFT_scaffold00004.4, whole genome shotgun sequence",Campylobacter ureolyticus DSM 20703,129,129,81%,3.00E-32,30.74,155376,NZ_KB894733.1
"Malaciobacter canalis strain LMG 29148 chromosome, complete genome",Malaciobacter canalis,129,129,81%,3.00E-32,30.35,2829476,NZ_CP042812.1
"Malaciobacter marinus strain JCM 15502 chromosome, complete genome",Malaciobacter marinus,129,129,81%,3.00E-32,30.35,2917098,NZ_CP032101.1
"Helicobacter cinaedi strain P01D0000 chromosome, complete genome",Helicobacter cinaedi,129,129,81%,4.00E-32,29.46,2154041,NZ_AP018676.1
"Pseudoarcobacter acticola strain KCTC 52212 chromosome, complete genome",Pseudoarcobacter acticola,129,129,81%,4.00E-32,29.96,3019071,NZ_CP042652.1
"Sulfurospirillum arsenophilum NBRC 109478, whole genome shotgun sequence",Sulfurospirillum arsenophilum NBRC 109478,129,129,81%,4.00E-32,29.73,892792,NZ_BBQF01000001.1
"Sulfurospirillum halorespirans DSM 13726 strain PCE-M2 chromosome, complete genome",Sulfurospirillum halorespirans DSM 13726,129,129,81%,4.00E-32,29.73,3029840,NZ_CP017111.1
"Sulfurospirillum multivorans DSM 12446 chromosome, complete genome",Sulfurospirillum multivorans DSM 12446,129,129,81%,4.00E-32,29.73,3175729,NZ_CP007201.1
"Poseidonibacter antarcticus strain SM1702 1131d_scaffold6, whole genome shotgun sequence",Poseidonibacter antarcticus,129,129,80%,4.00E-32,29.53,182889,NZ_RCWF01000006.1
"Sulfurospirillum deleyianum DSM 6946, complete sequence",Sulfurospirillum deleyianum DSM 6946,129,129,81%,4.00E-32,29.73,2306351,NC_013512.1
"Arcobacter ellisii strain LMG 26155 chromosome, complete genome",Arcobacter ellisii,129,129,81%,4.00E-32,29.57,2799949,NZ_CP032097.1
"Campylobacter mucosalis strain ATCC 43264 chromosome, complete genome",Campylobacter mucosalis,129,129,81%,5.00E-32,31.4,1773478,NZ_CP053831.1
Arcobacter peruensis strain PSE-93 chromosome,Arcobacter peruensis,129,129,81%,5.00E-32,29.57,2816102,NZ_CP032363.1
"Poseidonibacter parvus strain LPB0137 chromosome, complete genome",Poseidonibacter parvus,129,129,81%,5.00E-32,29.57,2866429,NZ_CP019070.1
"Sulfurospirillum barnesii SES-3, complete sequence",Sulfurospirillum barnesii SES-3,128,128,81%,5.00E-32,29.73,2510109,NC_018002.1
"Arcobacter anaerophilus strain DSM 24636 chromosome, complete genome",Arcobacter anaerophilus,128,128,81%,5.00E-32,31.4,3016922,NZ_CP041070.1
"Sulfurospirillum cavolei strain UCH003 chromosome, complete genome",Sulfurospirillum cavolei,128,128,81%,6.00E-32,29.73,2698323,NZ_AP014724.1
"Campylobacter fetus strain CFF00A031 chromosome, complete genome",Campylobacter fetus,128,128,81%,6.00E-32,30.62,1777789,NZ_CP059443.1
"Campylobacter rectus strain ATCC 33238 chromosome, complete genome",Campylobacter rectus,128,128,81%,6.00E-32,29.46,2571679,NZ_CP012543.1
"Campylobacter volucris LMG 24379, complete genome",Campylobacter volucris LMG 24379,127,127,81%,9.00E-32,28.68,1517949,NZ_CP007774.1
"Sulfurimonas autotrophica DSM 16294, complete sequence",Sulfurimonas autotrophica DSM 16294,127,127,81%,9.00E-32,31.25,2153198,NC_014506.1
"Arcobacter defluvii strain LMG 25694 chromosome, complete genome",Arcobacter defluvii,127,127,81%,1.00E-31,29.57,3021240,NZ_CP053835.1
"Campylobacter concisus strain ATCC 33237, complete genome",Campylobacter concisus,127,127,81%,1.00E-31,29.84,1840041,NZ_CP012541.1
"Sulfurimonas crateris strain SN118 NODE_4_length_240294_cov_29.731433, whole genome shotgun sequence",Sulfurimonas crateris,127,127,81%,1.00E-31,31.25,240294,NZ_SZPX01000004.1
"Aliarcobacter cibarius strain LMG 21996 chromosome, complete genome",Aliarcobacter cibarius,127,227,82%,1.00E-31,31.01,2336659,NZ_CP054051.1
"Sulfurimonas paralvinellae strain GO25 chromosome, complete genome",Sulfurimonas paralvinellae,127,127,81%,1.00E-31,31.64,2029060,NZ_CP041406.1
"Sulfurimonas indica strain NW8N contig17, whole genome shotgun sequence",Sulfurimonas indica,127,127,81%,1.00E-31,31.64,56350,NZ_SDID01000017.1
"Malaciobacter mytili LMG 24559 chromosome, complete genome",Malaciobacter mytili LMG 24559,127,127,81%,1.00E-31,29.57,2867150,NZ_CP031219.1
"Arcobacter thereius LMG 24486 AA347_contig000001, whole genome shotgun sequence",Arcobacter thereius LMG 24486,127,127,81%,1.00E-31,29.57,1909306,NZ_LLKQ01000001.1
"Halarcobacter bivalviorum strain LMG 26154 chromosome, complete genome",Halarcobacter bivalviorum,127,127,81%,2.00E-31,31.01,2684688,NZ_CP031217.1
"Lebetimonas natsushimae strain HS1857, whole genome shotgun sequence",Lebetimonas natsushimae,127,127,81%,2.00E-31,33.59,480334,NZ_BDME01000002.1
"Arcobacter aquimarinus strain W63 chromosome, complete genome",Arcobacter aquimarinus,127,127,81%,2.00E-31,29.18,2520808,NZ_CP030944.1
"Arcobacter cloacae strain LMG 26153 chromosome, complete genome",Arcobacter cloacae,127,127,81%,2.00E-31,29.18,2621880,NZ_CP053833.1
"Aliarcobacter faecis strain CCUG 66484 chromosome, complete genome",Aliarcobacter faecis,127,127,81%,2.00E-31,31.01,2308709,NZ_CP053837.1
"Helicobacter jaachi strain MIT 09-6949 NODE_6_length_108733_cov_78.6434, whole genome shotgun sequence",Helicobacter jaachi,127,127,81%,2.00E-31,29.46,108733,NZ_JRPR02000006.1
"Helicobacter bilis WiWa acLZQ-supercont1.7, whole genome shotgun sequence",Helicobacter bilis WiWa,126,126,81%,2.00E-31,32.17,129635,NZ_KB822519.1
"Campylobacter lari RM2100, complete sequence",Campylobacter lari RM2100,126,126,81%,3.00E-31,28.68,1525460,NC_012039.1
"Campylobacter armoricus strain CCUG 73571 chromosome, complete genome",Campylobacter armoricus,126,126,81%,3.00E-31,28.68,1642612,NZ_CP053825.1
"Campylobacter subantarcticus LMG 24377, complete genome",Campylobacter subantarcticus LMG 24377,126,126,81%,3.00E-31,28.68,1852995,NZ_CP007773.1
"Campylobacter ornithocola strain LMG 29815 chromosome, complete genome",Campylobacter ornithocola,126,126,81%,3.00E-31,28.68,1644930,NZ_CP053848.1
"Campylobacter showae strain ATCC 51146, complete genome",Campylobacter showae,126,126,81%,3.00E-31,29.46,2097887,NZ_CP012544.1
"Arcobacter butzleri ED-1, complete sequence",Arcobacter butzleri ED-1,126,126,81%,3.00E-31,29.57,2256675,NC_017187.1
"Sulfurospirillum arcachonense DSM 9755 K354DRAFT_scaffold00002.2_C, whole genome shotgun sequence",Sulfurospirillum arcachonense DSM 9755,126,126,81%,3.00E-31,30.23,263433,NZ_JFBL01000002.1
"Halarcobacter ebronensis strain LMG 27922 chromosome, complete genome",Halarcobacter ebronensis,126,126,81%,3.00E-31,30.62,3170683,NZ_CP053836.1
"Sulfurimonas denitrificans DSM 1251, complete sequence",Sulfurimonas denitrificans DSM 1251,126,126,81%,3.00E-31,31.25,2201561,NC_007575.1
"[Arcobacter] porcinus strain CCUG 56899 chromosome, complete genome",[Arcobacter] porcinus,126,126,81%,3.00E-31,29.57,2018219,NZ_CP036246.2
"Caminibacter mediatlanticus TB-2 chromosome, complete genome",Caminibacter mediatlanticus TB-2,126,126,81%,3.00E-31,31.91,1685887,NZ_CP040463.1
"Helicobacter typhlonius strain MIT 97-6810 isolate 1 chromosome I, complete sequence",Helicobacter typhlonius,126,177,81%,3.00E-31,29.34,1920832,NZ_LN907858.1
"Nitratiruptor labii strain HRV44 chromosome 1, complete sequence",Nitratiruptor labii,126,126,81%,4.00E-31,28.29,1990315,NZ_AP022826.1
"Arcobacter nitrofigilis DSM 7299, complete sequence",Arcobacter nitrofigilis DSM 7299,125,125,81%,6.00E-31,29.69,3192235,NC_014166.1
"Sulfurimonas hongkongensis strain AST-10 Contig13, whole genome shotgun sequence",Sulfurimonas hongkongensis,125,125,81%,6.00E-31,32.03,293928,NZ_AUPZ01000013.1
"Helicobacter hepaticus ATCC 51449, complete sequence",Helicobacter hepaticus ATCC 51449,125,125,81%,7.00E-31,29.84,1799146,NC_004917.1
"Poseidonibacter lekithochrous strain DSM 100870 chromosome, complete genome",Poseidonibacter lekithochrous,125,125,81%,8.00E-31,29.84,3568672,NZ_CP054052.1
"Halarcobacter mediterraneus strain F156-34 NODE_2_length_689006_cov_104.375, whole genome shotgun sequence",Halarcobacter mediterraneus,125,125,81%,8.00E-31,30.23,689006,NZ_NXIE01000002.1
"Campylobacter upsaliensis RM3940 chromosome, complete genome",Campylobacter upsaliensis RM3940,125,125,81%,9.00E-31,29.23,1628950,NZ_CP053849.1
"Sulfurimonas gotlandica GD1 chromosome, whole genome shotgun sequence",Sulfurimonas gotlandica GD1,124,124,81%,1.00E-30,31.64,2952682,NZ_AFRZ01000001.1
"Malaciobacter pacificus strain LMG 26638 chromosome, complete genome",Malaciobacter pacificus,124,124,81%,1.00E-30,28.79,2657991,NZ_CP035928.1
"Arcobacter skirrowii CCUG 10374 chromosome, complete genome",Arcobacter skirrowii CCUG 10374,124,124,81%,1.00E-30,28.79,1969846,NZ_CP032099.1
"Campylobacter cuniculorum DSM 23162 = LMG 24588 chromosome, complete genome",Campylobacter cuniculorum DSM 23162 = LMG 24588,124,124,81%,2.00E-30,29.84,1931011,NZ_CP020867.1
"Campylobacter troglodytis strain MIT 05-9149A accn_213849_11_con_0003, whole genome shotgun sequence",Campylobacter troglodytis,123,123,81%,2.00E-30,29.34,92906,NZ_QHLI01000003.1
"Campylobacter coli strain NTICC13 tig00000001, whole genome shotgun sequence",Campylobacter coli,123,123,81%,3.00E-30,28.68,1734457,NZ_VOPG01000001.1
"Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819 chromosome, complete genome",Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819,123,123,81%,3.00E-30,29.46,1641481,NC_002163.1
