Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Leptospira mayottensis strain VS2413 chromosome I, complete sequence",Leptospira mayottensis,143,143,74%,3.00E-36,34.34,3803942,NZ_CP030142.1
"Leptospira tipperaryensis strain GWTS#1 chromosome 1, complete sequence",Leptospira tipperaryensis,142,142,74%,4.00E-36,33.96,4105414,NZ_CP015217.1
"Leptospira alexanderi strain 56659 Contig030, whole genome shotgun sequence",Leptospira alexanderi,142,142,67%,4.00E-36,35.27,27011,NZ_JQGW01000030.1
"Leptospira weilii strain CUDO6 chromosome I, complete sequence",Leptospira weilii,142,142,67%,5.00E-36,35.27,3965053,NZ_CP040840.1
"Leptospira adleri strain FH2-B-C1 contig_2, whole genome shotgun sequence",Leptospira adleri,142,142,68%,6.00E-36,35.1,406746,NZ_NPDV01000002.1
"Leptospira santarosai str. CBC1531 ctg7180000005716, whole genome shotgun sequence",Leptospira santarosai str. CBC1531,142,142,74%,7.00E-36,34.34,54956,NZ_APGN01000125.1
"Leptospira borgpetersenii serovar Ceylonica strain Piyasena chromosome 1, complete sequence",Leptospira borgpetersenii serovar Ceylonica,141,141,73%,9.00E-36,33.33,3670231,NZ_CP026671.1
"Leptospira stimsonii strain SSW20 contig_0004, whole genome shotgun sequence",Leptospira stimsonii,141,141,68%,1.00E-35,35.1,327006,NZ_RQEQ01000008.1
"Leptospira stimsonii strain Yale NODE_3_length_623593_cov_376.779, whole genome shotgun sequence",Leptospira stimsonii,141,141,68%,1.00E-35,35.1,623593,NZ_QHCT01000003.1
"Leptospira alstonii strain 56661 Contig046, whole genome shotgun sequence",Leptospira alstonii,141,141,68%,1.00E-35,34.69,40498,NZ_JQRS01000046.1
"Leptospira yasudae strain 201702446 contig_0012, whole genome shotgun sequence",Leptospira yasudae,141,141,68%,1.00E-35,34.69,134813,NZ_RQGL01000037.1
"Leptospira barantonii strain FH4-C-A1 contig_6, whole genome shotgun sequence",Leptospira barantonii,141,141,68%,1.00E-35,34.69,339548,NZ_NPDS01000006.1
"Leptospira yasudae strain F1 NODE_4_length_566019_cov_174.548, whole genome shotgun sequence",Leptospira yasudae,141,141,68%,1.00E-35,34.69,566019,NZ_QHCU01000004.1
"Leptospira kmetyi strain LS 001/16 chromosome 1, complete sequence",Leptospira kmetyi,141,141,68%,1.00E-35,34.69,3927288,NZ_CP033614.1
"Leptospira perolatii strain FH1-B-B1 contig_5, whole genome shotgun sequence",Leptospira perolatii,141,141,68%,2.00E-35,35.1,263630,NZ_NPDZ01000005.1
"Leptospira kirschneri serovar Cynopteri str. 3522 CT ctg1134731807570, whole genome shotgun sequence",Leptospira kirschneri serovar Cynopteri str. 3522 CT,140,140,62%,2.00E-35,36.2,361201,NZ_AHMN02000008.1
"Leptospira noguchii serovar Panama str. CZ214 ctg1134732786330, whole genome shotgun sequence",Leptospira noguchii serovar Panama str. CZ214,140,140,62%,2.00E-35,35.75,227896,NZ_AKWY02000024.1
"Leptospira interrogans serovar Copenhageni strain FDAARGOS_203 chromosome, complete genome",Leptospira interrogans serovar Copenhageni,140,140,62%,3.00E-35,36.2,4280582,NZ_CP020414.2
"Leptospira wolbachii serovar Codice str. CDC ctg1134731807536, whole genome shotgun sequence",Leptospira wolbachii serovar Codice str. CDC,140,140,66%,3.00E-35,35.86,2540234,NZ_AOGZ02000014.1
"Leptospira perdikensis strain 201702692 contig_0001, whole genome shotgun sequence",Leptospira perdikensis,140,140,66%,4.00E-35,35.86,1226694,NZ_RQGA01000003.1
"Leptospira montravelensis strain 201800278 contig_0007, whole genome shotgun sequence",Leptospira montravelensis,139,139,66%,4.00E-35,35.86,180778,NZ_RQFO01000001.1
"Leptospira bandrabouensis strain 201601109 NODE_4_covk_41.5454_covr_82.34_44, whole genome shotgun sequence",Leptospira bandrabouensis,139,139,66%,4.00E-35,35.86,209022,NZ_RQHU01000025.1
"Leptospira terpstrae serovar Hualin str. LT 11-33 = ATCC 700639 strain LT 11-33 ctg7180000024125, whole genome shotgun sequence",Leptospira terpstrae serovar Hualin str. LT 11-33 = ATCC 700639,139,139,66%,5.00E-35,35.86,270093,NZ_AOGW02000008.1
"Leptospira bouyouniensis strain 201800295 contig_0002, whole genome shotgun sequence",Leptospira bouyouniensis,139,139,66%,5.00E-35,35.86,1090602,NZ_RQFD01000016.1
"Leptospira ellinghausenii strain E18, whole genome shotgun sequence",Leptospira ellinghausenii,139,139,66%,5.00E-35,35.86,1774662,NZ_BFAZ01000009.1
"Leptospira biflexa strain 201601962 contig_0001, whole genome shotgun sequence",Leptospira biflexa,139,139,66%,5.00E-35,35.86,1898183,NZ_RQHA01000004.1
"Leptospira yanagawae strain 201800272 contig_0011, whole genome shotgun sequence",Leptospira yanagawae,139,139,66%,5.00E-35,35.86,118674,NZ_RQFU01000003.1
"Leptospira kemamanensis strain 201702454 contig_0009, whole genome shotgun sequence",Leptospira kemamanensis,139,139,66%,5.00E-35,35.86,169501,NZ_RQGG01000050.1
"Leptospira jelokensis strain 201702419 contig_0001, whole genome shotgun sequence",Leptospira jelokensis,139,139,66%,5.00E-35,35.86,1556994,NZ_RQGR01000029.1
"Leptospira levettii strain 201601119 NODE_1_covk_41.2664_covr_81.55_cutoff_47, whole genome shotgun sequence",Leptospira levettii,139,139,66%,5.00E-35,35.86,3388505,NZ_RQHO01000002.1
"Turneriella parva DSM 21527, complete sequence",Turneriella parva DSM 21527,139,139,68%,5.00E-35,33.61,4384015,NC_018020.1
"Leptospira congkakensis strain 201702421 contig_0003, whole genome shotgun sequence",Leptospira congkakensis,139,139,66%,5.00E-35,35.86,682760,NZ_RQGQ01000016.1
"Leptospira kanakyensis strain 201800292 contig_0001, whole genome shotgun sequence",Leptospira kanakyensis,139,139,66%,5.00E-35,35.86,1522793,NZ_RQFG01000005.1
"Leptospira bourretii strain 201800267 contig_0009, whole genome shotgun sequence",Leptospira bourretii,139,139,66%,5.00E-35,35.86,219367,NZ_RQFW01000024.1
"Leptospira noumeaensis strain 201800287 contig_0006, whole genome shotgun sequence",Leptospira noumeaensis,139,139,66%,5.00E-35,35.86,313016,NZ_RQFK01000009.1
"Leptospira mtsangambouensis strain 201601298 NODE_2_covk_40.8613_covr_69.091_taxo_STREPTOCOCCUS, whole genome shotgun sequence",Leptospira mtsangambouensis,139,139,66%,5.00E-35,35.86,1411831,NZ_RQHK01000002.1
"Leptospira meyeri strain ES1-C-A1 contig_1, whole genome shotgun sequence",Leptospira meyeri,139,139,66%,5.00E-35,35.86,1503392,NZ_NPEC01000001.1
