Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Simkania negevensis Z plasmid pSn, complete sequence",Simkania negevensis Z,99,99,91%,4.00E-23,27.27,132038,NC_015710.1
"Chlamydia psittaci 6BC plasmid pCps6BC, complete sequence",Chlamydia psittaci 6BC,76.6,76.6,90%,1.00E-15,23.46,7553,NC_017288.1
"Chlamydia avium strain 10_881_SC42 CP_10_881_SC42.contig.6, whole genome shotgun sequence",Chlamydia avium,76.6,76.6,90%,2.00E-15,22.31,7521,NZ_KE360591.1
"Chlamydia gallinacea 08-1274/3 plasmid p1274, complete sequence",Chlamydia gallinacea 08-1274/3,70.9,70.9,80%,1.00E-13,23.04,7619,NZ_CP015841.1
"Chlamydia felis Fe/C-56 plasmid pCfe1, complete sequence",Chlamydia felis Fe/C-56,69.7,69.7,89%,3.00E-13,23.35,7552,NC_007900.1
"Waddlia chondrophila WSU 86-1044 plasmid pWc, complete sequence",Waddlia chondrophila WSU 86-1044,60.1,60.1,87%,4.00E-10,26.09,15593,NC_014226.1
"Chlamydia muridarum str. Nigg plasmid pMoPn, complete sequence",Chlamydia muridarum str. Nigg,59.3,59.3,89%,7.00E-10,23.57,7501,NC_002182.1
"Chlamydia caviae GPIC plasmid pCpGP1, complete sequence",Chlamydia caviae GPIC,58.9,58.9,67%,9.00E-10,23.32,7966,NC_004720.1
,,,,,,,,
,,,,,,,,
,,,,,,,,
"		",,,,,,,,
