Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Thalassocella blandensis strain ISS155, whole genome shotgun sequence",Thalassocella blandensis,264,264,82%,1.00E-77,54.37,590828,NZ_CABFPG010000004.1
"Carideicomes alvinocaridis strain SCR17 scaffold_6, whole genome shotgun sequence",Carideicomes alvinocaridis,156,156,81%,4.00E-40,36.76,144837,NZ_SRJI02000007.1
"Lutimaribacter pacificus strain DSM 29620, whole genome shotgun sequence",Lutimaribacter pacificus,154,154,80%,3.00E-39,36,280519,NZ_FQZZ01000006.1
"Albibacillus kandeliae strain J95 Scaffold3, whole genome shotgun sequence",Albibacillus kandeliae,154,154,81%,3.00E-39,36.76,988332,NZ_QEHM01000003.1
"Lutimaribacter saemankumensis strain DSM 28010, whole genome shotgun sequence",Lutimaribacter saemankumensis,153,153,81%,3.00E-39,35.57,273534,NZ_FNEB01000005.1
"Donghicola tyrosinivorans strain DSM 100212 Ga0181042_103, whole genome shotgun sequence",Donghicola tyrosinivorans,153,153,81%,4.00E-39,35.57,451619,NZ_PVTQ01000003.1
"Sulfitobacter undariae strain DSM 102234 Ga0373266_04, whole genome shotgun sequence",Sulfitobacter undariae,152,152,81%,6.00E-39,35.57,238837,NZ_JACIEI010000004.1
"Marivivens niveibacter strain MCCC 1A06712 contig2, whole genome shotgun sequence",Marivivens niveibacter,152,152,81%,7.00E-39,33.6,566811,NZ_MSPP01000002.1
"Allgaiera indica strain DSM 24802, whole genome shotgun sequence",Allgaiera indica,152,152,81%,8.00E-39,35.57,225949,NZ_FNOB01000004.1
"Marivivens donghaensis strain HF1 NODE_2_length_458514_cov_6.576437, whole genome shotgun sequence",Marivivens donghaensis,152,152,81%,1.00E-38,34.78,458514,NZ_JAATOP010000002.1
"Roseovarius gahaiensis strain GH877 scaffold2, whole genome shotgun sequence",Roseovarius gahaiensis,151,151,81%,1.00E-38,35.57,234119,NZ_JAAORB010000002.1
"Pelagivirga sediminicola strain BH-SD19 BH19_scaffold3, whole genome shotgun sequence",Pelagivirga sediminicola,151,151,81%,2.00E-38,37.15,403533,NZ_QCYH01000003.1
"Cognatiyoonia koreensis strain DSM 17925, whole genome shotgun sequence",Cognatiyoonia koreensis,150,150,81%,3.00E-38,34.39,1173808,NZ_FOIZ01000002.1
"Sulfitobacter guttiformis KCTC 32187 KCTC32187_contig4, whole genome shotgun sequence",Sulfitobacter guttiformis KCTC 32187,150,150,81%,3.00E-38,35.57,3800602,NZ_JASG01000004.1
