Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Nitrobacter winogradskyi Nb-255, complete sequence",Nitrobacter winogradskyi Nb-255,172,231,83%,1.00E-46,50.25,3402093,NC_007406.1
"Nitrobacter vulgaris strain Ab1 NvAb1_4, whole genome shotgun sequence",Nitrobacter vulgaris,168,168,83%,3.00E-45,49.26,161972,NZ_MWPQ01000039.1
"Nitrobacter hamburgensis X14 plasmid 1, complete sequence",Nitrobacter hamburgensis X14,167,167,83%,1.00E-44,48.77,294829,NC_007959.1
"Mesorhizobium sediminum strain KCTC 42205 1, whole genome shotgun sequence",Mesorhizobium sediminum,105,206,71%,2.00E-23,41.14,2349206,NZ_JABETK010000001.1
"Sphingobium japonicum UT26S chromosome 1, complete sequence",Sphingobium japonicum UT26S,104,211,71%,5.00E-23,40,3514822,NC_014006.1
"Pleomorphomonas koreensis DSM 23070 H512DRAFT_scaffold00022.22_C, whole genome shotgun sequence",Pleomorphomonas koreensis DSM 23070,104,104,71%,6.00E-23,40.57,44875,NZ_AULH01000024.1
"Acuticoccus sediminis strain PTG4-2 contig2, whole genome shotgun sequence",Acuticoccus sediminis,103,103,71%,8.00E-23,40,1425829,NZ_QHHQ01000002.1
"Nitratireductor soli strain ZZ-1 scaffold5, whole genome shotgun sequence",Nitratireductor soli,103,103,71%,1.00E-22,40,316397,NZ_LFVY01000005.1
"Chelativorans oligotrophicus strain LPM-4 scaffold2.1-size963356, whole genome shotgun sequence",Chelativorans oligotrophicus,102,102,71%,2.00E-22,40,963356,NZ_WUJL01000002.1
"Novosphingobium capsulatum NBRC 12533, whole genome shotgun sequence",Novosphingobium capsulatum NBRC 12533,102,102,71%,2.00E-22,39.43,279173,NZ_BCYV01000011.1
"Pseudochelatococcus lubricantis strain DSM 103870 Ga0373372_08, whole genome shotgun sequence",Pseudochelatococcus lubricantis,102,102,71%,3.00E-22,38.86,234434,NZ_JAASQI010000008.1
"Sphingobium quisquiliarum P25 contig164, whole genome shotgun sequence",Sphingobium quisquiliarum P25,101,101,71%,5.00E-22,39.43,23952,NZ_ATHO01000164.1
"Rhizobium oryzae strain 1.7048 scaffold4, whole genome shotgun sequence",Rhizobium oryzae,101,101,71%,5.00E-22,39.43,131446,NZ_MKIP01000054.1
"Brevundimonas nasdae strain TPW30 Contig_32, whole genome shotgun sequence",Brevundimonas nasdae,101,101,71%,6.00E-22,40,41464,NZ_JWSY01000032.1
"Defluviicoccus vanus strain Ben 114 chromosome, complete genome",Defluviicoccus vanus,101,101,71%,7.00E-22,39.43,4156012,NZ_CP053923.1
"Reyranella massiliensis 521, whole genome shotgun sequence",Reyranella massiliensis 521,101,101,71%,7.00E-22,40,5792259,NZ_HE997181.1
Methylobacterium currus strain PR1016A chromosome 2,Methylobacterium currus,101,101,71%,7.00E-22,39.43,974845,NZ_CP028844.1
"Pseudaminobacter manganicus strain JH-7 JH-7_scaffold22, whole genome shotgun sequence",Pseudaminobacter manganicus,100,100,71%,7.00E-22,40,90881,NZ_MDET01000015.1
"Pleomorphomonas koreensis DSM 23070 H512DRAFT_scaffold00003.3_C, whole genome shotgun sequence",Pleomorphomonas koreensis DSM 23070,100,100,71%,7.00E-22,40,352454,NZ_AULH01000005.1
"Afipia carboxidovorans OM5, complete sequence",Afipia carboxidovorans OM5,100,196,71%,7.00E-22,40,3595748,NC_015684.1
"Bartonella massiliensis strain OS09, whole genome shotgun sequence",Bartonella massiliensis,100,100,82%,8.00E-22,33.17,36880,NZ_CABFVS010000030.1
"Sphingomonas ginsengisoli An et al. 2013 strain KACC 16858 chromosome, complete genome",Sphingomonas ginsengisoli An et al. 2013,100,153,71%,9.00E-22,39.43,3037290,NZ_CP045434.1
"Zavarzinia compransoris strain DSM 1231 DSM1231_4, whole genome shotgun sequence",Zavarzinia compransoris,100,100,71%,1.00E-21,39.43,589574,NZ_QGLF01000004.1
"Ochrobactrum endophyticum strain CGMCC 1.15082 sequence38, whole genome shotgun sequence",Ochrobactrum endophyticum,100,100,71%,1.00E-21,39.43,19825,NZ_BMHH01000038.1
"Afipia broomeae ATCC 49717 supercont1.2, whole genome shotgun sequence",Afipia broomeae ATCC 49717,100,100,72%,1.00E-21,39.2,1473301,NZ_KB375283.1
"Bradyrhizobium betae strain PL7HG1 chromosome, complete genome",Bradyrhizobium betae,100,193,72%,1.00E-21,39.2,7150095,NZ_CP044543.1
"Agrobacterium vitis strain NCPPB 3554 contig2, whole genome shotgun sequence",Agrobacterium vitis,100,100,71%,1.00E-21,40,1118427,NZ_LMVL02000002.1
"Phyllobacterium phragmitis strain 1N-3 ZB100007, whole genome shotgun sequence",Phyllobacterium phragmitis,100,100,71%,1.00E-21,38.86,251391,NZ_PVBR01000008.1
"Pseudaminobacter manganicus strain JH-7 JH-7_scaffold13, whole genome shotgun sequence",Pseudaminobacter manganicus,100,100,71%,2.00E-21,38.86,149146,NZ_MDET01000005.1
"Methylovirgula ligni strain BW863 chromosome, complete genome",Methylovirgula ligni,100,100,71%,2.00E-21,38.29,3298588,NZ_CP025086.1
"Aurantimonas endophytica strain DSM 103570 Ga0373270_07, whole genome shotgun sequence",Aurantimonas endophytica,100,100,71%,2.00E-21,38.29,258218,NZ_JACIEM010000007.1
"Pseudoxanthobacter soli DSM 19599, whole genome shotgun sequence",Pseudoxanthobacter soli DSM 19599,99.8,99.8,71%,2.00E-21,39.43,1062706,NZ_FRXO01000001.1
"Paracoccus halophilus strain CGMCC 1.6117, whole genome shotgun sequence",Paracoccus halophilus,99.8,99.8,71%,2.00E-21,38.29,39741,NZ_FOJO01000024.1
"Sphingobium chlorophenolicum strain NBRC 16172 contig000052, whole genome shotgun sequence",Sphingobium chlorophenolicum,99.8,99.8,71%,2.00E-21,38.86,36037,NZ_JFHR01000052.1
"Ochrobactrum lupini strain LUP21 OluLMG_1.contig.42_1, whole genome shotgun sequence",Ochrobactrum lupini,99.8,99.8,71%,2.00E-21,38.86,64623,NZ_NNRN01000043.1
"Rhodobium orientis strain DSM 11290 Ga0394283_08, whole genome shotgun sequence",Rhodobium orientis,99.8,99.8,72%,2.00E-21,38.64,264799,NZ_JACIGG010000008.1
