Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Anaerohalosphaera lusitana strain ST-NAGAB-D1, complete genome",Anaerohalosphaera lusitana,133,377,83%,2.00E-33,29.69,4250973,NZ_CP019791.1
"Zavarzinella formosa DSM 19928 Scaffold7, whole genome shotgun sequence",Zavarzinella formosa DSM 19928,133,133,81%,3.00E-33,32.06,526290,NZ_JH636445.1
"Sedimentisphaera salicampi strain ST-PulAB-D4 chromosome, complete genome",Sedimentisphaera salicampi,132,132,82%,8.00E-33,32.22,3192293,NZ_CP021023.1
"Polystyrenella longa strain Pla110 chromosome, complete genome",Polystyrenella longa,129,129,81%,7.00E-32,32.06,6125480,NZ_CP036281.1
"Sedimentisphaera cyanobacteriorum strain L21-RPul-D3 chromosome, complete genome",Sedimentisphaera cyanobacteriorum,128,128,82%,2.00E-31,32.71,2951611,NZ_CP019633.1
"Thermogutta terrifontis strain R1, complete genome",Thermogutta terrifontis,125,242,81%,1.00E-30,32.44,4810751,NZ_CP018477.1
"Mariniblastus fucicola strain FC18 chromosome, complete genome",Mariniblastus fucicola,125,267,83%,2.00E-30,33.21,6570840,NZ_CP042912.1
Tuwongella immobilis isolate MBLW1 chromosome 1,Tuwongella immobilis,124,226,80%,3.00E-30,31.27,6690754,NZ_LR593887.1
"Pirellula staleyi DSM 6068, complete sequence",Pirellula staleyi DSM 6068,123,239,83%,7.00E-30,32.46,6196199,NC_013720.1
"Novipirellula aureliae strain Q31b Q31b_contig00002, whole genome shotgun sequence",Novipirellula aureliae,123,123,81%,9.00E-30,30.68,996080,NZ_SJPY01000002.1
"Thermogemmata fonticola strain 2918 6, whole genome shotgun sequence",Thermogemmata fonticola,122,122,81%,1.00E-29,33.21,251488,NZ_JACEFB010000006.1
"Rhodopirellula rubra strain CECT 8075 Ga0372409_32, whole genome shotgun sequence",Rhodopirellula rubra,122,219,83%,1.00E-29,31.35,84230,NZ_JACHXU010000032.1
"Limihaloglobus sulfuriphilus strain SM-Chi-D1 chromosome, complete genome",Limihaloglobus sulfuriphilus,122,239,80%,1.00E-29,35,3868357,NZ_CP019646.1
"Novipirellula galeiformis strain Pla52o Pla52o_contig00010, whole genome shotgun sequence",Novipirellula galeiformis,122,122,81%,2.00E-29,30.28,213639,NZ_SJPT01000010.1
"Frigoriglobus tundricola strain PL17 chromosome, complete genome",Frigoriglobus tundricola,122,343,81%,2.00E-29,31.5,9832702,NZ_CP053452.2
"Bythopirellula polymerisocia strain Pla144 Pla144_contig00001, whole genome shotgun sequence",Bythopirellula polymerisocia,122,122,83%,2.00E-29,31.72,1550100,NZ_SJPS01000001.1
"Algisphaera agarilytica strain DSM 103725 Ga0415229_01, whole genome shotgun sequence",Algisphaera agarilytica,121,234,81%,4.00E-29,29.2,4101647,NZ_JACHGY010000001.1
"Rubripirellula tenax strain Poly51 Poly51_contig00001, whole genome shotgun sequence",Rubripirellula tenax,120,120,81%,6.00E-29,30.68,1524178,NZ_SJPW01000001.1
Thalassoglobus polymorphus strain Mal48 chromosome,Thalassoglobus polymorphus,120,120,81%,6.00E-29,32.7,6357355,NZ_CP036267.1
"Bythopirellula polymerisocia strain Pla144 Pla144_contig00002, whole genome shotgun sequence",Bythopirellula polymerisocia,119,119,80%,1.00E-28,32.26,877056,NZ_SJPS01000002.1
"Bremerella volcania strain Pan97 chromosome, complete genome",Bremerella volcania,119,233,83%,1.00E-28,31.47,6496182,NZ_CP036289.1
"Aureliella helgolandensis strain Q31a chromosome, complete genome",Aureliella helgolandensis,119,310,83%,2.00E-28,33.47,8439957,NZ_CP036298.1
"Lignipirellula cremea strain Pla85_3_4 chromosome, complete genome",Lignipirellula cremea,119,283,83%,2.00E-28,29.85,9565229,NZ_CP036433.1
"Novipirellula artificiosorum strain Poly41 Poly41_contig00002, whole genome shotgun sequence",Novipirellula artificiosorum,119,119,81%,3.00E-28,30.68,1008121,NZ_SJPV01000002.1
"Posidoniimonas corsicana strain KOR34 KOR34_contig00003, whole genome shotgun sequence",Posidoniimonas corsicana,118,118,81%,3.00E-28,32.06,476071,NZ_SIHJ01000003.1
"Rhodopirellula maiorica SM1 cSM10542, whole genome shotgun sequence",Rhodopirellula maiorica SM1,118,118,81%,3.00E-28,30.04,11601,NZ_ANOG01000539.1
"Posidoniimonas polymericola strain Pla123a Pla123a_contig00001, whole genome shotgun sequence",Posidoniimonas polymericola,118,118,81%,4.00E-28,32.83,1039300,NZ_SJPO01000001.1
"Blastopirellula cremea strain HEX-1 MGV Assembly_1_4_len:653654, whole genome shotgun sequence",Blastopirellula cremea,118,118,81%,4.00E-28,31.47,653654,NZ_QPEV01000004.1
"Fuerstia marisgermanicae strain NH11 chromosome, complete genome",Fuerstia marisgermanicae,118,296,78%,4.00E-28,32.26,8920478,NZ_CP017641.1
Bythopirellula goksoyri strain Pr1d chromosome,Bythopirellula goksoyri,117,233,83%,7.00E-28,32.59,6473141,NZ_CP042913.1
"Rhodopirellula sallentina SM41 cSM410146, whole genome shotgun sequence",Rhodopirellula sallentina SM41,117,117,81%,7.00E-28,30.56,29483,NZ_ANOH01000146.1
"Rubripirellula amarantea strain Pla22 Pla22_contig00002, whole genome shotgun sequence",Rubripirellula amarantea,117,117,81%,1.00E-27,30.68,1802762,NZ_SJPI01000002.1
"Lacipirellula parvula strain PX69 chromosome, complete genome",Lacipirellula parvula,116,229,83%,1.00E-27,31.6,6922258,NZ_AP021861.1
"Rhodopirellula solitaria strain CA85 CA85_contig00003, whole genome shotgun sequence",Rhodopirellula solitaria,116,116,81%,2.00E-27,30.16,734568,NZ_SJPK01000003.1
"Rosistilla oblonga strain CA51 chromosome, complete genome",Rosistilla oblonga,115,228,81%,2.00E-27,31.87,7250512,NZ_CP036292.1
"Symmachiella macrocystis strain CA54 CA54_contig00001, whole genome shotgun sequence",Symmachiella macrocystis,115,115,81%,3.00E-27,30.15,4679077,NZ_SJPP01000001.1
"Symmachiella dynata strain Mal52 chromosome, complete genome",Symmachiella dynata,115,166,81%,3.00E-27,30.15,7767809,NZ_CP036276.1
"Novipirellula galeiformis strain Pla52o Pla52o_contig00007, whole genome shotgun sequence",Novipirellula galeiformis,115,115,83%,3.00E-27,29.48,412695,NZ_SJPT01000007.1
"Pirellulimonas nuda strain Pla175 chromosome, complete genome",Pirellulimonas nuda,115,217,81%,3.00E-27,31.68,6618662,NZ_CP036291.1
"Botrimarina colliarenosi strain Pla108 Pla108_contig00003, whole genome shotgun sequence",Botrimarina colliarenosi,115,115,81%,4.00E-27,31.56,587107,NZ_SJPR01000003.1
"Rubripirellula reticaptiva strain Poly59 Poly59_contig00005, whole genome shotgun sequence",Rubripirellula reticaptiva,115,115,81%,4.00E-27,29.08,1090114,NZ_SJPX01000005.1
"Stieleria varia strain Pla52n Pla52n_contig00004, whole genome shotgun sequence",Stieleria varia,115,115,81%,5.00E-27,29.08,1170852,NZ_SJPN01000004.1
Rosistilla carotiformis strain Poly24 chromosome,Rosistilla carotiformis,114,220,83%,7.00E-27,30.68,7437004,NZ_CP036348.1
"Rubripirellula tenax strain Poly51 Poly51_contig00007, whole genome shotgun sequence",Rubripirellula tenax,114,114,83%,8.00E-27,29.85,685749,NZ_SJPW01000007.1
"Rubripirellula obstinata strain LF1 LF1_contig00001, whole genome shotgun sequence",Rubripirellula obstinata,114,227,83%,8.00E-27,29.85,6586311,NZ_VRLW01000001.1
Calycomorphotria hydatis strain V22 chromosome,Calycomorphotria hydatis,114,114,65%,1.00E-26,34.8,5163473,NZ_CP036316.1
"Stieleria varia strain Pla52n Pla52n_contig00001, whole genome shotgun sequence",Stieleria varia,114,114,83%,1.00E-26,28.73,1611970,NZ_SJPN01000001.1
"Thalassoglobus neptunius strain KOR42 KOR42_contig00066, whole genome shotgun sequence",Thalassoglobus neptunius,113,113,81%,1.00E-26,29.66,15320,NZ_SIHI01000066.1
"Rhodopirellula maiorica SM1 cSM10683, whole genome shotgun sequence",Rhodopirellula maiorica SM1,113,113,83%,2.00E-26,29.1,16335,NZ_ANOG01000678.1
"Rubripirellula reticaptiva strain Poly59 Poly59_contig00003, whole genome shotgun sequence",Rubripirellula reticaptiva,112,112,83%,3.00E-26,29.1,1192914,NZ_SJPX01000003.1
"Rubripirellula amarantea strain Pla22 Pla22_contig00003, whole genome shotgun sequence",Rubripirellula amarantea,112,112,83%,3.00E-26,29.85,983405,NZ_SJPI01000003.1
