Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Nostoc spongiaeforme FACHB-130 contig22, whole genome shotgun sequence",Nostoc spongiaeforme FACHB-130,104,104,82%,5.00E-24,30.69,101602,NZ_JACJTB010000022.1
"Merismopedia glauca CCAP 1448/3 NODE_119_length_40189_cov_9.81158_ID_35865, whole genome shotgun sequence",Merismopedia glauca CCAP 1448/3,97.8,97.8,83%,1.00E-21,32.51,40189,NZ_PVWJ01000040.1
"Nostoc paludosum FACHB-159 contig41, whole genome shotgun sequence",Nostoc paludosum FACHB-159,90.5,90.5,80%,4.00E-19,32.65,67914,NZ_JACJTU010000041.1
"Nostoc foliaceum FACHB-393 contig74, whole genome shotgun sequence",Nostoc foliaceum FACHB-393,89.7,89.7,80%,6.00E-19,32.65,28610,NZ_JACJTD010000074.1
"Nostoc muscorum FACHB-395 contig96, whole genome shotgun sequence",Nostoc muscorum FACHB-395,88.6,88.6,80%,2.00E-18,31.63,28417,NZ_JACJSF010000096.1
"Nostoc parmelioides FACHB-3921 contig72, whole genome shotgun sequence",Nostoc parmelioides FACHB-3921,88.2,88.2,80%,2.00E-18,32.14,28527,NZ_JACJQL010000072.1
"Fremyella diplosiphon NIES-3275 plasmid plasmid13 DNA, complete genome",Fremyella diplosiphon NIES-3275,87.4,87.4,80%,4.00E-18,31.63,36507,NZ_AP018246.1
"Richelia sinica FACHB-800 contig55, whole genome shotgun sequence",Richelia sinica FACHB-800,87.4,87.4,80%,5.00E-18,32.65,28943,NZ_JACJTT010000055.1
"Kamptonema formosum PCC 6407 Oscil6407scaffold_7, whole genome shotgun sequence",Kamptonema formosum PCC 6407,86.7,86.7,72%,8.00E-18,34.09,2506686,NZ_KB235904.1
"Crinalium epipsammum PCC 9333 plasmid pCRI9333.05, complete sequence",Crinalium epipsammum PCC 9333,85.5,85.5,71%,2.00E-17,34.86,39142,NC_019736.1
"Nostoc foliaceum FACHB-393 contig149, whole genome shotgun sequence",Nostoc foliaceum FACHB-393,85.5,85.5,82%,2.00E-17,30.2,4965,NZ_JACJTD010000149.1
"Calothrix brevissima NIES-22 plasmid plasmid3 DNA, complete genome",Calothrix brevissima NIES-22,84.7,84.7,82%,4.00E-17,30.69,33326,NZ_AP018210.1
"Nostoc commune NIES-4072, whole genome shotgun sequence",Nostoc commune NIES-4072,83.2,83.2,71%,1.00E-16,33.14,29435,NZ_BDUD01000011.1
"Calothrix membranacea FACHB-236 contig119, whole genome shotgun sequence",Calothrix membranacea FACHB-236,82.4,82.4,71%,2.00E-16,33.14,17736,NZ_JACJPX010000119.1
"Tolypothrix campylonemoides VB511288 scaffold_021, whole genome shotgun sequence",Tolypothrix campylonemoides VB511288,82.4,82.4,71%,2.00E-16,32.57,29798,NZ_JXCB02000024.1
"Cylindrospermum stagnale PCC 7417 plasmid pCYLST.01, partial sequence",Cylindrospermum stagnale PCC 7417,82,82,71%,3.00E-16,32,431821,NC_020050.1
"Anabaena cylindrica PCC 7122, complete sequence",Anabaena cylindrica PCC 7122,81.6,144,79%,4.00E-16,31.43,6395836,NC_019771.1
"Hyella patelloides LEGE 07179 isolate 1, whole genome shotgun sequence",Hyella patelloides LEGE 07179,81.3,81.3,80%,5.00E-16,30.1,10868,NZ_LR214011.1
"Anabaena minutissima FACHB-250 contig47, whole genome shotgun sequence",Anabaena minutissima FACHB-250,80.9,80.9,71%,7.00E-16,32.57,41086,NZ_JACJRG010000047.1
"Nostoc muscorum FACHB-395 contig109, whole genome shotgun sequence",Nostoc muscorum FACHB-395,80.1,80.1,71%,1.00E-15,33.14,25526,NZ_JACJSF010000109.1
"Nostoc punctiforme PCC 73102 plasmid pNPUN05, complete sequence",Nostoc punctiforme PCC 73102,79.3,79.3,71%,2.00E-15,32.57,26419,NC_010629.1
"Limnothrix rosea IAM M-220 plasmid pNIES208c, whole genome shotgun sequence",Limnothrix rosea IAM M-220,79.3,79.3,72%,2.00E-15,31.25,13463,NZ_CM007614.1
"Hyella patelloides LEGE 07179 isolate 1, whole genome shotgun sequence",Hyella patelloides LEGE 07179,77.8,77.8,72%,8.00E-15,30.68,16916,NZ_LR213921.1
"Chamaesiphon minutus PCC 6605 plasmid pCHA6605.02, complete sequence",Chamaesiphon minutus PCC 6605,76.3,76.3,71%,2.00E-14,30.29,31019,NC_019698.1
"Acaryochloris marina MBIC11017 plasmid pREB5, complete sequence",Acaryochloris marina MBIC11017,75.5,75.5,71%,6.00E-14,29.71,177162,NC_009930.1
"Scytonema millei VB511283 NODE_5_length_531176_cov_12.0655, whole genome shotgun sequence",Scytonema millei VB511283,74.3,74.3,82%,1.00E-13,28.22,531176,NZ_JTJC03000004.1
"Leptolyngbya ohadii IS1 Scaffold_3, whole genome shotgun sequence",Leptolyngbya ohadii IS1,72.4,72.4,83%,5.00E-13,30.88,1358690,NZ_NKFP01000004.1
"Hyella patelloides LEGE 07179 isolate 1, whole genome shotgun sequence",Hyella patelloides LEGE 07179,70.9,70.9,71%,2.00E-12,32,11570,NZ_LR213990.1
"Arthrospira platensis NIES-39, complete sequence, *** SEQUENCING IN PROGRESS ***",Arthrospira platensis NIES-39,70.9,70.9,79%,2.00E-12,31.31,6788435,NC_016640.1
Limnospira indica PCC 8005 chromosome,Limnospira indica PCC 8005,70.5,70.5,79%,2.00E-12,31.31,6228153,NZ_FO818640.1
"Limnospira fusiformis SAG 85.79 chromosome, complete genome",Limnospira fusiformis SAG 85.79,70.5,70.5,79%,2.00E-12,31.31,6423694,NZ_CP051185.1
"Nostoc punctiforme PCC 73102 plasmid pNPUN03, complete sequence",Nostoc punctiforme PCC 73102,70.5,70.5,49%,2.00E-12,34.71,123028,NC_010630.1
"Nostoc flagelliforme CCNUN1 chromosome, complete genome",Nostoc flagelliforme CCNUN1,70.5,132,79%,3.00E-12,34.71,8363872,NZ_CP024785.1
"Nostoc edaphicum CCNP1411 plasmid pNe_2, complete sequence",Nostoc edaphicum CCNP1411,70.1,70.1,79%,3.00E-12,27.69,99098,NZ_CP054694.1
Halomicronema hongdechloris C2206 chromosome,Halomicronema hongdechloris C2206,70.1,70.1,50%,3.00E-12,37.4,5577845,NZ_CP021983.2
"Rippkaea orientalis PCC 8802, complete sequence",Rippkaea orientalis PCC 8802,70.1,70.1,79%,4.00E-12,28.64,4669813,NC_013161.1
"Gloeothece verrucosa PCC 7822, complete sequence",Gloeothece verrucosa PCC 7822,69.3,69.3,83%,5.00E-12,29.76,6091620,NC_014501.1
"Calothrix desertica PCC 7102 Cal7102DRAFT_CDB.9, whole genome shotgun sequence",Calothrix desertica PCC 7102,69.3,69.3,83%,6.00E-12,29.76,2629450,NZ_VLKB01000010.1
"Phormidium tenue FACHB-1052 contig12, whole genome shotgun sequence",Phormidium tenue FACHB-1052,68.9,68.9,83%,7.00E-12,29.41,210023,NZ_JACJQN010000012.1
"Oscillatoria acuminata PCC 6304, complete sequence",Oscillatoria acuminata PCC 6304,68.6,68.6,79%,1.00E-11,30.61,7689443,NC_019693.1
"Lyngbya confervoides BDU141951 Scaffold_03, whole genome shotgun sequence",Lyngbya confervoides BDU141951,68.6,68.6,79%,1.00E-11,27.69,5207129,NZ_JTHE02000003.1
"Hydrococcus rivularis NIES-593 NIES-593_Scaffold_16, whole genome shotgun sequence",Hydrococcus rivularis NIES-593,68.6,68.6,79%,1.00E-11,30.61,107445,NZ_MRCB01000016.1
"Nostoc paludosum FACHB-159 contig31, whole genome shotgun sequence",Nostoc paludosum FACHB-159,68.6,68.6,49%,1.00E-11,33.06,90093,NZ_JACJTU010000031.1
"Anabaena azotica FACHB-119 contig44, whole genome shotgun sequence",Anabaena azotica FACHB-119,68.2,68.2,49%,1.00E-11,33.06,75435,NZ_JACJSG010000044.1
