Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Ectothiorhodosinus mongolicus strain M9, whole genome shotgun sequence",Ectothiorhodosinus mongolicus,169,169,82%,2.00E-45,48.02,707849,NZ_FTPK01000002.1
"Thioalkalivibrio denitrificans strain ALJD Ga0073317_1042, whole genome shotgun sequence",Thioalkalivibrio denitrificans,169,169,83%,3.00E-45,49.75,51230,NZ_MVBK01000042.1
"Thioalkalivibrio sulfidiphilus HL-EbGr7, complete sequence",Thioalkalivibrio sulfidiphilus HL-EbGr7,168,321,83%,5.00E-45,48.28,3464554,NC_011901.1
"Thioalkalivibrio versutus strain D301 chromosome, complete genome",Thioalkalivibrio versutus,166,166,82%,3.00E-44,49.01,2969361,NZ_CP011367.1
"Thiomicrorhabdus indica strain 13-15A chromosome, complete genome",,163,216,83%,2.00E-43,42.36,2829883,NZ_CP033040.1
"Hydrogenovibrio halophilus DSM 15072 A377DRAFT_scaffold1.1, whole genome shotgun sequence",Hydrogenovibrio halophilus DSM 15072,161,161,83%,1.00E-42,45.81,2356686,NZ_KB913033.1
"Thioalkalivibrio thiocyanoxidans ARh2 G372DRAFT_scaffold00001.1_C, whole genome shotgun sequence",Thioalkalivibrio thiocyanoxidans ARh2,160,160,83%,2.00E-42,48.28,180651,NZ_ARQK01000061.1
"Hydrogenovibrio kuenenii DSM 12350 N745DRAFT_scf7180000000004_quiver.1_C, whole genome shotgun sequence",Hydrogenovibrio kuenenii DSM 12350,157,209,83%,2.00E-41,41.95,2449025,NZ_JAGP01000001.1
"Hydrogenovibrio crunogenus XCL-2, complete sequence",Hydrogenovibrio crunogenus XCL-2,156,156,83%,4.00E-41,42.44,2427734,NC_007520.2
"Hydrogenovibrio thermophilus strain JR-2 chromosome, complete genome",Hydrogenovibrio thermophilus,155,155,83%,2.00E-40,42.93,2612894,NZ_CP035033.1
"Thiosulfatimonas sediminis strain aks77 chromosome, complete genome",Thiosulfatimonas sediminis,154,154,83%,3.00E-40,41.95,2722826,NZ_AP021889.1
"Thioalkalivibrio halophilus strain HL17 Ga0073316_123, whole genome shotgun sequence",Thioalkalivibrio halophilus,153,153,83%,5.00E-40,48.77,78193,NZ_MUZR01000023.1
"Hydrogenovibrio marinus strain MH-110 chromosome, complete genome",Hydrogenovibrio marinus,152,203,82%,1.00E-39,41.09,2491293,NZ_AP020335.1
