Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
ParA family protein [Halothiobacillus neapolitanus],Halothiobacillus neapolitanus,444,444,100%,2.00E-158,100,233,WP_155802515.1
MULTISPECIES: ParA family protein [Chromatiales],Chromatiales,245,245,97%,8.00E-80,60.38,212,WP_136865888.1
AAA family ATPase [Thermithiobacillus tepidarius],Thermithiobacillus tepidarius,229,229,95%,1.00E-73,56.31,210,WP_028990355.1
ParA family protein [Sulfuritortus calidifontis],Sulfuritortus calidifontis,224,224,95%,9.00E-72,56.8,210,WP_126463425.1
AAA family ATPase [Thiomicrorhabdus indica],Thiomicrorhabdus indica,207,207,96%,6.00E-65,48.8,210,WP_130537455.1
ParA family protein [Thiohalospira halophila],Thiohalospira halophila,196,196,97%,2.00E-60,45.02,212,WP_093428123.1
MULTISPECIES: AAA family ATPase [Thiomonas],Thiomonas,196,196,97%,2.00E-60,48.34,212,WP_013104289.1
ParA family protein [Hydrogenovibrio thermophilus],Hydrogenovibrio thermophilus,194,194,96%,1.00E-59,45.71,211,WP_128384829.1
AAA family ATPase [Hydrogenovibrio halophilus],Hydrogenovibrio halophilus,193,193,96%,2.00E-59,47.17,210,WP_019895911.1
ParA family protein [Hydrogenovibrio crunogenus],Hydrogenovibrio crunogenus,192,192,96%,8.00E-59,45.45,210,WP_011370440.1
ParA family protein [Hydrogenovibrio kuenenii],Hydrogenovibrio kuenenii,191,191,96%,1.00E-58,44.08,210,WP_024851236.1
AAA family ATPase [Thiomicrorhabdus chilensis],Thiomicrorhabdus chilensis,190,190,96%,3.00E-58,46.41,210,WP_028486679.1
ParA family protein [Nitrosomonas halophila],Nitrosomonas halophila,190,190,97%,3.00E-58,49.29,211,WP_090411009.1
ParA family protein [Hydrogenovibrio marinus],Hydrogenovibrio marinus,189,189,96%,9.00E-58,44.5,210,WP_029909248.1
ParA family protein [Acidithiobacillus thiooxidans],Acidithiobacillus thiooxidans,188,188,95%,1.00E-57,45.24,208,WP_081577377.1
MULTISPECIES: ParA family protein [Acidithiobacillus],Acidithiobacillus,188,188,95%,3.00E-57,44.76,208,WP_010637886.1
AAA family ATPase [Acidiferrobacter thiooxydans],Acidiferrobacter thiooxydans,187,187,96%,5.00E-57,42.11,207,WP_065971490.1
AAA family ATPase [Ferrithrix thermotolerans],Ferrithrix thermotolerans,186,186,97%,1.00E-56,44.29,211,WP_072791392.1
AAA family ATPase [Thioalkalivibrio sulfidiphilus],Thioalkalivibrio sulfidiphilus,184,184,96%,9.00E-56,44.5,212,WP_012639723.1
AAA family ATPase [Thiosulfatimonas sediminis],Thiosulfatimonas sediminis,183,183,91%,2.00E-55,46.97,210,WP_173271830.1
AAA family ATPase [Acidithiobacillus caldus],Acidithiobacillus caldus,182,182,99%,3.00E-55,41.59,207,WP_014002549.1
ParA family protein [Nitrobacter winogradskyi],Nitrobacter winogradskyi,181,181,96%,1.00E-54,43.33,211,WP_011315224.1
ParA family protein [Tepidimonas charontis],Tepidimonas charontis,181,181,99%,2.00E-54,42.79,206,WP_144327806.1
AAA family ATPase [Nitrobacter hamburgensis],Nitrobacter hamburgensis,178,178,95%,1.00E-53,43.75,211,WP_011504806.1
MULTISPECIES: ParA family protein [Nitrosomonas],Nitrosomonas,177,177,88%,3.00E-53,46.6,209,WP_074455564.1
ParA family protein [Nitrosomonas nitrosa],Nitrosomonas nitrosa,177,177,96%,5.00E-53,44.02,211,WP_090670008.1
AAA family ATPase [Thiomonas bhubaneswarensis],Thiomonas bhubaneswarensis,176,176,100%,8.00E-53,48.61,212,WP_055449343.1
ParA family protein [Acidihalobacter prosperus],Acidihalobacter prosperus,176,176,94%,1.00E-52,44.44,208,WP_038093842.1
AAA family ATPase [Sulfuriferula nivalis],Sulfuriferula nivalis,176,176,95%,2.00E-52,42.72,211,WP_162085956.1
ParA family protein [Nitrobacter vulgaris],Nitrobacter vulgaris,176,176,96%,2.00E-52,42.79,211,WP_079446738.1
AAA family ATPase [Sulfuriferula thiophila],Sulfuriferula thiophila,174,174,95%,1.00E-51,42.72,211,WP_124950199.1
ParA family protein [Ectothiorhodosinus mongolicus],Ectothiorhodosinus mongolicus,173,173,95%,1.00E-51,42.72,211,WP_076755522.1
ParA family protein [Thiomonas intermedia],Thiomonas intermedia,172,172,100%,4.00E-51,48.61,212,WP_079418021.1
AAA family ATPase [Sulfurirhabdus autotrophica],Sulfurirhabdus autotrophica,171,171,95%,1.00E-50,43.2,211,WP_124948352.1
MULTISPECIES: AAA family ATPase [Acidithiobacillus],Acidithiobacillus,169,169,95%,4.00E-50,43.2,211,WP_012607170.1
ParA family protein [Thiohalophilus thiocyanatoxydans],Thiohalophilus thiocyanatoxydans,169,169,96%,5.00E-50,40.67,206,WP_134080594.1
AAA family ATPase [Acidithiobacillus sulfuriphilus],Acidithiobacillus sulfuriphilus,167,167,95%,5.00E-49,44.66,211,WP_123101772.1
AAA family ATPase [Acidithiobacillus ferridurans],Acidithiobacillus ferridurans,166,166,95%,6.00E-49,42.72,211,WP_126605321.1
AAA family ATPase [Acidovorax facilis],Acidovorax facilis,166,166,94%,1.00E-48,46.34,211,WP_182120507.1
ParA family protein [Tepidimonas ignava],Tepidimonas ignava,165,165,98%,2.00E-48,42.72,203,WP_132961280.1
AAA family ATPase [Sulfuriferula multivorans],Sulfuriferula multivorans,165,165,95%,3.00E-48,43.2,211,WP_124706354.1
AAA family ATPase [Sulfuriferula plumbiphila],Sulfuriferula plumbiphila,165,165,95%,3.00E-48,43.2,211,WP_147075176.1
AAA family ATPase [Sulfuriflexus mobilis],Sulfuriflexus mobilis,165,165,95%,3.00E-48,38.83,208,WP_126453035.1
ParA family protein [Thioalkalivibrio nitratireducens],Thioalkalivibrio nitratireducens,164,164,95%,4.00E-48,40.29,212,WP_015259774.1
MULTISPECIES: ParA family protein [Thioalkalivibrio],Thioalkalivibrio,164,164,88%,5.00E-48,43.23,211,WP_019594305.1
AAA family ATPase [Acidihalobacter aeolianus],Acidihalobacter aeolianus,163,163,93%,1.00E-47,43.28,202,WP_197513413.1
ParA family protein [Thioalkalivibrio denitrificans],Thioalkalivibrio denitrificans,163,163,96%,1.00E-47,44.04,212,WP_077278567.1
AAA family ATPase [Acidithiobacillus ferrianus],Acidithiobacillus ferrianus,162,162,95%,2.00E-47,43.2,211,WP_163097296.1
AAA family ATPase [Acidithiobacillus ferrivorans],Acidithiobacillus ferrivorans,161,161,95%,1.00E-46,42.72,211,WP_014030437.1
ParA family protein [Thiohalobacter thiocyanaticus],Thiohalobacter thiocyanaticus,159,159,96%,8.00E-46,40,210,WP_125180864.1
ParA family protein [Acidihalobacter ferrooxydans],Acidihalobacter ferrooxydans,158,158,93%,1.00E-45,40.89,202,WP_083700544.1
MULTISPECIES: ParA family protein [Thioalkalivibrio],Thioalkalivibrio,158,158,88%,1.00E-45,42.71,211,WP_018864191.1
ParA family protein [Tepidimonas thermarum],Tepidimonas thermarum,157,157,95%,2.00E-45,40.58,202,WP_143901980.1
AAA family ATPase [Tepidimonas alkaliphilus],Tepidimonas alkaliphilus,152,152,87%,3.00E-43,43.16,197,WP_185970114.1
