Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
septum site-determining protein MinD [Halothiobacillus neapolitanus],Halothiobacillus neapolitanus,546,546,100%,0,100,271,WP_012824232.1
MULTISPECIES: septum site-determining protein MinD [Chromatiales],Chromatiales,486,486,99%,4.00E-173,87.04,271,WP_136866042.1
septum site-determining protein MinD [Acidihalobacter ferrooxydans],Acidihalobacter ferrooxydans,418,418,99%,2.00E-146,73.98,269,WP_076837601.1
MULTISPECIES: septum site-determining protein MinD [Alteromonas],Alteromonas,418,418,99%,2.00E-146,76.95,269,WP_014999406.1
MULTISPECIES: septum site-determining protein MinD [Alteromonas],Alteromonas,415,415,99%,3.00E-145,76.21,269,WP_014950573.1
septum site-determining protein MinD [Legionella massiliensis],Legionella massiliensis,415,415,99%,4.00E-145,74.81,276,WP_044012230.1
MULTISPECIES: septum site-determining protein MinD [Alteromonas],Alteromonas,415,415,99%,5.00E-145,76.21,269,WP_105929465.1
MULTISPECIES: septum site-determining protein MinD [Edwardsiella],Edwardsiella,414,414,99%,1.00E-144,73.23,270,WP_012848315.1
MULTISPECIES: septum site-determining protein MinD [Alteromonas],Alteromonas,414,414,99%,1.00E-144,75.84,269,WP_014977272.1
septum site-determining protein MinD [Halotalea alkalilenta],Halotalea alkalilenta,414,414,100%,1.00E-144,73.06,272,WP_027349379.1
septum site-determining protein MinD [Tolumonas lignilytica],Tolumonas lignilytica,413,413,99%,2.00E-144,74.72,270,WP_024873522.1
septum site-determining protein MinD [Enterobacillus tribolii],Enterobacillus tribolii,412,412,99%,4.00E-144,73.61,270,WP_115457072.1
septum site-determining protein MinD [Halomonas cerina],Halomonas cerina,412,412,100%,4.00E-144,75.28,272,WP_183325987.1
septum site-determining protein MinD [Aeromonas simiae],Aeromonas simiae,412,412,99%,4.00E-144,73.98,270,WP_042046302.1
septum site-determining protein MinD [Kosakonia oryzendophytica],Kosakonia oryzendophytica,412,412,99%,4.00E-144,73.98,270,WP_061496565.1
septum site-determining protein MinD [Alteromonas mediterranea],Alteromonas mediterranea,412,412,99%,5.00E-144,75.46,269,WP_012519605.1
septum site-determining protein MinD [Halomonas songnenensis],Halomonas songnenensis,412,412,99%,5.00E-144,74.72,272,WP_106375782.1
septum site-determining protein MinD [Alteromonas marina],Alteromonas marina,412,412,99%,6.00E-144,75.84,269,WP_039218970.1
septum site-determining protein MinD [Tolumonas auensis],Tolumonas auensis,412,412,99%,7.00E-144,74.35,270,WP_015878644.1
septum site-determining protein MinD [Halomonas beimenensis],Halomonas beimenensis,412,412,100%,7.00E-144,74.17,272,WP_097790491.1
septum site-determining protein MinD [Halomonas heilongjiangensis],Halomonas heilongjiangensis,412,412,100%,9.00E-144,74.54,272,WP_102626650.1
septum site-determining protein MinD [Aeromonas enteropelogenes],Aeromonas enteropelogenes,412,412,99%,9.00E-144,73.61,270,WP_042026066.1
septum site-determining protein MinD [Edwardsiella ictaluri],Edwardsiella ictaluri,411,411,99%,1.00E-143,72.86,270,WP_015870962.1
septum site-determining protein MinD [Salmonella bongori],Salmonella bongori,411,411,99%,1.00E-143,73.61,270,WP_000101045.1
septum site-determining protein MinD [Kushneria avicenniae],Kushneria avicenniae,411,411,100%,1.00E-143,73.43,272,WP_090131038.1
septum site-determining protein MinD [Halomonas ventosae],Halomonas ventosae,411,411,99%,1.00E-143,75.46,272,WP_106231346.1
MULTISPECIES: septum site-determining protein MinD [Enterobacteriaceae],Enterobacteriaceae,411,411,99%,1.00E-143,73.61,270,WP_017456991.1
septum site-determining protein MinD [Plasticicumulans lactativorans],Plasticicumulans lactativorans,411,411,99%,1.00E-143,73.23,269,WP_132543887.1
septum site-determining protein MinD [Halomonas elongata],Halomonas elongata,411,411,100%,1.00E-143,73.43,272,WP_013333629.1
septum site-determining protein MinD [Thiothrix caldifontis],Thiothrix caldifontis,411,411,99%,1.00E-143,73.98,268,WP_093067731.1
septum site-determining protein MinD [Halomonas huangheensis],Halomonas huangheensis,411,411,100%,1.00E-143,74.54,272,WP_021818027.1
septum site-determining protein MinD [Halomonas gudaonensis],Halomonas gudaonensis,411,411,100%,2.00E-143,74.17,272,WP_089684011.1
septum site-determining protein MinD [Franconibacter helveticus],Franconibacter helveticus,410,410,99%,2.00E-143,72.49,270,WP_024554731.1
septum site-determining protein MinD [Escherichia alba],Escherichia alba,410,410,99%,2.00E-143,73.23,270,WP_155108764.1
MULTISPECIES: septum site-determining protein MinD [Escherichia],Escherichia,410,410,99%,2.00E-143,73.98,270,WP_000101044.1
septum site-determining protein MinD [Trabulsiella odontotermitis],Trabulsiella odontotermitis,410,410,99%,2.00E-143,73.61,270,WP_054180602.1
septum site-determining protein MinD [Legionella nautarum],Legionella nautarum,411,411,99%,2.00E-143,73.7,276,WP_058504132.1
septum site-determining protein MinD [Zobellella denitrificans],Zobellella denitrificans,410,410,99%,2.00E-143,73.61,270,WP_094038191.1
MULTISPECIES: septum site-determining protein MinD [Salinivibrio],Salinivibrio,410,410,99%,2.00E-143,71.75,270,WP_077455195.1
septum site-determining protein MinD [Halomonas halmophila],Halomonas halmophila,410,410,100%,2.00E-143,73.43,272,WP_141321607.1
septum site-determining protein MinD [Franconibacter pulveris],Franconibacter pulveris,410,410,99%,3.00E-143,72.49,270,WP_024555722.1
septum site-determining protein MinD [Aliidiomarina maris],Aliidiomarina maris,410,410,99%,3.00E-143,73.23,270,WP_111570163.1
MULTISPECIES: septum site-determining protein MinD [Salinivibrio],Salinivibrio,410,410,99%,3.00E-143,71.75,270,WP_077460182.1
septum site-determining protein MinD [Photobacterium halotolerans],Photobacterium halotolerans,410,410,99%,3.00E-143,73.61,270,WP_027253477.1
septum site-determining protein MinD [Photobacterium swingsii],Photobacterium swingsii,410,410,99%,3.00E-143,73.23,270,WP_048898723.1
MULTISPECIES: septum site-determining protein MinD [Enterobacteriaceae],Enterobacteriaceae,410,410,99%,3.00E-143,73.23,270,WP_013096144.1
MULTISPECIES: septum site-determining protein MinD [Citrobacter],Citrobacter,410,410,99%,4.00E-143,73.23,270,WP_045443887.1
septum site-determining protein MinD [Carnimonas nigrificans],Carnimonas nigrificans,410,410,100%,4.00E-143,73.06,272,WP_025733486.1
septum site-determining protein MinD [Escherichia fergusonii],Escherichia fergusonii,410,410,99%,4.00E-143,73.23,270,WP_000101046.1
septum site-determining protein MinD [Tolumonas osonensis],Tolumonas osonensis,410,410,99%,4.00E-143,73.98,270,WP_188025616.1
septum site-determining protein MinD [Halomonas xinjiangensis],Halomonas xinjiangensis,410,410,100%,4.00E-143,73.06,272,WP_043529197.1
