Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Luteitalea pratensis strain DSM 100886, partial sequence",Luteitalea pratensis,243,414,90%,2.00E-72,49.81,7480314,NZ_CP015136.1
"Paludibaculum fermentans strain P105 chromosome, complete genome",Paludibaculum fermentans,241,288,89%,1.00E-71,47.86,9476802,NZ_CP063849.1
"Pyrinomonas methylaliphatogenes strain K22, whole genome shotgun sequence",Pyrinomonas methylaliphatogenes,238,238,89%,2.00E-70,47.47,1063214,NZ_CBXV010000008.1
"Terracidiphilus gabretensis strain S55 contig_10, whole genome shotgun sequence",Terracidiphilus gabretensis,238,238,90%,2.00E-70,45.56,2394573,NZ_LAIJ01000009.1
"Bryobacter aggregatus MPL3 M017DRAFT_scf7180000000020_quiver.3_C, whole genome shotgun sequence",Bryobacter aggregatus MPL3,237,237,89%,3.00E-70,46.69,4257809,NZ_JNIF01000003.1
"Silvibacterium bohemicum strain S15 contig_12, whole genome shotgun sequence",Silvibacterium bohemicum,236,236,90%,6.00E-70,45.95,883337,NZ_LBHJ01000012.1
"Occallatibacter savannae strain AB23 2556798640, whole genome shotgun sequence",Occallatibacter savannae,236,236,90%,7.00E-70,43.63,992511,NZ_QFFY01000002.1
"Chloracidobacterium thermophilum B chromosome 1, complete sequence",Chloracidobacterium thermophilum B,234,521,90%,3.00E-69,46.69,2683362,NC_016024.1
"Bryocella elongata strain DSM 22489, whole genome shotgun sequence",Bryocella elongata,233,233,90%,6.00E-69,46.72,661247,NZ_FNVA01000003.1
"Granulicella mallensis MP5ACTX8, complete sequence",Granulicella mallensis MP5ACTX8,231,231,90%,3.00E-68,46.72,6237577,NC_016631.1
"Granulicella rosea strain DSM 18704, whole genome shotgun sequence",Granulicella rosea,231,231,90%,4.00E-68,47.53,1463594,NZ_FZOU01000001.1
"Acidobacterium ailaaui strain PMMR2 N655DRAFT_scf7180000000002_quiver.1_C, whole genome shotgun sequence",Acidobacterium ailaaui,229,229,90%,1.00E-67,47.1,3686523,NZ_JIAL01000001.1
"Granulicella arctica strain X4EP2 Ga0401179_01, whole genome shotgun sequence",Granulicella arctica,229,229,90%,2.00E-67,46.01,2159447,NZ_JACCCW010000001.1
"Granulicella aggregans strain M8UP14 Ga0401177_04, whole genome shotgun sequence",Granulicella aggregans,229,229,90%,2.00E-67,45.56,844690,NZ_JACHIP010000004.1
"Terriglobus albidus strain ORNL chromosome, complete genome",Terriglobus albidus,228,228,90%,3.00E-67,45.17,6405582,NZ_CP042806.1
