Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Leptospira johnsonii strain E8, whole genome shotgun sequence",Leptospira johnsonii,140,225,81%,6.00E-36,31.47,1754512,NZ_BFAY01000011.1
"Leptospira neocaledonica strain ES4-C-A1 contig_3, whole genome shotgun sequence",Leptospira neocaledonica,140,140,81%,6.00E-36,31.47,457806,NZ_NPEA01000003.1
"Leptospira hartskeerlii strain MCA1-C-A1 contig_1, whole genome shotgun sequence",Leptospira hartskeerlii,140,213,81%,8.00E-36,31.47,649247,NZ_NPDN01000001.1
"Spirochaeta lutea strain JC230 contig873, whole genome shotgun sequence",Spirochaeta lutea,140,140,80%,8.00E-36,32.79,269826,NZ_JNUP01000064.1
"Marispirochaeta aestuarii strain JC444 Contig12, whole genome shotgun sequence",Marispirochaeta aestuarii,140,140,80%,1.00E-35,31.33,163418,NZ_MWQY01000012.1
"Leptospira tipperaryensis strain GWTS#1 chromosome 1, complete sequence",Leptospira tipperaryensis,139,236,81%,1.00E-35,31.87,4105414,NZ_CP015217.1
"Leptospira saintgironsiae strain FH4-C-A2 contig_1, whole genome shotgun sequence",Leptospira saintgironsiae,139,224,81%,1.00E-35,31.47,1069366,NZ_NPDR01000001.1
"Leptospira andrefontaineae strain 201800301 contig_0002, whole genome shotgun sequence",Leptospira andrefontaineae,139,213,81%,2.00E-35,31.47,584447,NZ_RQEY01000019.1
"Leptospira dzoumogneensis strain 201601113 contig_0002, whole genome shotgun sequence",Leptospira dzoumogneensis,139,139,81%,2.00E-35,31.47,706212,NZ_RQHS01000019.1
"Leptospira venezuelensis strain IVIC-Bov1 contig_0001, whole genome shotgun sequence",Leptospira venezuelensis,139,221,81%,2.00E-35,31.47,1458674,NZ_NFUQ01000001.1
"Leptospira selangorensis strain 201702405 contig_0001, whole genome shotgun sequence",Leptospira selangorensis,139,219,81%,2.00E-35,31.47,1510519,NZ_RQGV01000005.1
"Leptospira langatensis strain SSW18 contig_0001, whole genome shotgun sequence",Leptospira langatensis,139,139,81%,2.00E-35,31.47,801061,NZ_RQER01000004.1
"Leptospira licerasiae str. MMD4847 ctg7180000002435, whole genome shotgun sequence",Leptospira licerasiae str. MMD4847,139,139,81%,2.00E-35,31.47,1443323,NZ_AHOM02000004.1
"Leptospira semungkisensis strain SSS9 contig_0001, whole genome shotgun sequence",Leptospira semungkisensis,139,227,81%,3.00E-35,30.68,1612815,NZ_RQEP01000005.1
"Leptospira sarikeiensis strain 201702455 contig_0008, whole genome shotgun sequence",Leptospira sarikeiensis,138,138,81%,3.00E-35,31.47,208042,NZ_RQGF01000015.1
"Leptospira haakeii strain ATI7-C-A2 contig_1, whole genome shotgun sequence",Leptospira haakeii,138,218,81%,4.00E-35,31.47,1067840,NZ_NPEI01000001.1
"Leptospira koniambonensis strain 201800265 contig_0001, whole genome shotgun sequence",Leptospira koniambonensis,138,222,81%,4.00E-35,31.47,2035519,NZ_RQFY01000004.1
"Leptospira santarosai str. CBC1531 ctg7180000005066, whole genome shotgun sequence",Leptospira santarosai str. CBC1531,137,137,81%,8.00E-35,31.47,56796,NZ_APGN01000154.1
"Turneriella parva DSM 21527, complete sequence",Turneriella parva DSM 21527,137,220,82%,8.00E-35,32.67,4384015,NC_018020.1
"Leptonema illini DSM 21528 Lepilscaffold_1, whole genome shotgun sequence",Leptonema illini DSM 21528,137,224,80%,1.00E-34,30.92,4325094,NZ_JH597773.1
"Leptospira fletcheri strain SSW15 contig_0001, whole genome shotgun sequence",Leptospira fletcheri,137,216,83%,1.00E-34,31.3,1400601,NZ_RQET01000004.1
"Leptospira wolffii strain 201800291 contig_0001, whole genome shotgun sequence",Leptospira wolffii,137,224,81%,1.00E-34,31.47,1546204,NZ_RQFH01000003.1
"Leptospira stimsonii strain Yale NODE_1_length_1618927_cov_443.31, whole genome shotgun sequence",Leptospira stimsonii,136,232,81%,1.00E-34,31.47,1618927,NZ_QHCT01000001.1
"Leptospira gomenensis strain 201800299 contig_0001, whole genome shotgun sequence",Leptospira gomenensis,136,136,81%,1.00E-34,31.47,370423,NZ_RQFA01000080.1
"Leptospira ellisii strain ATI7-C-A5 contig_46, whole genome shotgun sequence",Leptospira ellisii,136,136,81%,1.00E-34,31.47,21563,NZ_NPEF01000046.1
"Leptospira borgpetersenii serovar Ceylonica strain Piyasena chromosome 1, complete sequence",Leptospira borgpetersenii serovar Ceylonica,136,226,81%,2.00E-34,31.47,3670231,NZ_CP026671.1
"Leptospira alexanderi strain 56659 Contig148, whole genome shotgun sequence",Leptospira alexanderi,136,136,81%,2.00E-34,31.08,6569,NZ_JQGW01000148.1
"Leptospira yasudae strain 201702446 contig_0001, whole genome shotgun sequence",Leptospira yasudae,136,136,81%,2.00E-34,31.08,455028,NZ_RQGL01000024.1
"Leptospira yasudae strain F1 NODE_2_length_728769_cov_223.751, whole genome shotgun sequence",Leptospira yasudae,136,136,81%,2.00E-34,31.08,728769,NZ_QHCU01000002.1
"Leptospira fluminis strain SCS5 contig_0001, whole genome shotgun sequence",Leptospira fluminis,136,218,83%,2.00E-34,30.92,718176,NZ_RQEV01000003.1
"Leptospira kmetyi strain LS 001/16 chromosome 1, complete sequence",Leptospira kmetyi,136,231,81%,2.00E-34,31.08,3927288,NZ_CP033614.1
"Leptospira adleri strain FH2-B-C1 contig_3, whole genome shotgun sequence",Leptospira adleri,135,230,81%,3.00E-34,31.08,301528,NZ_NPDV01000003.1
"Leptospira stimsonii strain SSW20 contig_0001, whole genome shotgun sequence",Leptospira stimsonii,135,135,81%,3.00E-34,31.08,609088,NZ_RQEQ01000073.1
"Leptospira mayottensis strain VS2413 chromosome I, complete sequence",Leptospira mayottensis,135,329,81%,3.00E-34,31.08,3803942,NZ_CP030142.1
"Leptospira barantonii strain FH4-C-A1 contig_7, whole genome shotgun sequence",Leptospira barantonii,135,135,81%,3.00E-34,31.08,320527,NZ_NPDS01000007.1
"Leptospira ryugenii strain YH101, whole genome shotgun sequence",Leptospira ryugenii,135,135,81%,3.00E-34,31.47,923341,NZ_BFBB01000008.1
"Leptospira alstonii strain 56661 Contig002, whole genome shotgun sequence",Leptospira alstonii,135,135,81%,5.00E-34,30.68,213731,NZ_JQRS01000002.1
"Leptospira idonii strain 201300427 NODE_4_covk_43.0009_covr_87.47_cutoff_40, whole genome shotgun sequence",Leptospira idonii,135,135,81%,5.00E-34,30.28,251864,NZ_RQHW01000013.1
"Leptospira perolatii strain FH1-B-B1 contig_1, whole genome shotgun sequence",Leptospira perolatii,134,222,81%,6.00E-34,30.68,819540,NZ_NPDZ01000001.1
"Leptospira broomii serovar Hurstbridge str. 5399 ctg1134731807512, whole genome shotgun sequence",Leptospira broomii serovar Hurstbridge str. 5399,134,207,81%,8.00E-34,31.47,2457338,NZ_AHMO02000008.1
"Thiospirochaeta perfilievii strain P chromosome, complete genome",Thiospirochaeta perfilievii,134,134,80%,1.00E-33,31.76,3667739,NZ_CP035807.1
"Leptospira fainei serovar Hurstbridge str. BUT 6 ctg1134728687817, whole genome shotgun sequence",Leptospira fainei serovar Hurstbridge str. BUT 6,134,208,81%,1.00E-33,31.47,1844499,NZ_AKWZ02000010.1
"Leptospira weilii strain CUDO6 chromosome I, complete sequence",Leptospira weilii,134,226,81%,1.00E-33,30.68,3965053,NZ_CP040840.1
"Salinispira pacifica, complete sequence",Salinispira pacifica,134,190,83%,1.00E-33,30.12,3782798,NC_023035.1
"Leptospira vanthielii strain 201601955 contig_0001, whole genome shotgun sequence",Leptospira vanthielii,133,133,81%,2.00E-33,30.68,607257,NZ_RQHF01000028.1
"Leptospira harrisiae strain FH2-B-A1 contig_5, whole genome shotgun sequence",Leptospira harrisiae,133,133,81%,2.00E-33,31.08,276551,NZ_NPDX01000005.1
"Leptospira bourretii strain 201800267 contig_0005, whole genome shotgun sequence",Leptospira bourretii,133,196,83%,2.00E-33,31.08,443882,NZ_RQFW01000012.1
"Leptospira montravelensis strain 201800278 contig_0003, whole genome shotgun sequence",Leptospira montravelensis,133,133,81%,2.00E-33,31.08,758363,NZ_RQFO01000016.1
"Leptospira mtsangambouensis strain 201601298 NODE_1_covk_43.3007_covr_73.38, whole genome shotgun sequence",Leptospira mtsangambouensis,133,133,81%,2.00E-33,31.08,1414320,NZ_RQHK01000017.1
"Leptospira noumeaensis strain 201800287 contig_0001, whole genome shotgun sequence",Leptospira noumeaensis,133,133,81%,2.00E-33,31.08,1496545,NZ_RQFK01000026.1
"Leptospira terpstrae serovar Hualin str. LT 11-33 = ATCC 700639 strain LT 11-33 ctg7180000024129, whole genome shotgun sequence",Leptospira terpstrae serovar Hualin str. LT 11-33 = ATCC 700639,133,133,81%,2.00E-33,31.08,727616,NZ_AOGW02000006.1
"Leptospira wolbachii serovar Codice str. CDC ctg1134731807536, whole genome shotgun sequence",Leptospira wolbachii serovar Codice str. CDC,133,133,81%,2.00E-33,31.08,2540234,NZ_AOGZ02000014.1
"Leptospira bandrabouensis strain 201601109 NODE_1_covk_42.0487_covr_83.35_44, whole genome shotgun sequence",Leptospira bandrabouensis,133,196,81%,2.00E-33,31.08,2166722,NZ_RQHU01000005.1
"Leptospira kanakyensis strain 201800292 contig_0001, whole genome shotgun sequence",Leptospira kanakyensis,133,133,81%,3.00E-33,31.08,1522793,NZ_RQFG01000005.1
"Leptospira inadai serovar Lyme strain M34/99 Contig_5_consensus_sequence, whole genome shotgun sequence",Leptospira inadai serovar Lyme,132,132,81%,3.00E-33,31.47,208892,NZ_MCRM02000007.1
"Leptospira congkakensis strain 201702421 contig_0002, whole genome shotgun sequence",Leptospira congkakensis,132,132,81%,3.00E-33,31.08,833227,NZ_RQGQ01000017.1
"Treponema caldarium DSM 7334, complete sequence",Treponema caldarium DSM 7334,132,132,81%,3.00E-33,31.35,3239340,NC_015732.1
"Treponema berlinense strain ATCC BAA-909, whole genome shotgun sequence",Treponema berlinense,132,132,80%,4.00E-33,29.44,162519,NZ_FUXC01000005.1
"Brevinema andersonii strain ATCC 43811, whole genome shotgun sequence",Brevinema andersonii,132,132,80%,4.00E-33,29.96,490415,NZ_FOKY01000001.1
"Leptospira perdikensis strain 201702692 contig_0001, whole genome shotgun sequence",Leptospira perdikensis,132,132,81%,4.00E-33,31.08,1226694,NZ_RQGA01000003.1
"Leptospira brenneri strain 201800277 contig_0002, whole genome shotgun sequence",Leptospira brenneri,132,132,81%,4.00E-33,31.08,2416981,NZ_RQFP01000001.1
"Leptospira kemamanensis strain 201702454 contig_0005, whole genome shotgun sequence",Leptospira kemamanensis,132,132,81%,4.00E-33,30.68,245408,NZ_RQGG01000036.1
"Leptospira meyeri strain ES1-C-A1 contig_8, whole genome shotgun sequence",Leptospira meyeri,132,132,81%,4.00E-33,31.08,166200,NZ_NPEC01000008.1
"Spirochaeta africana DSM 8902, complete sequence",Spirochaeta africana DSM 8902,132,132,80%,7.00E-33,30.92,3285855,NC_017098.1
"Leptospira kobayashii strain E30, whole genome shotgun sequence",Leptospira kobayashii,131,131,81%,7.00E-33,30.28,933097,NZ_BFBA01000013.1
"Spirochaeta isovalerica strain DSM 2461 Ga0415347_11, whole genome shotgun sequence",Spirochaeta isovalerica,131,131,80%,8.00E-33,31.23,126178,NZ_JACHGJ010000011.1
"Leptospira ilyithenensis strain 201400974 NODE_3_covk_46.6383_covr_91.68_cutoff_51, whole genome shotgun sequence",Leptospira ilyithenensis,131,131,81%,8.00E-33,30.28,378206,NZ_RQHV01000042.1
"Leptospira noguchii serovar Panama str. CZ214 ctg1134732786334, whole genome shotgun sequence",Leptospira noguchii serovar Panama str. CZ214,131,222,81%,1.00E-32,30.28,341470,NZ_AKWY02000001.1
"Leptospira yanagawae strain 201800272 contig_0001, whole genome shotgun sequence",Leptospira yanagawae,131,131,81%,1.00E-32,30.68,922342,NZ_RQFU01000005.1
"Leptospira ognonensis strain 201702476 NODE_10_covk_25.5757_covr_49.98_cutoff_5, whole genome shotgun sequence",Leptospira ognonensis,131,131,81%,1.00E-32,30.68,160234,NZ_RQGD01000005.1
"Treponema brennaborense DSM 12168, complete sequence",Treponema brennaborense DSM 12168,131,131,81%,1.00E-32,30.95,3055580,NC_015500.1
"Treponema pectinovorum strain Marseille-3-CSURP7641, whole genome shotgun sequence",Treponema pectinovorum,130,130,80%,1.00E-32,29.84,512612,NZ_UFQO01000002.1
"Leptospira bouyouniensis strain 201800295 contig_0006, whole genome shotgun sequence",Leptospira bouyouniensis,130,130,81%,2.00E-32,30.68,223804,NZ_RQFD01000013.1
"Brachyspira alvinipulli ATCC 51933 T324DRAFT_scaffold00002.2, whole genome shotgun sequence",Brachyspira alvinipulli ATCC 51933,130,130,80%,2.00E-32,30.52,563111,NZ_KI912403.1
"Leptospira kirschneri serovar Cynopteri str. 3522 CT ctg1134731807576, whole genome shotgun sequence",Leptospira kirschneri serovar Cynopteri str. 3522 CT,130,130,81%,2.00E-32,30.28,190776,NZ_AHMN02000022.1
"Leptospira jelokensis strain 201702419 contig_0001, whole genome shotgun sequence",Leptospira jelokensis,130,130,81%,2.00E-32,30.68,1556994,NZ_RQGR01000029.1
"Leptospira levettii strain 201601119 NODE_1_covk_41.2664_covr_81.55_cutoff_47, whole genome shotgun sequence",Leptospira levettii,130,191,81%,3.00E-32,30.68,3388505,NZ_RQHO01000002.1
"Leptospira ellinghausenii strain E18, whole genome shotgun sequence",Leptospira ellinghausenii,130,192,81%,3.00E-32,30.68,1774662,NZ_BFAZ01000009.1
"Leptospira biflexa strain 201601962 contig_0001, whole genome shotgun sequence",Leptospira biflexa,129,129,81%,4.00E-32,30.68,1898183,NZ_RQHA01000004.1
"Leptospira interrogans serovar Copenhageni strain FDAARGOS_203 chromosome, complete genome",Leptospira interrogans serovar Copenhageni,129,218,81%,5.00E-32,30.28,4280582,NZ_CP020414.2
"Spirochaeta cellobiosiphila DSM 17781 K345DRAFT_scaffold00013.13_C, whole genome shotgun sequence",Spirochaeta cellobiosiphila DSM 17781,128,128,80%,1.00E-31,29.32,35708,NZ_AUFW01000021.1
"Treponema rectale strain DSM 103679 Ga0415372_05, whole genome shotgun sequence",Treponema rectale,128,128,81%,1.00E-31,27.78,121731,NZ_JACHFR010000005.1
"Treponema socranskii subsp. socranskii VPI DR56BR1116 = ATCC 35536 contig00064, whole genome shotgun sequence",Treponema socranskii subsp. socranskii VPI DR56BR1116 = ATCC 35536,127,127,80%,1.00E-31,29.03,17542,NZ_AVQI01000031.1
"Brachyspira pilosicoli 95/1000, complete sequence",Brachyspira pilosicoli 95/1000,127,127,80%,2.00E-31,29.32,2586443,NC_014330.1
"Treponema bryantii strain XBD1002, whole genome shotgun sequence",Treponema bryantii,127,127,80%,2.00E-31,30.24,251939,NZ_FORI01000006.1
"Sphaerochaeta globosa str. Buddy, complete sequence",Sphaerochaeta globosa str. Buddy,126,199,80%,4.00E-31,31.45,3316466,NC_015152.1
"Spirochaeta thermophila DSM 6578, complete sequence",Spirochaeta thermophila DSM 6578,126,184,81%,5.00E-31,31.75,2560222,NC_017583.1
"Treponema phagedenis strain B43.1 chromosome, complete genome",Treponema phagedenis,126,126,80%,6.00E-31,30.24,3372116,NZ_CP042818.1
"Treponema lecithinolyticum ATCC 700332 Scaffold3, whole genome shotgun sequence",Treponema lecithinolyticum ATCC 700332,125,125,81%,8.00E-31,28.97,411934,NZ_KI260561.1
"Sphaerochaeta coccoides DSM 17374, complete sequence",Sphaerochaeta coccoides DSM 17374,125,200,83%,1.00E-30,29.57,2227296,NC_015436.1
"Treponema succinifaciens DSM 2489, complete sequence",Treponema succinifaciens DSM 2489,125,179,81%,1.00E-30,28.57,2731853,NC_015385.1
"Brachyspira innocens ATCC 29796 strain B256 F811DRAFT_scaffold00014.14_C, whole genome shotgun sequence",Brachyspira innocens ATCC 29796,125,125,80%,2.00E-30,29.32,66152,NZ_ARQI01000117.1
"Treponema pallidum subsp. pertenue str. SamoaD, complete sequence",Treponema pallidum subsp. pertenue str. SamoaD,124,124,80%,2.00E-30,29.84,1139330,NC_016842.1
"Treponema azotonutricium ZAS-9, complete sequence",Treponema azotonutricium ZAS-9,124,252,81%,3.00E-30,29.76,3855671,NC_015577.1
"Oceanispirochaeta crateris strain K2 chromosome, complete genome",Oceanispirochaeta crateris,124,124,80%,4.00E-30,30.04,4012482,NZ_CP036150.1
"Brachyspira murdochii DSM 12563, complete sequence",Brachyspira murdochii DSM 12563,123,123,80%,4.00E-30,28.92,3241804,NC_014150.1
"Treponema porcinum strain ATCC BAA-908, whole genome shotgun sequence",Treponema porcinum,123,123,81%,5.00E-30,28.57,144243,NZ_FUWG01000006.1
"Treponema maltophilum ATCC 51939 aczIZ-supercont-complete, whole genome shotgun sequence",Treponema maltophilum ATCC 51939,123,123,81%,6.00E-30,28.57,2530388,NZ_KE332518.1
"Treponema paraluiscuniculi Cuniculi A, complete sequence",Treponema paraluiscuniculi Cuniculi A,123,123,80%,6.00E-30,29.84,1133390,NC_015714.1
"Treponema primitia ZAS-2, complete sequence",Treponema primitia ZAS-2,122,122,81%,1.00E-29,29.76,4059867,NC_015578.1
"Treponema putidum strain OMZ 758 (ATCC 700334) chromosome, complete genome",Treponema putidum,122,122,81%,1.00E-29,28.46,2796913,NZ_CP009228.1
"Treponema pedis str. T A4, complete sequence",Treponema pedis str. T A4,122,122,81%,2.00E-29,28.17,2889325,NC_022097.1
"Sediminispirochaeta bajacaliforniensis DSM 16054 F459DRAFT_scaffold00018.18, whole genome shotgun sequence",Sediminispirochaeta bajacaliforniensis DSM 16054,121,121,81%,3.00E-29,28.69,100038,NZ_KB899423.1
"Alkalispirochaeta americana strain ASpG1, whole genome shotgun sequence",Alkalispirochaeta americana,121,121,80%,3.00E-29,30.92,205449,NZ_FTMS01000004.1
"Brachyspira suanatina strain AN4859/03, whole genome shotgun sequence",Brachyspira suanatina,120,120,80%,6.00E-29,27.71,2243936,NZ_CVLB01000001.1
"Treponema zioleckii strain kT3 contig00034, whole genome shotgun sequence",Treponema zioleckii,120,120,81%,6.00E-29,27.17,43693,NZ_JPUF01000034.1
"Brachyspira hampsonii strain NSH-16 chromosome, complete genome",Brachyspira hampsonii,120,120,80%,7.00E-29,27.71,3189639,NZ_CP019914.1
"Treponema denticola ATCC 35405, complete sequence",Treponema denticola ATCC 35405,120,120,81%,7.00E-29,27.78,2843201,NC_002967.9
"Treponema vincentii F0403 aczIO-supercont1.1, whole genome shotgun sequence",Treponema vincentii F0403,119,119,80%,1.00E-28,29.03,2347197,NZ_KE332512.1
"Brachyspira hyodysenteriae strain NM31 Bhyo-ST108-NM31_contig_46_coverage_525.92, whole genome shotgun sequence",Brachyspira hyodysenteriae,119,119,80%,1.00E-28,27.71,62946,NZ_LZON01000041.1
"Sphaerochaeta pleomorpha str. Grapes, complete sequence",Sphaerochaeta pleomorpha str. Grapes,119,197,80%,1.00E-28,30.65,3590853,NC_016633.1
"Treponema saccharophilum DSM 2985 Tsacc_Contig238, whole genome shotgun sequence",Treponema saccharophilum DSM 2985,119,119,81%,1.00E-28,27.78,191356,NZ_AGRW01000052.1
"Alkalispirochaeta sphaeroplastigenens strain JC133 ctg7180000003805, whole genome shotgun sequence",Alkalispirochaeta sphaeroplastigenens,118,118,80%,2.00E-28,30.52,107071,NZ_LPWH01000003.1
"Alkalispirochaeta alkalica DSM 8900 B071DRAFT_scaffold_4.5, whole genome shotgun sequence",Alkalispirochaeta alkalica DSM 8900,118,118,80%,2.00E-28,30.52,184629,NZ_KB891725.1
"Brachyspira intermedia PWS/A, complete sequence",Brachyspira intermedia PWS/A,118,118,80%,2.00E-28,27.31,3304788,NC_017243.1
"Sphaerochaeta halotolerans strain 585 NODE_12_length_120601, whole genome shotgun sequence",Sphaerochaeta halotolerans,118,118,80%,3.00E-28,30.65,120601,NZ_WUJG01000012.1
"Rectinema subterraneum strain SURF-ANA1 NODE_36_30456_9802277733, whole genome shotgun sequence",Rectinema subterraneum,118,118,80%,3.00E-28,31.2,30456,NZ_WESA01000036.1
"Brachyspira catarrhinii strain Z12 Contig_3, whole genome shotgun sequence",Brachyspira catarrhinii,117,117,80%,6.00E-28,28.11,20317,NZ_SJDU01000003.1
"Treponema ruminis strain DSM 103462 Ga0415371_12, whole genome shotgun sequence",Treponema ruminis,117,117,81%,8.00E-28,27.38,31813,NZ_JACHFQ010000012.1
"Brachyspira aalborgi strain PC2022III PC2022III_contig5, whole genome shotgun sequence",Brachyspira aalborgi,116,116,80%,1.00E-27,28.11,265511,NZ_SAYK01000005.1
"Treponema medium ATCC 700293 acAqN-supercont-complete, whole genome shotgun sequence",Treponema medium ATCC 700293,116,116,80%,1.00E-27,28.23,2727508,NZ_KE332517.1
"Sediminispirochaeta smaragdinae DSM 11293, complete sequence",Sediminispirochaeta smaragdinae DSM 11293,111,111,81%,6.00E-26,28.69,4653970,NC_014364.1
"Leptospira inadai serovar Lyme strain M34/99 Contig_1_consensus_sequence, whole genome shotgun sequence",Leptospira inadai serovar Lyme,100,178,59%,5.00E-22,32.04,400360,NZ_MCRM02000001.1
"Leptospira broomii serovar Hurstbridge str. 5399 ctg1134731807505, whole genome shotgun sequence",Leptospira broomii serovar Hurstbridge str. 5399,99.8,178,59%,6.00E-22,32.04,440053,NZ_AHMO02000007.1
"Leptospira fainei serovar Hurstbridge str. BUT 6 ctg1134728687810, whole genome shotgun sequence",Leptospira fainei serovar Hurstbridge str. BUT 6,99.4,176,59%,8.00E-22,32.04,331619,NZ_AKWZ02000011.1
"Leptospira langatensis strain SSW18 contig_0008, whole genome shotgun sequence",Leptospira langatensis,99.4,209,58%,8.00E-22,32.04,290537,NZ_RQER01000005.1
"Leptospira semungkisensis strain SSS9 contig_0005, whole genome shotgun sequence",Leptospira semungkisensis,99.4,209,58%,9.00E-22,31.49,294175,NZ_RQEP01000012.1
"Leptospira saintgironsiae strain FH4-C-A2 contig_5, whole genome shotgun sequence",Leptospira saintgironsiae,99,208,58%,1.00E-21,32.04,297440,NZ_NPDR01000005.1
"Leptospira selangorensis strain 201702405 contig_0005, whole genome shotgun sequence",Leptospira selangorensis,99,207,58%,1.00E-21,32.04,307126,NZ_RQGV01000012.1
"Leptospira koniambonensis strain 201800265 contig_0005, whole genome shotgun sequence",Leptospira koniambonensis,99,178,58%,1.00E-21,32.04,363960,NZ_RQFY01000007.1
"Leptospira fluminis strain SCS5 contig_0004, whole genome shotgun sequence",Leptospira fluminis,98.6,208,58%,1.00E-21,30.94,325090,NZ_RQEV01000007.1
"Borrelia maritima strain CA690 chromosome, complete genome",Borrelia maritima,98.6,98.6,79%,1.00E-21,23.46,902176,NZ_CP044535.1
"Leptospira fletcheri strain SSW15 contig_0005, whole genome shotgun sequence",Leptospira fletcheri,98.6,208,58%,2.00E-21,30.94,345251,NZ_RQET01000009.1
"Leptospira stimsonii strain SSW20 contig_0006, whole genome shotgun sequence",Leptospira stimsonii,98.6,98.6,81%,2.00E-21,30.89,308464,NZ_RQEQ01000010.1
"Leptospira perolatii strain FH1-B-B1 contig_3, whole genome shotgun sequence",Leptospira perolatii,98.2,209,60%,2.00E-21,32.95,352179,NZ_NPDZ01000003.1
"Leptospira licerasiae str. MMD4847 ctg7180000002432, whole genome shotgun sequence",Leptospira licerasiae str. MMD4847,98.2,207,59%,2.00E-21,31.49,346808,NZ_AHOM02000001.1
"Leptospira johnsonii strain E8, whole genome shotgun sequence",Leptospira johnsonii,97.8,207,58%,3.00E-21,31.49,301729,NZ_BFAY01000012.1
"Leptospira venezuelensis strain IVIC-Bov1 contig_0006, whole genome shotgun sequence",Leptospira venezuelensis,97.8,206,58%,3.00E-21,31.49,335859,NZ_NFUQ01000006.1
"Leptospira dzoumogneensis strain 201601113 contig_0005, whole genome shotgun sequence",Leptospira dzoumogneensis,97.8,206,58%,3.00E-21,31.49,336452,NZ_RQHS01000012.1
"Leptospira haakeii strain ATI7-C-A2 contig_4, whole genome shotgun sequence",Leptospira haakeii,97.8,207,58%,3.00E-21,31.49,324807,NZ_NPEI01000004.1
"Leptospira andrefontaineae strain 201800301 contig_0005, whole genome shotgun sequence",Leptospira andrefontaineae,97.8,258,58%,3.00E-21,31.49,417390,NZ_RQEY01000012.1
"Leptospira wolffii strain 201800291 contig_0005, whole genome shotgun sequence",Leptospira wolffii,97.4,208,59%,4.00E-21,31.49,346660,NZ_RQFH01000009.1
