Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Fusobacterium naviforme strain ATCC 25832 EI53DRAFT_scaffold00001.1, whole genome shotgun sequence",Fusobacterium naviforme,221,221,90%,4.00E-65,44.79,789482,NZ_PYGH01000001.1
"Psychrilyobacter atlanticus DSM 19335 K337DRAFT_scaffold00002.2, whole genome shotgun sequence",Psychrilyobacter atlanticus DSM 19335,189,189,88%,7.00E-54,41.11,1146430,NZ_KE384548.1
"Ilyobacter polytropus DSM 2926 plasmid pILYOP01, complete sequence",Ilyobacter polytropus DSM 2926,179,179,90%,4.00E-50,40,961624,NC_014633.1
"Cetobacterium ceti strain ATCC 700028, whole genome shotgun sequence",Cetobacterium ceti,163,163,90%,8.00E-45,37.07,94542,NZ_FUWX01000013.1
"Fusobacterium naviforme strain ATCC 25832 EI53DRAFT_scaffold00013.13, whole genome shotgun sequence",Fusobacterium naviforme,158,158,89%,3.00E-43,36.92,64580,NZ_PYGH01000013.1
"Hypnocyclicus thermotrophus strain DSM 100055 Ga0310544_101, whole genome shotgun sequence",Hypnocyclicus thermotrophus,158,158,90%,4.00E-43,34.36,448681,NZ_SOBG01000001.1
"Sebaldella termitidis strain NCTC11300, whole genome shotgun sequence",Sebaldella termitidis,155,155,89%,3.00E-42,33.85,54162,NZ_UGYG01000002.1
"Pseudoleptotrichia goodfellowii strain JCM16774 chromosome, complete genome",Pseudoleptotrichia goodfellowii,154,154,89%,8.00E-42,33.46,2290729,NZ_AP019822.1
"Cetobacterium ceti strain ATCC 700028, whole genome shotgun sequence",Cetobacterium ceti,150,150,89%,2.00E-40,33.46,126542,NZ_FUWX01000010.1
"Cetobacterium ceti strain ATCC 700028, whole genome shotgun sequence",Cetobacterium ceti,140,194,90%,5.00E-37,34.63,160250,NZ_FUWX01000009.1
"Ilyobacter polytropus DSM 2926 plasmid pILYOP02, complete sequence",Ilyobacter polytropus DSM 2926,137,137,89%,1.00E-35,34.24,124226,NC_014634.1
"Cetobacterium ceti strain ATCC 700028, whole genome shotgun sequence",Cetobacterium ceti,134,134,89%,8.00E-35,36.68,22955,NZ_FUWX01000022.1
"Cetobacterium ceti strain ATCC 700028, whole genome shotgun sequence",Cetobacterium ceti,130,130,89%,1.00E-33,31.91,11070,NZ_FUWX01000031.1
"Cetobacterium ceti strain ATCC 700028, whole genome shotgun sequence",Cetobacterium ceti,113,113,91%,1.00E-27,30.65,6528,NZ_FUWX01000041.1
"Fusobacterium naviforme strain ATCC 25832 EI53DRAFT_scaffold00017.17, whole genome shotgun sequence",Fusobacterium naviforme,112,112,90%,3.00E-27,32.7,23509,NZ_PYGH01000017.1
"Cetobacterium somerae ATCC BAA-474 Scaffold520, whole genome shotgun sequence",Cetobacterium somerae ATCC BAA-474,92,92,90%,2.00E-20,30.62,4870,NZ_KI518189.1
"Sebaldella termitidis strain NCTC11300, whole genome shotgun sequence",Sebaldella termitidis,80.5,144,90%,2.00E-16,28.35,4418796,NZ_UGYG01000001.1
"Leptotrichia hongkongensis strain JMUB5056 plasmid pJMUB5056, complete sequence",Leptotrichia hongkongensis,76.6,76.6,90%,4.00E-15,27.97,23107,NZ_AP019847.1
"Leptotrichia hofstadii DSM 21651 G402DRAFT_scaffold00017.17_C, whole genome shotgun sequence",Leptotrichia hofstadii DSM 21651,74.7,74.7,90%,2.00E-14,27.2,2910,NZ_AUAY01000011.1
"Leptotrichia wadei strain JCM16777 plasmid pJCM16777-1, complete sequence",Leptotrichia wadei,64.7,64.7,90%,5.00E-11,21.43,32202,NZ_AP019830.1
"Leptotrichia hofstadii DSM 21651 G402DRAFT_scaffold00014.14_C, whole genome shotgun sequence",Leptotrichia hofstadii DSM 21651,63.2,63.2,90%,1.00E-10,20.68,7817,NZ_AUAY01000008.1
"Leptotrichia hofstadii DSM 21651 G402DRAFT_scaffold00005.5_C, whole genome shotgun sequence",Leptotrichia hofstadii DSM 21651,57.8,57.8,89%,7.00E-09,21.01,182026,NZ_AUAY01000019.1
