Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Pyrinomonas methylaliphatogenes strain K22, whole genome shotgun sequence",Pyrinomonas methylaliphatogenes,142,142,80%,4.00E-37,36.29,1063214,NZ_CBXV010000008.1
"Acidipila rosea strain DSM 103428 Ga0215723_103, whole genome shotgun sequence",Acidipila rosea,140,140,81%,2.00E-36,32.67,530321,NZ_SMGK01000003.1
"Acidisarcina polymorpha strain SBC82 chromosome, complete genome",Acidisarcina polymorpha,135,135,81%,2.00E-34,32.67,7112011,NZ_CP030840.1
"Chloracidobacterium thermophilum B chromosome 1, complete sequence",Chloracidobacterium thermophilum B,134,314,81%,2.00E-34,34.68,2683362,NC_016024.1
"Silvibacterium bohemicum strain S15 contig_12, whole genome shotgun sequence",Silvibacterium bohemicum,134,134,80%,3.00E-34,32.26,883337,NZ_LBHJ01000012.1
"Granulicella mallensis MP5ACTX8, complete sequence",Granulicella mallensis MP5ACTX8,133,133,81%,8.00E-34,33.07,6237577,NC_016631.1
"Occallatibacter savannae strain AB23 2556798640, whole genome shotgun sequence",Occallatibacter savannae,131,131,80%,4.00E-33,31.17,992511,NZ_QFFY01000002.1
"Granulicella aggregans strain M8UP14 Ga0401177_04, whole genome shotgun sequence",Granulicella aggregans,130,130,81%,7.00E-33,32.67,844690,NZ_JACHIP010000004.1
"Acidobacterium ailaaui strain PMMR2 N655DRAFT_scf7180000000002_quiver.1_C, whole genome shotgun sequence",Acidobacterium ailaaui,129,129,81%,2.00E-32,33.86,3686523,NZ_JIAL01000001.1
"Terracidiphilus gabretensis strain S55 contig_10, whole genome shotgun sequence",Terracidiphilus gabretensis,129,129,79%,2.00E-32,31.43,2394573,NZ_LAIJ01000009.1
"Terriglobus albidus strain ORNL chromosome, complete genome",Terriglobus albidus,129,129,81%,3.00E-32,31.08,6405582,NZ_CP042806.1
"Acidobacterium capsulatum ATCC 51196, complete sequence",Acidobacterium capsulatum ATCC 51196,128,180,81%,3.00E-32,31.47,4127356,NC_012483.1
"Luteitalea pratensis strain DSM 100886, partial sequence",Luteitalea pratensis,128,223,80%,3.00E-32,33.87,7480314,NZ_CP015136.1
"Granulicella tundricola MP5ACTX9, complete sequence",Granulicella tundricola MP5ACTX9,127,127,81%,7.00E-32,32.16,4309153,NC_015064.1
"Edaphobacter dinghuensis strain CGMCC 1.12997 sequence1, whole genome shotgun sequence",Edaphobacter dinghuensis,127,127,81%,1.00E-31,33.47,1444627,NZ_BMGT01000001.1
"Edaphobacter acidisoli strain CGMCC 1.15447 sequence1, whole genome shotgun sequence",Edaphobacter acidisoli,126,126,81%,1.00E-31,31.76,3211950,NZ_BMJB01000001.1
"Acidipila dinghuensis strain DHOF10 scaffold1, whole genome shotgun sequence",Acidipila dinghuensis,126,194,82%,2.00E-31,32.27,2400806,NZ_SDMK01000001.1
"Paludibaculum fermentans strain P105 chromosome, complete genome",Paludibaculum fermentans,125,173,80%,3.00E-31,31.85,9476802,NZ_CP063849.1
"Terriglobus saanensis SP1PR4, complete sequence",Terriglobus saanensis SP1PR4,124,124,81%,1.00E-30,31.08,5095226,NC_014963.1
"Bryocella elongata strain DSM 22489, whole genome shotgun sequence",Bryocella elongata,123,123,80%,2.00E-30,31.45,661247,NZ_FNVA01000003.1
"Edaphobacter aggregans DSM 19364 Q363DRAFT_scaffold00001.1_C, whole genome shotgun sequence",Edaphobacter aggregans DSM 19364,121,121,81%,8.00E-30,31.37,612934,NZ_JQKI01000001.1
"Edaphobacter modestus strain DSM 18101 Ga0242575_11, whole genome shotgun sequence",Edaphobacter modestus,120,175,81%,2.00E-29,31.37,6121180,NZ_SHKW01000001.1
"Terriglobus roseus DSM 18391, complete sequence",Terriglobus roseus DSM 18391,120,120,81%,2.00E-29,32.27,5227858,NC_018014.1
"Granulicella pectinivorans strain DSM 21001, whole genome shotgun sequence",Granulicella pectinivorans,118,118,81%,9.00E-29,31.37,4439413,NZ_FOZL01000001.1
"Granulicella rosea strain DSM 18704, whole genome shotgun sequence",Granulicella rosea,117,117,80%,3.00E-28,30.95,1463594,NZ_FZOU01000001.1
"Thermoanaerobaculum aquaticum strain MP-01 contig_2, whole genome shotgun sequence",Thermoanaerobaculum aquaticum,116,116,81%,4.00E-28,31.87,234968,NZ_JMFG01000002.1
"Granulicella arctica strain X4EP2 Ga0401179_01, whole genome shotgun sequence",Granulicella arctica,116,116,81%,5.00E-28,32.16,2159447,NZ_JACCCW010000001.1
"Edaphobacter lichenicola strain M8UP15 Ga0401174_01, whole genome shotgun sequence",Edaphobacter lichenicola,115,115,81%,7.00E-28,31.37,4696945,NZ_JACHEA010000001.1
"Bryobacter aggregatus MPL3 M017DRAFT_scf7180000000020_quiver.3_C, whole genome shotgun sequence",Bryobacter aggregatus MPL3,114,114,80%,2.00E-27,31.35,4257809,NZ_JNIF01000003.1
"Granulicella sibirica strain AF10 NODE_1_length_2613794_cov_21.664496, whole genome shotgun sequence",Granulicella sibirica,112,112,81%,8.00E-27,31.76,2613794,NZ_RDSM01000001.1
"Holophaga foetida DSM 6591 HolfoDRAFT_HFA.1, whole genome shotgun sequence",Holophaga foetida DSM 6591,112,112,81%,8.00E-27,31.2,3443192,NZ_KI912268.1
"Geothrix fermentans DSM 14018 G398DRAFT_scaffold00004.4_C, whole genome shotgun sequence",Geothrix fermentans DSM 14018,112,112,83%,1.00E-26,31.13,194317,NZ_AUAU01000007.1
"Thermoanaerobaculum aquaticum strain MP-01 contig_15, whole genome shotgun sequence",Thermoanaerobaculum aquaticum,97.1,97.1,83%,2.00E-21,27.73,129099,NZ_JMFG01000015.1
"Granulicella rosea strain DSM 18704, whole genome shotgun sequence",Granulicella rosea,69.3,69.3,68%,4.00E-12,30,55215,NZ_FZOU01000015.1
"Pyrinomonas methylaliphatogenes strain K22, whole genome shotgun sequence",Pyrinomonas methylaliphatogenes,68.6,130,60%,6.00E-12,28.12,258097,NZ_CBXV010000003.1
"Granulicella rosea strain DSM 18704, whole genome shotgun sequence",Granulicella rosea,59.3,59.3,17%,6.00E-09,55.56,335556,NZ_FZOU01000006.1
"Chloracidobacterium thermophilum B chromosome 2, complete sequence",Chloracidobacterium thermophilum B,55.5,55.5,15%,1.00E-07,54.17,1012010,NC_016025.1
"Granulicella sibirica strain AF10 NODE_5_length_204944_cov_8.535951, whole genome shotgun sequence",Granulicella sibirica,49.3,49.3,17%,1.00E-05,45.28,204944,NZ_RDSM01000005.1
"Edaphobacter aggregans DSM 19364 Q363DRAFT_scaffold00206.206_C, whole genome shotgun sequence",Edaphobacter aggregans DSM 19364,48.5,48.5,14%,2.00E-05,47.73,6492,NZ_JQKI01000217.1
"Edaphobacter modestus strain DSM 18101 Ga0242575_17, whole genome shotgun sequence",Edaphobacter modestus,47.8,47.8,14%,3.00E-05,47.73,313502,NZ_SHKW01000007.1
,,,,,,,,
,,,,,,,,
,,,,,,,,
"		",,,,,,,,
