Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Salinibacter altiplanensis strain AN15 NODE_10_length_13573_cov_104.672585, whole genome shotgun sequence",Salinibacter altiplanensis,80.9,80.9,72%,5.00E-15,34.07,13623,NZ_NCQY01000007.1
"Salinibacter altiplanensis strain AN15 NODE_74_length_7578_cov_256.447754, whole genome shotgun sequence",Salinibacter altiplanensis,69.7,69.7,72%,3.00E-11,32.39,7628,NZ_NCQY01000029.1
"Siphonobacter curvatus strain HR-U HR-U_9, whole genome shotgun sequence",Siphonobacter curvatus,67.4,67.4,79%,2.00E-10,26.67,140410,NZ_PTRA01000009.1
"Salinibacter altiplanensis strain AN15 NODE_7_length_16222_cov_149.665634, whole genome shotgun sequence",Salinibacter altiplanensis,65.5,65.5,72%,8.00E-10,29.55,16272,NZ_NCQY01000005.1
"Arcicella aurantiaca strain DSM 22214 LV89DRAFT_scaffold00057.57, whole genome shotgun sequence",Arcicella aurantiaca,62.8,62.8,66%,6.00E-09,26.38,7632,NZ_QGGO01000057.1
"Runella slithyformis DSM 19594 plasmid pRUNSL03, complete sequence",Runella slithyformis DSM 19594,61.6,61.6,67%,2.00E-08,25.61,66926,NC_015694.1
"Runella limosa DSM 17973 K339DRAFT_scaffold00034.34_C, whole genome shotgun sequence",Runella limosa DSM 17973,60.8,60.8,67%,3.00E-08,24.39,34173,NZ_AXVJ01000069.1
"Longibacter salinarum strain KCTC 52045 Longibacter_salinarum_contig_00015, whole genome shotgun sequence",Longibacter salinarum,56.6,56.6,66%,9.00E-07,30.49,15076,NZ_PDEQ01000015.1
"Dyadobacter flavalbus strain NS28 NODE_31, whole genome shotgun sequence",Dyadobacter flavalbus,55.1,55.1,80%,2.00E-06,26.13,36242,NZ_VBSN01000040.1
"Arcicella aurantiaca strain DSM 22214 LV89DRAFT_scaffold00053.53, whole genome shotgun sequence",Arcicella aurantiaca,55.1,55.1,49%,2.00E-06,32.26,12311,NZ_QGGO01000053.1
"Spirosoma endophyticum strain DSM 26130, whole genome shotgun sequence",Spirosoma endophyticum,54.7,54.7,67%,3.00E-06,25,61197,NZ_FOLQ01000025.1
