Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Muribaculum intestinale strain YL27 chromosome, complete genome",Muribaculum intestinale,143,143,81%,1.00E-35,32.67,3306457,NZ_CP015402.2
"Paramuribaculum intestinale strain DSM 100764 seq16, whole genome shotgun sequence",Paramuribaculum intestinale,142,142,81%,3.00E-35,32.27,69135,NZ_PUBV01000016.1
"Sanguibacteroides justesenii strain OUH 969102 NODE_8_length_114824_cov_30.6145, whole genome shotgun sequence",Sanguibacteroides justesenii,141,141,81%,5.00E-35,34.66,114824,NZ_QJPL01000008.1
"Duncaniella freteri strain TLL-A3 contig2, whole genome shotgun sequence",Duncaniella freteri,140,140,81%,6.00E-35,32.27,1120360,NZ_SJSA01000002.1
Duncaniella dubosii strain H5 chromosome,Duncaniella dubosii,139,139,81%,2.00E-34,32.27,3598157,NZ_CP039396.1
"Duncaniella muris strain DSM 103720 seq6, whole genome shotgun sequence",Duncaniella muris,139,139,81%,2.00E-34,31.47,109279,NZ_PUEC01000006.1
"Algoriphagus aquaeductus strain T4 Ga0180997_104, whole genome shotgun sequence",Algoriphagus aquaeductus,139,139,81%,3.00E-34,31.76,398587,NZ_QKTX01000004.1
"Cyclobacterium marinum DSM 745, complete sequence",Cyclobacterium marinum DSM 745,138,138,81%,5.00E-34,30.68,6221273,NC_015914.1
"Algoriphagus sanaruensis strain M8-2, complete genome",Algoriphagus sanaruensis,138,138,81%,5.00E-34,32.16,3882610,NZ_CP012836.1
"Roseivirga spongicola strain UST030701-084 contig_2, whole genome shotgun sequence",Roseivirga spongicola,138,138,81%,6.00E-34,29.48,675902,NZ_LRPC01000012.1
"Roseivirga thermotolerans strain CGMCC 1.15111 sequence03, whole genome shotgun sequence",Roseivirga thermotolerans,138,138,81%,7.00E-34,29.88,848337,NZ_BNAG01000003.1
"Butyricimonas paravirosa strain JCM 18677 sequence06, whole genome shotgun sequence",Butyricimonas paravirosa,137,137,81%,9.00E-34,33.47,323018,NZ_BMPA01000006.1
"Butyricimonas faecihominis strain DSM 105721 Ga0373283_01, whole genome shotgun sequence",Butyricimonas faecihominis,137,137,81%,9.00E-34,33.47,980536,NZ_JACIES010000001.1
"Butyricimonas virosa isolate MGYG-HGUT-00203, whole genome shotgun sequence",Butyricimonas virosa,137,137,81%,2.00E-33,33.07,194997,NZ_CABJDM010000006.1
"Lunatimonas lonarensis strain AK24 S14_contig_12, whole genome shotgun sequence",Lunatimonas lonarensis,136,136,81%,2.00E-33,31.37,190553,NZ_AQHR01000040.1
"Butyricimonas faecalis strain H184 chromosome, complete genome",Butyricimonas faecalis,136,136,81%,2.00E-33,33.47,4925405,NZ_CP032819.1
"Thermonema lapsum strain DSM 5718 Ga0373292_01, whole genome shotgun sequence",Thermonema lapsum,136,136,81%,2.00E-33,31.08,1231749,NZ_JAASRN010000001.1
"Odoribacter laneus YIT 12061 supercont1.1, whole genome shotgun sequence",Odoribacter laneus YIT 12061,136,136,81%,3.00E-33,34.92,2957506,NZ_JH594596.1
"Cyclobacterium qasimii strain NBRC 106168 sequence15, whole genome shotgun sequence",Cyclobacterium qasimii,136,136,81%,3.00E-33,29.88,286754,NZ_BJYV01000015.1
"Salinimicrobium marinum strain KCTC 12719 sequence12, whole genome shotgun sequence",Salinimicrobium marinum,135,135,81%,3.00E-33,31.87,122859,NZ_BMXB01000012.1
"Algoriphagus mannitolivorans DSM 15301 G458DRAFT_scaffold00010.10, whole genome shotgun sequence",Algoriphagus mannitolivorans DSM 15301,135,135,81%,3.00E-33,29.48,145540,NZ_KE386903.1
"Thermonema rossianum DSM 10300 K384DRAFT_scaffold00006.6_C, whole genome shotgun sequence",Thermonema rossianum DSM 10300,135,135,81%,5.00E-33,31.08,196246,NZ_AUGC01000007.1
"Raineya orbicola strain SPSPC-11 Contig0024, whole genome shotgun sequence",Raineya orbicola,135,135,81%,5.00E-33,29.48,58250,NZ_NKXO01000024.1
"Cellulophaga fucicola strain DSM 24786, whole genome shotgun sequence",Cellulophaga fucicola,135,135,81%,5.00E-33,31.47,1401497,NZ_FPIY01000001.1
"Bizionia arctica strain CGMCC 1.12751 sequence04, whole genome shotgun sequence",Bizionia arctica,135,135,81%,6.00E-33,31.47,473603,NZ_BMFQ01000004.1
"Prolixibacter denitrificans strain MIC1-1 sequence1, whole genome shotgun sequence",Prolixibacter denitrificans,135,135,81%,6.00E-33,31.87,4769871,NZ_BLAU01000001.1
"Psychroflexus planctonicus strain CGMCC 1.12931 sequence02, whole genome shotgun sequence",Psychroflexus planctonicus,135,135,81%,6.00E-33,31.87,325753,NZ_BMGM01000002.1
"Flavobacterium succinicans strain DSM 4002, whole genome shotgun sequence",Flavobacterium succinicans,135,135,80%,8.00E-33,32.66,172227,NZ_FOUT01000008.1
"Algoriphagus iocasae strain DSM 102044 Ga0373360_05, whole genome shotgun sequence",Algoriphagus iocasae,134,134,81%,8.00E-33,30.28,217193,NZ_JACIJO010000005.1
"Butyricimonas synergistica DSM 23225 A3CYDRAFT_scaffold_5.6, whole genome shotgun sequence",Butyricimonas synergistica DSM 23225,134,134,81%,8.00E-33,33.07,192013,NZ_KB903370.1
"Maribacter cobaltidurans strain B1 chromosome, complete genome",Maribacter cobaltidurans,134,134,81%,8.00E-33,32.27,4639957,NZ_CP022957.1
"Cyclobacterium xiamenense strain IBRC-M 10761, whole genome shotgun sequence",Cyclobacterium xiamenense,134,134,81%,9.00E-33,29.88,1271258,NZ_FNZH01000001.1
"Prolixibacter bellariivorans strain JCM 13498 sequence1, whole genome shotgun sequence",Prolixibacter bellariivorans,134,134,81%,9.00E-33,31.87,5189911,NZ_BLAX01000001.1
"Cellulophaga omnivescoria strain W5C W5C2.fa1, whole genome shotgun sequence",Cellulophaga omnivescoria,134,134,81%,9.00E-33,31.47,231095,NZ_MDDP01000001.1
"Cellulophaga lytica DSM 7489, complete sequence",Cellulophaga lytica DSM 7489,134,134,81%,9.00E-33,31.47,3765936,NC_015167.1
"Gelidibacter japonicus strain Bio7-1 Scaffold2, whole genome shotgun sequence",Gelidibacter japonicus,134,134,81%,1.00E-32,32.27,502874,NZ_BJKB01000002.1
"Pontibacter actiniarum strain DSM 19842 chromosome, complete genome",Pontibacter actiniarum,134,228,83%,1.00E-32,32.27,4770770,NZ_CP021235.1
"Cecembia lonarensis LW9 contig000038, whole genome shotgun sequence",Cecembia lonarensis LW9,134,134,81%,1.00E-32,31.87,38874,NZ_AMGM01000038.1
"Lacinutrix algicola strain AKS293 ctg7180000000527, whole genome shotgun sequence",Lacinutrix algicola,134,134,81%,1.00E-32,31.08,86912,NZ_LIQH01000041.1
"Owenweeksia hongkongensis DSM 17368, complete sequence",Owenweeksia hongkongensis DSM 17368,134,134,81%,1.00E-32,31.47,4000057,NC_016599.1
"Nafulsella turpanensis ZLM-10 contig0037, whole genome shotgun sequence",Nafulsella turpanensis ZLM-10,134,134,81%,1.00E-32,30.28,88075,NZ_ANNU01000037.1
"Pontibacter oryzae strain KIRAN contig2, whole genome shotgun sequence",Pontibacter oryzae,134,230,83%,1.00E-32,32.27,891119,NZ_QWGE01000002.1
"Odoribacter splanchnicus strain NCTC10825 chromosome 1, complete sequence",Odoribacter splanchnicus,134,244,81%,1.00E-32,33.6,4392177,NZ_LT906459.1
"Coprobacter fastidiosus NSB1 Ga0131254_113, whole genome shotgun sequence",Coprobacter fastidiosus NSB1,134,134,81%,1.00E-32,31.87,62154,NZ_RBXN01000013.1
"Flavobacterium gilvum strain EM1308 chromosome, complete genome",Flavobacterium gilvum,134,134,80%,1.00E-32,31.85,4402594,NZ_CP017479.1
