Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Tibeticola sediminis strain DSM 101684 Ga0244725_102, whole genome shotgun sequence",Tibeticola sediminis,230,230,75%,2.00E-65,44.98,421623,NZ_RKQL01000002.1
"Thiomonas bhubaneswarensis strain DSM 18181 DSM_18181_04, whole genome shotgun sequence",Thiomonas bhubaneswarensis,222,222,74%,1.00E-62,47.17,293169,NZ_LIPV01000004.1
"Thiomonas arsenitoxydans, complete sequence",Thiomonas arsenitoxydans,222,222,75%,2.00E-62,46.27,3738778,NC_014145.1
"Thiomonas intermedia strain ATCC 15466 chromosome, complete genome",Thiomonas intermedia,220,220,75%,7.00E-62,46.27,3301026,NZ_CP020046.1
"Sulfurirhabdus autotrophica strain DSM 100309 Ga0244719_101, whole genome shotgun sequence",Sulfurirhabdus autotrophica,180,180,69%,4.00E-48,39.02,884013,NZ_SMCO01000001.1
"Sulfurimicrobium lacus strain skT11 chromosome, complete genome",Sulfurimicrobium lacus,175,175,69%,2.00E-46,42.28,3826324,NZ_AP022853.1
"Limnohabitans curvus strain MWH-C5 LimA-MWH-C5-C1, whole genome shotgun sequence",Limnohabitans curvus,167,167,69%,2.00E-43,41.06,2870433,NZ_NESP01000001.1
"Sulfuricella denitrificans skB26, complete sequence",Sulfuricella denitrificans skB26,166,166,69%,2.00E-43,36.99,3130594,NC_022357.1
"Nitrosomonas cryotolerans ATCC 49181, whole genome shotgun sequence",Nitrosomonas cryotolerans ATCC 49181,157,157,69%,3.00E-40,36.99,2871606,NZ_FSRO01000001.1
"Nitrosomonas europaea ATCC 19718, complete sequence",Nitrosomonas europaea ATCC 19718,147,147,69%,9.00E-37,36.59,2812094,NC_004757.1
"Rhodoferax bucti strain GSA243-2 Scaffold6, whole genome shotgun sequence",Rhodoferax bucti,146,146,69%,1.00E-36,37.7,175749,NZ_VAHD01000006.1
"Nitrosomonas ureae strain Nm10, complete genome",Nitrosomonas ureae,144,144,69%,7.00E-36,34.55,3307820,NZ_CP013341.1
"Nitrosomonas halophila strain Nm1, whole genome shotgun sequence",Nitrosomonas halophila,144,144,69%,1.00E-35,34.96,23052,NZ_FNOY01000046.1
