Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
ParA family protein [Halothiobacillus neapolitanus],Halothiobacillus neapolitanus,540,540,100%,0,100,267,WP_012824528.1
ParA family protein [Methylovorus glucosotrophus],Methylovorus glucosotrophus,148,148,88%,2.00E-40,34.04,246,WP_012777719.1
ParA family protein [Cupriavidus basilensis],Cupriavidus basilensis,142,142,92%,3.00E-38,35.6,246,WP_150986958.1
ParA family protein [Paraburkholderia sprentiae],Paraburkholderia sprentiae,130,130,92%,9.00E-34,33.6,249,WP_027193553.1
ParA family protein [Cupriavidus campinensis],Cupriavidus campinensis,128,128,87%,6.00E-33,34.47,248,WP_144200140.1
ParA family protein [Paraburkholderia sacchari],Paraburkholderia sacchari,123,123,92%,5.00E-31,34.8,249,WP_035534248.1
ParA family protein [Cupriavidus nantongensis],Cupriavidus nantongensis,119,119,85%,3.00E-29,34.73,263,WP_062798860.1
ParA family protein [Acidithiobacillus ferrivorans],Acidithiobacillus ferrivorans,112,112,92%,1.00E-26,34.27,272,WP_014029267.1
MULTISPECIES: ParA family protein [Achromobacter],Achromobacter,110,110,87%,4.00E-26,30.83,250,WP_054473477.1
ParA family protein [Pseudomonas saponiphila],Pseudomonas saponiphila,105,105,86%,2.00E-23,31.09,307,WP_092320770.1
ParA family protein [Oscillibacter ruminantium],Oscillibacter ruminantium,103,103,75%,3.00E-23,34.74,258,WP_040658664.1
ParA family protein [Oscillibacter valericigenes],Oscillibacter valericigenes,102,102,75%,7.00E-23,34.74,259,WP_014116479.1
AAA family ATPase [Sphingomonas vulcanisoli],Sphingomonas vulcanisoli,99,99,87%,1.00E-21,34.45,253,WP_167074870.1
MULTISPECIES: ParA family protein [Gammaproteobacteria],Gammaproteobacteria,97.1,97.1,87%,6.00E-21,30.77,250,WP_012850378.1
ParA family protein [Roseburia hominis],Roseburia hominis,95.9,95.9,85%,2.00E-20,31.78,252,WP_014081344.1
ParA family protein [Acidithiobacillus thiooxidans],Acidithiobacillus thiooxidans,95.1,95.1,69%,7.00E-20,32.81,281,WP_081577653.1
ParA family protein [Acidipropionibacterium jensenii],Acidipropionibacterium jensenii,95.5,95.5,83%,8.00E-20,32.31,333,WP_138680068.1
MULTISPECIES: ParA family protein [Methylorubrum],Methylorubrum,94,94,87%,1.00E-19,31.02,252,WP_063987035.1
ParA family protein [Silanimonas lenta],Silanimonas lenta,93.6,93.6,95%,1.00E-19,32.95,252,WP_051282849.1
AAA family ATPase [Defluviitalea raffinosedens],Defluviitalea raffinosedens,93.6,93.6,92%,1.00E-19,30,255,WP_158741499.1
ParA family protein [Lactobacillus gallinarum],Lactobacillus gallinarum,93.2,93.2,81%,2.00E-19,29.39,260,WP_087236481.1
ParA family protein [Marinobacterium profundum],Marinobacterium profundum,93.2,93.2,87%,2.00E-19,30.08,250,WP_067297175.1
AAA family ATPase [Sphingomonas prati],Sphingomonas prati,92.8,92.8,87%,2.00E-19,31.71,258,WP_157174876.1
ParA family protein [Roseburia inulinivorans],Roseburia inulinivorans,92.8,92.8,85%,3.00E-19,31.78,255,WP_021922606.1
ParA family protein [Tissierella creatinini],Tissierella creatinini,92.8,92.8,85%,3.00E-19,29.66,254,WP_136714017.1
ParA family protein [Malonomonas rubra],Malonomonas rubra,92.4,92.4,87%,3.00E-19,29.84,250,WP_072909371.1
ParA family protein [Fontimonas thermophila],Fontimonas thermophila,92.4,92.4,91%,4.00E-19,28.79,257,WP_091531892.1
ParA family protein [Angelakisella massiliensis],Angelakisella massiliensis,92,92,89%,5.00E-19,31.82,257,WP_071431663.1
ParA family protein [Phocoenobacter uteri],Phocoenobacter uteri,91.7,91.7,87%,6.00E-19,27.43,248,WP_115316498.1
ParA family protein [Thermoflexus hugenholtzii],Thermoflexus hugenholtzii,92,92,92%,6.00E-19,33.46,266,WP_088572058.1
ParA family protein [Poseidonocella pacifica],Poseidonocella pacifica,92,92,71%,8.00E-19,32.37,274,WP_092065429.1
ParA family protein [Acidipropionibacterium thoenii],Acidipropionibacterium thoenii,92.8,92.8,83%,8.00E-19,32.75,327,WP_051232073.1
ParA family protein [Thauera terpenica],Thauera terpenica,91.3,91.3,92%,9.00E-19,29.67,254,WP_021250593.1
ParA family protein [Xanthomonas maliensis],Xanthomonas maliensis,91.3,91.3,65%,1.00E-18,37.97,265,WP_022971171.1
ParA family protein [Rosistilla carotiformis],Rosistilla carotiformis,90.9,90.9,70%,1.00E-18,34.5,248,WP_145097884.1
ParA family protein [Phenylobacterium zucineum],Phenylobacterium zucineum,90.9,90.9,87%,1.00E-18,33.73,254,WP_012520561.1
ParA family protein [Pseudoruminococcus massiliensis],Pseudoruminococcus massiliensis,90.9,90.9,92%,1.00E-18,32.03,254,WP_106763877.1
ParA family protein [Gudongella oleilytica],Gudongella oleilytica,90.9,90.9,92%,1.00E-18,29.18,254,WP_128426929.1
ParA family protein [Acidaminococcus fermentans],Acidaminococcus fermentans,90.5,90.5,85%,2.00E-18,31.36,254,WP_012939394.1
ParA family protein [Caproiciproducens galactitolivorans],Caproiciproducens galactitolivorans,90.5,90.5,86%,2.00E-18,32.38,255,WP_135658317.1
ParA family protein [Vibrio rotiferianus],Vibrio rotiferianus,90.5,90.5,86%,2.00E-18,28.69,258,WP_038884864.1
AAA family ATPase [Alienimonas chondri],Alienimonas chondri,90.5,90.5,92%,2.00E-18,28.4,270,WP_171186544.1
ParA family protein [Xanthomonas prunicola],Xanthomonas prunicola,90.5,90.5,65%,2.00E-18,37.97,265,WP_101364379.1
ParA family protein [Acidithiobacillus albertensis],Acidithiobacillus albertensis,90.1,90.1,86%,3.00E-18,32.49,256,WP_075324061.1
MULTISPECIES: ParA family protein [Dyella],Dyella,90.9,90.9,65%,3.00E-18,38.59,282,WP_017461715.1
ParA family protein [Xanthomonas axonopodis],Xanthomonas axonopodis,90.5,90.5,62%,3.00E-18,38.64,265,WP_042824051.1
ParA family protein [Roseburia intestinalis],Roseburia intestinalis,90.1,90.1,85%,3.00E-18,30.93,255,WP_022113200.1
ParA family protein [Fertoeibacter niger],Fertoeibacter niger,90.1,90.1,85%,3.00E-18,32.11,275,WP_152826804.1
MULTISPECIES: ParA family protein [Xanthomonas],Xanthomonas,90.1,90.1,62%,4.00E-18,38.2,265,WP_064507740.1
ParA family protein [Bosea lupini],Bosea lupini,89.7,89.7,87%,4.00E-18,31.84,247,WP_091842632.1
ParA family protein [Dialister invisus],Dialister invisus,89.7,89.7,92%,4.00E-18,30.22,252,WP_007070274.1
ParA family protein [Sterolibacterium denitrificans],Sterolibacterium denitrificans,90.1,90.1,94%,4.00E-18,29.43,273,WP_067170268.1
ParA family protein [Xanthomonas campestris],Xanthomonas campestris,89.7,89.7,62%,4.00E-18,38.2,265,WP_012439448.1
ParA family protein [Rosistilla oblonga],Rosistilla oblonga,89.4,89.4,70%,4.00E-18,34,248,WP_145124204.1
ParA family protein [Xanthomonas bromi],Xanthomonas bromi,89.7,89.7,62%,5.00E-18,38.2,265,WP_065470085.1
MULTISPECIES: ParA family protein [Xanthomonas],Xanthomonas,89.7,89.7,62%,5.00E-18,38.2,265,WP_039413394.1
ParA family protein [Duganella radicis],Duganella radicis,89.4,89.4,92%,5.00E-18,28.24,256,WP_155463141.1
AAA family ATPase [Methylomonas lenta],Methylomonas lenta,89.4,89.4,92%,5.00E-18,29.13,255,WP_198159409.1
MULTISPECIES: ParA family protein [Acidaminococcus],Acidaminococcus,89.4,89.4,92%,5.00E-18,29.69,254,WP_105326636.1
MULTISPECIES: ParA family protein [Xanthomonas],Xanthomonas,89.4,89.4,62%,5.00E-18,38.2,265,WP_029820813.1
MULTISPECIES: ParA family protein [Xanthomonas],Xanthomonas,89.4,89.4,62%,5.00E-18,38.2,265,WP_005914407.1
ParA family protein [Xanthomonas melonis],Xanthomonas melonis,89.4,89.4,62%,6.00E-18,38.2,265,WP_104588895.1
ParA family protein [Xanthomonas vesicatoria],Xanthomonas vesicatoria,89.4,89.4,62%,6.00E-18,38.2,265,WP_005995574.1
MULTISPECIES: ParA family protein [Xanthomonas],Xanthomonas,89.4,89.4,62%,6.00E-18,38.2,265,WP_104584936.1
ParA family protein [Xanthomonas nasturtii],Xanthomonas nasturtii,89.4,89.4,62%,6.00E-18,38.2,265,WP_064632635.1
MULTISPECIES: ParA family protein [Xanthomonas],Xanthomonas,89.4,89.4,62%,6.00E-18,38.2,265,WP_006448973.1
ParA family protein [Xanthomonas dyei],Xanthomonas dyei,89.4,89.4,62%,6.00E-18,38.2,265,WP_104617279.1
MULTISPECIES: ParA family protein [Xanthomonas],Xanthomonas,89.4,89.4,62%,6.00E-18,38.2,265,WP_016901957.1
ParA family protein [Xanthomonas cucurbitae],Xanthomonas cucurbitae,89.4,89.4,62%,6.00E-18,38.2,265,WP_104605531.1
ParA family protein [Xanthomonas pisi],Xanthomonas pisi,89.4,89.4,62%,6.00E-18,38.2,265,WP_046964673.1
ParA family protein [Vibrio xiamenensis],Vibrio xiamenensis,89.4,89.4,86%,6.00E-18,29.27,259,WP_093277152.1
ParA family protein [Xanthomonas vasicola],Xanthomonas vasicola,89.4,89.4,62%,6.00E-18,38.2,265,WP_010374718.1
ParA family protein [Vibrio ostreicida],Vibrio ostreicida,89.4,89.4,86%,6.00E-18,28.63,258,WP_076585428.1
ParA family protein [Balneatrix alpica],Balneatrix alpica,89,89,92%,7.00E-18,30.23,251,WP_027314235.1
ParA family protein [Saccharothrix australiensis],Saccharothrix australiensis,89.4,89.4,85%,7.00E-18,29.8,280,WP_170212015.1
ParA family protein [Veillonella rodentium],Veillonella rodentium,89,89,92%,7.00E-18,31.52,256,WP_095066664.1
ParA family protein [Pseudooceanicola onchidii],Pseudooceanicola onchidii,89.4,89.4,85%,7.00E-18,33.2,269,WP_136636097.1
ParA family protein [Chromobacterium paludis],Chromobacterium paludis,89,89,91%,8.00E-18,28.29,258,WP_149298203.1
ParA family protein [Pseudomonas duriflava],Pseudomonas duriflava,89,89,87%,8.00E-18,29.34,254,WP_145146092.1
ParA family protein [Gilvimarinus chinensis],Gilvimarinus chinensis,89,89,89%,8.00E-18,26.75,260,WP_020211048.1
ParA family protein [Rhodobacter xinxiangensis],Rhodobacter xinxiangensis,89,89,92%,8.00E-18,30.53,272,WP_136683092.1
ParA family protein [Aliiroseovarius halocynthiae],Aliiroseovarius halocynthiae,89,89,85%,8.00E-18,33.89,263,WP_142854258.1
ParA family protein [Vibrio alfacsensis],Vibrio alfacsensis,89,89,86%,9.00E-18,28.69,258,WP_128810447.1
ParA family protein [Eubacterium plexicaudatum],Eubacterium plexicaudatum,88.6,88.6,92%,9.00E-18,27.73,255,WP_004058270.1
ParA family protein [Dongia mobilis],Dongia mobilis,88.6,88.6,58%,1.00E-17,37.42,260,WP_133613822.1
AAA family ATPase [Pelagibius litoralis],Pelagibius litoralis,89,89,75%,1.00E-17,35.75,271,WP_205944892.1
ParA family protein [Aquimonas voraii],Aquimonas voraii,88.2,88.2,92%,1.00E-17,32.4,250,WP_176764254.1
AAA family ATPase [Heliobacterium chlorum],Heliobacterium chlorum,88.2,88.2,85%,1.00E-17,34.03,253,WP_188040884.1
MULTISPECIES: ParA family protein [Vibrio],Vibrio,88.2,88.2,86%,1.00E-17,29.39,259,WP_038872059.1
MULTISPECIES: ParA family protein [Eubacteriales],Eubacteriales,88.2,88.2,85%,1.00E-17,29.88,256,WP_007862599.1
ParA family protein [Acholeplasma axanthum],Acholeplasma axanthum,88.2,88.2,80%,1.00E-17,30.51,259,WP_026390738.1
ParA family protein [Shuttleworthia satelles],Shuttleworthia satelles,88.2,88.2,92%,1.00E-17,29.3,256,WP_006906593.1
ParA family protein [Paracoccus ravus],Paracoccus ravus,88.2,88.2,85%,1.00E-17,31.06,258,WP_134680902.1
ParA family protein [Defluviitalea phaphyphila],Defluviitalea phaphyphila,88.2,88.2,92%,1.00E-17,30.5,255,WP_058486387.1
MULTISPECIES: ParA family protein [Veillonella],Veillonella,88.2,88.2,92%,1.00E-17,31.52,256,WP_038117574.1
ParA family protein [Acholeplasma modicum],Acholeplasma modicum,88.2,88.2,92%,2.00E-17,31.3,259,WP_026392029.1
ParA family protein [Pseudobutyrivibrio xylanivorans],Pseudobutyrivibrio xylanivorans,88.2,88.2,85%,2.00E-17,30.38,256,WP_072918345.1
ParA family protein [Vibrio hyugaensis],Vibrio hyugaensis,88.2,88.2,86%,2.00E-17,29.39,259,WP_104023758.1
ParA family protein [Acidithiobacillus caldus],Acidithiobacillus caldus,89.7,89.7,87%,2.00E-17,29.46,364,WP_064306367.1
ParA family protein [Archangium violaceum],Archangium violaceum,87.8,87.8,92%,2.00E-17,31.3,263,WP_043400949.1
ParA family protein [Aliiroseovarius pelagivivens],Aliiroseovarius pelagivivens,87.8,87.8,85%,2.00E-17,33.61,263,WP_108858018.1
ParA family protein [Xanthomonas cassavae],Xanthomonas cassavae,87.8,87.8,62%,2.00E-17,37.64,265,WP_029221467.1
ParA family protein [Acetivibrio saccincola],Acetivibrio saccincola,87.8,87.8,85%,2.00E-17,30.93,260,WP_101298448.1
AAA family ATPase [Heliobacillus mobilis],Heliobacillus mobilis,87.8,87.8,85%,2.00E-17,33.61,253,WP_155477676.1
ParA family protein [Rhodobacter sediminicola],Rhodobacter sediminicola,87.8,87.8,92%,2.00E-17,29.01,273,WP_011909612.1
ParA family protein [Apibacter adventoris],Apibacter adventoris,87.8,87.8,83%,2.00E-17,31.9,258,WP_105193283.1
ParA family protein [Jannaschia seosinensis],Jannaschia seosinensis,87.8,87.8,66%,2.00E-17,33.67,262,WP_186201908.1
MULTISPECIES: ParA family protein [Pseudobutyrivibrio],Pseudobutyrivibrio,87.4,87.4,85%,2.00E-17,30.38,256,WP_033152516.1
MULTISPECIES: ParA family protein [Vibrio],Vibrio,87.4,87.4,86%,3.00E-17,29.39,259,WP_005438728.1
MULTISPECIES: ParA family protein [Xanthomonas],Xanthomonas,87.4,87.4,62%,3.00E-17,37.64,265,WP_008571190.1
ParA family protein [Vibrio parahaemolyticus],Vibrio parahaemolyticus,87.4,87.4,77%,3.00E-17,29.09,259,WP_005479466.1
AAA family ATPase [Aliiroseovarius zhejiangensis],Aliiroseovarius zhejiangensis,87.4,87.4,94%,3.00E-17,30.48,267,WP_191286830.1
ParA family protein [Aliiroseovarius marinus],Aliiroseovarius marinus,87.4,87.4,85%,3.00E-17,33.61,263,WP_133485255.1
ParA family protein [Pseudoxanthomonas dokdonensis],Pseudoxanthomonas dokdonensis,87.4,87.4,62%,3.00E-17,36.57,265,WP_057659913.1
AAA family ATPase [Herminiimonas contaminans],Herminiimonas contaminans,87.4,87.4,76%,3.00E-17,32.14,256,WP_195875413.1
ParA family protein [Vibrio campbellii],Vibrio campbellii,87.4,87.4,86%,3.00E-17,29.39,259,WP_010643406.1
AAA family ATPase [Megasphaera hominis],Megasphaera hominis,87.4,87.4,94%,3.00E-17,29.59,258,WP_186502463.1
ParA family protein [Ruegeria halocynthiae],Ruegeria halocynthiae,87.4,87.4,85%,3.00E-17,32.22,267,WP_074737516.1
MULTISPECIES: ParA family protein [Gluconobacter],Gluconobacter,87.4,87.4,74%,3.00E-17,37.02,267,WP_011252624.1
ParA family protein [Pokkaliibacter plantistimulans],Pokkaliibacter plantistimulans,87,87,91%,3.00E-17,26.85,259,WP_110188158.1
ParA family protein [Pacificimonas flava],Pacificimonas flava,87,87,85%,4.00E-17,30.77,257,WP_008600551.1
ParA family protein [Luteimonas gilva],Luteimonas gilva,87,87,62%,4.00E-17,37.36,264,WP_137267726.1
