Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Desulfobacterium autotrophicum HRM2, complete sequence",Desulfobacterium autotrophicum HRM2,204,320,69%,4.00E-57,44.08,5589073,NC_012108.1
"Desulfovibrio marinus strain CS1 chromosome, complete genome",Desulfovibrio marinus,199,437,69%,2.00E-55,44.49,4761435,NZ_CP039543.1
"Pseudodesulfovibrio profundus strain 500-1 chromosome DPRO, complete sequence",Pseudodesulfovibrio profundus,199,316,69%,3.00E-55,43.27,4168905,NZ_LT907975.1
"Desulfovibrio indonesiensis strain P37SLT P37SLT_8, whole genome shotgun sequence",Desulfovibrio indonesiensis,197,197,69%,9.00E-55,45.31,178876,NZ_QMIE01000008.1
"Desulfovibrio longus DSM 6739 G452DRAFT_scaffold00003.3_C, whole genome shotgun sequence",Desulfovibrio longus DSM 6739,197,197,69%,2.00E-54,44.9,429871,NZ_ATVA01000013.1
"Pseudodesulfovibrio indicus strain DSM 101483 Ga0244724_103, whole genome shotgun sequence",Pseudodesulfovibrio indicus,197,197,69%,2.00E-54,42.86,386447,NZ_SOBK01000003.1
"Pseudodesulfovibrio aespoeensis Aspo-2, complete sequence",Pseudodesulfovibrio aespoeensis Aspo-2,197,320,69%,2.00E-54,43.67,3629109,NC_014844.1
"Desulfosoma caldarium strain DSM 22027 Ga0244684_102, whole genome shotgun sequence",Desulfosoma caldarium,196,196,69%,4.00E-54,43.5,561307,NZ_RJVA01000010.1
"Halodesulfovibrio marinisediminis DSM 17456, whole genome shotgun sequence",Halodesulfovibrio marinisediminis DSM 17456,196,196,69%,4.00E-54,44.08,172426,NZ_FSRG01000008.1
"Pseudodesulfovibrio hydrargyri strain BerOc1 BerOc1_contig000001, whole genome shotgun sequence",Pseudodesulfovibrio hydrargyri,196,306,69%,5.00E-54,42.86,981955,NZ_LKAQ01000001.1
"Pseudodesulfovibrio piezophilus C1TLV30, complete sequence",Pseudodesulfovibrio piezophilus C1TLV30,195,315,69%,7.00E-54,42.45,3646098,NC_020409.1
"Desulfovibrio desulfuricans DSM 642 G449DRAFT_scaffold00001.1_C, whole genome shotgun sequence",Desulfovibrio desulfuricans DSM 642,195,195,69%,9.00E-54,43.67,835434,NZ_ATUZ01000011.1
"Halodesulfovibrio spirochaetisodalis strain JC271 contig17, whole genome shotgun sequence",Halodesulfovibrio spirochaetisodalis,195,195,69%,9.00E-54,43.67,72931,NZ_JXMS01000017.1
"Desulfacinum hydrothermale DSM 13146, whole genome shotgun sequence",Desulfacinum hydrothermale DSM 13146,194,194,75%,1.00E-53,42.75,298436,NZ_FWXF01000002.1
"Desulfovibrio legallii strain H1T scaffold_1, whole genome shotgun sequence",Desulfovibrio legallii,194,194,69%,1.00E-53,43.67,310558,NZ_SIXC01000002.1
"Halodesulfovibrio aestuarii DSM 10141 H584DRAFT_scaffold00006.6_C, whole genome shotgun sequence",Halodesulfovibrio aestuarii DSM 10141,194,194,69%,2.00E-53,43.67,185796,NZ_AULY01000012.1
"Desulfovibrio gigas DSM 1382 = ATCC 19364, partial sequence",Desulfovibrio gigas DSM 1382 = ATCC 19364,194,325,69%,2.00E-53,43.67,3693999,NC_022444.1
"Desulfacinum infernum DSM 9756, whole genome shotgun sequence",Desulfacinum infernum DSM 9756,192,192,75%,6.00E-53,42.75,204067,NZ_FQVB01000005.1
"Desulfonatronum lacustre DSM 10312 scaffold1, whole genome shotgun sequence",Desulfonatronum lacustre DSM 10312,192,407,69%,8.00E-53,41.63,3761451,NZ_KI912608.1
"Desulfovibrio intestinalis strain DSM 11275 Ga0415384_07, whole genome shotgun sequence",Desulfovibrio intestinalis,192,192,69%,1.00E-52,44.08,227744,NZ_JACHGO010000007.1
"Desulfobaculum xiamenense strain DSM 24233 Ga0373198_01, whole genome shotgun sequence",Desulfobaculum xiamenense,192,315,69%,1.00E-52,42.04,1762566,NZ_JAATJA010000001.1
"Desulfovibrio gracilis DSM 16080, whole genome shotgun sequence",Desulfovibrio gracilis DSM 16080,191,191,69%,2.00E-52,43.67,96731,NZ_FUYC01000009.1
"Desulfoluna spongiiphila isolate Desulfoluna spongiiphila strain DBB, whole genome shotgun sequence",Desulfoluna spongiiphila,191,191,69%,3.00E-52,39.84,6682390,NZ_LR701292.1
"Desulfovibrio bizertensis DSM 18034, whole genome shotgun sequence",Desulfovibrio bizertensis DSM 18034,190,190,69%,3.00E-52,40.82,283588,NZ_FUYA01000005.1
"Desulfonatronum thioautotrophicum strain ASO4-1 LZ09DRAFT_scaffold00005.5, whole genome shotgun sequence",Desulfonatronum thioautotrophicum,190,190,69%,4.00E-52,41.22,351765,NZ_KN882170.1
"Thermodesulforhabdus norvegica strain DSM 9990, whole genome shotgun sequence",Thermodesulforhabdus norvegica,190,190,69%,4.00E-52,43.09,740885,NZ_FOUU01000001.1
"Desulfuromusa kysingii strain DSM 7343, whole genome shotgun sequence",Desulfuromusa kysingii,189,189,69%,8.00E-52,42.45,637860,NZ_FNQN01000001.1
"Desulfoluna butyratoxydans isolate Desulfoluna butyratoxydans MSL71, whole genome shotgun sequence",Desulfoluna butyratoxydans,189,189,69%,1.00E-51,39.84,1181575,NZ_CAADHO010000001.1
"Desulfoglaeba alkanexedens ALDC chromosome, complete genome",Desulfoglaeba alkanexedens ALDC,189,189,75%,1.00E-51,42.75,3365583,NZ_CP040098.1
"Desulfomicrobium orale DSM 12838 chromosome, complete genome",Desulfomicrobium orale DSM 12838,188,324,69%,2.00E-51,43.27,2783374,NZ_CP014230.1
"Cupidesulfovibrio oxamicus strain NCIMB 9442 NODE_146, whole genome shotgun sequence",Cupidesulfovibrio oxamicus,187,187,69%,3.00E-51,44.9,8051,NZ_VRYY01000051.1
"Anaeromyxobacter dehalogenans 2CP-1, complete sequence",Anaeromyxobacter dehalogenans 2CP-1,187,187,75%,3.00E-51,39.93,5029329,NC_011891.1
"Desulfovibrio bastinii DSM 16055 G496DRAFT_scaffold00009.9, whole genome shotgun sequence",Desulfovibrio bastinii DSM 16055,187,187,69%,4.00E-51,42.04,192207,NZ_KE387016.1
"Desulfovibrio ferrophilus strain IS5 chromosome, complete genome",Desulfovibrio ferrophilus,187,415,75%,4.00E-51,42.45,3677055,NZ_AP017378.1
"Desulfovibrio termitidis HI1 DesteDRAFT_DTF.1, whole genome shotgun sequence",Desulfovibrio termitidis HI1,187,315,69%,5.00E-51,44.9,4257954,NZ_KI632512.1
"Desulfomicrobium apsheronum strain DSM 5918, whole genome shotgun sequence",Desulfomicrobium apsheronum,186,186,69%,7.00E-51,43.27,43261,NZ_FORX01000027.1
"Desulfomicrobium baculatum DSM 4028, complete sequence",Desulfomicrobium baculatum DSM 4028,186,312,69%,8.00E-51,42.86,3942657,NC_013173.1
"Desulfonatronum thiodismutans strain MLF-1 contig5, whole genome shotgun sequence",Desulfonatronum thiodismutans,186,302,69%,8.00E-51,40.41,450847,NZ_JPIK01000005.1
"Desulfovibrio fairfieldensis strain CCUG 45958 chromosome, complete genome",Desulfovibrio fairfieldensis,186,302,69%,9.00E-51,44.08,3699310,NZ_CP014229.1
"Pelobacter seleniigenes DSM 18267 N909DRAFT_scf7180000000030_quiver.2_C, whole genome shotgun sequence",Pelobacter seleniigenes DSM 18267,186,186,69%,1.00E-50,41.63,3076292,NZ_JOMG01000002.1
"Desulfobacula phenolica strain DSM 3384, whole genome shotgun sequence",Desulfobacula phenolica,186,186,68%,1.00E-50,39.34,573891,NZ_FNLL01000002.1
"Desulfobacula toluolica Tol2, complete sequence",Desulfobacula toluolica Tol2,186,323,69%,1.00E-50,39.34,5197905,NC_018645.1
"Geobacter lovleyi SZ, complete sequence",Geobacter lovleyi SZ,186,186,69%,1.00E-50,42.68,3917761,NC_010814.1
"Desulfurivibrio alkaliphilus AHT 2, complete sequence",Desulfurivibrio alkaliphilus AHT 2,186,497,75%,2.00E-50,39.7,3097763,NC_014216.1
"Geobacter thiogenes strain ATCC BAA-34, whole genome shotgun sequence",Geobacter thiogenes,185,185,69%,2.00E-50,42.68,684616,NZ_FUWR01000001.1
"Desulfomicrobium macestii strain DSM 4194 Ga0244497_29, whole genome shotgun sequence",Desulfomicrobium macestii,185,185,69%,2.00E-50,42.86,59164,NZ_JADBGG010000029.1
"Desulfomicrobium norvegicum strain DSM 1741, whole genome shotgun sequence",Desulfomicrobium norvegicum,185,310,69%,2.00E-50,42.86,897098,NZ_FOTO01000001.1
"Desulfuromonas thiophila strain DSM 8987, whole genome shotgun sequence",Desulfuromonas thiophila,185,185,68%,2.00E-50,40.74,105888,NZ_FNAQ01000006.1
"Desulfobulbus japonicus DSM 18378 G493DRAFT_scaffold00003.3_C, whole genome shotgun sequence",Desulfobulbus japonicus DSM 18378,185,185,68%,3.00E-50,40.16,256173,NZ_AUCV01000003.1
"Desulfovibrio senegalensis strain DSM 101509 38111_DEBL13788_contig00001, whole genome shotgun sequence",Desulfovibrio senegalensis,185,293,69%,3.00E-50,41.63,1320837,NZ_WAIE01000001.1
"Desulfovibrio mexicanus strain DSM 13116, whole genome shotgun sequence",Desulfovibrio mexicanus,184,184,69%,4.00E-50,43.67,807066,NZ_FZOC01000001.1
"Desulfovibrio psychrotolerans strain JS1 sequence35, whole genome shotgun sequence",Desulfovibrio psychrotolerans,184,184,69%,5.00E-50,43.27,189549,NZ_BLVP01000035.1
"Desulfospira joergensenii DSM 10085 F608DRAFT_scaffold00001.1_C, whole genome shotgun sequence",Desulfospira joergensenii DSM 10085,184,184,69%,7.00E-50,40.65,2428772,NZ_ATUG01000001.1
"Desulfocarbo indianensis strain SCBM scaffold1.1, whole genome shotgun sequence",Desulfocarbo indianensis,184,184,69%,8.00E-50,43.5,1537261,NZ_LBMP01000001.1
"Desulfoplanes formicivorans strain Pf12B, whole genome shotgun sequence",Desulfoplanes formicivorans,183,183,69%,1.00E-49,41.63,286024,NZ_BDFE01000016.1
"Dissulfurirhabdus thermomarina strain SH388 12, whole genome shotgun sequence",Dissulfurirhabdus thermomarina,183,183,69%,1.00E-49,44.49,66857,NZ_JAATWC010000012.1
"Desulfamplus magnetovallimortis isolate PRJEB14757, whole genome shotgun sequence",Desulfamplus magnetovallimortis,182,182,75%,2.00E-49,36.57,172965,NZ_LT828552.1
"Desulfonatronum thiosulfatophilum strain ASO4-2, whole genome shotgun sequence",Desulfonatronum thiosulfatophilum,182,182,69%,2.00E-49,39.18,65259,NZ_FMXO01000021.1
"Geobacter argillaceus strain ATCC BAA-1139 Ga0052872_scaffold00018.18, whole genome shotgun sequence",Geobacter argillaceus,182,182,74%,3.00E-49,39.54,94964,NZ_VLLN01000018.1
"Desulfovibrio vulgaris RCH1, complete sequence",Desulfovibrio vulgaris RCH1,181,303,69%,6.00E-49,45.31,3532052,NC_017310.1
"Desulfobacter vibrioformis DSM 8776 Q366DRAFT_scaffold00013.13_C, whole genome shotgun sequence",Desulfobacter vibrioformis DSM 8776,180,180,68%,9.00E-49,40,119612,NZ_JQKJ01000014.1
"Desulfuromonas acetoxidans strain DSM 1676 assembly_contig_15, whole genome shotgun sequence",Desulfuromonas acetoxidans,180,180,69%,1.00E-48,39.59,84259,NZ_JABWTG010000015.1
"Pelobacter propionicus DSM 2379, complete sequence",Pelobacter propionicus DSM 2379,180,180,69%,1.00E-48,42.04,4008000,NC_008609.1
"Desulfobulbus propionicus DSM 2032, complete sequence",Desulfobulbus propionicus DSM 2032,179,179,69%,3.00E-48,37.8,3851869,NC_014972.1
"Desulfovibrio putealis DSM 16056 G453DRAFT_scaffold00007.7_C, whole genome shotgun sequence",Desulfovibrio putealis DSM 16056,179,179,69%,4.00E-48,41.63,288517,NZ_AUBQ01000012.1
"Geoalkalibacter subterraneus strain Red1 chromosome, complete genome",Geoalkalibacter subterraneus,178,178,69%,4.00E-48,39.18,3475523,NZ_CP010311.1
"Desulfobacter curvatus DSM 3379 B147DRAFT_scaffold_40.41, whole genome shotgun sequence",Desulfobacter curvatus DSM 3379,178,178,68%,4.00E-48,39.59,48427,NZ_KB893069.1
"Dissulfuribacter thermophilus strain S69 contig00002, whole genome shotgun sequence",Dissulfuribacter thermophilus,178,178,67%,4.00E-48,42.26,233197,NZ_MAGO01000002.1
"Desulfovibrio alaskensis G20, complete sequence",Desulfovibrio alaskensis G20,178,290,69%,6.00E-48,42.45,3730232,NC_007519.1
"Desulfobulbus elongatus DSM 2908 Q362DRAFT_scaffold00003.3_C, whole genome shotgun sequence",Desulfobulbus elongatus DSM 2908,178,178,69%,6.00E-48,38.62,194820,NZ_JHZB01000003.1
"Desulfobacter latus strain AcRS2 NODE_19_length_103773_cov_40.485431, whole genome shotgun sequence",Desulfobacter latus,177,177,68%,8.00E-48,39.18,103773,NZ_JACADJ010000007.1
Desulfobacter hydrogenophilus strain AcRS1 chromosome,Desulfobacter hydrogenophilus,177,230,68%,8.00E-48,39.59,5105261,NZ_CP036313.1
"Desulforegula conservatrix Mb1Pa I997DRAFT_scaffold00005.5_C, whole genome shotgun sequence",Desulforegula conservatrix Mb1Pa,177,177,69%,1.00E-47,36.59,145651,NZ_AUEY01000005.1
"Desulfomicrobium escambiense DSM 10707 G394DRAFT_scaffold00023.23_C, whole genome shotgun sequence",Desulfomicrobium escambiense DSM 10707,177,177,69%,2.00E-47,41.22,46232,NZ_AUAR01000026.1
Syntrophotalea acetylenica strain DSM 3247 chromosome,Syntrophotalea acetylenica,177,177,75%,2.00E-47,36.7,3176363,NZ_CP015518.1
"Desulfarculus baarsii DSM 2075, complete sequence",Desulfarculus baarsii DSM 2075,177,177,75%,2.00E-47,38.2,3655731,NC_014365.1
"Desulfovibrio frigidus DSM 17176 BR06DRAFT_scaffold00006.6_C, whole genome shotgun sequence",Desulfovibrio frigidus DSM 17176,176,299,69%,2.00E-47,40.82,305151,NZ_JONL01000006.1
"Desulfatitalea tepidiphila strain S28bF, whole genome shotgun sequence",Desulfatitalea tepidiphila,176,176,64%,2.00E-47,42.98,2840042,NZ_BCAG01000003.1
"Desulfocurvus vexinensis DSM 17965 G495DRAFT_scaffold00002.2_C, whole genome shotgun sequence",Desulfocurvus vexinensis DSM 17965,176,176,69%,2.00E-47,42.45,532123,NZ_JAEX01000002.1
"Desulfobotulus mexicanus strain PAR22N Contig_50, whole genome shotgun sequence",Desulfobotulus mexicanus,176,176,69%,3.00E-47,39.59,455160,NZ_VDMB01000001.1
